,Date,Open,High,Low,Close
1719,2025-10-16,33.6,33.6,33.6,33.6
1718,2025-10-15,34.0,34.0,33.4,33.5
1717,2025-10-14,35.8,35.8,34.6,34.7
1716,2025-10-10,31.2,36.3,31.2,36.3
1715,2025-10-08,36.6,36.6,36.6,36.6
1714,2025-10-07,36.5,36.5,36.5,36.5
1713,2025-10-06,36.2,36.5,36.2,36.5
1712,2025-10-02,36.3,36.5,36.3,36.5
1711,2025-10-01,35.0,35.0,35.0,35.0
1710,2025-09-30,35.1,35.1,35.0,35.0
1709,2025-09-29,36.0,36.4,36.0,36.4
1708,2025-09-25,35.0,35.0,35.0,35.0
1707,2025-09-24,35.0,35.0,35.0,35.0
1706,2025-09-23,35.2,35.2,35.0,35.0
1705,2025-09-19,36.3,37.0,36.3,37.0
1704,2025-09-15,36.5,36.5,36.5,36.5
1703,2025-09-08,35.0,35.0,35.0,35.0
1702,2025-09-03,37.0,37.0,37.0,37.0
1701,2025-08-26,35.5,35.5,35.5,35.5
1700,2025-08-21,36.0,36.0,36.0,36.0
1699,2025-08-18,36.9,36.9,36.9,36.9
1698,2025-08-14,36.9,36.9,36.5,36.5
1697,2025-08-12,36.9,36.9,36.9,36.9
1696,2025-08-11,36.9,36.9,36.9,36.9
1695,2025-08-08,35.7,35.7,35.7,35.7
1694,2025-08-07,35.7,35.7,35.7,35.7
1693,2025-08-06,35.5,39.3,35.5,39.3
1692,2025-08-05,35.2,35.2,35.2,35.2
1691,2025-08-04,35.2,35.2,35.2,35.2
1690,2025-08-01,35.2,35.5,35.2,35.5
1689,2025-07-31,35.3,35.3,35.3,35.3
1688,2025-07-30,35.0,35.1,35.0,35.1
1687,2025-07-28,39.5,39.5,39.5,39.5
1686,2025-07-25,39.5,39.5,39.5,39.5
1685,2025-07-24,39.5,39.5,39.5,39.5
1684,2025-07-23,39.5,39.5,39.5,39.5
1683,2025-07-22,39.5,39.5,39.5,39.5
1682,2025-07-21,39.5,39.5,39.5,39.5
1681,2025-07-18,34.4,34.4,34.4,34.4
1680,2025-07-17,34.4,34.4,34.4,34.4
1679,2025-07-16,34.4,34.4,34.4,34.4
1678,2025-07-15,34.4,34.4,34.4,34.4
1677,2025-07-14,34.4,34.4,34.4,34.4
1676,2025-07-11,36.33,36.33,36.33,36.33
1675,2025-07-10,36.33,36.33,36.33,36.33
1674,2025-07-09,38.65,38.65,38.65,38.65
1673,2025-07-08,41.55,43.29,34.5,34.5
1672,2025-07-07,37.69,37.69,37.69,37.69
1671,2025-07-04,37.69,37.69,37.69,37.69
1670,2025-07-03,32.85,32.85,32.85,32.85
1669,2025-07-02,34.79,34.79,32.85,32.85
1668,2025-07-01,38.17,38.17,38.17,38.17
1667,2025-06-30,38.17,38.17,38.17,38.17
1666,2025-06-27,38.17,38.17,38.17,38.17
1665,2025-06-26,38.17,38.17,38.17,38.17
1664,2025-06-25,38.65,38.65,38.65,38.65
1663,2025-06-24,38.65,38.65,38.65,38.65
1662,2025-06-23,38.65,38.65,38.65,38.65
1661,2025-06-20,38.65,38.65,38.65,38.65
1660,2025-06-19,38.65,38.65,38.65,38.65
1659,2025-06-18,38.65,38.65,38.65,38.65
1658,2025-06-17,38.65,38.65,38.65,38.65
1657,2025-06-16,38.65,38.65,38.65,38.65
1656,2025-06-13,38.65,38.65,38.65,38.65
1655,2025-06-12,38.65,38.65,38.65,38.65
1654,2025-06-11,38.65,38.65,38.65,38.65
1653,2025-06-10,38.65,38.65,38.65,38.65
1652,2025-06-09,38.65,38.65,38.65,38.65
1651,2025-06-06,38.65,38.65,38.65,38.65
1650,2025-06-05,33.82,33.82,33.82,33.82
1649,2025-06-04,38.65,38.65,38.65,38.65
1648,2025-06-03,38.65,38.65,38.65,38.65
