,Date,Open,High,Low,Close
438,2025-10-17,3.8,3.9,3.6,3.7
437,2025-10-16,3.9,4.0,3.8,3.8
436,2025-10-15,4.0,4.0,3.9,4.0
435,2025-10-14,4.0,4.1,3.9,4.0
434,2025-10-13,4.0,4.0,3.9,4.0
433,2025-10-10,4.0,4.1,3.9,4.0
432,2025-10-09,4.1,4.1,3.9,4.0
431,2025-10-08,4.1,4.1,4.0,4.1
430,2025-10-07,4.1,4.1,4.0,4.1
429,2025-10-06,4.0,4.1,4.0,4.1
428,2025-10-03,4.1,4.1,3.9,4.0
427,2025-10-02,4.0,4.1,4.0,4.1
426,2025-10-01,4.1,4.1,4.0,4.1
425,2025-09-30,4.1,4.2,4.0,4.1
424,2025-09-29,4.2,4.2,4.0,4.2
423,2025-09-26,4.1,4.2,4.0,4.2
422,2025-09-25,4.1,4.2,4.0,4.1
421,2025-09-24,4.1,4.2,4.0,4.2
420,2025-09-23,4.1,4.2,4.0,4.1
419,2025-09-22,4.1,4.2,4.0,4.1
418,2025-09-19,4.1,4.2,4.0,4.1
417,2025-09-18,4.1,4.2,4.0,4.1
416,2025-09-17,4.2,4.2,4.1,4.2
415,2025-09-16,4.2,4.3,4.1,4.1
414,2025-09-15,4.1,4.2,4.1,4.2
413,2025-09-12,4.1,4.2,4.1,4.1
412,2025-09-11,4.2,4.2,4.0,4.1
411,2025-09-10,4.2,4.2,4.0,4.2
410,2025-09-09,4.1,4.2,4.0,4.2
409,2025-09-08,4.2,4.2,4.0,4.1
408,2025-09-05,4.4,4.4,4.1,4.2
407,2025-09-04,4.2,4.5,4.1,4.4
406,2025-09-03,4.2,4.2,4.1,4.2
405,2025-08-29,4.2,4.2,4.1,4.2
404,2025-08-28,4.1,4.2,4.1,4.1
403,2025-08-27,4.3,4.3,4.1,4.1
402,2025-08-26,4.1,4.3,4.0,4.3
401,2025-08-25,4.1,4.2,4.0,4.1
400,2025-08-22,4.3,4.3,4.0,4.1
399,2025-08-21,4.4,4.4,4.2,4.3
398,2025-08-20,4.3,4.4,4.1,4.4
397,2025-08-19,4.3,4.4,4.2,4.4
396,2025-08-18,4.5,4.5,4.2,4.3
395,2025-08-15,4.6,4.7,4.3,4.5
394,2025-08-14,4.7,4.8,4.4,4.5
393,2025-08-13,4.7,5.1,4.5,4.7
392,2025-08-12,4.2,4.7,4.1,4.7
391,2025-08-11,4.2,4.2,4.1,4.2
390,2025-08-08,4.1,4.2,4.0,4.2
389,2025-08-07,4.1,4.2,4.0,4.2
388,2025-08-06,4.2,4.2,4.1,4.2
387,2025-08-05,4.2,4.3,4.1,4.2
386,2025-08-04,4.0,4.2,4.0,4.2
385,2025-08-01,4.1,4.1,4.0,4.1
384,2025-07-31,4.1,4.2,4.0,4.1
383,2025-07-30,4.1,4.1,4.0,4.1
382,2025-07-29,4.1,4.3,4.0,4.0
381,2025-07-28,4.1,4.2,4.0,4.1
380,2025-07-25,4.2,4.3,4.0,4.2
379,2025-07-24,4.2,4.3,4.1,4.3
378,2025-07-23,4.2,4.4,4.2,4.3
377,2025-07-22,4.3,4.3,4.1,4.3
376,2025-07-21,4.4,4.5,4.1,4.3
375,2025-07-18,4.4,4.5,4.3,4.4
374,2025-07-17,4.3,4.4,4.2,4.4
373,2025-07-16,4.2,4.4,4.2,4.3
372,2025-07-15,4.1,4.4,4.1,4.3
371,2025-07-14,4.2,4.2,4.0,4.2
370,2025-07-11,4.3,4.3,4.0,4.2
369,2025-07-10,4.2,4.4,4.2,4.3
368,2025-07-09,4.1,4.2,4.0,4.2
367,2025-07-08,4.0,4.1,3.9,4.1
366,2025-07-07,4.0,4.1,3.9,4.0
365,2025-07-04,4.0,4.1,3.9,4.0
364,2025-07-03,3.9,4.2,3.9,4.0
363,2025-07-02,3.9,3.9,3.8,3.9
362,2025-07-01,3.9,3.9,3.8,3.9
361,2025-06-30,3.9,3.9,3.8,3.9
360,2025-06-27,4.0,4.0,3.8,3.9
359,2025-06-26,3.9,3.9,3.8,3.9
358,2025-06-25,3.9,4.0,3.8,3.9
357,2025-06-24,3.9,4.0,3.8,3.8
356,2025-06-23,3.9,4.0,3.8,4.0
355,2025-06-20,3.9,4.0,3.9,4.0
354,2025-06-19,4.0,4.0,3.9,4.0
353,2025-06-18,4.0,4.1,3.9,4.0
352,2025-06-17,4.0,4.1,3.9,4.1
351,2025-06-16,4.0,4.0,3.9,4.0
350,2025-06-13,4.0,4.0,3.8,4.0
349,2025-06-12,4.0,4.1,3.9,4.0
348,2025-06-11,4.0,4.1,4.0,4.0
347,2025-06-10,4.0,4.1,3.9,4.0
346,2025-06-09,4.1,4.1,3.9,4.0
345,2025-06-06,4.0,4.2,4.0,4.1
344,2025-06-05,4.1,4.2,4.0,4.2
343,2025-06-04,4.2,4.2,4.0,4.1
342,2025-06-03,4.1,4.2,4.0,4.2
341,2025-06-02,4.1,4.2,4.0,4.2
340,2025-05-30,4.2,4.2,4.0,4.2
339,2025-05-29,4.2,4.2,4.0,4.2
338,2025-05-28,4.3,4.3,4.1,4.2
337,2025-05-27,4.2,4.3,4.1,4.3
336,2025-05-26,4.1,4.2,4.0,4.2
335,2025-05-23,4.1,4.2,4.0,4.2
334,2025-05-22,4.1,4.2,4.0,4.1
333,2025-05-21,4.3,4.3,4.0,4.1
332,2025-05-20,4.2,4.3,4.1,4.3
331,2025-05-19,4.3,4.3,4.0,4.2
330,2025-05-16,4.5,4.5,4.2,4.3
329,2025-05-15,4.4,4.5,4.3,4.5
328,2025-05-14,4.5,4.6,4.3,4.4
327,2025-05-13,4.2,4.5,4.2,4.5
326,2025-05-12,4.2,4.5,4.1,4.4
325,2025-05-09,4.2,4.3,4.1,4.2
324,2025-05-08,4.1,4.4,4.1,4.2
323,2025-05-07,4.1,4.1,4.0,4.1
322,2025-05-06,4.0,4.2,4.0,4.1
321,2025-05-05,4.1,4.2,3.9,4.0
320,2025-04-29,4.1,4.3,3.9,4.1
319,2025-04-28,4.3,4.6,4.1,4.2
318,2025-04-25,3.8,4.2,3.8,4.2
317,2025-04-24,3.8,3.8,3.6,3.7
316,2025-04-23,3.7,3.8,3.7,3.8
315,2025-04-22,3.8,3.9,3.4,3.7
314,2025-04-21,3.9,3.9,3.7,3.8
313,2025-04-18,3.9,4.0,3.8,3.9
312,2025-04-17,3.9,4.0,3.8,4.0
311,2025-04-16,3.8,4.0,3.8,3.9
310,2025-04-15,3.9,4.0,3.7,3.8
309,2025-04-14,4.0,4.1,3.8,3.9
308,2025-04-11,4.2,4.4,3.8,4.0
307,2025-04-10,3.8,4.0,3.8,4.0
306,2025-04-09,3.6,3.8,3.3,3.6
305,2025-04-08,3.9,4.1,3.4,3.6
304,2025-04-04,3.8,4.2,3.5,4.0
303,2025-04-03,4.3,4.4,3.8,3.8
302,2025-04-02,4.6,4.6,4.3,4.4
301,2025-04-01,4.3,4.6,4.3,4.6
300,2025-03-31,4.1,4.5,4.0,4.4
299,2025-03-28,4.1,4.1,4.0,4.1
298,2025-03-27,4.2,4.2,4.0,4.1
297,2025-03-26,4.2,4.3,4.2,4.3
296,2025-03-25,4.3,4.4,4.1,4.3
295,2025-03-24,4.4,4.4,4.1,4.3
294,2025-03-21,4.5,4.6,4.2,4.4
293,2025-03-20,4.7,4.7,4.5,4.6
292,2025-03-19,4.7,4.8,4.6,4.7
291,2025-03-18,4.7,4.8,4.6,4.7
290,2025-03-17,4.6,4.8,4.5,4.6
289,2025-03-14,4.6,4.7,4.5,4.6
288,2025-03-13,4.8,4.8,4.5,4.6
287,2025-03-12,4.9,4.9,4.6,4.7
286,2025-03-11,4.7,5.0,4.7,4.9
285,2025-03-10,4.7,4.9,4.4,4.8
284,2025-03-07,4.7,4.8,4.5,4.6
283,2025-03-06,4.9,4.9,4.6,4.7
282,2025-03-05,4.9,5.0,4.7,4.9
281,2025-03-04,5.1,5.1,4.6,4.8
280,2025-03-03,5.1,5.4,5.0,5.1
279,2025-02-28,5.1,5.2,4.9,5.1
278,2025-02-27,5.2,5.4,4.9,5.1
277,2025-02-26,4.8,5.2,4.8,5.2
276,2025-02-25,4.8,4.9,4.4,4.8
275,2025-02-24,5.4,5.4,4.6,4.8
274,2025-02-21,5.7,5.7,5.2,5.3
273,2025-02-20,5.6,6.0,5.4,5.7
272,2025-02-19,5.4,5.8,5.2,5.6
271,2025-02-18,6.3,6.4,5.2,5.2
270,2025-02-17,5.8,6.3,5.6,6.2
269,2025-02-14,5.4,5.8,5.3,5.6
268,2025-02-13,4.6,5.4,4.5,5.4
267,2025-02-12,5.0,5.0,4.4,4.7
266,2025-02-11,4.9,5.4,4.7,5.0
265,2025-02-10,4.7,4.7,4.4,4.7
264,2025-02-07,3.8,4.2,3.8,4.2
263,2025-02-06,3.8,3.8,3.7,3.8
262,2025-02-05,3.7,3.8,3.6,3.8
261,2025-02-04,3.6,3.9,3.6,3.7
260,2025-02-03,3.7,3.7,3.5,3.6
259,2025-01-24,3.7,3.7,3.5,3.7
258,2025-01-23,3.7,3.8,3.6,3.7
257,2025-01-22,3.7,3.7,3.5,3.7
256,2025-01-21,3.5,3.9,3.5,3.7
255,2025-01-20,3.6,3.6,3.5,3.6
254,2025-01-17,3.6,3.6,3.4,3.6
253,2025-01-16,3.6,3.6,3.4,3.6
252,2025-01-15,3.5,3.6,3.5,3.6
251,2025-01-14,3.6,3.6,3.4,3.5
250,2025-01-13,3.5,3.6,3.4,3.6
249,2025-01-10,3.6,3.6,3.5,3.5
248,2025-01-09,3.6,3.7,3.5,3.6
247,2025-01-08,3.5,3.6,3.5,3.6
246,2025-01-07,3.6,3.6,3.5,3.5
245,2025-01-06,3.6,3.7,3.5,3.6
244,2025-01-03,3.6,3.7,3.5,3.6
243,2025-01-02,3.6,3.7,3.5,3.7
242,2024-12-31,3.6,3.6,3.5,3.6
241,2024-12-30,3.7,3.7,3.5,3.7
240,2024-12-27,3.8,3.9,3.6,3.6
239,2024-12-26,3.6,3.9,3.6,3.8
238,2024-12-25,3.5,3.8,3.5,3.7
237,2024-12-24,3.5,3.6,3.5,3.5
236,2024-12-23,3.6,3.6,3.5,3.5
235,2024-12-20,3.5,3.6,3.5,3.6
234,2024-12-19,3.5,3.6,3.5,3.6
233,2024-12-18,3.5,3.6,3.5,3.6
232,2024-12-17,3.7,3.7,3.5,3.6
231,2024-12-16,3.7,3.7,3.5,3.7
230,2024-12-13,3.6,3.7,3.5,3.7
229,2024-12-12,3.8,3.8,3.5,3.6
228,2024-12-11,3.5,4.0,3.5,3.8
227,2024-12-10,3.4,3.6,3.4,3.6
226,2024-12-09,3.5,3.6,3.4,3.5
225,2024-12-06,3.5,3.6,3.5,3.6
224,2024-12-05,3.5,3.6,3.4,3.6
223,2024-12-04,3.6,3.6,3.4,3.5
222,2024-12-03,3.6,3.6,3.5,3.6
221,2024-12-02,3.5,3.7,3.5,3.6
220,2024-11-29,3.5,3.6,3.4,3.5
219,2024-11-28,3.5,3.6,3.5,3.6
218,2024-11-27,3.6,3.6,3.4,3.6
217,2024-11-26,3.6,3.6,3.4,3.6
216,2024-11-25,3.5,3.6,3.4,3.6
215,2024-11-22,3.6,3.6,3.4,3.5
214,2024-11-21,3.4,3.6,3.4,3.6
213,2024-11-20,3.5,3.6,3.4,3.5
212,2024-11-19,3.6,3.6,3.4,3.6
211,2024-11-18,3.6,3.6,3.4,3.6
210,2024-11-15,3.6,3.6,3.4,3.6
209,2024-11-14,3.5,3.6,3.5,3.6
208,2024-11-13,3.6,3.6,3.5,3.6
207,2024-11-12,3.5,3.7,3.5,3.7
206,2024-11-11,3.6,3.6,3.5,3.5
205,2024-11-08,3.7,3.7,3.5,3.6
204,2024-11-07,3.7,3.8,3.6,3.7
203,2024-11-06,3.6,3.7,3.6,3.7
202,2024-11-05,3.6,3.7,3.5,3.7
201,2024-11-04,3.6,3.7,3.5,3.6
200,2024-11-01,3.7,3.7,3.5,3.6
199,2024-10-31,3.8,3.8,3.6,3.7
198,2024-10-30,3.8,3.9,3.7,3.8
197,2024-10-29,3.9,3.9,3.7,3.9
196,2024-10-28,4.2,4.2,3.7,3.9
195,2024-10-25,4.1,4.4,4.0,4.2
194,2024-10-24,3.6,4.0,3.6,4.0
193,2024-10-23,3.5,3.6,3.4,3.6
192,2024-10-22,3.5,3.6,3.4,3.6
191,2024-10-21,3.6,3.6,3.4,3.5
190,2024-10-18,3.5,3.6,3.5,3.6
189,2024-10-17,3.6,3.6,3.4,3.6
188,2024-10-16,3.6,3.6,3.5,3.6
187,2024-10-15,3.7,3.8,3.5,3.7
186,2024-10-14,3.7,3.8,3.6,3.7
185,2024-10-11,3.7,3.8,3.6,3.7
184,2024-10-10,3.7,3.8,3.6,3.7
183,2024-10-09,3.8,3.8,3.6,3.8
182,2024-10-08,3.9,3.9,3.7,3.8
181,2024-10-07,3.9,3.9,3.7,3.9
180,2024-10-04,3.9,3.9,3.8,3.9
179,2024-10-03,3.9,4.0,3.8,3.8
178,2024-10-02,3.9,3.9,3.8,3.9
177,2024-10-01,3.9,4.0,3.8,3.9
176,2024-09-30,3.9,4.0,3.8,3.9
175,2024-09-27,4.4,4.4,3.8,4.0
174,2024-09-26,4.0,4.0,3.8,3.9
173,2024-09-25,3.8,4.0,3.8,4.0
172,2024-09-24,3.8,4.0,3.8,3.9
171,2024-09-23,4.0,4.0,3.9,4.0
170,2024-09-20,4.0,4.1,3.9,4.0
169,2024-09-19,4.0,4.2,3.9,4.1
168,2024-09-18,4.0,4.0,3.8,4.0
167,2024-09-17,3.9,4.0,3.8,4.0
166,2024-09-16,4.0,4.0,3.8,3.9
165,2024-09-13,4.0,4.0,3.8,4.0
164,2024-09-12,3.8,4.0,3.8,4.0
163,2024-09-11,3.9,3.9,3.7,3.8
162,2024-09-10,3.9,4.0,3.8,3.8
161,2024-09-09,4.1,4.1,3.9,4.0
160,2024-09-06,4.0,4.1,3.9,4.1
159,2024-09-05,4.0,4.1,3.9,3.9
158,2024-09-04,4.0,4.1,3.9,4.0
157,2024-08-30,3.9,4.1,3.9,4.1
156,2024-08-29,4.0,4.0,3.9,4.0
155,2024-08-28,4.0,4.1,3.9,4.0
154,2024-08-27,4.0,4.1,3.9,4.0
153,2024-08-26,4.0,4.2,4.0,4.0
152,2024-08-23,4.2,4.2,4.0,4.0
151,2024-08-22,4.3,4.3,4.1,4.2
150,2024-08-21,4.2,4.3,4.1,4.3
149,2024-08-20,4.1,4.3,4.1,4.2
148,2024-08-19,4.1,4.3,4.1,4.2
147,2024-08-16,3.9,4.2,3.9,4.1
146,2024-08-15,4.0,4.0,3.8,3.9
145,2024-08-14,3.9,4.0,3.8,4.0
144,2024-08-13,3.9,4.0,3.9,3.9
143,2024-08-12,3.9,4.0,3.9,4.0
142,2024-08-09,4.0,4.1,3.9,3.9
141,2024-08-08,4.0,4.1,3.9,4.0
140,2024-08-07,4.0,4.1,3.9,4.0
139,2024-08-06,3.8,4.1,3.8,4.0
138,2024-08-05,4.1,4.1,3.7,3.8
137,2024-08-02,4.1,4.3,4.0,4.1
136,2024-08-01,4.4,4.4,4.1,4.2
135,2024-07-31,4.4,4.5,4.3,4.4
134,2024-07-30,4.6,4.6,4.3,4.4
133,2024-07-29,4.7,4.8,4.5,4.6
132,2024-07-26,4.6,4.8,4.6,4.7
131,2024-07-25,4.5,4.6,4.3,4.6
130,2024-07-24,4.6,4.6,4.2,4.5
129,2024-07-23,4.8,4.8,4.5,4.6
128,2024-07-22,4.8,5.0,4.6,4.7
127,2024-07-19,4.9,4.9,4.7,4.8
