,Date,Open,High,Low,Close
1141,2025-10-17,3.69,3.7,3.66,3.66
1140,2025-10-16,3.79,3.79,3.66,3.7
1139,2025-10-15,3.7,3.74,3.66,3.66
1138,2025-10-14,3.76,3.76,3.66,3.7
1137,2025-10-13,3.8,3.8,3.72,3.76
1136,2025-10-10,3.79,3.86,3.71,3.86
1135,2025-10-09,3.79,3.79,3.7,3.78
1134,2025-10-08,3.93,3.93,3.76,3.79
1133,2025-10-07,3.8,3.8,3.75,3.75
1132,2025-10-06,3.79,3.83,3.78,3.79
1131,2025-10-03,3.8,3.83,3.6,3.79
1130,2025-10-02,3.84,3.84,3.71,3.8
1129,2025-10-01,3.79,3.85,3.79,3.84
1128,2025-09-30,3.78,3.79,3.72,3.79
1127,2025-09-29,3.81,3.81,3.7,3.79
1126,2025-09-26,3.86,3.86,3.77,3.86
1125,2025-09-25,3.85,3.86,3.72,3.86
1124,2025-09-24,3.82,3.88,3.79,3.85
1123,2025-09-23,3.86,3.86,3.82,3.83
1122,2025-09-22,3.83,3.88,3.69,3.86
1121,2025-09-19,3.89,3.89,3.8,3.83
1120,2025-09-18,3.9,3.9,3.81,3.9
1119,2025-09-17,3.86,3.91,3.74,3.9
1118,2025-09-16,3.94,3.94,3.83,3.86
1117,2025-09-15,3.99,3.99,3.82,3.94
1116,2025-09-12,3.8,3.95,3.78,3.95
1115,2025-09-11,3.5,3.8,3.5,3.8
1114,2025-09-10,3.6,3.69,3.6,3.66
1113,2025-09-09,3.65,3.65,3.58,3.64
1112,2025-09-08,3.71,3.71,3.57,3.64
1111,2025-09-05,3.57,3.77,3.53,3.7
1110,2025-09-04,3.55,3.55,3.49,3.53
1109,2025-09-03,3.58,3.58,3.46,3.55
1108,2025-08-29,3.46,3.59,3.43,3.58
1107,2025-08-28,3.45,3.47,3.41,3.46
1106,2025-08-27,3.4,3.45,3.36,3.45
1105,2025-08-26,3.36,3.4,3.35,3.4
1104,2025-08-25,3.44,3.44,3.32,3.37
1103,2025-08-22,3.41,3.42,3.3,3.37
1102,2025-08-21,3.47,3.47,3.35,3.43
1101,2025-08-20,3.42,3.48,3.34,3.48
1100,2025-08-19,3.4,3.44,3.19,3.42
1099,2025-08-18,3.36,3.4,3.36,3.4
1098,2025-08-15,3.47,3.51,3.36,3.36
1097,2025-08-14,3.47,3.49,3.44,3.47
1096,2025-08-13,3.5,3.5,3.44,3.47
1095,2025-08-12,3.49,3.52,3.45,3.5
1094,2025-08-11,3.47,3.49,3.45,3.49
1093,2025-08-08,3.51,3.51,3.43,3.44
1092,2025-08-07,3.48,3.53,3.42,3.51
1091,2025-08-06,3.39,3.49,3.39,3.49
1090,2025-08-05,3.5,3.52,3.46,3.48
1089,2025-08-04,3.55,3.55,3.5,3.5
1088,2025-08-01,3.58,3.6,3.5,3.55
1087,2025-07-31,3.48,3.54,3.45,3.54
1086,2025-07-30,3.38,3.44,3.37,3.44
1085,2025-07-29,3.47,3.47,3.37,3.37
1084,2025-07-28,3.42,3.45,3.42,3.44
1083,2025-07-25,3.43,3.46,3.4,3.42
1082,2025-07-24,3.45,3.48,3.39,3.43
1081,2025-07-23,3.39,3.46,3.39,3.41
1080,2025-07-22,3.39,3.4,3.35,3.39
1079,2025-07-21,3.4,3.43,3.33,3.4
1078,2025-07-18,3.36,3.43,3.36,3.4
1077,2025-07-17,3.35,3.38,3.32,3.36
1076,2025-07-16,3.3,3.3,3.26,3.3
1075,2025-07-15,3.33,3.33,3.25,3.27
1074,2025-07-14,3.38,3.41,3.16,3.26
1073,2025-07-11,3.5,3.5,3.33,3.38
1072,2025-07-10,3.14,3.33,3.14,3.33
1071,2025-07-09,3.1,3.14,3.09,3.12
1070,2025-07-08,3.1,3.13,3.07,3.09
1069,2025-07-07,3.09,3.09,3.05,3.08
1068,2025-07-04,3.07,3.08,3.05,3.08
1067,2025-07-03,3.06,3.09,3.06,3.06
1066,2025-07-02,3.06,3.09,3.05,3.08
1065,2025-07-01,3.13,3.13,3.06,3.07
1064,2025-06-30,3.08,3.08,3.04,3.08
1063,2025-06-27,3.07,3.08,3.07,3.08
1062,2025-06-26,3.08,3.08,3.06,3.06
1061,2025-06-25,3.08,3.08,3.04,3.06
1060,2025-06-24,3.06,3.1,2.99,3.08
1059,2025-06-23,3.07,3.08,3.01,3.07
1058,2025-06-20,3.09,3.09,3.05,3.08
1057,2025-06-19,3.09,3.1,3.05,3.08
1056,2025-06-18,3.09,3.09,3.03,3.04
1055,2025-06-17,3.1,3.11,3.05,3.1
1054,2025-06-16,3.12,3.14,3.05,3.1
1053,2025-06-13,3.14,3.14,3.0,3.1
1052,2025-06-12,3.17,3.17,3.11,3.14
1051,2025-06-11,3.14,3.15,3.09,3.14
1050,2025-06-10,3.14,3.14,3.12,3.14
1049,2025-06-09,3.15,3.18,3.14,3.14
1048,2025-06-06,3.16,3.16,3.1,3.14
1047,2025-06-05,3.15,3.15,3.06,3.15
1046,2025-06-04,3.14,3.17,3.12,3.12
1045,2025-06-03,3.16,3.16,3.07,3.14
1044,2025-06-02,3.18,3.18,3.1,3.13
1043,2025-05-30,3.15,3.17,3.13,3.15
1042,2025-05-29,3.05,3.15,3.05,3.1
1041,2025-05-28,3.02,3.15,3.0,3.03
1040,2025-05-27,3.0,3.08,2.98,3.01
1039,2025-05-26,2.92,2.98,2.89,2.98
1038,2025-05-23,2.95,2.96,2.91,2.96
1037,2025-05-22,2.96,2.96,2.9,2.95
1036,2025-05-21,2.96,2.99,2.9,2.97
1035,2025-05-20,3.0,3.01,2.93,2.99
1034,2025-05-19,2.95,3.03,2.95,2.98
1033,2025-05-16,2.93,2.96,2.93,2.93
1032,2025-05-15,2.95,2.96,2.9,2.93
1031,2025-05-14,2.97,2.97,2.91,2.92
1030,2025-05-13,2.99,3.0,2.9,2.97
1029,2025-05-12,2.96,2.99,2.93,2.99
1028,2025-05-09,2.88,2.99,2.88,2.99
1027,2025-05-08,2.99,2.99,2.9,2.98
1026,2025-05-07,2.96,2.99,2.9,2.99
1025,2025-05-06,3.09,3.09,2.98,3.0
1024,2025-05-05,2.93,3.02,2.93,2.99
1023,2025-04-29,2.9,2.93,2.84,2.93
1022,2025-04-28,2.94,2.94,2.75,2.93
1021,2025-04-25,2.94,2.94,2.8,2.94
1020,2025-04-24,2.9,2.95,2.75,2.92
1019,2025-04-23,2.89,2.99,2.88,2.92
1018,2025-04-22,2.9,2.9,2.71,2.89
1017,2025-04-21,2.97,2.97,2.8,2.9
1016,2025-04-18,2.98,2.98,2.92,2.97
1015,2025-04-17,2.99,2.99,2.79,2.97
1014,2025-04-16,2.96,3.01,2.8,2.99
1013,2025-04-15,3.03,3.03,2.94,3.01
1012,2025-04-14,3.0,3.14,2.99,3.03
1011,2025-04-11,3.09,3.09,2.92,2.99
1010,2025-04-10,2.92,2.92,2.92,2.92
1009,2025-04-09,2.5,2.78,2.42,2.73
1008,2025-04-08,2.79,2.79,2.6,2.6
1007,2025-04-04,2.79,2.9,2.79,2.79
1006,2025-04-03,3.2,3.2,3.0,3.0
1005,2025-04-02,3.22,3.22,3.19,3.22
1004,2025-04-01,3.23,3.23,3.19,3.22
1003,2025-03-31,3.24,3.24,3.2,3.23
1002,2025-03-28,3.19,3.24,3.19,3.24
1001,2025-03-27,3.2,3.26,3.19,3.24
1000,2025-03-26,3.25,3.36,3.2,3.26
999,2025-03-25,3.24,3.25,3.2,3.25
998,2025-03-24,3.3,3.3,3.2,3.24
997,2025-03-21,3.27,3.27,3.16,3.27
996,2025-03-20,3.22,3.28,3.2,3.27
995,2025-03-19,3.29,3.29,3.18,3.29
994,2025-03-18,3.2,3.29,3.17,3.29
993,2025-03-17,3.1,3.28,3.04,3.2
992,2025-03-14,3.2,3.25,3.17,3.25
991,2025-03-13,3.28,3.28,3.19,3.2
990,2025-03-12,3.2,3.24,3.2,3.21
989,2025-03-11,3.15,3.23,3.15,3.23
988,2025-03-10,3.27,3.3,3.2,3.24
987,2025-03-07,3.49,3.49,3.05,3.26
986,2025-03-06,3.29,3.33,3.27,3.27
985,2025-03-05,3.3,3.32,3.29,3.29
984,2025-03-04,3.33,3.34,3.3,3.32
983,2025-03-03,3.53,3.53,3.3,3.34
982,2025-02-28,3.35,3.4,3.3,3.3
981,2025-02-27,3.35,3.41,3.32,3.34
980,2025-02-26,3.58,3.58,3.34,3.35
979,2025-02-25,3.33,3.35,3.32,3.35
978,2025-02-24,3.34,3.35,3.32,3.34
977,2025-02-21,3.3,3.35,3.3,3.34
976,2025-02-20,3.38,3.39,3.35,3.35
975,2025-02-19,3.39,3.49,3.16,3.38
974,2025-02-18,3.37,3.39,3.36,3.39
973,2025-02-17,3.4,3.4,3.37,3.37
972,2025-02-14,3.3,3.4,3.3,3.4
971,2025-02-13,3.3,3.42,3.26,3.37
970,2025-02-12,3.38,3.38,3.3,3.3
969,2025-02-11,3.42,3.42,3.34,3.38
968,2025-02-10,3.41,3.41,3.37,3.39
967,2025-02-07,3.4,3.41,3.37,3.41
966,2025-02-06,3.42,3.51,3.36,3.42
965,2025-02-05,3.43,3.43,3.34,3.42
964,2025-02-04,3.43,3.43,3.38,3.43
963,2025-02-03,3.4,3.45,3.35,3.43
962,2025-01-24,3.43,3.47,3.4,3.4
961,2025-01-23,3.41,3.48,3.4,3.43
960,2025-01-22,3.5,3.5,3.4,3.41
959,2025-01-21,3.48,3.55,3.47,3.5
958,2025-01-20,3.5,3.51,3.47,3.5
957,2025-01-17,3.47,3.51,3.45,3.51
956,2025-01-16,3.48,3.69,3.45,3.5
955,2025-01-15,3.49,3.5,3.45,3.5
954,2025-01-14,3.4,3.55,3.4,3.48
953,2025-01-13,3.44,3.48,3.3,3.48
952,2025-01-10,3.42,3.48,3.42,3.48
951,2025-01-09,3.3,3.5,3.3,3.49
950,2025-01-08,3.24,3.48,3.24,3.48
949,2025-01-07,3.54,3.55,3.44,3.48
948,2025-01-06,3.45,3.55,3.42,3.53
947,2025-01-03,3.55,3.55,3.45,3.54
946,2025-01-02,3.48,3.55,3.48,3.55
945,2024-12-31,3.45,3.49,3.43,3.48
944,2024-12-30,3.4,3.51,3.4,3.45
943,2024-12-27,3.49,3.52,3.47,3.49
942,2024-12-26,3.49,3.5,3.46,3.48
941,2024-12-25,3.42,3.5,3.42,3.49
940,2024-12-24,3.42,3.42,3.38,3.42
939,2024-12-23,3.38,3.5,3.17,3.4
938,2024-12-20,3.39,3.62,3.39,3.4
937,2024-12-19,3.4,3.4,3.37,3.39
936,2024-12-18,3.38,3.49,3.37,3.42
