,Date,Open,High,Low,Close,Volume
1146,2025-10-24,3.59,3.59,3.37,3.59,45200
1145,2025-10-23,3.47,3.49,3.44,3.49,46800
1144,2025-10-22,3.51,3.51,3.4,3.47,41700
1143,2025-10-21,3.41,3.55,3.37,3.5,78400
1142,2025-10-20,3.65,3.7,3.41,3.41,52900
1141,2025-10-17,3.69,3.7,3.66,3.66,13000
1140,2025-10-16,3.79,3.79,3.66,3.7,23900
1139,2025-10-15,3.7,3.74,3.66,3.66,45700
1138,2025-10-14,3.76,3.76,3.66,3.7,55000
1137,2025-10-13,3.8,3.8,3.72,3.76,34300
1136,2025-10-10,3.79,3.86,3.71,3.86,76600
1135,2025-10-09,3.79,3.79,3.7,3.78,37800
1134,2025-10-08,3.93,3.93,3.76,3.79,38600
1133,2025-10-07,3.8,3.8,3.75,3.75,23500
1132,2025-10-06,3.79,3.83,3.78,3.79,28900
1131,2025-10-03,3.8,3.83,3.6,3.79,36600
1130,2025-10-02,3.84,3.84,3.71,3.8,32400
1129,2025-10-01,3.79,3.85,3.79,3.84,43800
1128,2025-09-30,3.78,3.79,3.72,3.79,28300
1127,2025-09-29,3.81,3.81,3.7,3.79,26200
1126,2025-09-26,3.86,3.86,3.77,3.86,58200
1125,2025-09-25,3.85,3.86,3.72,3.86,94500
1124,2025-09-24,3.82,3.88,3.79,3.85,15600
1123,2025-09-23,3.86,3.86,3.82,3.83,11700
1122,2025-09-22,3.83,3.88,3.69,3.86,119900
1121,2025-09-19,3.89,3.89,3.8,3.83,63100
1120,2025-09-18,3.9,3.9,3.81,3.9,64600
1119,2025-09-17,3.86,3.91,3.74,3.9,65400
1118,2025-09-16,3.94,3.94,3.83,3.86,54000
1117,2025-09-15,3.99,3.99,3.82,3.94,143900
1116,2025-09-12,3.8,3.95,3.78,3.95,174200
1115,2025-09-11,3.5,3.8,3.5,3.8,141300
1114,2025-09-10,3.6,3.69,3.6,3.66,81200
1113,2025-09-09,3.65,3.65,3.58,3.64,111000
1112,2025-09-08,3.71,3.71,3.57,3.64,78400
1111,2025-09-05,3.57,3.77,3.53,3.7,406000
1110,2025-09-04,3.55,3.55,3.49,3.53,55400
1109,2025-09-03,3.58,3.58,3.46,3.55,43200
1108,2025-08-29,3.46,3.59,3.43,3.58,158100
1107,2025-08-28,3.45,3.47,3.41,3.46,92300
1106,2025-08-27,3.4,3.45,3.36,3.45,59100
1105,2025-08-26,3.36,3.4,3.35,3.4,22400
1104,2025-08-25,3.44,3.44,3.32,3.37,82400
1103,2025-08-22,3.41,3.42,3.3,3.37,144000
1102,2025-08-21,3.47,3.47,3.35,3.43,91000
1101,2025-08-20,3.42,3.48,3.34,3.48,74300
1100,2025-08-19,3.4,3.44,3.19,3.42,151000
1099,2025-08-18,3.36,3.4,3.36,3.4,138500
1098,2025-08-15,3.47,3.51,3.36,3.36,255200
1097,2025-08-14,3.47,3.49,3.44,3.47,140200
1096,2025-08-13,3.5,3.5,3.44,3.47,89300
1095,2025-08-12,3.49,3.52,3.45,3.5,52500
1094,2025-08-11,3.47,3.49,3.45,3.49,92300
1093,2025-08-08,3.51,3.51,3.43,3.44,133800
1092,2025-08-07,3.48,3.53,3.42,3.51,339500
1091,2025-08-06,3.39,3.49,3.39,3.49,85500
1090,2025-08-05,3.5,3.52,3.46,3.48,162400
1089,2025-08-04,3.55,3.55,3.5,3.5,73600
1088,2025-08-01,3.58,3.6,3.5,3.55,138300
1087,2025-07-31,3.48,3.54,3.45,3.54,260800
1086,2025-07-30,3.38,3.44,3.37,3.44,113100
1085,2025-07-29,3.47,3.47,3.37,3.37,216900
