,Date,Open,High,Low,Close
1197,2025-10-17,12.9,13.8,12.8,13.3
1196,2025-10-16,12.8,12.9,12.7,12.9
1195,2025-10-15,12.7,12.8,12.6,12.8
1194,2025-10-14,12.8,12.9,12.6,12.7
1193,2025-10-13,12.7,12.8,12.5,12.8
1192,2025-10-10,12.6,12.9,12.6,12.8
1191,2025-10-09,12.7,12.8,12.5,12.7
1190,2025-10-08,12.8,13.0,12.5,12.7
1189,2025-10-07,12.8,12.9,12.5,12.7
1188,2025-10-06,12.4,12.8,12.3,12.7
1187,2025-10-03,12.5,12.5,12.3,12.4
1186,2025-10-02,12.4,12.7,12.3,12.5
1185,2025-10-01,12.2,12.5,12.2,12.4
1184,2025-09-30,12.3,12.4,12.1,12.3
1183,2025-09-29,12.3,12.3,12.1,12.3
1182,2025-09-26,12.3,12.5,12.2,12.2
1181,2025-09-25,12.2,12.5,12.2,12.3
1180,2025-09-24,12.1,12.4,12.1,12.4
1179,2025-09-23,12.1,12.2,12.0,12.2
1178,2025-09-22,12.3,12.5,11.9,12.0
1177,2025-09-19,12.4,12.5,12.2,12.4
1176,2025-09-18,12.6,12.8,12.3,12.4
1175,2025-09-17,12.4,12.9,12.3,12.6
1174,2025-09-16,12.1,12.4,12.1,12.4
1173,2025-09-15,12.2,12.2,12.0,12.1
1172,2025-09-12,11.9,12.2,11.9,12.2
1171,2025-09-11,12.3,12.3,11.5,12.0
1170,2025-09-10,12.4,12.4,12.1,12.3
1169,2025-09-09,12.3,12.4,12.1,12.4
1168,2025-09-08,12.8,12.9,12.0,12.3
1167,2025-09-05,12.8,13.3,12.6,12.7
1166,2025-09-04,12.7,12.9,12.6,12.9
1165,2025-09-03,12.8,12.9,12.5,12.7
1164,2025-08-29,12.5,12.8,12.5,12.6
1163,2025-08-28,12.6,12.7,12.3,12.6
1162,2025-08-27,12.7,13.0,12.4,12.6
1161,2025-08-26,12.1,12.7,12.0,12.6
1160,2025-08-25,13.3,13.4,11.8,12.1
1159,2025-08-22,14.0,14.0,12.8,13.1
1158,2025-08-21,13.6,14.3,13.5,13.9
1157,2025-08-20,13.0,14.0,12.9,13.5
1156,2025-08-19,13.0,13.2,12.8,13.0
1155,2025-08-18,13.2,13.3,12.8,13.0
1154,2025-08-15,13.7,13.8,13.0,13.2
1153,2025-08-14,13.8,13.8,13.2,13.7
1152,2025-08-13,13.0,13.8,13.0,13.4
1151,2025-08-12,13.0,13.2,12.8,13.0
1150,2025-08-11,12.9,13.1,12.6,13.0
1149,2025-08-08,12.7,13.4,12.7,12.9
1148,2025-08-07,12.7,12.9,12.4,12.7
1147,2025-08-06,12.9,13.0,12.4,12.8
1146,2025-08-05,13.0,13.4,12.1,12.7
1145,2025-08-04,13.1,13.1,12.6,13.0
1144,2025-08-01,13.2,13.9,12.8,13.0
1143,2025-07-31,12.5,13.1,12.1,13.1
1142,2025-07-30,10.7,12.0,10.7,12.0
1141,2025-07-29,11.5,11.9,10.6,10.8
1140,2025-07-28,10.2,11.5,10.2,11.4
1139,2025-07-25,10.0,10.3,10.0,10.2
1138,2025-07-24,9.9,10.2,9.8,10.0
1137,2025-07-23,9.1,10.2,9.0,9.9
1136,2025-07-22,9.0,9.1,8.8,9.1
1135,2025-07-21,9.1,9.2,8.9,9.0
1134,2025-07-18,9.1,9.2,9.0,9.1
1133,2025-07-17,8.9,9.2,8.9,9.1
1132,2025-07-16,9.0,9.0,8.8,9.0
1131,2025-07-15,9.0,9.1,8.9,9.0
1130,2025-07-14,8.9,9.0,8.7,9.0
1129,2025-07-11,8.8,8.9,8.7,8.9
1128,2025-07-10,8.9,9.0,8.7,8.8
1127,2025-07-09,8.6,9.0,8.5,8.9
1126,2025-07-08,8.5,8.7,8.3,8.6
1125,2025-07-07,8.7,8.7,8.3,8.5
1124,2025-07-04,8.3,8.4,8.2,8.4
1123,2025-07-03,8.3,8.4,8.2,8.3
1122,2025-07-02,8.3,8.4,8.2,8.4
1121,2025-07-01,8.3,8.4,8.2,8.4
1120,2025-06-30,8.4,8.5,8.3,8.4
1119,2025-06-27,8.3,8.5,8.3,8.4
1118,2025-06-26,8.4,8.4,8.2,8.3
1117,2025-06-25,8.4,8.5,8.2,8.4
1116,2025-06-24,8.3,8.4,8.3,8.4
1115,2025-06-23,8.4,8.5,8.2,8.4
1114,2025-06-20,8.3,8.5,8.2,8.5
1113,2025-06-19,8.4,8.5,8.2,8.4
1112,2025-06-18,8.5,8.5,8.3,8.4
1111,2025-06-17,8.4,8.7,8.3,8.5
1110,2025-06-16,8.2,8.4,8.1,8.4
1109,2025-06-13,8.3,8.4,8.1,8.2
1108,2025-06-12,8.3,8.5,8.2,8.4
1107,2025-06-11,8.0,8.5,8.0,8.3
1106,2025-06-10,7.9,8.1,7.8,8.0
1105,2025-06-09,8.0,8.0,7.8,7.9
1104,2025-06-06,8.1,8.1,7.9,8.0
1103,2025-06-05,8.1,8.2,8.0,8.1
1102,2025-06-04,8.1,8.3,8.0,8.1
1101,2025-06-03,8.1,8.2,7.9,8.1
1100,2025-06-02,8.0,8.1,7.8,8.1
1099,2025-05-30,8.1,8.2,7.9,8.0
1098,2025-05-29,8.1,8.3,8.0,8.1
1097,2025-05-28,8.0,8.3,7.9,8.2
1096,2025-05-27,7.6,8.1,7.6,8.0
1095,2025-05-26,7.6,7.7,7.4,7.7
1094,2025-05-23,7.6,7.6,7.5,7.6
1093,2025-05-22,7.7,7.7,7.5,7.6
1092,2025-05-21,7.6,7.8,7.5,7.7
1091,2025-05-20,7.6,7.7,7.5,7.6
1090,2025-05-19,7.6,7.7,7.5,7.6
1089,2025-05-16,7.7,7.8,7.5,7.7
1088,2025-05-15,7.6,7.8,7.5,7.8
1087,2025-05-14,7.4,7.6,7.4,7.6
1086,2025-05-13,7.4,7.5,7.4,7.5
1085,2025-05-12,7.5,7.5,7.3,7.5
1084,2025-05-09,7.4,7.5,7.3,7.5
1083,2025-05-08,7.4,7.5,7.3,7.5
1082,2025-05-07,7.5,7.5,7.3,7.4
1081,2025-05-06,7.5,7.5,7.3,7.5
1080,2025-05-05,7.4,7.5,7.3,7.5
1079,2025-04-29,7.3,7.4,7.2,7.4
1078,2025-04-28,7.3,7.4,7.2,7.3
1077,2025-04-25,7.3,7.4,7.2,7.4
1076,2025-04-24,7.3,7.4,7.2,7.3
1075,2025-04-23,7.2,7.4,7.2,7.3
1074,2025-04-22,7.4,7.4,6.8,7.1
1073,2025-04-21,7.5,7.6,7.3,7.4
1072,2025-04-18,7.3,7.5,7.3,7.5
1071,2025-04-17,7.2,7.3,7.1,7.3
1070,2025-04-16,7.2,7.3,7.1,7.3
1069,2025-04-15,7.4,7.4,7.2,7.2
1068,2025-04-14,7.6,7.6,7.2,7.3
1067,2025-04-11,7.7,7.9,7.3,7.5
1066,2025-04-10,7.0,7.7,7.0,7.7
1065,2025-04-09,6.1,6.9,6.1,6.7
1064,2025-04-08,7.1,7.3,6.5,6.8
1063,2025-04-04,7.4,7.4,6.8,7.2
1062,2025-04-03,8.0,8.0,7.1,7.4
1061,2025-04-02,7.9,8.1,7.9,8.1
1060,2025-04-01,7.9,7.9,7.8,7.9
1059,2025-03-31,7.8,7.9,7.7,7.8
1058,2025-03-28,7.9,7.9,7.7,7.9
1057,2025-03-27,7.9,8.0,7.8,7.9
1056,2025-03-26,8.1,8.1,7.8,7.9
1055,2025-03-25,8.1,8.2,7.9,8.1
1054,2025-03-24,8.3,8.3,7.9,8.0
1053,2025-03-21,8.8,8.8,7.9,8.2
1052,2025-03-20,8.3,8.4,7.8,8.0
1051,2025-03-19,9.9,9.9,8.1,8.3
1050,2025-03-18,9.5,9.5,8.3,8.6
1049,2025-03-17,8.1,8.4,8.1,8.4
1048,2025-03-14,7.9,8.2,7.9,8.2
1047,2025-03-13,8.0,8.0,7.8,8.0
1046,2025-03-12,8.2,8.3,7.9,8.0
1045,2025-03-11,8.0,8.2,8.0,8.2
1044,2025-03-10,7.9,8.4,7.9,8.2
1043,2025-03-07,7.6,8.1,7.6,7.9
1042,2025-03-06,7.6,7.7,7.5,7.7
1041,2025-03-05,7.5,7.7,7.5,7.6
1040,2025-03-04,7.6,7.6,7.4,7.6
1039,2025-03-03,7.6,7.6,7.5,7.6
1038,2025-02-28,7.7,7.7,7.5,7.6
1037,2025-02-27,7.7,7.8,7.6,7.7
1036,2025-02-26,7.8,7.9,7.6,7.7
1035,2025-02-25,7.8,7.9,7.7,7.8
1034,2025-02-24,7.9,7.9,7.7,7.8
1033,2025-02-21,7.8,8.0,7.7,7.9
1032,2025-02-20,7.7,7.9,7.6,7.8
1031,2025-02-19,7.8,7.8,7.5,7.7
1030,2025-02-18,7.9,7.9,7.7,7.8
1029,2025-02-17,7.8,8.0,7.6,7.9
1028,2025-02-14,7.2,7.7,7.2,7.7
1027,2025-02-13,7.4,7.4,7.2,7.4
1026,2025-02-12,7.4,7.5,7.3,7.4
1025,2025-02-11,7.3,7.5,7.3,7.5
1024,2025-02-10,7.5,7.5,7.3,7.4
1023,2025-02-07,7.4,7.5,7.3,7.5
1022,2025-02-06,7.3,7.4,7.2,7.4
1021,2025-02-05,7.4,7.4,7.3,7.4
1020,2025-02-04,7.3,7.4,7.2,7.4
1019,2025-02-03,7.2,7.3,7.1,7.3
1018,2025-01-24,7.1,7.2,7.1,7.1
1017,2025-01-23,7.1,7.2,7.1,7.1
1016,2025-01-22,7.1,7.2,7.0,7.1
1015,2025-01-21,7.1,7.2,7.1,7.1
1014,2025-01-20,7.2,7.2,7.0,7.1
1013,2025-01-17,7.2,7.2,7.0,7.2
1012,2025-01-16,7.2,7.2,7.1,7.2
1011,2025-01-15,7.1,7.2,7.0,7.2
1010,2025-01-14,7.1,7.1,7.1,7.1
1009,2025-01-13,7.2,7.2,7.1,7.1
1008,2025-01-10,7.1,7.2,7.1,7.2
1007,2025-01-09,7.2,7.3,7.1,7.1
1006,2025-01-08,7.2,7.3,7.1,7.2
1005,2025-01-07,7.3,7.3,7.1,7.2
1004,2025-01-06,7.3,7.3,7.2,7.3
1003,2025-01-03,7.4,7.4,7.2,7.3
1002,2025-01-02,7.4,7.4,7.2,7.4
1001,2024-12-31,7.3,7.4,7.2,7.4
1000,2024-12-30,7.3,7.4,7.2,7.4
999,2024-12-27,7.4,7.4,7.3,7.4
998,2024-12-26,7.4,7.5,7.3,7.4
997,2024-12-25,7.2,7.5,7.2,7.5
996,2024-12-24,7.2,7.3,7.2,7.3
995,2024-12-23,7.2,7.3,7.2,7.3
994,2024-12-20,7.2,7.2,7.1,7.2
993,2024-12-19,7.3,7.3,7.1,7.2
992,2024-12-18,7.2,7.3,7.2,7.3
991,2024-12-17,7.3,7.3,7.2,7.3
990,2024-12-16,7.3,7.3,7.2,7.3
989,2024-12-13,7.3,7.3,7.2,7.3
988,2024-12-12,7.3,7.4,7.2,7.3
987,2024-12-11,7.4,7.4,7.3,7.4
986,2024-12-10,7.4,7.4,7.3,7.4
985,2024-12-09,7.3,7.4,7.3,7.4
984,2024-12-06,7.4,7.4,7.2,7.3
983,2024-12-05,7.3,7.4,7.2,7.3
982,2024-12-04,7.3,7.3,7.2,7.3
981,2024-12-03,7.3,7.4,7.2,7.3
980,2024-12-02,7.3,7.4,7.2,7.4
979,2024-11-29,7.3,7.4,7.2,7.3
978,2024-11-28,7.3,7.4,7.2,7.3
977,2024-11-27,7.4,7.4,7.2,7.3
976,2024-11-26,7.4,7.4,7.3,7.4
975,2024-11-25,7.3,7.4,7.3,7.3
974,2024-11-22,7.4,7.4,7.3,7.4
973,2024-11-21,7.3,7.5,7.3,7.4
972,2024-11-20,7.4,7.5,7.3,7.5
971,2024-11-19,7.4,7.5,7.3,7.4
970,2024-11-18,7.4,7.5,7.3,7.4
969,2024-11-15,7.4,7.5,7.4,7.4
968,2024-11-14,7.5,7.6,7.4,7.4
967,2024-11-13,7.5,7.6,7.4,7.5
966,2024-11-12,7.6,7.6,7.5,7.6
965,2024-11-11,7.5,7.6,7.5,7.5
964,2024-11-08,7.6,7.7,7.5,7.6
963,2024-11-07,7.7,7.7,7.6,7.6
962,2024-11-06,7.5,7.7,7.5,7.6
961,2024-11-05,7.6,7.6,7.5,7.6
960,2024-11-04,7.6,7.6,7.5,7.5
959,2024-11-01,7.7,7.7,7.5,7.6
958,2024-10-31,7.7,7.8,7.6,7.7
957,2024-10-30,7.7,7.8,7.6,7.7
956,2024-10-29,7.7,7.8,7.7,7.7
955,2024-10-28,7.8,7.8,7.7,7.7
954,2024-10-25,7.7,7.8,7.6,7.8
953,2024-10-24,7.7,7.8,7.6,7.8
952,2024-10-23,7.6,7.7,7.6,7.7
951,2024-10-22,7.7,7.8,7.6,7.8
950,2024-10-21,7.8,7.8,7.6,7.8
949,2024-10-18,7.8,7.9,7.8,7.9
948,2024-10-17,7.8,7.9,7.7,7.9
947,2024-10-16,7.8,7.9,7.7,7.8
946,2024-10-15,7.8,7.9,7.7,7.8
945,2024-10-14,7.9,7.9,7.7,7.8
944,2024-10-11,7.9,7.9,7.8,7.9
943,2024-10-10,7.8,7.9,7.8,7.9
942,2024-10-09,7.9,7.9,7.7,7.8
941,2024-10-08,7.9,8.0,7.8,7.9
940,2024-10-07,8.0,8.0,7.7,7.9
939,2024-10-04,8.1,8.1,7.8,8.0
938,2024-10-03,8.0,8.2,7.9,8.0
937,2024-10-02,8.0,8.0,7.8,8.0
936,2024-10-01,8.1,8.1,7.9,8.0
935,2024-09-30,8.0,8.1,7.9,8.1
934,2024-09-27,7.9,8.3,7.9,8.1
933,2024-09-26,7.7,7.9,7.7,7.9
932,2024-09-25,7.7,7.8,7.6,7.8
931,2024-09-24,7.3,7.7,7.3,7.7
930,2024-09-23,7.7,7.7,7.6,7.7
929,2024-09-20,7.6,7.8,7.6,7.7
928,2024-09-19,7.7,7.7,7.6,7.7
927,2024-09-18,7.7,7.7,7.6,7.7
926,2024-09-17,7.6,7.7,7.5,7.7
925,2024-09-16,7.6,7.7,7.5,7.6
924,2024-09-13,7.7,7.7,7.5,7.6
923,2024-09-12,7.7,7.7,7.6,7.7
922,2024-09-11,7.6,7.7,7.5,7.6
921,2024-09-10,7.6,7.7,7.5,7.6
920,2024-09-09,7.8,7.8,7.5,7.7
919,2024-09-06,7.8,7.8,7.6,7.8
918,2024-09-05,7.7,7.8,7.7,7.8
917,2024-09-04,7.9,7.9,7.7,7.8
916,2024-08-30,7.8,7.9,7.7,7.9
915,2024-08-29,7.7,7.9,7.7,7.8
914,2024-08-28,7.8,7.9,7.7,7.9
913,2024-08-27,7.8,7.9,7.7,7.9
912,2024-08-26,7.9,7.9,7.7,7.9
911,2024-08-23,7.8,7.9,7.7,7.8
