,Date,Open,High,Low,Close
272,2023-09-21,9.0,9.1,9.0,9.1
271,2023-09-20,10.0,10.0,9.1,9.1
270,2023-09-19,10.6,10.6,10.6,10.6
269,2023-09-14,10.6,10.6,10.6,10.6
268,2023-09-12,12.4,12.4,12.3,12.3
267,2023-09-11,14.37,14.37,14.37,14.37
266,2023-09-08,16.83,16.83,16.83,16.83
265,2023-09-07,16.83,16.83,16.83,16.83
264,2023-09-06,16.83,16.83,16.83,16.83
263,2023-09-05,16.83,16.83,16.83,16.83
262,2023-08-31,16.83,16.83,16.83,16.83
261,2023-08-30,14.66,14.66,14.66,14.66
260,2023-08-29,14.66,14.66,14.66,14.66
259,2023-08-28,14.66,14.66,14.66,14.66
258,2023-08-25,14.66,14.66,14.66,14.66
257,2023-08-24,14.66,14.66,14.66,14.66
256,2023-08-23,14.66,14.66,14.66,14.66
255,2023-08-22,14.66,14.66,14.66,14.66
254,2023-08-21,14.66,14.66,14.66,14.66
253,2023-08-18,14.66,14.66,14.66,14.66
252,2023-08-17,14.66,14.66,14.66,14.66
251,2023-08-16,14.66,14.66,14.66,14.66
250,2023-08-15,14.66,14.66,14.66,14.66
249,2023-08-14,12.69,16.63,12.69,16.63
248,2023-08-11,14.86,14.86,14.86,14.86
247,2023-08-10,13.29,13.29,13.29,13.29
246,2023-08-09,13.29,13.29,13.29,13.29
245,2023-08-08,13.29,13.29,13.29,13.29
244,2023-08-07,13.29,13.29,13.29,13.29
243,2023-08-04,13.29,13.29,13.29,13.29
242,2023-08-03,13.29,13.29,13.29,13.29
241,2023-08-02,13.29,13.29,13.29,13.29
240,2023-08-01,13.29,13.29,13.29,13.29
239,2023-07-31,13.29,13.29,13.29,13.29
238,2023-07-28,13.29,13.29,13.29,13.29
237,2023-07-27,13.29,13.29,13.29,13.29
236,2023-07-26,13.29,13.29,13.29,13.29
235,2023-07-25,13.29,13.29,13.29,13.29
234,2023-07-24,15.55,15.55,15.55,15.55
233,2023-07-21,15.55,15.55,15.55,15.55
232,2023-07-20,15.55,15.55,15.55,15.55
231,2023-07-19,15.55,15.55,15.55,15.55
230,2023-07-18,15.55,15.55,15.55,15.55
229,2023-07-17,15.55,15.55,15.55,15.55
228,2023-07-14,15.55,15.55,15.55,15.55
227,2023-07-13,15.55,15.55,15.45,15.45
226,2023-07-12,13.58,13.58,13.58,13.58
225,2023-07-11,13.58,13.58,13.58,13.58
224,2023-07-10,11.81,11.81,11.81,11.81
223,2023-07-07,11.81,11.81,11.81,11.81
222,2023-07-06,11.81,11.81,11.81,11.81
221,2023-07-05,11.81,11.81,11.81,11.81
220,2023-07-04,11.81,11.81,11.81,11.81
219,2023-07-03,11.81,11.81,11.81,11.81
218,2023-06-30,11.81,11.81,11.81,11.81
