,Date,Open,High,Low,Close
5597,2025-10-17,2.4,2.4,2.1,2.2
5596,2025-10-10,2.2,2.2,2.2,2.2
5595,2025-10-03,2.2,2.2,2.2,2.2
5594,2025-09-26,2.2,2.5,2.2,2.3
5593,2025-09-19,2.4,2.5,2.2,2.2
5592,2025-09-12,2.3,2.3,2.2,2.2
5591,2025-09-05,2.4,2.4,2.2,2.2
5590,2025-08-29,2.4,2.4,2.1,2.2
5589,2025-08-22,2.2,2.4,2.1,2.2
5588,2025-08-15,2.2,2.4,2.1,2.2
5587,2025-08-08,2.5,2.5,2.3,2.4
5586,2025-08-01,2.3,2.5,2.2,2.5
5585,2025-07-25,2.0,2.4,2.0,2.2
5584,2025-07-18,2.2,2.2,2.0,2.1
5583,2025-07-04,2.3,2.3,2.3,2.3
5582,2025-06-27,2.1,2.3,2.1,2.3
5581,2025-06-20,2.2,2.2,2.1,2.1
5580,2025-06-13,2.2,2.3,2.2,2.3
5579,2025-06-06,2.1,2.1,2.1,2.1
5578,2025-05-30,2.1,2.2,2.1,2.2
5577,2025-05-23,2.1,2.4,2.1,2.4
5576,2025-05-16,2.2,2.3,2.1,2.3
5575,2025-05-09,2.1,2.1,1.9,2.1
5574,2025-04-25,2.1,2.1,2.1,2.1
5573,2025-04-18,1.9,1.9,1.9,1.9
5572,2025-04-11,1.8,1.9,1.8,1.9
5571,2025-04-04,1.8,1.8,1.8,1.8
5570,2025-03-28,2.0,2.0,2.0,2.0
5569,2025-03-21,2.1,2.1,2.1,2.1
5568,2025-03-14,2.1,2.1,2.1,2.1
5567,2025-03-07,2.4,2.4,2.2,2.2
5566,2025-02-28,2.0,2.2,2.0,2.2
5565,2025-02-21,2.1,2.4,2.1,2.1
5564,2025-02-14,2.4,2.4,2.3,2.3
5563,2025-02-07,2.5,2.5,2.4,2.4
5562,2025-01-24,2.8,2.8,2.6,2.6
5561,2025-01-10,3.0,3.0,3.0,3.0
5560,2024-12-27,3.0,3.0,3.0,3.0
5559,2024-12-20,2.8,2.8,2.8,2.8
5558,2024-12-13,2.4,2.6,2.4,2.6
5557,2024-12-06,2.2,2.3,2.2,2.3
5556,2024-11-29,2.2,2.3,2.2,2.2
5555,2024-11-22,2.4,2.5,2.4,2.5
5554,2024-11-08,2.6,2.6,2.6,2.6
5553,2024-11-01,2.6,2.6,2.5,2.6
5552,2024-10-18,2.9,2.9,2.9,2.9
5551,2024-10-04,2.6,2.8,2.5,2.8
5550,2024-09-20,2.5,2.5,2.5,2.5
5549,2024-09-13,2.6,2.6,2.5,2.5
5548,2024-09-06,2.7,2.7,2.7,2.7
5547,2024-08-30,2.6,2.8,2.5,2.8
5546,2024-08-23,3.0,3.0,2.7,2.7
5545,2024-08-16,3.0,3.0,3.0,3.0
5544,2024-08-09,2.8,2.8,2.8,2.8
5543,2024-08-02,2.8,2.8,2.8,2.8
5542,2024-07-25,2.9,2.9,2.9,2.9
5541,2024-07-24,2.9,2.9,2.9,2.9
5540,2024-07-23,2.9,2.9,2.9,2.9
5539,2024-07-22,2.9,2.9,2.9,2.9
5538,2024-07-19,2.9,3.0,2.9,2.9
5537,2024-07-18,3.0,3.0,3.0,3.0
5536,2024-07-17,3.0,3.0,3.0,3.0
5535,2024-07-16,3.0,3.0,3.0,3.0
5534,2024-07-15,3.0,3.0,3.0,3.0
5533,2024-07-12,3.0,3.0,2.9,2.9
5532,2024-07-11,2.7,2.7,2.7,2.7
5531,2024-07-10,2.7,2.7,2.7,2.7
5530,2024-07-09,2.7,2.7,2.7,2.7
5529,2024-07-08,2.7,2.7,2.7,2.7
5528,2024-07-05,2.9,3.0,2.6,2.9
5527,2024-07-04,2.7,2.7,2.7,2.7
5526,2024-07-03,2.7,2.7,2.7,2.7
5525,2024-07-02,2.7,2.7,2.7,2.7
5524,2024-07-01,2.7,2.7,2.7,2.7
5523,2024-06-28,2.8,3.0,2.6,3.0
5522,2024-06-27,3.0,3.0,3.0,3.0
5521,2024-06-26,3.0,3.0,3.0,3.0
5520,2024-06-25,3.0,3.0,3.0,3.0
5519,2024-06-24,3.0,3.0,3.0,3.0
5518,2024-06-21,3.0,3.0,3.0,3.0
5517,2024-06-20,3.0,3.0,3.0,3.0
5516,2024-06-19,3.0,3.0,3.0,3.0
5515,2024-06-18,3.0,3.0,3.0,3.0
5514,2024-06-17,3.0,3.0,3.0,3.0
5513,2024-06-14,3.0,3.4,2.7,3.4
5512,2024-06-13,3.1,3.1,3.1,3.1
5511,2024-06-12,3.1,3.1,3.1,3.1
5510,2024-06-11,3.1,3.1,3.1,3.1
5509,2024-06-10,3.1,3.1,3.1,3.1
5508,2024-06-07,2.6,3.2,2.6,3.0
5507,2024-06-06,2.8,2.8,2.8,2.8
5506,2024-06-05,2.8,2.8,2.8,2.8
5505,2024-06-04,2.8,2.8,2.8,2.8
5504,2024-06-03,2.8,2.8,2.8,2.8
5503,2024-05-31,2.7,2.8,2.7,2.8
5502,2024-05-30,2.5,2.5,2.5,2.5
5501,2024-05-29,2.5,2.5,2.5,2.5
5500,2024-05-28,2.5,2.5,2.5,2.5
5499,2024-05-27,2.5,2.5,2.5,2.5
5498,2024-05-24,2.6,2.6,2.2,2.6
5497,2024-05-23,2.5,2.5,2.5,2.5
5496,2024-05-22,2.5,2.5,2.5,2.5
5495,2024-05-21,2.5,2.5,2.5,2.5
5494,2024-05-20,2.5,2.5,2.5,2.5
5493,2024-05-17,2.4,2.5,2.4,2.5
5492,2024-05-16,2.3,2.3,2.3,2.3
5491,2024-05-15,2.3,2.3,2.3,2.3
5490,2024-05-14,2.3,2.3,2.3,2.3
5489,2024-05-13,2.3,2.3,2.3,2.3
5488,2024-05-10,2.4,2.4,2.2,2.3
5487,2024-05-09,2.5,2.5,2.5,2.5
5486,2024-05-08,2.5,2.5,2.5,2.5
5485,2024-05-07,2.5,2.5,2.5,2.5
5484,2024-05-06,2.5,2.5,2.5,2.5
5483,2024-05-03,2.6,2.6,2.5,2.5
5482,2024-05-02,2.7,2.7,2.7,2.7
5481,2024-04-26,2.7,2.7,2.7,2.7
