,Date,Open,High,Low,Close
4047,2025-10-17,13.5,13.5,13.5,13.5
4046,2025-10-09,13.7,15.0,13.7,15.0
4045,2025-10-08,13.7,13.7,13.7,13.7
4044,2025-10-07,13.7,13.7,13.7,13.7
4043,2025-10-06,13.2,13.2,13.2,13.2
4042,2025-10-03,12.9,12.9,12.9,12.9
4041,2025-10-02,12.0,12.0,12.0,12.0
4040,2025-10-01,11.7,11.7,11.7,11.7
4039,2025-09-30,12.8,12.8,11.8,12.2
4038,2025-09-29,11.8,12.8,11.8,12.8
4037,2025-09-26,12.6,12.6,12.6,12.6
4036,2025-09-25,12.69,12.79,12.6,12.6
4035,2025-09-24,12.79,12.79,12.79,12.79
4034,2025-09-23,11.93,11.93,11.84,11.84
4033,2025-09-22,11.64,11.64,11.64,11.64
4032,2025-09-19,11.64,11.64,11.64,11.64
4031,2025-09-18,11.64,11.64,11.64,11.64
4030,2025-09-17,11.64,11.64,11.64,11.64
4029,2025-09-16,12.22,12.22,12.22,12.22
4028,2025-09-15,12.22,12.22,12.22,12.22
4027,2025-09-12,12.22,12.22,12.22,12.22
4026,2025-09-11,12.22,12.22,12.22,12.22
4025,2025-09-10,11.55,11.55,11.55,11.55
4024,2025-09-09,11.36,11.55,11.36,11.55
4023,2025-09-08,12.31,12.31,12.31,12.31
4022,2025-09-05,12.31,12.31,12.31,12.31
4021,2025-09-04,11.74,12.31,11.74,12.31
4020,2025-09-03,11.36,11.74,11.36,11.74
4019,2025-08-29,11.64,11.64,11.64,11.64
4018,2025-08-28,11.64,11.64,11.64,11.64
4017,2025-08-27,11.55,11.64,11.55,11.64
4016,2025-08-26,12.12,12.12,12.12,12.12
4015,2025-08-25,12.22,12.22,12.12,12.12
4014,2025-08-22,12.22,12.22,12.22,12.22
4013,2025-08-21,12.69,12.69,12.69,12.69
4012,2025-08-20,12.69,12.69,12.69,12.69
4011,2025-08-19,12.69,12.69,11.55,12.69
4010,2025-08-18,11.64,12.69,11.64,12.69
4009,2025-08-15,11.45,12.89,11.36,12.89
4008,2025-08-14,12.12,12.12,12.12,12.12
4007,2025-08-13,12.12,12.12,12.12,12.12
4006,2025-08-12,11.93,12.12,11.93,12.12
4005,2025-08-11,11.84,12.03,11.45,12.03
4004,2025-08-08,11.93,11.93,11.93,11.93
4003,2025-08-07,11.55,11.55,11.55,11.55
4002,2025-08-06,10.5,10.5,10.5,10.5
4001,2025-08-05,11.45,11.45,11.45,11.45
4000,2025-08-04,11.45,11.45,11.45,11.45
3999,2025-08-01,11.45,11.45,11.45,11.45
3998,2025-07-31,11.45,11.45,11.45,11.45
3997,2025-07-30,11.45,11.45,11.45,11.45
3996,2025-07-29,11.45,11.45,11.45,11.45
3995,2025-07-28,12.6,12.6,12.6,12.6
3994,2025-07-25,12.6,12.6,12.6,12.6
3993,2025-07-24,12.6,12.6,12.6,12.6
3992,2025-07-23,12.6,12.6,12.6,12.6
3991,2025-07-22,12.03,12.6,12.03,12.6
3990,2025-07-21,12.5,12.6,12.5,12.6
