,Date,Open,High,Low,Close
2105,2025-10-17,13.5,13.5,13.5,13.5
2104,2025-10-16,13.0,13.0,13.0,13.0
2103,2025-10-15,13.3,13.3,13.3,13.3
2102,2025-10-14,13.5,13.5,13.3,13.3
2101,2025-10-13,13.1,13.1,13.1,13.1
2100,2025-10-10,13.3,13.3,13.3,13.3
2099,2025-10-09,13.3,13.3,13.3,13.3
2098,2025-10-08,13.3,13.3,13.3,13.3
2097,2025-10-07,13.3,13.3,13.3,13.3
2096,2025-10-06,13.5,13.5,13.5,13.5
2095,2025-10-03,13.5,13.5,13.5,13.5
2094,2025-10-02,13.0,13.0,13.0,13.0
2093,2025-10-01,13.3,13.3,13.3,13.3
2092,2025-09-29,13.0,13.0,13.0,13.0
2091,2025-09-26,12.5,12.5,12.5,12.5
2090,2025-09-25,12.7,12.7,12.7,12.7
2089,2025-09-24,12.7,12.7,12.7,12.7
2088,2025-09-23,12.5,12.5,12.5,12.5
2087,2025-09-22,12.5,12.5,12.5,12.5
2086,2025-09-19,13.9,13.9,13.9,13.9
2085,2025-09-18,13.8,13.8,13.8,13.8
2084,2025-09-17,13.5,13.5,13.5,13.5
2083,2025-09-16,12.8,12.8,12.8,12.8
2082,2025-09-15,12.8,12.8,12.8,12.8
2081,2025-09-12,12.0,12.0,12.0,12.0
2080,2025-09-11,11.5,11.5,11.5,11.5
2079,2025-09-10,11.5,11.5,11.5,11.5
2078,2025-09-09,11.5,11.5,11.5,11.5
2077,2025-09-08,11.0,11.0,11.0,11.0
2076,2025-09-05,12.0,12.0,12.0,12.0
2075,2025-09-04,11.5,11.5,11.5,11.5
2074,2025-09-03,13.0,13.0,13.0,13.0
2073,2025-08-29,13.4,13.4,13.4,13.4
2072,2025-08-28,13.4,13.4,13.4,13.4
2071,2025-08-27,13.4,13.4,13.4,13.4
2070,2025-08-26,13.1,13.1,13.1,13.1
2069,2025-08-25,13.0,13.0,13.0,13.0
2068,2025-08-22,12.5,12.5,12.5,12.5
2067,2025-08-21,12.8,12.8,12.8,12.8
2066,2025-08-20,13.0,13.0,13.0,13.0
2065,2025-08-19,13.0,13.0,13.0,13.0
2064,2025-08-18,12.5,12.5,12.5,12.5
2063,2025-08-15,13.0,13.0,13.0,13.0
