,Date,Open,High,Low,Close
2176,2025-10-17,7.7,7.8,7.6,7.7
2175,2025-10-16,7.6,7.8,7.5,7.8
2174,2025-10-15,7.7,7.8,7.5,7.7
2173,2025-10-14,7.7,7.8,7.6,7.8
2172,2025-10-13,7.7,7.7,7.5,7.7
2171,2025-10-10,7.9,7.9,7.7,7.8
2170,2025-10-09,7.8,7.9,7.6,7.9
2169,2025-10-08,7.8,7.8,7.7,7.8
2168,2025-10-07,7.8,7.9,7.7,7.8
2167,2025-10-06,7.8,8.0,7.6,7.9
2166,2025-10-03,8.0,8.1,7.7,7.9
2165,2025-10-02,7.9,8.1,7.7,8.0
2164,2025-10-01,7.7,8.1,7.7,7.9
2163,2025-09-30,7.8,7.8,7.5,7.8
2162,2025-09-29,7.7,7.9,7.7,7.8
2161,2025-09-26,7.7,7.9,7.7,7.8
2160,2025-09-25,7.9,7.9,7.5,7.8
2159,2025-09-24,7.8,7.9,7.7,7.9
2158,2025-09-23,7.8,7.9,7.7,7.9
2157,2025-09-22,7.8,7.9,7.7,7.9
2156,2025-09-19,7.7,7.9,7.6,7.8
2155,2025-09-18,7.8,7.9,7.7,7.8
2154,2025-09-17,7.9,7.9,7.7,7.9
2153,2025-09-16,7.8,8.0,7.8,7.9
2152,2025-09-15,7.8,7.9,7.7,7.9
2151,2025-09-12,7.8,7.9,7.7,7.9
2150,2025-09-11,7.8,7.9,7.6,7.9
2149,2025-09-10,8.0,8.0,7.8,7.9
2148,2025-09-09,7.8,8.0,7.7,8.0
2147,2025-09-08,7.9,7.9,7.6,7.8
2146,2025-09-05,7.9,8.0,7.7,8.0
2145,2025-09-04,7.9,8.0,7.7,8.0
2144,2025-09-03,7.9,8.1,7.8,7.9
2143,2025-08-29,8.0,8.2,7.8,8.0
2142,2025-08-28,8.1,8.3,7.8,8.0
2141,2025-08-27,8.4,8.5,7.9,8.1
2140,2025-08-26,8.2,8.6,7.9,8.4
2139,2025-08-25,8.0,8.4,7.9,8.2
2138,2025-08-22,8.1,8.4,7.6,8.2
2137,2025-08-21,8.3,8.5,8.0,8.1
2136,2025-08-20,8.1,8.6,8.1,8.3
2135,2025-08-19,7.7,8.4,7.7,8.4
2134,2025-08-18,7.8,7.8,7.6,7.8
2133,2025-08-15,7.8,7.9,7.6,7.9
2132,2025-08-14,7.9,8.0,7.7,7.9
2131,2025-08-13,7.9,8.0,7.7,8.0
2130,2025-08-12,7.9,8.0,7.7,7.9
2129,2025-08-11,8.0,8.1,7.8,7.9
2128,2025-08-08,8.0,8.0,7.6,8.0
2127,2025-08-07,7.9,8.0,7.7,8.0
2126,2025-08-06,7.9,8.0,7.9,8.0
2125,2025-08-05,7.8,8.1,7.8,8.0
2124,2025-08-04,7.8,7.9,7.7,7.9
2123,2025-08-01,7.8,7.9,7.7,7.8
2122,2025-07-31,8.1,8.2,7.8,7.9
2121,2025-07-30,8.1,8.3,7.9,8.1
2120,2025-07-29,8.1,8.4,7.8,8.1
2119,2025-07-28,8.1,8.2,7.9,8.2
2118,2025-07-25,7.9,8.1,7.9,8.1
2117,2025-07-24,7.8,8.1,7.8,8.1
2116,2025-07-23,7.9,7.9,7.6,7.8
2115,2025-07-22,7.8,7.9,7.7,7.9
2114,2025-07-21,8.1,8.2,7.7,7.8
2113,2025-07-18,8.2,8.2,7.9,8.1
2112,2025-07-17,8.3,8.7,7.8,8.2
2111,2025-07-16,8.4,8.5,8.1,8.4
2110,2025-07-15,8.5,8.6,8.3,8.5
2109,2025-07-14,8.0,9.0,8.0,8.5
2108,2025-07-11,8.0,8.1,7.8,8.0
2107,2025-07-10,8.2,8.2,7.9,8.1
2106,2025-07-09,7.7,8.2,7.5,8.2
2105,2025-07-08,7.9,8.0,7.6,7.8
2104,2025-07-07,8.0,8.1,7.7,7.9
2103,2025-07-04,8.0,8.2,7.7,7.9
2102,2025-07-03,8.0,8.1,7.7,8.0
2101,2025-07-02,8.0,8.2,7.8,8.0
2100,2025-07-01,8.0,8.2,7.8,8.0
2099,2025-06-30,8.1,8.2,7.8,8.0
2098,2025-06-27,8.0,8.1,7.8,8.1
2097,2025-06-26,8.1,8.1,7.8,8.0
2096,2025-06-25,8.1,8.2,7.9,8.0
2095,2025-06-24,8.0,8.1,7.8,8.1
2094,2025-06-23,8.1,8.2,7.7,8.0
2093,2025-06-20,8.2,8.4,7.9,8.1
2092,2025-06-19,8.1,8.3,7.9,8.2
2091,2025-06-18,8.0,8.2,7.7,8.1
2090,2025-06-17,7.6,8.4,7.6,7.9
2089,2025-06-16,7.6,7.8,7.3,7.6
2088,2025-06-13,7.6,7.8,7.3,7.6
2087,2025-06-12,7.7,7.8,7.5,7.7
2086,2025-06-11,7.7,7.8,7.5,7.7
2085,2025-06-10,7.5,7.8,7.5,7.7
2084,2025-06-09,7.6,7.8,7.4,7.5
2083,2025-06-06,7.6,8.0,7.4,7.6
2082,2025-06-05,7.7,7.9,7.4,7.6
2081,2025-06-04,7.9,8.0,7.5,7.8
2080,2025-06-03,7.5,8.0,7.5,7.9
2079,2025-06-02,7.4,7.6,7.3,7.5
2078,2025-05-30,7.3,7.6,7.3,7.5
2077,2025-05-29,7.0,7.4,6.9,7.4
2076,2025-05-28,6.9,7.0,6.8,7.0
2075,2025-05-27,6.9,7.0,6.8,6.9
2074,2025-05-26,6.9,7.2,6.8,6.9
2073,2025-05-23,6.9,7.0,6.8,6.9
2072,2025-05-22,6.9,7.1,6.9,7.0
2071,2025-05-21,6.9,7.0,6.8,6.9
2070,2025-05-20,6.9,7.0,6.8,7.0
2069,2025-05-19,6.9,7.0,6.8,7.0
2068,2025-05-16,7.0,7.1,6.8,7.0
2067,2025-05-15,7.1,7.2,7.0,7.1
2066,2025-05-14,7.1,7.2,6.9,7.2
2065,2025-05-13,7.1,7.4,6.9,7.1
2064,2025-05-12,7.0,7.3,6.9,7.1
2063,2025-05-09,7.0,7.3,6.9,7.1
2062,2025-05-08,6.9,7.4,6.9,7.1
2061,2025-05-07,7.1,7.2,6.8,7.0
2060,2025-05-06,7.4,7.4,7.1,7.2
2059,2025-05-05,7.3,7.4,7.0,7.2
2058,2025-04-29,7.5,7.5,7.1,7.5
2057,2025-04-28,7.4,7.4,7.1,7.3
2056,2025-04-25,7.3,7.3,6.8,7.2
2055,2025-04-24,7.2,7.3,6.9,7.1
2054,2025-04-23,6.8,7.0,6.6,7.0
2053,2025-04-22,6.9,7.0,6.0,6.7
2052,2025-04-21,7.0,7.0,6.8,7.0
2051,2025-04-18,7.0,7.2,6.9,7.2
2050,2025-04-17,7.0,7.1,6.8,7.1
2049,2025-04-16,7.3,7.3,7.0,7.2
2048,2025-04-15,7.6,7.6,7.1,7.3
2047,2025-04-14,7.6,7.6,7.2,7.5
2046,2025-04-11,7.5,7.6,7.0,7.6
2045,2025-04-10,6.8,7.5,6.8,7.5
