,Date,Open,High,Low,Close
4409,2025-10-17,4.5,4.5,4.47,4.49
4408,2025-10-16,4.54,4.55,4.48,4.51
4407,2025-10-15,4.6,4.6,4.52,4.54
4406,2025-10-14,4.45,4.65,4.45,4.54
4405,2025-10-13,4.62,4.62,4.55,4.61
4404,2025-10-10,4.61,4.67,4.6,4.66
4403,2025-10-09,4.67,4.67,4.6,4.61
4402,2025-10-08,4.68,4.7,4.65,4.65
4401,2025-10-07,4.69,4.69,4.65,4.69
4400,2025-10-06,4.7,4.72,4.66,4.67
4399,2025-10-03,4.8,4.8,4.66,4.69
4398,2025-10-02,4.71,4.75,4.7,4.72
4397,2025-10-01,4.7,4.77,4.7,4.71
4396,2025-09-30,4.78,4.79,4.7,4.75
4395,2025-09-29,4.8,4.82,4.78,4.78
4394,2025-09-26,4.89,4.89,4.82,4.83
4393,2025-09-25,4.85,4.87,4.54,4.84
4392,2025-09-24,4.82,4.88,4.8,4.88
4391,2025-09-23,4.85,4.85,4.82,4.85
4390,2025-09-22,4.92,4.92,4.8,4.85
4389,2025-09-19,4.89,4.89,4.81,4.83
4388,2025-09-18,4.87,4.89,4.86,4.88
4387,2025-09-17,4.91,4.91,4.86,4.87
4386,2025-09-16,4.93,4.93,4.87,4.91
4385,2025-09-15,4.83,4.95,4.83,4.92
4384,2025-09-12,4.95,4.98,4.81,4.97
4383,2025-09-11,4.92,4.99,4.85,4.99
4382,2025-09-10,5.0,5.08,4.85,4.93
4381,2025-09-09,4.99,5.0,4.8,4.85
4380,2025-09-08,5.04,5.04,4.99,4.99
4379,2025-09-05,5.08,5.08,4.93,5.04
4378,2025-09-04,5.1,5.1,5.0,5.07
4377,2025-09-03,5.0,5.13,5.0,5.1
4376,2025-08-29,5.0,5.0,4.84,4.9
4375,2025-08-28,4.9,4.9,4.83,4.85
4374,2025-08-27,4.86,4.91,4.85,4.85
4373,2025-08-26,4.87,4.9,4.8,4.9
4372,2025-08-25,4.89,4.89,4.8,4.87
4371,2025-08-22,4.95,5.0,4.7,4.89
4370,2025-08-21,5.05,5.07,5.0,5.0
4369,2025-08-20,5.19,5.19,5.03,5.05
4368,2025-08-19,4.99,5.1,4.99,5.1
4367,2025-08-18,5.04,5.04,4.99,5.01
4366,2025-08-15,5.02,5.19,5.02,5.04
4365,2025-08-14,5.16,5.2,5.11,5.16
4364,2025-08-13,5.19,5.19,5.15,5.16
4363,2025-08-12,5.21,5.25,5.17,5.18
4362,2025-08-11,5.2,5.24,5.18,5.21
4361,2025-08-08,5.18,5.2,5.14,5.2
4360,2025-08-07,5.27,5.29,5.17,5.17
4359,2025-08-06,5.33,5.33,5.23,5.29
4358,2025-08-05,5.23,5.34,5.15,5.33
4357,2025-08-04,5.28,5.34,5.2,5.24
4356,2025-08-01,5.49,5.49,5.29,5.33
4355,2025-07-31,5.58,5.65,5.47,5.5
4354,2025-07-30,5.46,5.6,5.45,5.58
4353,2025-07-29,5.73,5.75,5.5,5.5
4352,2025-07-28,5.55,5.78,5.46,5.75
4351,2025-07-25,5.32,5.57,5.32,5.46
4350,2025-07-24,5.29,5.29,5.23,5.28
4349,2025-07-23,5.23,5.3,5.23,5.24
4348,2025-07-22,5.3,5.3,5.25,5.26
4347,2025-07-21,5.35,5.39,5.27,5.3
4346,2025-07-18,5.33,5.39,5.27,5.35
4345,2025-07-17,5.35,5.4,5.26,5.35
4344,2025-07-16,5.39,5.39,5.3,5.35
