,Date,Open,High,Low,Close
2036,2025-10-17,8.5,8.5,7.8,8.3
2035,2025-10-10,8.6,8.8,8.4,8.7
2034,2025-10-03,8.5,9.0,8.0,8.6
2033,2025-09-26,8.6,8.7,8.4,8.5
2032,2025-09-19,8.1,8.6,7.9,8.5
2031,2025-09-12,7.3,8.0,7.3,8.0
2030,2025-09-05,6.3,7.2,6.3,7.2
2029,2025-08-29,5.7,6.4,5.7,6.4
2028,2025-08-22,6.1,6.1,5.2,5.3
2027,2025-08-15,5.5,6.3,5.4,5.4
2026,2025-08-08,5.3,5.7,5.3,5.7
2025,2025-08-01,5.0,5.4,5.0,5.3
2024,2025-07-25,4.6,5.2,4.6,5.1
2023,2025-07-18,4.3,4.8,4.3,4.6
2022,2025-07-11,4.2,4.4,4.1,4.2
2021,2025-07-04,3.8,4.1,3.7,4.1
2020,2025-06-27,3.5,3.9,3.5,3.6
2019,2025-06-20,3.8,3.8,3.4,3.7
2018,2025-06-13,3.4,3.5,3.3,3.5
2017,2025-06-06,3.2,3.3,3.2,3.2
2016,2025-05-30,3.0,3.2,3.0,3.2
2015,2025-05-23,2.9,3.2,2.6,3.2
2014,2025-05-16,2.9,3.3,2.8,3.3
2013,2025-05-09,2.9,2.9,2.9,2.9
2012,2025-04-25,2.9,3.0,2.8,2.9
2011,2025-04-18,2.8,3.0,2.8,3.0
2010,2025-04-11,2.9,2.9,2.9,2.9
2009,2025-04-04,2.6,2.9,2.6,2.9
2008,2025-03-28,3.0,3.0,2.9,2.9
2007,2025-03-21,2.9,3.1,2.9,3.0
2006,2025-03-14,3.0,3.0,2.8,2.8
2005,2025-03-07,2.9,2.9,2.6,2.8
2004,2025-02-28,2.7,2.7,2.6,2.6
2003,2025-02-21,2.7,2.8,2.6,2.7
2002,2025-02-14,2.4,2.6,2.4,2.6
2001,2025-02-07,2.1,2.4,2.1,2.3
2000,2025-01-24,2.1,2.2,2.0,2.2
1999,2025-01-17,2.2,2.2,2.2,2.2
1998,2025-01-10,2.1,2.2,2.1,2.2
1997,2025-01-03,2.0,2.1,2.0,2.1
1996,2024-12-27,2.1,2.1,2.1,2.1
1995,2024-12-20,2.0,2.0,2.0,2.0
