,Date,Open,High,Low,Close,Volume
969,2025-10-24,32.45,32.55,32.0,32.25,1208700
968,2025-10-23,32.5,33.0,32.5,32.75,913900
967,2025-10-22,33.0,33.4,32.7,32.9,1439200
966,2025-10-21,32.1,33.15,31.75,33.1,2374700
965,2025-10-20,33.7,33.95,32.7,32.7,2481000
964,2025-10-17,33.85,34.2,33.8,33.95,1657200
963,2025-10-16,34.2,34.25,33.75,33.95,1271800
962,2025-10-15,34.4,34.65,33.85,34.25,2317500
961,2025-10-14,34.95,35.0,34.45,34.5,4131200
960,2025-10-13,35.0,35.1,34.55,34.95,2901400
959,2025-10-10,35.35,35.4,35.05,35.25,1984100
958,2025-10-09,34.95,35.5,34.8,35.4,3795100
957,2025-10-08,34.8,35.0,34.7,35.0,1784100
956,2025-10-07,35.15,35.15,34.7,34.95,1892600
955,2025-10-06,34.45,35.05,34.45,35.0,2330700
954,2025-10-03,34.5,34.85,34.15,34.45,1970000
953,2025-10-02,34.75,34.9,34.5,34.8,1559300
952,2025-10-01,34.65,35.0,34.45,34.85,1654300
951,2025-09-30,35.05,35.1,34.5,34.75,2132200
950,2025-09-29,34.8,36.0,34.8,35.25,5195400
949,2025-09-26,35.1,35.15,34.75,34.9,1834700
948,2025-09-25,34.8,34.95,34.5,34.95,1866900
947,2025-09-24,34.35,34.65,34.0,34.65,1978200
946,2025-09-23,33.7,34.4,33.55,34.4,3565100
945,2025-09-22,33.8,34.05,33.6,33.9,2265800
944,2025-09-19,33.9,34.1,33.65,33.9,1431900
943,2025-09-18,33.95,34.0,33.65,33.95,1362100
942,2025-09-17,34.0,34.15,33.75,33.95,2062400
941,2025-09-16,34.15,34.25,33.95,34.1,1442700
940,2025-09-15,34.0,34.25,33.9,34.15,2099800
939,2025-09-12,34.0,34.35,33.95,34.1,5617500
938,2025-09-11,34.4,34.4,33.85,34.35,2010100
937,2025-09-10,34.05,34.6,33.8,34.45,3876200
936,2025-09-09,33.9,34.3,33.9,34.15,1766700
935,2025-09-08,34.5,34.5,33.8,34.1,3177200
934,2025-09-05,34.9,34.9,34.45,34.65,2608400
933,2025-09-04,34.9,35.05,34.4,34.65,1971900
932,2025-09-03,34.7,34.75,34.3,34.7,1662300
931,2025-08-29,34.35,34.85,34.2,34.85,2459700
930,2025-08-28,34.05,34.5,33.95,34.5,1956900
929,2025-08-27,34.5,34.55,34.0,34.35,3026000
928,2025-08-26,33.9,34.7,33.6,34.7,3595800
927,2025-08-25,34.6,35.25,33.6,34.45,5711400
926,2025-08-22,36.3,36.3,34.5,35.1,8370900
925,2025-08-21,37.4,37.4,36.0,36.6,4636700
924,2025-08-20,38.8,38.8,36.9,37.5,8920400
923,2025-08-19,35.5,38.05,35.35,38.05,13196600
922,2025-08-18,35.1,35.85,34.95,35.6,4815600
921,2025-08-15,35.7,36.05,34.85,35.35,7100600
920,2025-08-14,36.1,36.2,35.35,35.8,7757600
919,2025-08-13,35.75,36.3,35.05,35.9,7731400
918,2025-08-12,35.5,36.2,35.45,35.9,8258200
917,2025-08-11,34.95,35.8,34.8,35.65,8063900
916,2025-08-08,34.65,35.2,34.55,35.05,6995000
915,2025-08-07,35.35,35.45,34.4,34.85,4387100
914,2025-08-06,34.75,35.05,34.5,35.0,3609300
913,2025-08-05,33.5,36.0,33.2,35.0,16173100
912,2025-08-04,33.95,33.95,33.55,33.7,2944600
911,2025-08-01,34.45,34.5,33.9,34.25,3075200
910,2025-07-31,34.9,35.0,33.95,34.5,5562200
909,2025-07-30,34.65,34.95,33.95,34.95,5011600
908,2025-07-29,35.0,35.75,34.65,34.8,11566300
907,2025-07-28,34.7,35.25,34.45,34.85,5844700
906,2025-07-25,33.85,34.5,33.8,34.5,6282500
905,2025-07-24,34.35,34.4,33.75,34.0,2398000
904,2025-07-23,33.6,34.15,33.5,34.15,4456300
903,2025-07-22,34.15,34.15,33.35,33.85,2883000
902,2025-07-21,34.05,34.35,33.95,34.05,3308800
901,2025-07-18,34.0,34.25,33.8,34.2,3914900
900,2025-07-17,33.55,34.0,33.5,34.0,3596700
899,2025-07-16,33.6,33.6,33.35,33.6,2415900
898,2025-07-15,33.9,34.0,33.55,33.7,2371500
897,2025-07-14,34.0,34.15,33.7,34.0,2186400
896,2025-07-11,33.6,34.3,33.3,34.05,4887900
895,2025-07-10,33.5,33.75,33.5,33.75,2128700
894,2025-07-09,33.65,33.75,33.55,33.65,2186200
893,2025-07-08,34.0,34.2,33.65,33.75,2818800
892,2025-07-07,33.75,34.35,33.75,34.05,2934900
891,2025-07-04,33.95,33.95,33.6,33.75,1945300
890,2025-07-03,33.55,34.35,33.3,33.95,5409300
889,2025-07-02,34.95,35.15,34.05,34.05,5387000
888,2025-07-01,35.2,35.35,34.7,35.0,3519700
887,2025-06-30,35.0,35.6,35.0,35.2,4506800
886,2025-06-27,35.1,35.4,34.8,35.1,4179100
885,2025-06-26,35.05,35.45,34.95,35.1,4026400
884,2025-06-25,35.3,35.6,34.95,35.45,5544600
883,2025-06-24,35.75,35.75,35.4,35.4,3084700
882,2025-06-23,35.6,36.2,35.5,35.65,6250400
881,2025-06-20,35.5,36.2,35.5,35.8,7436300
880,2025-06-19,35.55,35.55,34.8,35.55,4428500
879,2025-06-18,35.8,35.9,35.15,35.55,3393700
878,2025-06-17,35.8,36.0,35.6,35.85,2658200
877,2025-06-16,35.0,36.1,34.95,35.9,5820700
876,2025-06-13,35.0,35.2,34.65,35.05,3258700
875,2025-06-12,35.35,35.6,35.0,35.35,3286300
874,2025-06-11,35.0,35.5,34.8,35.4,3082700
873,2025-06-10,35.1,35.4,34.8,35.1,3450600
872,2025-06-09,35.35,36.05,34.95,35.4,5186700
871,2025-06-06,35.95,36.3,35.25,35.5,5444400
870,2025-06-05,36.65,36.7,35.9,36.3,4123000
869,2025-06-04,35.85,37.3,35.6,36.6,7740500
868,2025-06-03,35.5,36.4,35.4,36.0,6221300
867,2025-06-02,35.45,35.85,35.0,35.6,3588800
866,2025-05-30,35.05,36.15,34.8,35.6,5330000
865,2025-05-29,35.25,35.5,34.9,35.3,2430600
864,2025-05-28,35.1,35.65,34.95,35.35,3372400
863,2025-05-27,35.6,35.6,34.85,35.2,4025700
862,2025-05-26,34.9,35.45,34.25,35.45,3972500
861,2025-05-23,35.0,35.15,34.6,35.15,2577300
860,2025-05-22,35.6,35.6,34.8,35.3,5513100
859,2025-05-21,35.9,36.0,34.95,35.55,4079500
858,2025-05-20,34.55,36.0,34.0,35.85,9691700
857,2025-05-19,34.6,35.1,34.0,34.5,3567000
856,2025-05-16,34.7,34.85,34.25,34.55,2719200
855,2025-05-15,34.55,34.95,34.25,34.85,2973700
854,2025-05-14,34.95,35.0,34.5,34.95,2379900
853,2025-05-13,34.25,35.3,34.25,35.0,6049600
852,2025-05-12,34.4,34.6,34.1,34.4,2084200
851,2025-05-09,33.95,34.4,33.55,34.4,3076800
850,2025-05-08,34.5,34.55,33.75,34.1,4526700
849,2025-05-07,34.7,34.7,34.3,34.5,1745600
848,2025-05-06,34.75,35.15,34.5,34.75,4471100
