,Date,Open,High,Low,Close
2077,2025-10-14,36.8,37.0,36.8,37.0
2076,2025-09-23,36.1,36.1,36.1,36.1
2075,2025-09-16,36.0,36.1,36.0,36.1
2074,2025-09-10,36.0,36.0,36.0,36.0
2073,2025-09-08,36.0,36.0,36.0,36.0
2072,2025-08-27,35.5,35.5,35.5,35.5
2071,2025-08-25,39.0,39.0,39.0,39.0
2070,2025-08-22,37.7,37.7,37.7,37.7
2069,2025-08-18,37.5,37.7,37.5,37.7
2068,2025-08-15,37.5,37.5,37.5,37.5
2067,2025-08-11,36.5,36.5,36.5,36.5
2066,2025-08-08,36.6,36.6,36.6,36.6
2065,2025-08-05,36.5,36.5,36.5,36.5
2064,2025-08-01,36.5,36.5,36.5,36.5
2063,2025-07-30,36.5,36.5,36.5,36.5
2062,2025-07-29,36.0,36.0,36.0,36.0
2061,2025-07-25,36.7,36.7,36.7,36.7
2060,2025-07-24,36.7,36.7,36.7,36.7
2059,2025-07-22,36.7,36.7,36.7,36.7
2058,2025-07-21,36.0,36.0,36.0,36.0
2057,2025-07-18,36.4,37.0,36.4,37.0
2056,2025-07-17,34.4,34.4,34.4,34.4
2055,2025-07-16,34.5,34.6,34.4,34.4
2054,2025-07-14,35.1,35.4,35.1,35.4
2053,2025-07-11,35.0,35.0,35.0,35.0
2052,2025-07-08,35.0,35.0,35.0,35.0
2051,2025-06-24,35.7,35.8,35.7,35.8
2050,2025-06-19,35.0,35.0,35.0,35.0
2049,2025-06-18,34.5,35.1,34.5,35.0
2048,2025-06-17,36.0,36.0,35.1,35.1
2047,2025-06-16,37.2,37.2,36.0,36.0
2046,2025-06-13,36.8,36.8,36.8,36.8
2045,2025-06-12,34.6,34.6,34.6,34.6
2044,2025-06-10,37.1,37.1,37.0,37.0
2043,2025-06-06,37.4,37.4,37.4,37.4
2042,2025-06-03,37.4,37.4,37.4,37.4
2041,2025-06-02,37.3,37.3,37.3,37.3
2040,2025-05-30,37.0,37.0,37.0,37.0
2039,2025-05-29,36.1,36.1,36.1,36.1
2038,2025-05-28,37.1,37.1,36.0,36.0
2037,2025-05-27,37.0,37.1,37.0,37.1
2036,2025-05-26,36.4,37.1,36.4,37.1
2035,2025-05-23,36.0,36.0,34.5,34.5
2034,2025-05-20,35.5,36.0,35.5,36.0
2033,2025-05-19,34.7,34.8,34.7,34.7
2032,2025-05-16,36.0,36.0,36.0,36.0
2031,2025-05-14,36.2,36.4,35.7,36.4
2030,2025-05-13,36.5,36.5,36.5,36.5
2029,2025-05-12,36.9,36.9,36.9,36.9
2028,2025-05-08,34.5,36.9,34.5,36.9
2027,2025-05-07,34.2,37.1,34.2,37.1
2026,2025-05-06,36.3,36.3,36.3,36.3
2025,2025-05-05,36.2,36.3,36.2,36.3
2024,2025-04-29,34.2,36.6,34.2,36.6
2023,2025-04-28,34.5,36.7,34.5,36.7
2022,2025-04-25,34.3,36.9,34.3,36.9
2021,2025-04-24,34.1,37.0,34.1,37.0
2020,2025-04-23,34.1,37.1,34.1,37.1
2019,2025-04-22,33.84,36.9,33.84,36.5
2018,2025-04-21,36.99,36.99,36.99,36.99
2017,2025-04-18,33.84,36.4,33.84,36.4
2016,2025-04-17,36.5,36.5,36.5,36.5
2015,2025-04-16,35.02,35.02,35.02,35.02
2014,2025-04-15,34.53,35.02,34.53,35.02
2013,2025-04-14,33.64,34.53,33.64,34.53
2012,2025-04-11,35.51,37.19,35.51,37.19
2011,2025-04-10,31.96,37.29,31.96,37.29
2010,2025-04-09,32.16,36.3,32.16,35.42
2009,2025-04-08,35.51,37.49,34.72,34.72
2008,2025-04-04,34.82,38.57,31.67,38.57
2007,2025-04-03,37.49,37.49,35.12,35.12
2006,2025-04-02,38.47,38.47,38.47,38.47
2005,2025-04-01,38.47,38.47,38.47,38.47
2004,2025-03-31,37.88,38.57,37.88,38.57
2003,2025-03-28,38.97,38.97,38.97,38.97
2002,2025-03-27,38.97,38.97,38.97,38.97
2001,2025-03-26,38.77,38.77,38.77,38.77
2000,2025-03-25,38.77,38.77,38.77,38.77
1999,2025-03-24,38.47,38.47,38.47,38.47
1998,2025-03-21,39.46,39.46,38.47,38.47
1997,2025-03-20,38.47,38.47,38.47,38.47
1996,2025-03-19,39.36,39.36,39.36,39.36
1995,2025-03-18,38.47,38.47,38.47,38.47
1994,2025-03-17,39.36,39.36,38.47,38.47
1993,2025-03-14,39.46,39.46,39.46,39.46
1992,2025-03-13,39.46,39.46,39.46,39.46
1991,2025-03-12,39.46,39.46,39.46,39.46
1990,2025-03-11,38.97,39.16,38.47,38.47
1989,2025-03-10,39.36,39.36,39.36,39.36
1988,2025-03-07,38.97,38.97,38.97,38.97
