,Date,Open,High,Low,Close
4712,2025-10-17,8.0,8.1,7.8,8.0
4711,2025-10-16,8.2,8.2,8.1,8.1
4710,2025-10-15,8.2,8.3,8.1,8.1
4709,2025-10-14,8.4,8.4,8.1,8.2
4708,2025-10-13,8.6,8.6,8.2,8.4
4707,2025-10-10,8.4,8.6,8.3,8.4
4706,2025-10-09,8.6,8.6,8.3,8.3
4705,2025-10-08,8.6,8.7,8.4,8.6
4704,2025-10-07,8.7,8.7,8.4,8.6
4703,2025-10-06,8.3,8.8,8.0,8.7
4702,2025-10-03,8.7,8.7,8.5,8.5
4701,2025-10-02,8.8,8.9,8.6,8.7
4700,2025-10-01,8.8,9.1,8.5,8.8
4699,2025-09-30,8.9,8.9,8.6,8.6
4698,2025-09-29,9.0,9.1,8.9,9.0
4697,2025-09-26,8.8,9.0,8.7,9.0
4696,2025-09-25,8.7,8.9,8.6,8.8
4695,2025-09-24,8.7,8.7,8.5,8.7
4694,2025-09-23,8.7,8.8,8.6,8.6
4693,2025-09-22,8.9,8.9,8.6,8.7
4692,2025-09-19,9.0,9.0,8.8,8.9
4691,2025-09-18,8.4,9.2,8.4,9.0
4690,2025-09-17,9.0,9.0,8.9,8.9
4689,2025-09-16,9.4,9.4,8.9,9.0
4688,2025-09-15,9.0,9.4,9.0,9.3
4687,2025-09-12,8.9,9.1,8.9,9.0
4686,2025-09-11,9.0,9.1,8.7,8.7
4685,2025-09-10,8.5,9.0,8.4,9.0
4684,2025-09-09,8.5,8.5,8.4,8.5
4683,2025-09-08,8.6,8.6,8.4,8.5
4682,2025-09-05,8.8,9.0,8.6,8.6
4681,2025-09-04,8.7,8.9,8.6,8.8
4680,2025-09-03,8.4,8.9,8.4,8.9
4679,2025-08-29,8.6,8.6,8.4,8.5
4678,2025-08-28,8.4,8.6,8.3,8.4
4677,2025-08-27,8.4,8.6,8.4,8.4
4676,2025-08-26,8.4,8.5,8.0,8.4
4675,2025-08-25,8.4,8.6,8.3,8.4
4674,2025-08-22,8.8,8.8,8.2,8.4
4673,2025-08-21,9.2,9.3,8.6,8.6
4672,2025-08-20,9.5,9.7,9.1,9.2
4671,2025-08-19,9.3,9.8,9.3,9.5
4670,2025-08-18,9.0,9.4,9.0,9.3
4669,2025-08-15,9.3,9.4,9.0,9.0
4668,2025-08-14,9.4,9.5,9.1,9.2
