,Date,Open,High,Low,Close
3822,2025-10-17,10.9,11.0,10.85,11.0
3821,2025-10-16,11.0,11.0,10.8,10.95
3820,2025-10-15,11.0,11.05,10.65,11.0
3819,2025-10-14,11.2,11.2,11.0,11.05
3818,2025-10-13,11.05,11.1,11.0,11.05
3817,2025-10-10,11.0,11.1,10.95,11.05
3816,2025-10-09,11.0,11.05,10.95,10.95
3815,2025-10-08,11.1,11.2,11.0,11.1
3814,2025-10-07,11.0,11.2,11.0,11.2
3813,2025-10-06,11.15,11.15,11.05,11.1
3812,2025-10-03,11.15,11.15,11.05,11.15
3811,2025-10-02,11.1,11.2,11.1,11.15
3810,2025-10-01,11.1,11.25,11.1,11.2
3809,2025-09-30,11.1,11.25,11.1,11.15
3808,2025-09-29,11.4,11.4,11.15,11.35
3807,2025-09-26,11.35,11.4,11.35,11.35
3806,2025-09-25,11.35,11.5,11.35,11.35
3805,2025-09-24,11.5,11.55,11.4,11.45
3804,2025-09-23,11.3,11.5,11.3,11.5
3803,2025-09-22,11.25,11.3,11.2,11.3
3802,2025-09-19,11.25,11.45,11.2,11.3
3801,2025-09-18,11.25,11.3,11.15,11.2
3800,2025-09-17,11.4,11.4,11.25,11.25
3799,2025-09-16,11.45,11.5,11.3,11.4
3798,2025-09-15,11.45,11.5,11.4,11.4
3797,2025-09-12,11.15,11.85,11.15,11.5
3796,2025-09-11,11.25,11.25,11.1,11.2
3795,2025-09-10,11.4,11.4,11.25,11.3
3794,2025-09-09,11.2,11.4,11.05,11.4
3793,2025-09-08,11.4,11.5,11.2,11.25
3792,2025-09-05,11.55,11.75,11.5,11.5
3791,2025-09-04,11.2,11.65,11.2,11.45
3790,2025-09-03,11.15,11.35,11.15,11.35
3789,2025-08-29,11.0,11.35,11.0,11.25
3788,2025-08-28,11.0,11.15,11.0,11.05
3787,2025-08-27,11.05,11.25,11.05,11.15
3786,2025-08-26,11.35,11.35,10.85,11.05
3785,2025-08-25,11.05,11.35,11.05,11.1
3784,2025-08-22,11.6,11.6,10.95,10.95
3783,2025-08-21,11.65,11.75,11.55,11.65
3782,2025-08-20,11.6,11.7,11.55,11.65
3781,2025-08-19,11.6,11.95,11.6,11.6
3780,2025-08-18,11.6,11.95,11.55,11.6
3779,2025-08-15,11.9,11.9,11.6,11.6
3778,2025-08-14,11.95,11.95,11.65,11.85
3777,2025-08-13,12.05,12.05,11.8,11.9
3776,2025-08-12,12.2,12.25,11.9,12.0
3775,2025-08-11,12.05,12.3,12.05,12.15
3774,2025-08-08,11.85,11.85,11.65,11.75
3773,2025-08-07,11.8,12.0,11.6,11.8
3772,2025-08-06,11.65,11.95,11.65,11.8
3771,2025-08-05,11.85,12.25,11.5,11.8
3770,2025-08-04,11.7,11.9,11.65,11.8
3769,2025-08-01,11.5,11.7,11.45,11.6
3768,2025-07-31,11.5,11.5,11.05,11.3
3767,2025-07-30,11.5,11.5,11.35,11.5
3766,2025-07-29,12.0,12.0,11.6,11.6
3765,2025-07-28,11.65,11.95,11.65,11.85
3764,2025-07-25,11.45,11.6,11.45,11.6
3763,2025-07-24,11.45,11.55,11.4,11.4
3762,2025-07-23,11.3,11.45,11.3,11.4
3761,2025-07-22,11.2,11.25,11.1,11.25
3760,2025-07-21,10.85,11.15,10.8,11.05
3759,2025-07-18,10.6,10.75,10.6,10.75
3758,2025-07-17,10.7,10.7,10.4,10.55
3757,2025-07-16,10.5,10.5,10.4,10.45
3756,2025-07-15,10.45,10.55,10.35,10.45
3755,2025-07-14,10.45,10.55,10.35,10.45
3754,2025-07-11,10.4,10.45,10.15,10.45
3753,2025-07-10,10.35,10.5,10.3,10.4
3752,2025-07-09,10.25,10.35,10.15,10.35
3751,2025-07-08,10.25,10.35,10.2,10.25
3750,2025-07-07,10.15,10.4,9.9,10.25
3749,2025-07-04,9.89,10.15,9.89,10.15
3748,2025-07-03,9.8,9.9,9.8,9.89
3747,2025-07-02,9.95,9.95,9.75,9.9
3746,2025-07-01,9.98,9.99,9.75,9.9
3745,2025-06-30,9.92,10.1,9.9,9.95
3744,2025-06-27,9.92,9.92,9.71,9.9
3743,2025-06-26,9.88,9.94,9.65,9.91
