,Date,Open,High,Low,Close
2483,2025-10-15,27.9,27.9,27.9,27.9
2482,2025-10-14,24.6,24.6,24.6,24.6
2481,2025-10-10,25.7,25.7,25.7,25.7
2480,2025-10-08,25.4,25.4,25.4,25.4
2479,2025-10-07,25.5,25.5,25.5,25.5
2478,2025-09-30,27.9,27.9,27.9,27.9
2477,2025-09-29,24.6,24.6,24.6,24.6
2476,2025-09-26,25.0,25.0,24.0,24.0
2475,2025-09-25,28.0,28.0,28.0,28.0
2474,2025-09-24,28.0,28.0,27.7,27.7
2473,2025-09-22,28.7,33.1,28.7,33.0
2472,2025-09-19,28.8,28.9,28.6,28.8
2471,2025-09-16,27.0,27.0,27.0,27.0
2470,2025-09-09,27.0,27.0,27.0,27.0
2469,2025-09-05,27.6,27.6,27.6,27.6
2468,2025-08-28,27.6,27.6,27.6,27.6
2467,2025-08-27,27.6,27.6,27.6,27.6
2466,2025-08-25,28.0,28.0,28.0,28.0
2465,2025-08-22,28.0,28.0,28.0,28.0
2464,2025-08-21,25.0,25.0,25.0,25.0
2463,2025-08-20,24.0,24.1,24.0,24.1
2462,2025-08-19,27.9,27.9,27.9,27.9
2461,2025-08-18,27.9,27.9,27.9,27.9
2460,2025-08-15,27.9,27.9,27.9,27.9
2459,2025-08-14,27.9,27.9,27.9,27.9
2458,2025-08-13,27.9,27.9,27.9,27.9
2457,2025-08-12,28.0,28.0,27.9,27.9
2456,2025-08-11,27.9,27.9,27.9,27.9
2455,2025-08-08,27.13,27.13,27.13,27.13
2454,2025-08-07,27.13,27.13,27.13,27.13
2453,2025-08-06,27.13,27.13,27.13,27.13
2452,2025-08-05,27.13,27.13,27.13,27.13
2451,2025-08-04,27.13,27.13,27.13,27.13
2450,2025-08-01,27.13,27.13,27.13,27.13
2449,2025-07-31,27.71,27.71,26.94,26.94
2448,2025-07-30,27.8,27.8,27.8,27.8
2447,2025-07-29,28.0,28.0,27.9,27.9
2446,2025-07-28,27.9,27.9,27.9,27.9
2445,2025-07-25,27.9,27.9,27.9,27.9
2444,2025-07-24,27.8,27.8,27.8,27.8
2443,2025-07-23,27.8,27.8,27.8,27.8
2442,2025-07-22,30.79,30.79,30.79,30.79
2441,2025-07-21,30.79,30.79,30.79,30.79
2440,2025-07-18,30.79,30.79,30.79,30.79
2439,2025-07-17,30.79,30.79,30.79,30.79
2438,2025-07-16,31.08,31.08,31.08,31.08
2437,2025-07-15,31.08,31.08,31.08,31.08
2436,2025-07-14,27.8,27.8,27.8,27.8
2435,2025-07-11,27.8,27.8,27.8,27.8
2434,2025-07-10,27.8,27.8,27.8,27.8
2433,2025-07-09,27.8,27.8,27.8,27.8
2432,2025-07-08,27.8,27.8,27.8,27.8
2431,2025-07-07,27.8,27.8,27.8,27.8
2430,2025-07-04,27.8,27.8,27.8,27.8
2429,2025-07-03,32.71,32.71,32.71,32.71
2428,2025-07-02,32.71,32.71,32.71,32.71
2427,2025-07-01,32.71,32.71,32.71,32.71
2426,2025-06-30,28.57,28.57,28.57,28.57
2425,2025-06-27,28.57,28.57,28.57,28.57
2424,2025-06-26,28.57,28.57,28.57,28.57
2423,2025-06-25,28.57,28.57,28.57,28.57
2422,2025-06-24,33.29,33.29,27.32,29.83
2421,2025-06-23,32.04,32.04,32.04,32.04
2420,2025-06-20,27.42,32.04,27.42,32.04
2419,2025-06-19,27.9,27.9,27.9,27.9
2418,2025-06-18,27.9,27.9,27.9,27.9
2417,2025-06-17,27.9,27.9,27.9,27.9
2416,2025-06-16,27.9,27.9,27.9,27.9
2415,2025-06-13,27.42,27.42,27.42,27.42
2414,2025-06-12,28.09,28.09,28.09,28.09
2413,2025-06-11,28.09,28.09,28.09,28.09
2412,2025-06-10,28.09,28.09,28.09,28.09
2411,2025-06-09,28.09,28.09,28.09,28.09
2410,2025-06-06,28.09,28.09,28.09,28.09
2409,2025-06-05,28.09,28.09,28.09,28.09
2408,2025-06-04,28.09,28.09,28.09,28.09
2407,2025-06-03,28.09,28.09,28.09,28.09
2406,2025-06-02,28.09,28.09,28.09,28.09
2405,2025-05-30,28.09,28.09,28.09,28.09
2404,2025-05-29,28.09,28.09,28.09,28.09
2403,2025-05-28,27.9,28.86,27.9,28.86
2402,2025-05-27,27.9,27.9,27.9,27.9
2401,2025-05-26,27.9,27.9,27.9,27.9
2400,2025-05-23,27.9,27.9,27.9,27.9
2399,2025-05-22,27.9,27.9,27.9,27.9
2398,2025-05-21,27.9,27.9,27.9,27.9
2397,2025-05-20,27.9,27.9,27.9,27.9
2396,2025-05-19,24.53,24.53,24.53,24.53
2395,2025-05-16,24.53,24.53,24.53,24.53
2394,2025-05-15,24.53,24.53,24.53,24.53
2393,2025-05-14,24.53,24.53,24.53,24.53
2392,2025-05-13,24.53,24.53,24.53,24.53
2391,2025-05-12,26.36,26.36,26.36,26.36
2390,2025-05-09,30.98,30.98,30.98,30.98
2389,2025-05-08,26.94,26.94,26.94,26.94
2388,2025-05-07,24.05,27.61,24.05,27.61
2387,2025-05-06,24.05,24.05,24.05,24.05
2386,2025-05-05,24.05,24.05,24.05,24.05
2385,2025-04-29,24.05,24.05,24.05,24.05
2384,2025-04-28,24.05,24.05,24.05,24.05
2383,2025-04-25,24.05,24.05,24.05,24.05
2382,2025-04-24,24.05,24.05,24.05,24.05
2381,2025-04-23,24.05,24.05,24.05,24.05
2380,2025-04-22,24.05,24.05,24.05,24.05
2379,2025-04-21,24.05,24.05,24.05,24.05
2378,2025-04-18,24.05,24.05,24.05,24.05
2377,2025-04-17,24.05,24.05,24.05,24.05
2376,2025-04-16,24.05,24.05,24.05,24.05
2375,2025-04-15,21.26,21.26,21.26,21.26
2374,2025-04-14,21.65,21.65,20.78,20.78
2373,2025-04-11,24.05,24.05,24.05,24.05
2372,2025-04-10,24.05,24.05,24.05,24.05
2371,2025-04-09,24.05,24.05,24.05,24.05
2370,2025-04-08,24.05,24.05,24.05,24.05
2369,2025-04-04,24.05,24.05,24.05,24.05
2368,2025-04-03,24.44,24.44,24.44,24.44
2367,2025-04-02,24.73,24.73,24.73,24.73
2366,2025-04-01,24.92,24.92,24.92,24.92
2365,2025-03-31,24.92,24.92,24.92,24.92
2364,2025-03-28,24.92,24.92,24.92,24.92
2363,2025-03-27,24.92,24.92,24.92,24.92
2362,2025-03-26,24.92,24.92,24.92,24.92
2361,2025-03-25,24.92,24.92,24.92,24.92
2360,2025-03-24,24.92,24.92,24.92,24.92
2359,2025-03-21,24.92,24.92,24.92,24.92
2358,2025-03-20,24.92,24.92,24.92,24.92
2357,2025-03-19,24.92,24.92,24.92,24.92
2356,2025-03-18,24.82,24.92,24.82,24.92
2355,2025-03-17,24.92,24.92,24.92,24.92
2354,2025-03-14,24.92,24.92,24.92,24.92
2353,2025-03-13,24.92,24.92,24.92,24.92
2352,2025-03-12,24.92,24.92,24.92,24.92
2351,2025-03-11,24.92,24.92,24.92,24.92
2350,2025-03-10,24.92,24.92,24.92,24.92
2349,2025-03-07,24.44,25.3,24.44,25.3
2348,2025-03-06,24.05,24.05,24.05,24.05
2347,2025-03-05,23.19,23.19,23.19,23.19
2346,2025-03-04,24.05,24.05,24.05,24.05
2345,2025-03-03,24.05,24.05,24.05,24.05
2344,2025-02-28,24.05,24.05,24.05,24.05
2343,2025-02-27,24.05,24.05,24.05,24.05
2342,2025-02-26,24.05,24.05,24.05,24.05
2341,2025-02-25,24.05,24.05,24.05,24.05
2340,2025-02-24,24.05,24.05,24.05,24.05
2339,2025-02-21,24.05,24.05,24.05,24.05
2338,2025-02-20,24.05,24.05,24.05,24.05
2337,2025-02-19,24.05,24.05,24.05,24.05
2336,2025-02-18,24.05,24.05,24.05,24.05
2335,2025-02-17,24.05,24.05,24.05,24.05
2334,2025-02-14,24.05,24.05,24.05,24.05
2333,2025-02-13,24.05,24.05,24.05,24.05
2332,2025-02-12,24.05,24.05,24.05,24.05
2331,2025-02-11,24.05,24.05,24.05,24.05
2330,2025-02-10,24.05,24.05,24.05,24.05
2329,2025-02-07,24.05,24.05,24.05,24.05
2328,2025-02-06,24.05,24.05,24.05,24.05
2327,2025-02-05,24.05,24.05,24.05,24.05
2326,2025-02-04,24.05,24.05,24.05,24.05
2325,2025-02-03,24.05,24.05,24.05,24.05
2324,2025-01-24,24.05,24.05,24.05,24.05
2323,2025-01-23,23.09,23.96,23.09,23.28
2322,2025-01-22,24.05,24.05,24.05,24.05
2321,2025-01-21,24.34,24.34,24.34,24.34
2320,2025-01-20,24.05,24.05,23.09,23.09
2319,2025-01-17,24.24,24.24,24.24,24.24
2318,2025-01-16,24.24,24.24,24.24,24.24
2317,2025-01-15,24.24,24.24,24.24,24.24
2316,2025-01-14,24.24,24.24,24.24,24.24
2315,2025-01-13,24.05,24.05,24.05,24.05
2314,2025-01-10,24.05,24.05,24.05,24.05
2313,2025-01-09,24.05,24.05,24.05,24.05
2312,2025-01-08,24.05,24.05,24.05,24.05
2311,2025-01-07,24.15,24.15,24.05,24.05
2310,2025-01-06,24.05,24.05,24.05,24.05
2309,2025-01-03,24.05,24.05,24.05,24.05
2308,2025-01-02,23.67,23.67,23.67,23.67
2307,2024-12-31,23.67,23.67,23.67,23.67
2306,2024-12-30,23.67,23.67,23.67,23.67
2305,2024-12-27,23.67,23.67,23.67,23.67
2304,2024-12-26,23.57,23.57,23.57,23.57
2303,2024-12-25,24.05,24.05,24.05,24.05
2302,2024-12-24,24.05,24.05,24.05,24.05
2301,2024-12-23,24.05,24.05,24.05,24.05
2300,2024-12-20,26.36,26.36,26.36,26.36
2299,2024-12-19,26.36,26.36,26.36,26.36
2298,2024-12-18,26.46,26.46,26.46,26.46
2297,2024-12-17,23.09,23.09,23.09,23.09
2296,2024-12-16,24.05,24.05,24.05,24.05
2295,2024-12-13,24.05,24.05,24.05,24.05
2294,2024-12-12,24.05,24.05,24.05,24.05
2293,2024-12-11,24.05,24.05,24.05,24.05
2292,2024-12-10,24.05,24.05,24.05,24.05
2291,2024-12-09,25.5,25.5,25.5,25.5
2290,2024-12-06,23.57,23.57,23.57,23.57
2289,2024-12-05,23.19,23.19,23.19,23.19
2288,2024-12-04,25.01,25.3,25.01,25.3
2287,2024-12-03,25.5,25.5,25.5,25.5
2286,2024-12-02,25.5,25.5,25.5,25.5
2285,2024-11-29,23.09,23.09,23.09,23.09
2284,2024-11-28,23.09,23.09,23.09,23.09
2283,2024-11-27,23.09,23.09,23.09,23.09
2282,2024-11-26,23.09,23.09,23.09,23.09
2281,2024-11-25,23.19,23.19,23.19,23.19
