,Date,Open,High,Low,Close
1763,2025-10-17,12.3,12.3,11.1,11.1
1762,2025-10-15,12.6,12.6,12.6,12.6
1761,2025-10-14,12.6,12.6,12.6,12.6
1760,2025-10-10,12.6,12.6,12.6,12.6
1759,2025-10-06,12.6,12.6,12.6,12.6
1758,2025-10-03,12.6,12.6,12.6,12.6
1757,2025-09-29,12.6,12.6,12.6,12.6
1756,2025-09-26,12.3,13.7,12.3,13.7
1755,2025-09-25,12.3,12.3,12.3,12.3
1754,2025-09-23,12.8,12.8,12.8,12.8
1753,2025-09-22,13.5,13.5,12.5,12.5
1752,2025-09-18,13.0,13.0,13.0,13.0
1751,2025-09-17,12.3,12.3,12.3,12.3
1750,2025-09-15,13.5,13.6,13.5,13.5
1749,2025-09-12,13.5,13.5,13.5,13.5
1748,2025-09-09,13.5,13.5,13.5,13.5
1747,2025-09-08,13.5,13.5,13.5,13.5
1746,2025-09-05,13.5,13.5,13.5,13.5
1745,2025-09-04,13.8,13.8,13.2,13.2
1744,2025-08-27,12.1,12.1,12.1,12.1
1743,2025-08-26,12.0,12.0,12.0,12.0
1742,2025-08-25,12.9,12.9,12.9,12.9
1741,2025-08-22,12.9,12.9,12.9,12.9
1740,2025-08-21,12.9,12.9,12.9,12.9
1739,2025-08-20,13.0,13.0,12.8,12.8
1738,2025-08-19,14.2,14.2,13.4,13.4
1737,2025-08-18,13.9,13.9,13.0,13.0
1736,2025-08-15,13.8,14.3,12.7,12.8
1735,2025-08-14,13.9,14.3,12.9,12.9
1734,2025-08-13,14.6,14.6,12.7,12.7
1733,2025-08-12,12.7,12.7,12.7,12.7
1732,2025-08-11,12.6,12.6,12.6,12.6
1731,2025-08-08,12.6,12.6,12.6,12.6
1730,2025-08-05,12.3,12.7,12.3,12.7
1729,2025-08-04,12.7,12.7,12.7,12.7
1728,2025-08-01,12.7,12.7,12.6,12.6
1727,2025-07-31,12.8,12.8,12.8,12.8
1726,2025-07-30,12.8,12.8,12.8,12.8
1725,2025-07-29,12.6,12.7,12.6,12.7
1724,2025-07-28,12.8,12.8,12.4,12.4
1723,2025-07-25,12.6,12.8,12.6,12.8
1722,2025-07-24,12.6,12.8,12.6,12.6
1721,2025-07-23,12.8,12.8,12.5,12.5
1720,2025-07-22,12.3,12.8,12.3,12.8
1719,2025-07-21,13.1,13.1,13.1,13.1
1718,2025-07-18,13.2,13.3,13.2,13.2
1717,2025-07-17,13.1,13.9,13.1,13.1
1716,2025-07-16,13.1,13.1,13.1,13.1
1715,2025-07-15,13.1,13.1,13.1,13.1
1714,2025-07-14,13.1,13.1,13.1,13.1
1713,2025-07-11,13.1,13.1,13.1,13.1
1712,2025-07-10,14.78,14.78,13.01,13.1
1711,2025-07-09,13.01,13.1,13.01,13.1
1710,2025-07-08,13.01,13.01,13.01,13.01
1709,2025-07-07,13.01,13.01,12.91,12.91
1708,2025-07-04,12.82,12.82,12.82,12.82
1707,2025-07-03,12.82,12.82,12.82,12.82
1706,2025-07-02,12.54,13.01,12.54,13.01
1705,2025-07-01,12.44,12.44,12.44,12.44
1704,2025-06-30,12.54,12.54,12.35,12.54
