,Date,Open,High,Low,Close
2250,2025-09-24,9.1,9.1,9.1,9.1
2249,2025-09-10,9.1,9.1,9.1,9.1
2248,2025-09-09,9.1,9.1,9.1,9.1
2247,2025-09-08,9.1,9.1,9.1,9.1
2246,2025-09-05,9.1,9.1,9.1,9.1
2245,2025-09-04,9.1,9.1,9.1,9.1
2244,2025-09-03,9.1,9.1,9.1,9.1
2243,2025-08-29,9.1,9.1,9.1,9.1
2242,2025-08-28,9.1,9.1,9.1,9.1
2241,2025-08-27,9.1,9.1,9.1,9.1
2240,2025-08-26,9.1,9.1,9.1,9.1
2239,2025-08-25,9.1,9.1,9.1,9.1
2238,2025-08-22,9.1,9.1,9.1,9.1
2237,2025-08-21,9.1,9.1,9.1,9.1
2236,2025-08-20,7.97,7.97,7.97,7.97
2235,2025-08-19,7.97,7.97,7.97,7.97
2234,2025-08-18,7.97,7.97,7.97,7.97
2233,2025-08-15,7.97,7.97,7.97,7.97
2232,2025-08-14,7.97,7.97,7.97,7.97
2231,2025-08-13,7.97,7.97,7.97,7.97
2230,2025-08-12,8.44,8.44,8.44,8.44
2229,2025-08-11,8.44,8.44,8.44,8.44
2228,2025-08-08,8.44,8.44,8.44,8.44
2227,2025-08-07,8.44,8.44,8.44,8.44
2226,2025-08-06,8.44,8.44,8.44,8.44
2225,2025-08-05,8.44,8.44,8.44,8.44
2224,2025-08-04,8.44,8.44,8.44,8.44
2223,2025-08-01,8.44,8.44,8.44,8.44
2222,2025-07-31,9.38,9.38,9.38,9.38
2221,2025-07-30,9.38,9.38,9.38,9.38
2220,2025-07-29,9.38,9.38,9.38,9.38
2219,2025-07-28,9.38,9.38,9.38,9.38
2218,2025-07-25,9.38,9.38,9.38,9.38
2217,2025-07-24,10.98,10.98,10.98,10.98
2216,2025-07-23,10.98,10.98,10.98,10.98
2215,2025-07-22,10.98,10.98,10.98,10.98
2214,2025-07-21,10.98,10.98,10.98,10.98
2213,2025-07-18,10.98,10.98,10.98,10.98
2212,2025-07-17,10.98,10.98,10.98,10.98
2211,2025-07-16,10.98,10.98,10.98,10.98
2210,2025-07-15,10.98,10.98,10.98,10.98
2209,2025-07-14,10.98,10.98,10.98,10.98
2208,2025-07-11,10.98,10.98,10.98,10.98
2207,2025-07-10,10.98,10.98,10.98,10.98
2206,2025-07-09,10.98,10.98,10.98,10.98
2205,2025-07-08,10.98,10.98,10.98,10.98
2204,2025-07-07,10.98,10.98,10.98,10.98
2203,2025-07-04,10.98,10.98,10.98,10.98
2202,2025-07-03,10.98,10.98,10.98,10.98
2201,2025-07-02,10.98,10.98,10.98,10.98
2200,2025-07-01,10.98,10.98,10.98,10.98
2199,2025-06-30,10.98,10.98,10.98,10.98
2198,2025-06-27,10.98,10.98,10.98,10.98
2197,2025-06-26,10.98,10.98,10.98,10.98
2196,2025-06-25,10.98,10.98,10.98,10.98
2195,2025-06-24,10.98,10.98,10.98,10.98
2194,2025-06-23,10.98,10.98,10.98,10.98
2193,2025-06-20,10.98,10.98,10.98,10.98
2192,2025-06-19,10.98,10.98,10.98,10.98
2191,2025-06-18,10.98,10.98,10.98,10.98
2190,2025-06-17,10.98,10.98,10.98,10.98
2189,2025-06-16,10.98,10.98,10.98,10.98
2188,2025-06-13,10.98,10.98,10.98,10.98
2187,2025-06-12,10.98,10.98,10.98,10.98
2186,2025-06-11,10.98,10.98,10.98,10.98
2185,2025-06-10,10.98,10.98,10.98,10.98
2184,2025-06-09,10.98,10.98,10.98,10.98
2183,2025-06-06,10.98,10.98,10.98,10.98
2182,2025-06-05,10.51,11.07,10.51,11.07
