,Date,Open,High,Low,Close
1617,2025-10-13,19.3,19.3,19.3,19.3
1616,2025-10-10,19.3,19.3,19.3,19.3
1615,2025-10-08,18.2,18.2,18.2,18.2
1614,2025-10-06,17.7,18.0,17.7,18.0
1613,2025-10-03,17.7,17.7,17.7,17.7
1612,2025-09-26,17.2,17.7,17.2,17.7
1611,2025-09-23,18.1,18.1,15.8,18.1
1610,2025-09-22,15.8,15.8,15.8,15.8
1609,2025-09-18,13.8,13.8,13.8,13.8
1608,2025-09-17,12.0,12.0,12.0,12.0
1607,2025-09-08,10.5,10.5,10.5,10.5
1606,2025-07-29,17.5,17.5,17.5,17.5
1605,2025-07-25,17.5,17.5,17.5,17.5
1604,2025-07-23,17.5,17.5,17.5,17.5
1603,2025-07-14,17.5,17.5,17.5,17.5
1602,2025-07-11,17.5,17.5,17.5,17.5
1601,2025-07-10,17.5,17.5,17.5,17.5
1600,2025-05-29,12.5,12.5,12.5,12.5
1599,2025-05-28,12.5,12.5,12.5,12.5
1598,2025-05-27,12.5,12.5,12.5,12.5
1597,2025-05-26,12.5,12.5,12.5,12.5
1596,2025-05-23,12.5,12.5,12.5,12.5
1595,2025-05-22,12.5,12.5,12.5,12.5
1594,2025-05-21,12.5,12.5,12.5,12.5
1593,2025-05-20,12.5,16.7,12.5,16.7
1592,2025-05-19,10.2,19.0,10.2,19.0
1591,2025-05-16,16.7,16.7,16.7,16.7
1590,2025-05-15,16.7,16.7,16.7,16.7
1589,2025-05-14,16.7,16.7,16.7,16.7
1588,2025-05-13,16.7,16.7,16.7,16.7
1587,2025-05-12,16.7,16.7,16.7,16.7
1586,2025-05-09,16.7,16.7,16.7,16.7
1585,2025-05-08,16.7,16.7,16.7,16.7
1584,2025-05-07,16.7,16.7,16.7,16.7
1583,2025-05-06,16.7,16.7,16.7,16.7
1582,2025-05-05,16.7,16.7,16.7,16.7
1581,2025-04-29,16.7,16.7,16.7,16.7
1580,2025-04-28,16.7,16.7,16.7,16.7
1579,2025-04-25,16.7,16.7,16.7,16.7
1578,2025-04-24,16.7,16.7,16.7,16.7
1577,2025-04-23,16.7,16.7,16.7,16.7
1576,2025-04-22,16.7,16.7,16.7,16.7
1575,2025-04-21,16.7,16.7,16.7,16.7
1574,2025-04-18,16.7,16.7,16.7,16.7
1573,2025-04-17,16.7,16.7,16.7,16.7
1572,2025-04-16,16.7,16.7,16.7,16.7
1571,2025-04-15,16.7,16.7,16.7,16.7
1570,2025-04-14,16.7,16.7,16.7,16.7
1569,2025-04-11,16.7,16.7,16.7,16.7
1568,2025-04-10,16.7,16.7,16.7,16.7
1567,2025-04-09,16.7,16.7,16.7,16.7
1566,2025-04-08,16.7,16.7,16.7,16.7
1565,2025-04-04,16.7,16.7,16.7,16.7
1564,2025-04-03,17.71,17.71,17.71,17.71
1563,2025-04-02,17.71,17.71,17.71,17.71
1562,2025-04-01,17.71,17.71,17.71,17.71
1561,2025-03-31,17.71,17.71,17.71,17.71
1560,2025-03-28,17.71,17.71,17.71,17.71
1559,2025-03-27,17.71,17.71,17.71,17.71
1558,2025-03-26,16.98,16.98,16.98,16.98
1557,2025-03-25,16.98,16.98,16.98,16.98
1556,2025-03-24,16.98,16.98,16.98,16.98
1555,2025-03-21,16.98,16.98,16.98,16.98
1554,2025-03-20,16.98,16.98,16.98,16.98
1553,2025-03-19,16.98,16.98,16.98,16.98
1552,2025-03-18,16.98,16.98,16.98,16.98
1551,2025-03-17,16.98,16.98,16.98,16.98
1550,2025-03-14,16.98,16.98,16.98,16.98
1549,2025-03-13,16.98,16.98,16.98,16.98
1548,2025-03-12,16.98,16.98,16.98,16.98
1547,2025-03-11,17.89,17.89,17.89,17.89
1546,2025-03-10,17.89,17.89,17.89,17.89
1545,2025-03-07,17.89,17.89,17.89,17.89
1544,2025-03-06,18.72,18.72,18.17,18.17
1543,2025-03-05,17.71,17.71,17.71,17.71
1542,2025-03-04,17.71,17.71,17.71,17.71
1541,2025-03-03,17.71,17.71,17.71,17.71
1540,2025-02-28,17.71,17.71,17.71,17.71
1539,2025-02-27,17.71,17.71,17.71,17.71
1538,2025-02-26,17.71,17.71,17.71,17.71
1537,2025-02-25,17.71,17.71,17.71,17.71
1536,2025-02-24,17.71,17.71,17.71,17.71
1535,2025-02-21,16.7,16.7,16.7,16.7
1534,2025-02-20,16.7,16.7,16.7,16.7
1533,2025-02-19,16.7,16.7,16.7,16.7
1532,2025-02-18,16.7,16.7,16.7,16.7
1531,2025-02-17,16.7,16.7,16.7,16.7
1530,2025-02-14,16.7,16.7,16.7,16.7
1529,2025-02-13,16.7,16.7,16.7,16.7
1528,2025-02-12,17.8,17.8,17.8,17.8
1527,2025-02-11,17.8,17.8,17.8,17.8
1526,2025-02-10,17.8,17.8,17.8,17.8
1525,2025-02-07,17.8,17.8,17.8,17.8
1524,2025-02-06,17.8,17.8,17.8,17.8
1523,2025-02-05,17.8,17.8,17.8,17.8
1522,2025-02-04,17.8,17.8,17.8,17.8
1521,2025-02-03,17.8,17.8,17.8,17.8
1520,2025-01-24,17.8,17.8,17.8,17.8
1519,2025-01-23,17.8,17.8,17.8,17.8
1518,2025-01-22,17.8,17.8,17.8,17.8
1517,2025-01-21,17.8,17.8,17.8,17.8
1516,2025-01-20,17.8,17.8,17.8,17.8
1515,2025-01-17,17.8,17.8,17.8,17.8
1514,2025-01-16,17.8,17.8,17.8,17.8
1513,2025-01-15,17.8,17.8,17.8,17.8
1512,2025-01-14,17.8,17.8,17.8,17.8
1511,2025-01-13,17.8,17.8,17.8,17.8
1510,2025-01-10,17.8,17.8,17.8,17.8
1509,2025-01-09,17.8,17.8,17.8,17.8
1508,2025-01-08,17.8,17.8,17.8,17.8
1507,2025-01-07,17.8,17.8,17.8,17.8
1506,2025-01-06,17.8,17.8,17.8,17.8
1505,2025-01-03,17.8,17.8,17.8,17.8
1504,2025-01-02,17.8,17.8,17.8,17.8
1503,2024-12-31,17.8,17.8,17.8,17.8
1502,2024-12-30,17.8,17.8,17.8,17.8
1501,2024-12-27,17.8,17.8,17.8,17.8
1500,2024-12-26,17.8,17.8,17.8,17.8
1499,2024-12-25,17.8,17.8,17.8,17.8
1498,2024-12-24,17.8,17.8,17.8,17.8
1497,2024-12-23,17.8,17.8,17.8,17.8
1496,2024-12-20,17.8,17.8,17.8,17.8
1495,2024-12-19,17.8,17.8,17.8,17.8
1494,2024-12-18,17.8,17.8,17.8,17.8
1493,2024-12-17,17.8,17.8,17.8,17.8
1492,2024-12-16,17.8,17.8,17.8,17.8
1491,2024-12-13,17.8,17.8,17.8,17.8
1490,2024-12-12,17.8,17.8,17.8,17.8
1489,2024-12-11,17.8,17.8,17.8,17.8
1488,2024-12-10,17.8,17.8,17.8,17.8
1487,2024-12-09,17.8,17.8,17.8,17.8
1486,2024-12-06,17.8,17.8,17.8,17.8
1485,2024-12-05,17.8,17.8,17.8,17.8
1484,2024-12-04,17.8,17.8,17.8,17.8
1483,2024-12-03,17.8,17.8,17.8,17.8
1482,2024-12-02,17.8,17.8,17.8,17.8
1481,2024-11-29,17.8,17.8,17.8,17.8
1480,2024-11-28,17.8,17.8,17.8,17.8
1479,2024-11-27,17.8,17.8,17.8,17.8
1478,2024-11-26,17.8,17.8,17.8,17.8
1477,2024-11-25,17.8,17.8,17.8,17.8
1476,2024-11-22,17.8,17.8,17.8,17.8
1475,2024-11-21,17.8,17.8,17.8,17.8
1474,2024-11-20,17.8,17.8,17.8,17.8
1473,2024-11-19,17.8,17.8,17.8,17.8
1472,2024-11-18,17.8,17.8,17.8,17.8
1471,2024-11-15,17.71,17.71,17.71,17.71
1470,2024-11-14,17.71,17.71,17.71,17.71
1469,2024-11-13,17.71,17.71,17.71,17.71
1468,2024-11-12,17.71,17.71,17.71,17.71
1467,2024-11-11,17.71,17.71,17.71,17.71
1466,2024-11-08,17.71,17.71,17.71,17.71
1465,2024-11-07,17.71,17.71,17.71,17.71
1464,2024-11-06,17.71,17.71,17.71,17.71
1463,2024-11-05,17.71,17.71,17.71,17.71
1462,2024-11-04,17.71,17.71,17.71,17.71
