,Date,Open,High,Low,Close
4699,2025-10-17,19.45,19.45,19.0,19.0
4698,2025-10-16,18.9,19.5,18.75,19.45
4697,2025-10-15,18.9,19.6,18.9,18.9
4696,2025-10-14,19.15,19.7,18.7,19.35
4695,2025-10-13,18.7,19.2,18.7,19.15
4694,2025-10-10,19.47,19.74,19.3,19.3
4693,2025-10-09,19.34,19.74,19.16,19.74
4692,2025-10-08,19.74,19.74,19.38,19.47
4691,2025-10-07,20.0,20.0,19.56,19.56
4690,2025-10-06,19.82,20.0,19.78,19.96
4689,2025-10-03,20.18,20.18,19.69,19.78
4688,2025-10-02,19.69,20.44,19.47,19.96
4687,2025-10-01,19.91,20.09,19.6,19.69
4686,2025-09-30,19.47,20.27,19.16,19.87
4685,2025-09-29,19.47,19.91,19.47,19.52
4684,2025-09-26,19.12,19.69,19.08,19.47
4683,2025-09-25,19.12,19.16,18.9,19.03
4682,2025-09-24,18.9,19.03,18.72,19.03
4681,2025-09-23,19.08,19.08,18.81,18.9
4680,2025-09-22,19.08,19.38,18.77,18.86
4679,2025-09-19,19.3,19.3,18.94,19.08
4678,2025-09-18,19.25,19.56,19.03,19.21
4677,2025-09-17,19.12,19.52,19.08,19.34
4676,2025-09-16,19.21,19.6,19.16,19.16
4675,2025-09-15,19.12,19.16,18.9,19.16
4674,2025-09-12,19.16,19.16,18.9,18.99
4673,2025-09-11,19.03,19.16,18.59,18.99
4672,2025-09-10,19.16,19.38,18.94,19.03
4671,2025-09-09,19.21,19.34,18.94,19.08
4670,2025-09-08,19.25,19.65,18.77,19.08
4669,2025-09-05,19.96,19.96,19.34,19.34
4668,2025-09-04,19.47,19.96,19.38,19.82
4667,2025-09-03,19.47,19.47,19.08,19.38
4666,2025-08-29,18.99,19.65,18.9,19.47
4665,2025-08-28,19.3,19.3,18.9,18.94
4664,2025-08-27,19.3,19.47,18.99,19.16
4663,2025-08-26,19.08,19.3,18.72,19.3
4662,2025-08-25,19.47,19.47,18.81,19.03
4661,2025-08-22,19.38,19.78,18.72,19.16
4660,2025-08-21,20.0,20.0,19.25,19.56
4659,2025-08-20,20.66,20.79,19.38,19.56
4658,2025-08-19,20.62,21.63,20.53,20.62
4657,2025-08-18,19.38,20.53,19.21,20.53
4656,2025-08-15,20.0,20.0,18.77,19.21
4655,2025-08-14,20.18,20.22,19.6,19.65
4654,2025-08-13,18.86,20.05,18.81,19.82
4653,2025-08-12,18.94,19.03,18.59,18.77
4652,2025-08-11,18.72,19.3,18.64,18.9
4651,2025-08-08,18.24,18.41,18.15,18.41
4650,2025-08-07,18.19,18.41,17.18,18.15
4649,2025-08-06,18.33,18.33,18.11,18.15
4648,2025-08-05,18.06,18.37,18.02,18.15
4647,2025-08-04,18.24,18.24,18.02,18.06
4646,2025-08-01,18.15,18.33,18.06,18.15
4645,2025-07-31,18.41,18.41,18.11,18.15
4644,2025-07-30,18.15,18.5,18.11,18.15
4643,2025-07-29,18.9,18.94,18.15,18.15
4642,2025-07-28,18.24,18.81,18.24,18.81
4641,2025-07-25,18.24,18.33,18.06,18.19
4640,2025-07-24,18.24,18.24,18.06,18.11
4639,2025-07-23,18.41,18.41,18.19,18.24
4638,2025-07-22,18.19,18.33,18.15,18.28
4637,2025-07-21,18.5,18.5,18.15,18.15
4636,2025-07-18,18.41,18.41,18.33,18.41
4635,2025-07-17,18.46,18.64,18.37,18.41
4634,2025-07-16,18.5,18.55,18.41,18.46
4633,2025-07-15,18.59,18.68,18.41,18.5
4632,2025-07-14,18.55,18.59,18.33,18.5
4631,2025-07-11,18.68,18.68,18.55,18.55
4630,2025-07-10,18.81,18.81,18.64,18.68
4629,2025-07-09,18.81,18.9,18.72,18.81
4628,2025-07-08,18.5,18.81,18.46,18.81
4627,2025-07-07,18.46,18.5,18.37,18.41
4626,2025-07-04,18.5,18.5,18.33,18.5
4625,2025-07-03,18.5,18.5,18.28,18.33
4624,2025-07-02,18.28,18.46,18.28,18.46
4623,2025-07-01,18.41,18.64,18.37,18.37
4622,2025-06-30,18.41,18.55,18.33,18.37
4621,2025-06-27,18.37,18.5,18.37,18.37
4620,2025-06-26,18.55,18.55,18.37,18.37
4619,2025-06-25,18.68,18.68,18.59,18.59
4618,2025-06-24,18.5,18.68,18.46,18.68
4617,2025-06-23,18.59,18.59,18.5,18.5
4616,2025-06-20,18.68,18.68,18.5,18.68
4615,2025-06-19,18.68,18.68,18.59,18.68
4614,2025-06-18,18.77,18.94,18.68,18.68
4613,2025-06-17,18.86,18.9,18.68,18.9
4612,2025-06-16,18.06,19.21,18.06,18.9
4611,2025-06-13,18.5,18.5,18.11,18.24
4610,2025-06-12,18.68,18.68,18.41,18.5
4609,2025-06-11,18.77,18.77,18.55,18.64
4608,2025-06-10,18.72,18.72,18.5,18.64
4607,2025-06-09,18.81,19.03,18.41,18.68
4606,2025-06-06,19.03,19.03,18.68,18.68
4605,2025-06-05,18.77,18.94,18.51,18.9
4604,2025-06-04,18.17,18.64,18.17,18.64
4603,2025-06-03,18.17,18.34,18.17,18.17
4602,2025-06-02,18.21,18.25,17.91,18.12
4601,2025-05-30,18.6,18.6,18.21,18.21
4600,2025-05-29,18.64,18.64,18.34,18.38
4599,2025-05-28,18.86,18.94,18.55,18.64
4598,2025-05-27,18.38,18.86,18.34,18.86
4597,2025-05-26,18.17,18.38,18.04,18.38
4596,2025-05-23,18.08,18.17,18.08,18.17
4595,2025-05-22,18.12,18.25,18.08,18.08
4594,2025-05-21,18.3,18.3,18.17,18.17
4593,2025-05-20,18.08,18.34,18.08,18.3
4592,2025-05-19,18.17,18.3,18.04,18.3
4591,2025-05-16,18.25,18.43,18.21,18.25
4590,2025-05-15,18.25,18.47,18.25,18.43
4589,2025-05-14,18.34,18.51,18.25,18.51
4588,2025-05-13,18.38,18.68,18.38,18.51
4587,2025-05-12,18.51,18.51,18.34,18.34
4586,2025-05-09,18.43,18.68,18.43,18.51
4585,2025-05-08,18.94,19.07,18.64,18.86
4584,2025-05-07,18.94,18.99,17.65,18.86
4583,2025-05-06,18.73,19.2,18.73,18.94
4582,2025-05-05,18.99,18.99,18.34,18.73
4581,2025-04-29,18.6,18.68,18.55,18.6
4580,2025-04-28,18.34,18.55,18.3,18.51
4579,2025-04-25,18.25,18.34,18.21,18.3
4578,2025-04-24,17.74,18.21,17.74,18.21
4577,2025-04-23,17.95,17.95,17.74,17.78
4576,2025-04-22,17.56,17.82,16.66,17.69
4575,2025-04-21,17.95,17.95,17.65,17.78
4574,2025-04-18,17.91,18.0,17.82,17.91
4573,2025-04-17,17.91,17.91,17.61,17.87
4572,2025-04-16,17.82,17.91,17.61,17.69
4571,2025-04-15,17.69,17.69,17.52,17.61
4570,2025-04-14,17.44,17.82,17.35,17.69
4569,2025-04-11,17.26,17.39,16.7,17.39
4568,2025-04-10,17.0,17.0,17.0,17.0
4567,2025-04-09,14.85,16.79,14.85,15.93
4566,2025-04-08,16.4,16.49,15.93,15.93
4565,2025-04-04,16.01,17.09,15.93,17.09
4564,2025-04-03,17.74,17.91,17.09,17.09
4563,2025-04-02,18.51,18.51,18.3,18.34
4562,2025-04-01,18.25,18.43,18.25,18.25
4561,2025-03-31,18.3,18.43,18.21,18.3
4560,2025-03-28,18.38,18.51,18.3,18.3
4559,2025-03-27,18.12,18.6,18.12,18.38
4558,2025-03-26,18.43,18.43,18.21,18.34
