,Date,Open,High,Low,Close
3766,2025-10-17,9.9,10.0,9.8,10.0
3765,2025-10-14,10.1,10.1,10.1,10.1
3764,2025-10-13,10.7,10.7,9.5,10.3
3763,2025-10-10,9.5,9.5,9.5,9.5
3762,2025-10-02,11.0,11.0,11.0,11.0
3761,2025-09-30,10.0,10.0,10.0,10.0
3760,2025-09-29,10.0,10.0,10.0,10.0
3759,2025-09-26,10.5,10.5,10.0,10.0
3758,2025-09-25,10.7,10.7,10.7,10.7
3757,2025-09-24,9.6,10.7,9.6,10.7
3756,2025-09-23,9.6,10.8,9.6,10.8
3755,2025-09-22,10.8,10.8,10.8,10.8
3754,2025-09-18,10.8,10.8,10.8,10.8
3753,2025-09-17,10.8,10.8,10.8,10.8
3752,2025-09-16,9.6,10.8,9.6,10.8
3751,2025-09-15,10.8,11.0,10.8,11.0
3750,2025-09-12,11.0,11.0,11.0,11.0
3749,2025-09-11,11.0,11.0,11.0,11.0
3748,2025-09-10,9.3,10.9,9.2,10.9
3747,2025-09-09,9.7,10.9,9.7,10.9
3746,2025-09-08,10.9,11.0,10.9,11.0
3745,2025-09-05,11.0,11.0,11.0,11.0
3744,2025-09-04,12.0,12.0,9.8,11.4
3743,2025-09-03,10.6,11.9,10.6,11.9
3742,2025-08-29,9.7,12.0,9.7,12.0
3741,2025-08-25,10.7,10.7,10.7,10.7
3740,2025-08-22,9.7,10.7,9.7,10.7
3739,2025-08-19,10.6,10.9,10.6,10.9
3738,2025-08-18,10.5,11.3,10.2,11.0
3737,2025-08-15,11.7,11.7,11.7,11.7
3736,2025-08-12,10.9,11.0,10.8,10.8
3735,2025-08-11,9.6,11.7,9.6,11.1
3734,2025-08-08,11.2,11.2,11.0,11.0
3733,2025-08-07,10.2,11.4,10.2,10.8
3732,2025-08-05,10.2,10.2,10.2,10.2
3731,2025-08-01,9.9,10.2,9.9,10.2
3730,2025-07-30,10.6,10.6,9.6,10.1
3729,2025-07-29,10.7,10.7,10.6,10.6
3728,2025-07-28,10.2,10.2,10.0,10.0
3727,2025-07-25,9.6,10.8,9.6,10.8
3726,2025-07-23,12.0,12.0,10.2,10.2
3725,2025-07-22,10.8,10.8,10.8,10.8
3724,2025-07-21,10.0,10.4,9.5,10.4
3723,2025-07-18,10.2,10.2,10.2,10.2
3722,2025-07-17,9.5,10.2,9.5,10.2
3721,2025-07-16,10.2,11.9,10.2,11.9
3720,2025-07-09,11.9,11.9,11.9,11.9
3719,2025-07-04,10.4,10.4,10.4,10.4
3718,2025-06-27,10.4,10.4,10.4,10.4
3717,2025-06-24,10.0,10.4,10.0,10.4
3716,2025-06-18,10.7,10.7,10.7,10.7
3715,2025-06-17,10.0,10.0,10.0,10.0
3714,2025-06-13,10.0,10.0,10.0,10.0
3713,2025-06-12,10.8,10.8,10.8,10.8
3712,2025-06-11,9.7,9.9,9.0,9.9
3711,2025-05-30,10.0,10.0,10.0,10.0
3710,2025-05-29,10.4,10.4,10.4,10.4
3709,2025-05-28,10.4,10.4,10.4,10.4
3708,2025-05-27,10.5,10.5,10.5,10.5
3707,2025-05-21,10.5,11.0,10.5,11.0
3706,2025-05-19,10.5,10.5,10.5,10.5
3705,2025-05-15,10.5,10.5,10.5,10.5
3704,2025-05-14,9.3,10.2,9.3,10.2
3703,2025-05-13,10.2,10.2,10.2,10.2
3702,2025-05-12,10.2,10.2,10.2,10.2
3701,2025-05-09,10.2,10.2,10.2,10.2
3700,2025-05-08,10.2,10.2,10.2,10.2
3699,2025-05-07,10.2,10.2,10.2,10.2
3698,2025-05-06,10.2,10.2,10.2,10.2
3697,2025-04-29,10.2,10.2,10.2,10.2
3696,2025-04-28,10.2,10.2,10.2,10.2
3695,2025-04-25,9.0,10.3,9.0,10.0
3694,2025-04-23,10.0,10.0,10.0,10.0
3693,2025-04-22,10.1,10.1,10.0,10.0
3692,2025-04-21,10.2,10.2,10.2,10.2
3691,2025-04-18,10.3,10.3,10.0,10.2
3690,2025-04-17,10.0,10.0,10.0,10.0
