,Date,Open,High,Low,Close
1584,2025-10-17,2.2,2.2,2.0,2.1
1583,2025-10-10,2.2,2.3,2.1,2.2
1582,2025-10-03,2.3,2.3,2.2,2.3
1581,2025-09-26,2.4,2.4,2.2,2.3
1580,2025-09-19,2.4,2.4,2.2,2.4
1579,2025-09-12,2.4,2.4,2.3,2.3
1578,2025-09-05,2.5,2.6,2.3,2.5
1577,2025-08-29,2.2,2.5,2.2,2.4
1576,2025-08-22,2.4,2.4,2.2,2.2
1575,2025-08-15,2.2,2.6,2.2,2.4
1574,2025-08-08,2.2,2.5,2.2,2.5
1573,2025-08-01,2.5,2.5,2.1,2.3
1572,2025-07-25,2.5,2.5,2.3,2.5
1571,2025-07-18,2.6,2.7,2.3,2.4
1570,2025-07-11,2.7,2.9,2.5,2.6
1569,2025-07-04,2.6,2.9,2.5,2.6
1568,2025-06-27,2.4,2.6,2.3,2.6
1567,2025-06-20,2.3,2.4,2.1,2.3
1566,2025-06-13,2.3,2.6,2.3,2.3
1565,2025-06-06,2.6,2.6,2.6,2.6
1564,2025-05-30,3.0,3.0,3.0,3.0
1563,2025-05-23,3.5,3.5,3.5,3.5
1562,2025-05-19,4.5,4.6,4.0,4.0
1561,2025-05-16,4.8,4.8,4.5,4.5
1560,2025-05-15,4.8,4.9,4.7,4.8
1559,2025-05-14,4.9,5.0,4.7,4.8
1558,2025-05-13,5.0,5.1,4.8,4.9
1557,2025-05-12,5.2,5.2,4.8,5.0
1556,2025-05-09,4.4,4.9,4.4,4.9
1555,2025-05-08,4.3,4.4,4.2,4.4
1554,2025-05-07,4.4,4.4,4.2,4.3
1553,2025-05-06,4.5,4.5,4.4,4.4
1552,2025-05-05,4.5,4.6,4.2,4.5
1551,2025-04-29,4.6,4.7,4.4,4.4
1550,2025-04-28,4.7,4.8,4.6,4.7
1549,2025-04-25,4.5,4.7,4.5,4.7
1548,2025-04-24,4.6,4.6,4.4,4.5
1547,2025-04-23,4.5,4.8,4.5,4.6
1546,2025-04-22,4.7,4.7,4.0,4.5
1545,2025-04-21,4.9,4.9,4.6,4.8
1544,2025-04-18,4.7,5.1,4.7,4.9
1543,2025-04-17,4.7,4.8,4.6,4.8
1542,2025-04-16,4.7,4.9,4.6,4.7
1541,2025-04-15,5.0,5.0,4.6,4.7
1540,2025-04-14,4.9,5.2,4.7,5.0
1539,2025-04-11,5.2,5.2,4.6,4.9
1538,2025-04-10,4.5,4.6,4.5,4.6
1537,2025-04-09,4.1,4.5,3.7,4.2
1536,2025-04-08,4.9,5.0,4.1,4.1
1535,2025-04-04,5.0,5.1,4.5,4.9
1534,2025-04-03,5.7,5.9,5.1,5.1
1533,2025-04-02,6.1,6.2,5.7,6.0
1532,2025-04-01,6.0,6.2,5.7,5.9
1531,2025-03-31,6.1,6.3,5.9,6.0
1530,2025-03-28,5.2,5.9,5.2,5.9
1529,2025-03-27,5.2,5.3,5.1,5.2
1528,2025-03-26,5.5,5.5,5.1,5.3
1527,2025-03-25,5.8,5.9,5.3,5.5
1526,2025-03-24,4.9,5.6,4.7,5.6
1525,2025-03-21,5.3,5.3,4.6,4.9
1524,2025-03-20,5.4,5.4,5.0,5.3
1523,2025-03-19,5.5,5.6,5.3,5.4
1522,2025-03-18,5.5,5.6,5.3,5.5
1521,2025-03-17,5.5,5.7,5.5,5.6
1520,2025-03-14,5.6,5.8,5.5,5.6
1519,2025-03-13,5.9,6.0,5.6,5.7
1518,2025-03-12,5.6,6.0,5.6,5.9
1517,2025-03-11,5.6,5.8,5.3,5.8
1516,2025-03-10,5.9,6.0,5.5,5.7
1515,2025-03-07,5.9,6.1,5.7,5.9
1514,2025-03-06,6.1,6.2,5.8,5.9
1513,2025-03-05,5.7,6.3,5.6,6.0
1512,2025-03-04,6.2,6.2,5.6,5.8
1511,2025-03-03,6.3,6.6,6.0,6.2
1510,2025-02-28,6.5,6.5,6.0,6.2
1509,2025-02-27,6.6,6.8,6.4,6.6
1508,2025-02-26,6.5,6.8,6.2,6.7
1507,2025-02-25,6.9,7.0,6.2,6.4
1506,2025-02-24,7.4,7.6,6.7,7.0
1505,2025-02-21,7.2,7.6,7.0,7.3
1504,2025-02-20,7.0,7.4,6.8,7.2
1503,2025-02-19,7.9,8.0,6.6,6.9
1502,2025-02-18,7.0,7.1,6.6,7.1
1501,2025-02-17,5.7,6.4,5.6,6.4
1500,2025-02-14,5.8,5.8,5.5,5.7
1499,2025-02-13,5.4,6.1,5.4,5.8
1498,2025-02-12,5.7,5.7,5.2,5.5
1497,2025-02-11,5.9,5.9,5.4,5.7
1496,2025-02-10,5.7,6.3,5.4,5.9
1495,2025-02-07,6.1,6.4,5.2,5.6
1494,2025-02-06,5.7,6.3,5.7,6.2
1493,2025-02-05,5.0,5.6,4.7,5.6
1492,2025-02-04,5.3,5.5,4.6,4.9
1491,2025-02-03,4.6,5.2,4.6,5.2
1490,2025-01-24,4.2,4.7,4.2,4.7
1489,2025-01-23,4.1,4.1,3.9,4.1
1488,2025-01-22,3.6,3.6,3.6,3.6
1487,2025-01-21,3.1,3.2,3.1,3.2
1486,2025-01-20,2.7,2.8,2.7,2.8
1485,2025-01-17,2.5,2.6,2.4,2.5
1484,2025-01-16,2.5,2.6,2.4,2.5
1483,2025-01-15,2.5,2.6,2.4,2.5
1482,2025-01-14,2.5,2.5,2.4,2.5
1481,2025-01-13,2.5,2.6,2.4,2.6
1480,2025-01-10,2.5,2.6,2.4,2.5
1479,2025-01-09,2.5,2.6,2.5,2.5
1478,2025-01-08,2.6,2.6,2.4,2.6
1477,2025-01-07,2.7,2.7,2.5,2.6
1476,2025-01-06,2.6,2.7,2.5,2.6
1475,2025-01-03,2.7,2.7,2.6,2.7
1474,2025-01-02,2.7,2.7,2.6,2.7
1473,2024-12-31,2.7,2.7,2.6,2.7
1472,2024-12-30,2.7,2.8,2.6,2.7
