,Date,Open,High,Low,Close
1789,2025-10-17,23.0,23.1,23.0,23.0
1788,2025-10-16,23.0,23.0,22.9,23.0
1787,2025-10-15,23.0,23.0,23.0,23.0
1786,2025-10-14,23.0,23.0,23.0,23.0
1785,2025-10-13,22.9,23.0,22.9,23.0
1784,2025-10-10,22.9,22.9,22.9,22.9
1783,2025-10-09,23.0,23.0,22.9,22.9
1782,2025-10-08,22.6,22.9,22.5,22.9
1781,2025-10-07,21.8,22.7,21.8,22.7
1780,2025-10-06,23.2,23.2,22.2,22.4
1779,2025-10-03,22.4,22.5,22.21,22.21
1778,2025-10-02,22.88,22.88,22.21,22.59
1777,2025-10-01,22.59,22.88,22.59,22.59
1776,2025-09-30,22.59,22.69,22.59,22.59
1775,2025-09-29,22.59,22.69,22.5,22.59
1774,2025-09-26,22.59,22.59,22.59,22.59
1773,2025-09-25,22.5,22.88,22.5,22.88
1772,2025-09-24,23.45,23.45,23.17,23.26
1771,2025-09-23,22.4,22.4,22.4,22.4
1770,2025-09-22,22.31,22.4,22.31,22.4
1769,2025-09-19,22.4,22.5,22.4,22.5
1768,2025-09-18,22.69,22.69,22.69,22.69
1767,2025-09-17,22.69,22.69,22.69,22.69
1766,2025-09-16,22.69,22.69,22.69,22.69
1765,2025-09-15,22.31,22.4,22.31,22.4
1764,2025-09-12,22.31,22.5,22.31,22.5
1763,2025-09-11,22.69,22.69,22.69,22.69
1762,2025-09-10,22.69,22.69,22.69,22.69
1761,2025-09-09,22.69,22.69,22.69,22.69
1760,2025-09-08,22.69,22.69,22.69,22.69
1759,2025-09-05,22.69,22.69,22.69,22.69
1758,2025-09-04,22.69,22.69,22.69,22.69
1757,2025-09-03,22.69,22.69,22.69,22.69
1756,2025-08-29,22.69,22.69,22.69,22.69
1755,2025-08-28,22.5,22.59,22.5,22.59
1754,2025-08-27,22.4,22.78,22.4,22.78
1753,2025-08-26,22.21,22.5,22.21,22.5
1752,2025-08-25,22.31,22.31,22.21,22.21
1751,2025-08-22,22.21,22.21,22.21,22.21
1750,2025-08-21,22.31,22.5,22.31,22.5
1749,2025-08-20,22.21,22.5,22.21,22.5
1748,2025-08-19,22.21,22.21,22.21,22.21
1747,2025-08-18,22.21,22.21,22.21,22.21
1746,2025-08-15,22.21,22.21,22.21,22.21
1745,2025-08-14,22.21,22.21,21.92,21.92
1744,2025-08-13,22.02,22.02,22.02,22.02
1743,2025-08-12,22.02,22.02,22.02,22.02
1742,2025-08-11,22.02,22.02,22.02,22.02
1741,2025-08-08,22.21,22.21,22.11,22.11
1740,2025-08-07,22.21,22.21,22.21,22.21
1739,2025-08-06,22.11,22.21,22.11,22.21
1738,2025-08-05,22.02,22.4,22.02,22.4
1737,2025-08-04,22.02,22.02,22.02,22.02
1736,2025-08-01,21.83,22.02,21.35,21.44
1735,2025-07-31,22.4,22.4,22.4,22.4
1734,2025-07-30,22.31,22.4,22.02,22.02
1733,2025-07-29,22.59,22.59,22.59,22.59
1732,2025-07-28,22.69,22.69,22.5,22.5
1731,2025-07-25,23.26,23.26,22.59,22.98
1730,2025-07-24,23.26,23.36,22.98,22.98
1729,2025-07-23,22.5,23.74,22.5,23.17
1728,2025-07-22,22.21,22.4,22.21,22.31
1727,2025-07-21,22.21,22.21,22.21,22.21
1726,2025-07-18,22.11,22.11,22.11,22.11
1725,2025-07-17,21.83,21.83,21.83,21.83
1724,2025-07-16,21.83,21.83,21.83,21.83
1723,2025-07-15,22.11,22.11,21.54,21.54
1722,2025-07-14,22.11,22.11,22.02,22.02
1721,2025-07-11,22.11,22.11,22.11,22.11
1720,2025-07-10,22.02,22.11,22.02,22.11
1719,2025-07-09,21.92,21.92,21.92,21.92
1718,2025-07-08,21.63,22.11,21.63,22.11
1717,2025-07-07,21.54,21.54,21.54,21.54
1716,2025-07-04,21.54,21.54,21.54,21.54
1715,2025-07-03,21.54,21.54,21.54,21.54
1714,2025-07-02,21.54,21.54,21.54,21.54
