,Date,Open,High,Low,Close
3665,2025-09-16,13.6,13.6,13.6,13.6
3664,2025-09-15,13.6,13.6,13.6,13.6
3663,2025-09-12,13.6,13.6,13.6,13.6
3662,2025-09-11,13.6,13.6,13.6,13.6
3661,2025-09-10,13.6,13.6,13.6,13.6
3660,2025-09-09,13.6,13.6,13.6,13.6
3659,2025-09-08,13.6,13.6,13.6,13.6
3658,2025-09-05,13.6,13.6,13.6,13.6
3657,2025-09-04,13.6,13.6,13.6,13.6
3656,2025-09-03,13.6,13.6,13.6,13.6
3655,2025-08-29,13.6,13.6,13.6,13.6
3654,2025-08-28,13.6,13.6,13.6,13.6
3653,2025-08-27,13.6,13.6,13.6,13.6
3652,2025-08-26,13.6,13.6,13.6,13.6
3651,2025-08-25,13.6,13.6,13.6,13.6
3650,2025-08-22,13.6,13.6,13.6,13.6
3649,2025-08-21,13.6,13.6,13.6,13.6
3648,2025-08-20,13.6,13.6,13.6,13.6
3647,2025-08-19,13.6,13.6,13.6,13.6
3646,2025-08-18,13.6,13.6,13.6,13.6
3645,2025-08-15,13.6,13.6,13.6,13.6
3644,2025-08-14,13.6,13.6,13.6,13.6
3643,2025-08-13,13.6,13.6,13.6,13.6
3642,2025-08-12,13.6,13.6,13.6,13.6
3641,2025-08-11,13.6,13.6,13.6,13.6
3640,2025-08-08,13.6,13.6,13.6,13.6
3639,2025-08-07,13.6,13.6,13.6,13.6
3638,2025-08-06,13.6,13.6,13.6,13.6
3637,2025-08-05,13.6,13.6,13.6,13.6
3636,2025-08-04,13.6,13.6,13.6,13.6
3635,2025-08-01,13.6,13.6,13.6,13.6
3634,2025-07-31,13.6,13.6,13.6,13.6
3633,2025-07-30,13.6,13.6,13.6,13.6
3632,2025-07-29,13.6,13.6,13.6,13.6
3631,2025-07-28,13.6,13.6,13.6,13.6
3630,2025-07-25,13.6,13.6,13.6,13.6
3629,2025-07-24,13.6,13.6,13.6,13.6
3628,2025-07-23,13.6,13.6,13.6,13.6
3627,2025-07-22,13.6,13.6,13.6,13.6
3626,2025-07-21,13.6,13.6,13.6,13.6
3625,2025-07-18,13.6,13.6,13.6,13.6
3624,2025-07-17,13.6,13.6,13.6,13.6
3623,2025-07-16,13.6,13.6,13.6,13.6
3622,2025-07-15,13.6,13.6,13.6,13.6
3621,2025-07-14,13.6,13.6,13.6,13.6
3620,2025-07-11,13.6,13.6,13.6,13.6
3619,2025-07-10,13.6,13.6,13.6,13.6
3618,2025-07-09,13.6,13.6,13.6,13.6
3617,2025-07-08,13.6,13.6,13.6,13.6
3616,2025-07-07,13.6,13.6,13.6,13.6
3615,2025-07-04,13.6,13.6,13.6,13.6
3614,2025-07-03,13.6,13.6,13.6,13.6
3613,2025-07-02,13.6,13.6,13.6,13.6
3612,2025-07-01,13.6,13.6,13.6,13.6
3611,2025-06-30,13.6,13.6,13.6,13.6
3610,2025-06-27,13.6,13.6,13.6,13.6
3609,2025-06-26,13.6,13.6,13.6,13.6
3608,2025-06-25,13.6,13.6,13.6,13.6
3607,2025-06-24,13.6,13.6,13.6,13.6
3606,2025-06-23,13.6,13.6,13.6,13.6
3605,2025-06-20,13.6,13.6,13.6,13.6
3604,2025-06-19,13.6,13.6,13.6,13.6
3603,2025-06-18,13.6,13.6,13.6,13.6
3602,2025-06-17,13.6,13.6,13.6,13.6
3601,2025-06-16,13.6,13.6,13.6,13.6
3600,2025-06-13,13.6,13.6,13.6,13.6
3599,2025-06-12,13.6,13.6,13.6,13.6
3598,2025-06-11,13.6,13.6,13.6,13.6
3597,2025-06-10,13.6,13.6,13.6,13.6
3596,2025-06-09,13.6,13.6,13.6,13.6
3595,2025-06-06,13.6,13.6,13.6,13.6
3594,2025-06-05,13.6,13.6,13.6,13.6
3593,2025-06-04,13.6,13.6,13.6,13.6
3592,2025-06-03,13.6,13.6,13.6,13.6
3591,2025-06-02,13.6,13.6,13.6,13.6
3590,2025-05-30,13.6,13.6,13.6,13.6
3589,2025-05-29,13.6,13.6,13.6,13.6
3588,2025-05-28,13.6,13.6,13.6,13.6
3587,2025-05-27,13.6,13.6,13.6,13.6
3586,2025-05-26,13.6,13.6,13.6,13.6
3585,2025-05-23,13.6,13.6,13.6,13.6
3584,2025-05-22,13.6,13.6,13.6,13.6
3583,2025-05-21,13.6,13.6,13.6,13.6
3582,2025-05-20,13.6,13.6,13.6,13.6
3581,2025-05-19,13.6,13.6,13.6,13.6
3580,2025-05-16,13.6,13.6,13.6,13.6
3579,2025-05-15,13.6,13.6,13.6,13.6
3578,2025-05-14,13.6,13.6,13.6,13.6
3577,2025-05-13,13.6,13.6,13.6,13.6
3576,2025-05-12,13.6,13.6,13.6,13.6
3575,2025-05-09,13.6,13.6,13.6,13.6
3574,2025-05-08,13.6,13.6,13.6,13.6
3573,2025-05-07,13.6,13.6,13.6,13.6
3572,2025-05-06,13.6,13.6,13.6,13.6
3571,2025-05-05,13.6,13.6,13.6,13.6
3570,2025-04-29,13.6,13.6,13.6,13.6
3569,2025-04-28,13.6,13.6,13.6,13.6
3568,2025-04-25,13.6,13.6,13.6,13.6
3567,2025-04-24,13.6,13.6,13.6,13.6
3566,2025-04-23,13.6,13.6,13.6,13.6
3565,2025-04-22,13.6,13.6,13.6,13.6
3564,2025-04-21,13.6,13.6,13.6,13.6
3563,2025-04-18,13.6,13.6,13.6,13.6
3562,2025-04-17,13.6,13.6,13.6,13.6
3561,2025-04-16,13.6,13.6,13.6,13.6
3560,2025-04-15,13.6,13.6,13.6,13.6
3559,2025-04-14,13.6,13.6,13.6,13.6
3558,2025-04-11,13.6,13.6,13.6,13.6
3557,2025-04-10,13.6,13.6,13.6,13.6
3556,2025-04-09,13.6,13.6,13.6,13.6
3555,2025-04-08,13.6,13.6,13.6,13.6
3554,2025-04-04,13.6,13.6,13.6,13.6
3553,2025-04-03,13.6,13.6,13.6,13.6
3552,2025-04-02,13.6,13.6,13.6,13.6
3551,2025-04-01,13.6,13.6,13.6,13.6
3550,2025-03-31,13.6,13.6,13.6,13.6
3549,2025-03-28,13.6,13.6,13.6,13.6
3548,2025-03-27,13.6,13.6,13.6,13.6
3547,2025-03-26,13.6,13.6,13.6,13.6
3546,2025-03-25,13.6,13.6,13.6,13.6
3545,2025-03-24,13.6,13.6,13.6,13.6
3544,2025-03-21,13.6,13.6,13.6,13.6
3543,2025-03-20,13.6,13.6,13.6,13.6
3542,2025-03-19,13.6,13.6,13.6,13.6
3541,2025-03-18,13.6,13.6,13.6,13.6
3540,2025-03-17,13.6,13.6,13.6,13.6
3539,2025-03-14,13.6,13.6,13.6,13.6
3538,2025-03-13,13.6,13.6,13.6,13.6
3537,2025-03-12,13.6,13.6,13.6,13.6
3536,2025-03-11,13.6,13.6,13.6,13.6
3535,2025-03-10,13.6,13.6,13.6,13.6
3534,2025-03-07,13.6,13.6,13.6,13.6
3533,2025-03-06,13.6,13.6,13.6,13.6
3532,2025-03-05,13.6,13.6,13.6,13.6
3531,2025-03-04,13.6,13.6,13.6,13.6
3530,2025-03-03,13.6,13.6,13.6,13.6
3529,2025-02-28,13.6,13.6,13.6,13.6
3528,2025-02-27,13.6,13.6,13.6,13.6
3527,2025-02-26,13.6,13.6,13.6,13.6
3526,2025-02-25,13.6,13.6,13.6,13.6
3525,2025-02-24,13.6,13.6,13.6,13.6
3524,2025-02-21,13.6,13.6,13.6,13.6
3523,2025-02-20,13.6,13.6,13.6,13.6
3522,2025-02-19,13.6,13.6,13.6,13.6
3521,2025-02-18,13.6,13.6,13.6,13.6
3520,2025-02-17,13.6,13.6,13.6,13.6
3519,2025-02-14,13.6,13.6,13.6,13.6
3518,2025-02-13,13.6,13.6,13.6,13.6
3517,2025-02-12,13.6,13.6,13.6,13.6
3516,2025-02-11,13.6,13.6,13.6,13.6
3515,2025-02-10,13.6,13.6,13.6,13.6
3514,2025-02-07,13.6,13.6,13.6,13.6
3513,2025-02-06,13.6,13.6,13.6,13.6
3512,2025-02-05,13.6,13.6,13.6,13.6
3511,2025-02-04,13.6,13.6,13.6,13.6
3510,2025-02-03,13.6,13.6,13.6,13.6
3509,2025-01-24,13.6,13.6,13.6,13.6
3508,2025-01-23,13.6,13.6,13.6,13.6
3507,2025-01-22,13.6,13.6,13.6,13.6
3506,2025-01-21,13.6,13.6,13.6,13.6
3505,2025-01-20,13.6,13.6,13.6,13.6
3504,2025-01-17,13.6,13.6,13.6,13.6
3503,2025-01-16,13.6,13.6,13.6,13.6
3502,2025-01-15,13.6,13.6,13.6,13.6
3501,2025-01-14,13.6,13.6,13.6,13.6
3500,2025-01-13,13.6,13.6,13.6,13.6
3499,2025-01-10,13.6,13.6,13.6,13.6
3498,2025-01-09,13.6,13.6,13.6,13.6
3497,2025-01-08,13.6,13.6,13.6,13.6
3496,2025-01-07,13.6,13.6,13.6,13.6
3495,2025-01-06,13.6,13.6,13.6,13.6
3494,2025-01-03,13.6,13.6,13.6,13.6
3493,2025-01-02,13.6,13.6,13.6,13.6
3492,2024-12-31,13.6,13.6,13.6,13.6
3491,2024-12-30,13.6,13.6,13.6,13.6
3490,2024-12-27,13.6,13.6,13.6,13.6
3489,2024-12-26,13.6,13.6,13.6,13.6
3488,2024-12-25,13.6,13.6,13.6,13.6
3487,2024-12-24,13.6,13.6,13.6,13.6
3486,2024-12-23,13.6,13.6,13.6,13.6
3485,2024-12-20,13.6,13.6,13.6,13.6
3484,2024-12-19,13.6,13.6,13.6,13.6
3483,2024-12-18,13.6,13.6,13.6,13.6
3482,2024-12-17,13.6,13.6,13.6,13.6
3481,2024-12-16,13.6,13.6,13.6,13.6
3480,2024-12-13,13.6,13.6,13.6,13.6
3479,2024-12-12,13.6,13.6,13.6,13.6
3478,2024-12-11,13.6,13.6,13.6,13.6
3477,2024-12-10,13.6,13.6,13.6,13.6
3476,2024-12-09,13.6,13.6,13.6,13.6
3475,2024-12-06,13.6,13.6,13.6,13.6
3474,2024-12-05,13.6,13.6,13.6,13.6
3473,2024-12-04,13.6,13.6,13.6,13.6
3472,2024-12-03,13.6,13.6,13.6,13.6
3471,2024-12-02,13.6,13.6,13.6,13.6
3470,2024-11-29,13.6,13.6,13.6,13.6
3469,2024-11-28,13.6,13.6,13.6,13.6
3468,2024-11-27,13.6,13.6,13.6,13.6
3467,2024-11-26,13.6,13.6,13.6,13.6
3466,2024-11-25,13.6,13.6,13.6,13.6
3465,2024-11-22,13.6,13.6,13.6,13.6
3464,2024-11-21,13.6,13.6,13.6,13.6
3463,2024-11-20,13.6,13.6,13.6,13.6
3462,2024-11-19,13.6,13.6,13.6,13.6
3461,2024-11-18,13.6,13.6,13.6,13.6
3460,2024-11-15,13.6,13.6,13.6,13.6
3459,2024-11-14,13.6,13.6,13.6,13.6
3458,2024-11-13,13.6,13.6,13.6,13.6
3457,2024-11-12,13.6,13.6,13.6,13.6
3456,2024-11-11,13.6,13.6,13.6,13.6
3455,2024-11-08,13.6,13.6,13.6,13.6
3454,2024-11-07,13.6,13.6,13.6,13.6
3453,2024-11-06,13.6,13.6,13.6,13.6
3452,2024-11-05,13.6,13.6,13.6,13.6
3451,2024-11-04,13.6,13.6,13.6,13.6
3450,2024-11-01,13.6,13.6,13.6,13.6
3449,2024-10-31,13.6,13.6,13.6,13.6
3448,2024-10-30,13.6,13.6,13.6,13.6
3447,2024-10-29,13.6,13.6,13.6,13.6
3446,2024-10-28,13.6,13.6,13.6,13.6
3445,2024-10-25,13.6,13.6,13.6,13.6
3444,2024-10-24,13.6,13.6,13.6,13.6
3443,2024-10-23,13.6,13.6,13.6,13.6
3442,2024-10-22,13.6,13.6,13.6,13.6
3441,2024-10-21,13.6,13.6,13.6,13.6
3440,2024-10-18,13.6,13.6,13.6,13.6
3439,2024-10-17,13.6,13.6,13.6,13.6
