,Date,Open,High,Low,Close
4125,2025-08-28,9.0,10.0,8.9,10.0
4124,2025-08-27,9.5,9.5,9.5,9.5
4123,2025-08-26,9.3,9.5,9.3,9.5
4122,2025-08-20,9.3,9.3,9.3,9.3
4121,2025-08-19,9.3,9.4,9.3,9.3
4120,2025-08-18,8.5,9.3,8.5,9.3
4119,2025-08-15,8.6,8.8,8.5,8.5
4118,2025-08-14,9.0,9.0,8.6,8.6
4117,2025-08-13,8.8,8.8,8.8,8.8
4116,2025-08-12,8.9,8.9,8.9,8.9
4115,2025-08-11,8.8,8.9,8.5,8.9
4114,2025-08-08,8.9,8.9,8.8,8.9
4113,2025-08-07,9.0,9.0,8.9,8.9
4112,2025-08-06,9.2,9.2,8.9,8.9
4111,2025-08-05,9.2,9.2,9.2,9.2
4110,2025-08-04,9.1,9.1,8.4,8.4
4109,2025-08-01,9.1,9.1,9.1,9.1
4108,2025-07-30,9.2,9.2,9.2,9.2
4107,2025-07-29,9.0,9.1,9.0,9.1
4106,2025-07-28,8.7,9.0,8.7,9.0
4105,2025-07-25,9.2,9.2,8.6,8.6
4104,2025-07-24,9.7,9.7,9.1,9.1
4103,2025-07-23,9.8,9.8,9.0,9.2
4102,2025-07-22,10.7,10.7,9.8,9.8
4101,2025-07-21,10.8,10.8,10.8,10.8
4100,2025-07-18,10.1,10.1,10.0,10.0
4099,2025-07-17,10.3,10.3,10.0,10.1
4098,2025-07-16,10.3,10.3,10.1,10.1
4097,2025-07-15,10.3,10.3,10.3,10.3
4096,2025-07-11,10.5,10.5,10.5,10.5
4095,2025-07-10,10.5,10.5,10.4,10.4
4094,2025-07-09,10.2,10.2,10.2,10.2
4093,2025-07-08,10.5,10.5,10.5,10.5
4092,2025-07-01,10.9,10.9,10.9,10.9
4091,2025-06-27,10.4,10.4,10.4,10.4
4090,2025-06-24,10.3,10.3,10.3,10.3
4089,2025-06-23,10.3,10.3,10.3,10.3
4088,2025-06-19,10.3,10.3,10.3,10.3
4087,2025-06-18,10.3,10.3,10.3,10.3
4086,2025-06-13,10.3,10.3,10.3,10.3
4085,2025-06-12,11.4,11.5,10.3,10.3
4084,2025-05-30,10.5,10.6,10.5,10.6
4083,2025-05-29,10.5,10.5,10.5,10.5
4082,2025-05-27,10.5,10.5,10.5,10.5
4081,2025-05-26,11.3,11.3,11.3,11.3
4080,2025-05-21,10.4,10.4,10.4,10.4
4079,2025-05-16,11.5,11.5,11.5,11.5
4078,2025-05-15,11.1,11.1,11.0,11.0
4077,2025-05-14,11.2,11.2,11.2,11.2
4076,2025-05-12,11.1,11.1,10.3,10.3
4075,2025-05-09,11.3,11.3,11.3,11.3
