,Date,Open,High,Low,Close,Volume
1091,2025-10-24,19.8,21.5,18.7,18.7,6400
1090,2025-10-23,19.2,19.3,19.2,19.2,1300
1089,2025-10-22,19.9,19.9,18.4,19.7,1100
1088,2025-10-21,18.6,20.2,17.5,19.9,26300
1087,2025-10-20,19.0,19.0,18.2,18.2,21800
1086,2025-10-17,18.9,19.5,18.4,19.4,27100
1085,2025-10-16,19.6,20.0,19.0,19.0,5400
1084,2025-10-15,19.4,19.7,19.4,19.7,1500
1083,2025-10-14,20.3,20.3,19.4,19.4,1700
1082,2025-10-13,19.1,20.4,19.0,20.0,18800
1081,2025-10-10,19.8,19.8,19.1,19.5,9500
1080,2025-10-09,19.9,19.9,19.4,19.4,2200
1079,2025-10-08,19.4,19.8,19.1,19.8,3100
1078,2025-10-07,19.6,20.0,19.0,19.8,3900
1077,2025-10-06,19.1,19.9,19.1,19.9,11100
1076,2025-10-03,19.5,19.5,18.9,18.9,12600
1075,2025-10-02,20.1,20.4,19.1,19.1,11200
1074,2025-10-01,20.0,20.4,19.4,20.1,8700
1073,2025-09-30,19.1,20.4,19.0,19.9,17600
1072,2025-09-29,18.5,19.9,18.5,19.9,18800
1071,2025-09-26,18.3,18.3,18.1,18.3,9800
1070,2025-09-25,18.3,18.8,18.0,18.3,19500
1069,2025-09-24,18.4,18.5,18.1,18.5,22600
1068,2025-09-23,18.9,18.9,18.1,18.1,9000
1067,2025-09-22,18.0,18.0,17.9,18.0,3900
1066,2025-09-19,17.9,17.9,17.6,17.8,5100
1065,2025-09-18,18.3,18.3,17.9,17.9,6600
1064,2025-09-17,18.3,18.4,18.2,18.2,4100
1063,2025-09-15,18.0,18.5,18.0,18.5,400
1062,2025-09-12,17.8,18.4,17.8,18.4,2700
1061,2025-09-11,17.9,17.9,17.7,17.7,6200
1060,2025-09-10,18.1,18.4,17.8,17.8,10900
1059,2025-09-09,18.1,18.4,17.8,18.1,8900
1058,2025-09-08,19.3,19.3,17.8,17.8,16700
1057,2025-09-05,19.0,19.1,18.1,18.1,11400
1056,2025-09-04,18.4,18.5,17.9,18.5,15000
1055,2025-09-03,18.4,18.4,18.3,18.3,1800
1054,2025-08-29,18.4,18.4,18.1,18.4,4800
1053,2025-08-28,17.9,18.2,17.8,18.0,2100
1052,2025-08-27,18.0,18.0,17.9,18.0,5600
1051,2025-08-26,17.9,18.3,17.9,18.0,16700
1050,2025-08-25,18.6,18.6,17.4,17.6,26100
1049,2025-08-22,19.5,19.5,17.5,18.8,22600
1048,2025-08-21,19.7,19.7,18.8,19.4,28700
1047,2025-08-20,20.3,20.3,19.1,19.4,46300
1046,2025-08-19,20.0,20.5,19.9,20.3,34100
1045,2025-08-18,19.9,20.5,19.9,20.2,24300
1044,2025-08-15,20.6,20.6,19.8,19.9,32900
1043,2025-08-14,20.2,21.0,20.2,20.4,29200
1042,2025-08-13,20.1,20.5,20.0,20.2,39200
1041,2025-08-12,20.2,20.3,19.6,19.8,37138
1040,2025-08-11,19.2,20.1,19.2,20.1,38906
1039,2025-08-08,19.5,19.5,19.2,19.2,25600
1038,2025-08-07,19.1,19.9,18.9,19.1,51500
1037,2025-08-06,19.1,19.5,19.0,19.0,16045
1036,2025-08-05,18.7,19.8,18.7,18.9,26808
1035,2025-08-04,20.1,20.1,18.7,18.7,29921
1034,2025-08-01,20.9,21.3,20.0,20.0,18658
1033,2025-07-31,20.2,20.9,20.2,20.9,129035
1032,2025-07-30,17.87,18.61,17.5,18.61,33644
1031,2025-07-29,18.33,18.33,17.59,17.59,27302
1030,2025-07-28,18.52,18.52,17.96,18.43,40725
1029,2025-07-25,17.59,18.7,17.59,18.52,96800
1028,2025-07-24,16.2,16.67,16.02,16.67,29901
1027,2025-07-23,17.13,17.22,15.83,16.3,33330
1026,2025-07-22,16.85,17.59,16.48,16.76,33503
1025,2025-07-21,14.72,16.85,14.72,16.85,155617
1024,2025-07-18,14.07,15.28,14.07,14.54,50200
1023,2025-07-17,13.98,14.07,13.89,13.89,29250
1022,2025-07-16,13.98,13.98,13.89,13.89,4100
1021,2025-07-15,14.44,14.44,14.07,14.07,13637
1020,2025-07-14,14.44,14.44,13.89,14.44,2334
1019,2025-07-11,14.44,14.81,13.89,14.17,16559
1018,2025-07-10,14.81,14.81,14.07,14.63,1001
1017,2025-07-09,15.0,15.09,13.52,14.81,56800
1016,2025-07-08,14.81,14.81,14.81,14.81,2601
1015,2025-07-07,14.72,15.0,14.72,15.0,12800
1014,2025-07-04,14.81,14.81,14.72,14.72,9130
1013,2025-07-03,15.0,15.0,14.54,14.54,18900
1012,2025-07-02,16.3,16.3,14.72,14.81,3107
1011,2025-07-01,14.17,14.35,14.17,14.35,1100
1010,2025-06-30,13.89,13.98,13.89,13.98,3400
1009,2025-06-27,13.8,13.8,13.8,13.8,201
1008,2025-06-26,13.7,13.7,13.7,13.7,100
1007,2025-06-25,13.7,13.7,13.61,13.61,1420
1006,2025-06-24,13.7,13.7,13.52,13.61,9400
1005,2025-06-23,13.7,13.7,13.61,13.61,5800
1004,2025-06-20,13.7,13.98,13.7,13.8,11300
1003,2025-06-19,13.7,14.44,13.7,14.44,501
1002,2025-06-18,13.8,13.89,13.52,13.89,2999
1001,2025-06-17,14.17,14.17,14.17,14.17,0
1000,2025-06-16,13.06,14.44,12.96,14.44,42307
999,2025-06-13,13.89,13.89,13.15,13.15,18403
998,2025-06-12,13.89,13.98,13.8,13.89,7007
997,2025-06-11,15.46,15.46,13.7,13.89,2118
996,2025-06-10,15.74,15.74,13.52,13.52,1161
995,2025-06-09,14.07,14.17,13.89,14.17,14568
994,2025-06-06,15.65,15.65,13.89,13.89,3400
993,2025-06-05,14.35,14.35,13.89,14.17,7927
992,2025-06-04,13.06,14.07,12.96,14.07,44982
991,2025-06-03,13.89,13.89,13.15,13.43,11750
990,2025-06-02,14.17,14.17,13.43,13.43,7055
989,2025-05-30,14.35,14.54,14.35,14.35,7362
988,2025-05-29,14.17,15.37,14.17,14.17,17908
987,2025-05-28,12.68,14.17,12.59,12.87,44055
986,2025-05-27,12.59,12.68,12.59,12.68,2300
985,2025-05-26,13.24,13.24,12.5,12.5,5601
984,2025-05-23,12.41,12.5,12.41,12.5,4400
983,2025-05-22,12.31,12.41,12.31,12.41,4704
982,2025-05-21,12.31,12.41,12.31,12.41,5200
981,2025-05-20,12.22,12.87,12.22,12.31,8557
980,2025-05-19,12.5,12.5,12.22,12.31,8824
979,2025-05-16,12.04,12.13,12.04,12.13,1220
978,2025-05-15,12.41,12.41,12.04,12.31,6015
977,2025-05-14,13.06,13.06,12.13,12.22,14206
976,2025-05-13,13.24,13.24,12.96,12.96,8509
975,2025-05-12,13.7,13.7,13.06,13.15,31400
974,2025-05-09,13.06,13.89,12.68,13.8,78475
973,2025-05-08,15.28,15.28,12.04,12.96,36801
972,2025-05-07,13.33,13.33,12.96,13.33,138646
971,2025-05-06,11.39,11.76,10.65,11.76,19801
970,2025-05-05,9.81,10.65,9.35,10.28,17200
969,2025-04-29,9.35,9.35,9.26,9.26,2900
