,Date,Open,High,Low,Close,Volume
1715,2025-10-24,8.2,8.3,8.1,8.3,581200
1714,2025-10-23,8.2,8.3,8.1,8.1,383800
1713,2025-10-22,8.3,8.3,8.0,8.2,555800
1712,2025-10-21,8.3,8.4,8.0,8.2,932200
1711,2025-10-20,8.7,8.7,7.5,8.4,2698600
1710,2025-10-17,8.7,8.8,8.6,8.7,546400
1709,2025-10-16,8.7,8.8,8.5,8.7,1316600
1708,2025-10-15,8.8,8.9,8.5,8.7,1702700
1707,2025-10-14,9.1,9.2,8.8,8.8,1362600
1706,2025-10-13,9.2,9.2,8.4,9.1,1032800
1705,2025-10-10,9.2,9.4,9.1,9.2,706700
1704,2025-10-09,9.2,9.2,9.1,9.1,490700
1703,2025-10-08,9.3,9.4,9.0,9.2,943700
1702,2025-10-07,9.2,9.4,9.1,9.2,753500
1701,2025-10-06,9.1,9.4,9.0,9.3,815700
1700,2025-10-03,9.2,9.2,9.0,9.0,845800
1699,2025-10-02,9.2,9.4,9.1,9.2,804900
1698,2025-10-01,9.4,9.4,9.2,9.3,405000
1697,2025-09-30,9.5,9.6,9.1,9.4,1544600
1696,2025-09-29,9.5,9.7,9.4,9.5,1452700
1695,2025-09-26,9.5,9.7,9.4,9.5,1915200
1694,2025-09-25,9.3,9.6,9.3,9.5,2352400
1693,2025-09-24,9.2,9.4,9.1,9.3,857400
1692,2025-09-23,9.3,9.3,9.1,9.2,557300
1691,2025-09-22,9.2,9.3,9.0,9.2,1672700
1690,2025-09-19,9.4,9.4,9.2,9.3,655700
1689,2025-09-18,9.3,9.5,9.3,9.4,952200
1688,2025-09-17,9.6,9.6,9.3,9.3,860100
1687,2025-09-16,10.1,10.1,9.3,9.5,5691200
1686,2025-09-15,9.6,9.7,9.4,9.6,2146300
1685,2025-09-12,9.2,9.7,9.2,9.5,1726400
1684,2025-09-11,9.3,9.4,9.1,9.3,1212600
1683,2025-09-10,9.3,9.6,9.3,9.4,1865500
1682,2025-09-09,9.3,9.4,9.1,9.4,1198700
1681,2025-09-08,8.2,9.6,8.2,9.2,2309500
1680,2025-09-05,9.7,9.8,9.5,9.6,4309900
1679,2025-09-04,9.5,9.7,9.4,9.7,3869400
1678,2025-09-03,9.3,9.6,9.2,9.5,2777500
1677,2025-08-29,9.3,9.4,9.1,9.3,2043400
1676,2025-08-28,9.2,9.3,9.1,9.3,1278400
1675,2025-08-27,9.3,9.5,9.1,9.2,1716500
1674,2025-08-26,9.0,9.4,8.8,9.3,1826900
1673,2025-08-25,9.3,9.5,8.8,9.0,3654400
1672,2025-08-22,9.7,9.7,9.2,9.3,4155300
1671,2025-08-21,10.3,10.3,9.7,9.7,2129300
1670,2025-08-20,10.8,10.8,9.5,10.1,6133400
1669,2025-08-19,10.4,10.9,10.2,10.6,5412800
1668,2025-08-18,9.5,10.5,9.5,10.4,6467500
1667,2025-08-15,9.8,9.8,9.3,9.5,4111700
1666,2025-08-14,9.9,9.9,9.6,9.8,2195600
1665,2025-08-13,9.9,10.1,9.5,9.9,3584700
