,Date,Open,High,Low,Close,Volume
3874,2025-10-22,35.5,35.5,31.9,31.9,700
3873,2025-10-21,32.4,32.4,32.4,32.4,100
3872,2025-10-20,32.5,32.5,32.5,32.5,300
3871,2025-10-16,31.0,33.3,31.0,33.3,700
3870,2025-10-15,31.5,31.5,31.5,31.5,100
3869,2025-10-10,30.8,30.8,30.8,30.8,100
3868,2025-10-08,31.4,31.4,30.8,30.8,300
3867,2025-10-03,31.4,31.4,31.4,31.4,100
3866,2025-10-01,32.3,32.3,29.4,29.4,400
3865,2025-09-30,30.2,32.4,30.2,32.4,300
3864,2025-09-25,33.0,33.4,33.0,33.1,300
3863,2025-09-19,31.6,34.3,31.6,34.3,7500
3862,2025-09-15,35.0,35.0,33.5,34.5,1600
3861,2025-09-12,35.9,35.9,35.9,35.9,100
3860,2025-09-11,33.6,33.6,33.3,33.6,600
3859,2025-09-10,33.9,33.9,33.6,33.6,7900
3858,2025-09-03,37.0,37.0,36.9,36.9,300
3857,2025-08-27,40.4,40.4,40.4,40.4,100
3856,2025-08-26,38.3,38.3,38.3,38.3,100
3855,2025-08-25,35.4,35.4,35.4,35.4,100
3854,2025-08-22,34.5,34.5,32.2,32.2,600
3853,2025-08-21,34.5,34.9,34.5,34.9,200
3852,2025-08-20,34.5,34.5,34.5,34.5,100
3851,2025-08-19,36.0,36.0,36.0,36.0,200
3850,2025-08-14,36.0,36.0,36.0,36.0,100
3849,2025-08-12,34.2,34.2,34.2,34.2,100
3848,2025-08-11,36.9,36.9,36.9,36.9,1600
3847,2025-08-07,36.8,37.0,36.8,36.9,1900
3846,2025-08-06,35.0,40.8,34.3,40.8,400
3845,2025-08-05,37.7,37.7,36.2,37.6,300
3844,2025-08-04,34.5,34.5,34.2,34.3,800
3843,2025-07-31,34.5,34.5,34.5,34.5,100
3842,2025-07-29,39.0,39.0,35.2,35.2,200
3841,2025-07-25,39.0,39.8,39.0,39.0,600
3840,2025-07-24,39.2,39.2,39.0,39.0,300
3839,2025-07-23,36.3,36.3,36.3,36.3,100
3838,2025-07-22,36.2,36.2,36.2,36.2,200
3837,2025-07-21,33.7,33.7,33.7,33.7,500
3836,2025-07-18,36.8,36.8,36.8,36.8,200
3835,2025-07-17,36.0,36.0,35.8,35.8,200
3834,2025-07-16,35.5,38.8,35.5,38.8,200
3833,2025-07-14,39.3,39.3,39.3,39.3,100
3832,2025-07-11,37.7,37.7,37.7,37.7,100
3831,2025-07-10,33.7,36.4,33.7,36.4,600
3830,2025-07-08,33.1,33.1,33.1,33.1,100
3829,2025-07-07,32.7,32.7,32.7,32.7,200
3828,2025-07-04,34.7,34.7,34.7,34.7,100
3827,2025-07-03,37.8,37.8,37.8,37.8,200
3826,2025-07-01,37.8,37.8,37.8,37.8,300
3825,2025-06-30,34.5,34.5,34.5,34.5,200
3824,2025-06-27,34.5,34.5,34.5,34.5,500
3823,2025-06-26,31.4,31.4,31.4,31.4,300
3822,2025-06-25,34.4,34.4,34.4,34.4,100
3821,2025-06-23,34.2,34.5,34.2,34.3,500
3820,2025-06-17,37.8,37.8,37.8,37.8,200
3819,2025-06-06,38.0,38.0,38.0,38.0,300
3818,2025-06-03,36.1,37.0,36.1,36.5,3300
3817,2025-06-02,39.5,39.5,39.5,39.5,200
3816,2025-05-22,43.6,43.6,43.6,43.6,100
3815,2025-05-21,43.8,43.8,43.8,43.8,100
3814,2025-05-16,40.9,40.9,40.9,40.9,100
3813,2025-05-12,40.0,40.0,40.0,40.0,200
3812,2025-05-08,36.7,44.4,36.6,44.4,600
3811,2025-05-07,40.5,40.5,40.5,40.5,600
3810,2025-05-05,45.0,45.0,45.0,45.0,100
3809,2025-04-28,49.9,49.9,49.9,49.9,100
3808,2025-04-23,45.4,45.4,45.4,45.4,100
3807,2025-04-18,45.4,45.4,45.4,45.4,100
3806,2025-03-07,50.4,50.4,50.4,50.4,100
3805,2025-03-06,56.0,56.0,56.0,56.0,200
3804,2025-02-28,60.0,60.0,59.0,59.2,1700
3803,2025-02-27,57.5,57.5,57.5,57.5,100
3802,2025-02-26,57.0,57.0,57.0,57.0,100
3801,2025-02-25,62.8,62.8,62.8,62.8,300
3800,2025-02-21,62.8,62.8,62.8,62.8,100
3799,2025-02-06,62.8,62.8,62.8,62.8,100
3798,2025-01-09,59.0,59.0,59.0,59.0,500
3797,2025-01-03,59.0,59.0,59.0,59.0,500
3796,2024-12-03,54.0,56.0,54.0,54.0,600
3795,2024-11-21,56.0,56.0,56.0,56.0,100
3794,2024-11-20,56.0,56.0,56.0,56.0,100
3793,2024-11-19,51.0,55.0,51.0,55.0,2500
3792,2024-11-15,50.0,51.0,50.0,51.0,200
3791,2024-11-14,50.0,50.0,49.5,49.5,300
3790,2024-11-13,47.0,47.3,45.6,47.3,400
3789,2024-11-12,43.0,43.0,43.0,43.0,200
3788,2024-11-08,39.1,39.1,39.1,39.1,900
3787,2024-10-24,35.6,35.6,35.6,35.6,100
3786,2024-10-14,38.8,38.8,38.8,38.8,100
3785,2024-10-08,43.0,43.0,43.0,43.0,100
3784,2024-09-26,42.0,43.0,42.0,43.0,2300
3783,2024-09-20,36.0,41.5,36.0,41.5,2000
3782,2024-08-30,37.8,37.8,37.8,37.8,100
3781,2024-08-28,37.8,37.8,37.8,37.8,200
3780,2024-08-06,42.0,42.0,42.0,42.0,300
3779,2024-08-02,37.8,42.0,37.8,42.0,3200
3778,2024-07-31,42.0,42.0,42.0,42.0,2200
3777,2024-07-29,35.1,42.0,35.1,42.0,2500
3776,2024-07-26,38.8,38.8,38.8,38.8,1100
3775,2024-07-25,39.1,42.9,39.1,42.9,201
3774,2024-07-24,43.4,43.4,43.4,43.4,2
3773,2024-07-23,43.4,43.4,43.4,43.4,102
3772,2024-07-22,40.0,40.0,40.0,40.0,100
3771,2024-07-19,36.6,36.6,36.6,36.6,0
3770,2024-07-18,36.6,36.6,36.6,36.6,1100
3769,2024-07-17,40.5,40.5,40.5,40.5,0
3768,2024-07-16,40.5,40.5,40.5,40.5,0
3767,2024-07-15,40.5,40.5,40.5,40.5,0
3766,2024-07-12,40.5,40.5,40.5,40.5,0
3765,2024-07-11,40.5,40.5,40.5,40.5,5
3764,2024-07-10,40.5,40.5,40.5,40.5,1
3763,2024-07-09,40.5,40.5,40.5,40.5,2
3762,2024-07-08,40.5,40.5,40.5,40.5,0
3761,2024-07-05,40.5,40.5,40.5,40.5,2
3760,2024-07-04,40.5,40.5,40.5,40.5,2
3759,2024-07-03,40.5,40.5,40.5,40.5,5
3758,2024-07-02,40.5,40.5,40.5,40.5,0
3757,2024-07-01,40.5,40.5,40.5,40.5,500
3756,2024-06-28,45.0,45.0,45.0,45.0,39
3755,2024-06-27,44.5,45.0,44.5,45.0,200
3754,2024-06-26,45.0,45.0,45.0,45.0,0
3753,2024-06-25,45.0,45.0,45.0,45.0,1
3752,2024-06-24,45.0,45.0,45.0,45.0,0
3751,2024-06-21,45.0,45.0,45.0,45.0,0
3750,2024-06-20,45.0,45.0,45.0,45.0,0
3749,2024-06-19,45.0,45.0,45.0,45.0,0
3748,2024-06-18,45.0,45.0,45.0,45.0,0
3747,2024-06-17,45.0,45.0,45.0,45.0,500
3746,2024-06-14,45.0,45.0,45.0,45.0,0
3745,2024-06-13,45.0,45.0,45.0,45.0,0
3744,2024-06-12,45.0,45.0,45.0,45.0,0
3743,2024-06-11,45.0,45.0,45.0,45.0,100
3742,2024-06-10,43.3,43.3,43.3,43.3,10
3741,2024-06-07,43.3,43.3,43.3,43.3,0
3740,2024-06-06,41.5,43.3,41.5,43.3,3338
3739,2024-06-05,39.4,39.4,39.4,39.4,100
3738,2024-06-04,39.4,39.4,39.4,39.4,100
3737,2024-06-03,39.4,39.4,39.4,39.4,163
3736,2024-05-31,39.6,39.6,39.6,39.6,150
3735,2024-05-30,33.5,40.7,33.5,36.0,600
3734,2024-05-29,37.0,37.0,37.0,37.0,0
3733,2024-05-28,37.0,37.0,37.0,37.0,3
