,Date,Open,High,Low,Close
1449,2025-10-17,14.3,14.3,14.3,14.3
1448,2025-10-16,14.1,14.2,14.0,14.2
1447,2025-10-15,14.1,14.1,14.1,14.1
1446,2025-10-14,15.4,15.4,15.4,15.4
1445,2025-10-13,14.3,14.5,14.3,14.5
1444,2025-10-10,15.0,15.0,14.3,14.3
1443,2025-10-09,14.9,14.9,14.9,14.9
1442,2025-10-08,15.0,15.0,14.6,14.6
1441,2025-10-07,14.1,14.3,14.0,14.3
1440,2025-10-06,14.5,14.7,14.4,14.4
1439,2025-10-03,15.0,15.0,15.0,15.0
1438,2025-10-02,15.0,15.0,15.0,15.0
1437,2025-10-01,13.9,15.1,13.9,15.1
1436,2025-09-30,16.15,16.15,16.15,16.15
1435,2025-09-29,16.24,16.24,16.06,16.06
1434,2025-09-26,15.78,15.78,15.78,15.78
1433,2025-09-25,15.97,16.15,15.6,16.15
1432,2025-09-24,15.6,15.69,15.6,15.6
1431,2025-09-23,15.6,15.6,15.6,15.6
1430,2025-09-22,15.04,15.04,15.04,15.04
1429,2025-09-19,15.5,15.5,15.5,15.5
1428,2025-09-18,15.41,16.15,15.41,16.15
1427,2025-09-17,15.69,15.69,15.32,15.32
1426,2025-09-16,15.5,15.87,15.5,15.69
1425,2025-09-15,15.5,15.97,15.23,15.97
1424,2025-09-12,16.98,16.98,15.5,15.5
1423,2025-09-11,14.86,14.86,14.77,14.86
1422,2025-09-10,13.2,14.95,13.2,14.95
1421,2025-09-09,15.04,15.04,15.04,15.04
1420,2025-09-08,14.3,14.3,14.3,14.3
1419,2025-09-05,14.86,14.86,14.86,14.86
1418,2025-09-04,14.86,14.86,14.86,14.86
1417,2025-09-03,14.86,14.86,14.86,14.86
1416,2025-08-29,14.77,14.95,14.77,14.95
1415,2025-08-28,15.6,15.6,15.6,15.6
1414,2025-08-27,15.6,15.6,15.6,15.6
1413,2025-08-26,15.5,15.5,14.3,14.3
1412,2025-08-25,16.52,16.52,16.52,16.52
1411,2025-08-22,16.52,16.52,16.52,16.52
1410,2025-08-21,16.52,16.52,16.52,16.52
1409,2025-08-20,16.52,16.52,16.52,16.52
1408,2025-08-19,16.52,16.52,16.52,16.52
1407,2025-08-18,14.49,14.77,14.49,14.49
1406,2025-08-15,16.24,16.24,16.24,16.24
1405,2025-08-14,15.69,17.07,15.69,16.15
1404,2025-08-13,14.95,14.95,14.95,14.95
1403,2025-08-12,14.95,14.95,14.86,14.95
1402,2025-08-11,15.5,15.5,15.5,15.5
1401,2025-08-08,15.6,15.6,15.6,15.6
1400,2025-08-07,14.49,15.87,14.49,15.69
1399,2025-08-06,16.52,16.52,16.52,16.52
1398,2025-08-05,16.52,16.52,16.52,16.52
1397,2025-08-04,16.52,16.52,16.52,16.52
1396,2025-08-01,16.52,16.52,16.52,16.52
1395,2025-07-31,14.3,15.6,14.3,15.6
1394,2025-07-30,15.32,15.32,14.77,14.77
1393,2025-07-29,14.49,18.46,14.3,18.46
1392,2025-07-28,14.58,16.7,14.58,15.69
1391,2025-07-25,14.58,14.67,14.58,14.58
1390,2025-07-24,14.21,15.41,12.0,14.77
1389,2025-07-23,13.66,13.66,13.66,13.66
1388,2025-07-22,13.66,13.66,13.66,13.66
1387,2025-07-21,13.2,13.66,13.2,13.2
1386,2025-07-18,13.11,13.11,13.11,13.11
1385,2025-07-17,13.01,13.01,13.01,13.01
1384,2025-07-16,13.01,13.01,13.01,13.01
1383,2025-07-15,13.11,13.11,13.11,13.11
1382,2025-07-14,13.11,13.11,13.11,13.11
1381,2025-07-11,13.11,13.11,13.11,13.11
1380,2025-07-10,13.2,13.2,13.2,13.2
1379,2025-07-09,13.2,13.2,13.2,13.2
1378,2025-07-08,12.55,14.4,12.55,14.4
1377,2025-07-07,12.92,12.92,12.92,12.92
1376,2025-07-04,12.92,12.92,12.92,12.92
1375,2025-07-03,12.92,12.92,12.92,12.92
1374,2025-07-02,12.64,12.64,12.64,12.64
1373,2025-07-01,12.64,12.64,12.64,12.64
1372,2025-06-30,12.64,12.64,12.64,12.64
1371,2025-06-27,12.64,12.64,12.64,12.64
1370,2025-06-26,12.92,13.29,12.92,13.29
1369,2025-06-25,12.92,12.92,12.92,12.92
1368,2025-06-24,12.92,12.92,12.55,12.55
1367,2025-06-23,12.92,12.92,12.92,12.92
1366,2025-06-20,12.92,12.92,12.92,12.92
1365,2025-06-19,12.46,12.46,12.46,12.46
1364,2025-06-18,12.46,12.46,12.46,12.46
1363,2025-06-17,12.46,12.46,12.46,12.46
1362,2025-06-16,12.46,12.46,12.46,12.46
1361,2025-06-13,12.55,12.55,12.55,12.55
1360,2025-06-12,12.55,12.55,12.55,12.55
1359,2025-06-11,12.74,12.74,12.74,12.74
1358,2025-06-10,12.64,12.74,12.64,12.74
1357,2025-06-09,12.64,12.64,12.64,12.64
1356,2025-06-06,12.64,12.64,12.64,12.64
1355,2025-06-05,12.55,12.55,12.55,12.55
1354,2025-06-04,12.18,12.18,12.18,12.18
1353,2025-06-03,12.37,12.37,12.37,12.37
