,Date,Open,High,Low,Close
2079,2025-10-17,8.0,8.0,6.3,7.2
2078,2025-10-16,6.9,7.1,6.9,7.1
2077,2025-10-15,7.0,7.1,7.0,7.1
2076,2025-10-14,6.9,7.1,6.8,7.1
2075,2025-10-13,7.1,7.3,7.0,7.3
2074,2025-10-10,8.0,8.0,7.0,7.3
2073,2025-10-09,7.2,7.2,7.0,7.1
2072,2025-10-08,7.3,7.4,7.1,7.4
2071,2025-10-07,7.2,7.4,7.2,7.4
2070,2025-10-06,7.4,7.4,7.1,7.2
2069,2025-10-03,7.0,7.1,7.0,7.1
2068,2025-10-02,7.5,7.5,7.5,7.5
2067,2025-10-01,7.9,7.9,7.5,7.5
2066,2025-09-30,8.6,8.6,7.1,7.3
2065,2025-09-29,7.9,7.9,7.2,7.5
2064,2025-09-26,7.2,7.5,7.2,7.5
2063,2025-09-25,8.0,8.0,7.2,7.5
2062,2025-09-24,8.2,8.2,7.5,7.5
2061,2025-09-23,7.7,7.7,7.2,7.5
2060,2025-09-22,7.4,7.7,7.4,7.7
2059,2025-09-19,8.7,8.7,7.4,7.7
2058,2025-09-18,8.8,8.8,7.4,7.7
2057,2025-09-17,7.88,7.88,7.6,7.88
2056,2025-09-16,7.98,7.98,7.6,7.98
2055,2025-09-15,7.79,7.98,7.79,7.98
2054,2025-09-12,7.14,7.79,7.14,7.79
2053,2025-09-11,7.33,7.33,7.05,7.14
2052,2025-09-10,7.05,7.33,7.05,7.23
2051,2025-09-09,7.05,7.14,6.86,6.96
2050,2025-09-08,7.05,7.23,7.05,7.05
2049,2025-09-05,6.96,7.42,6.96,7.05
2048,2025-09-04,6.58,7.23,6.58,6.96
2047,2025-09-03,7.23,7.23,6.96,7.23
2046,2025-08-29,7.05,7.23,7.05,7.14
2045,2025-08-28,7.05,7.05,6.96,7.05
2044,2025-08-27,6.86,7.23,6.77,7.23
2043,2025-08-26,6.96,6.96,6.77,6.86
2042,2025-08-25,6.86,6.86,6.77,6.77
2041,2025-08-22,7.14,7.14,6.77,7.05
2040,2025-08-21,7.23,7.23,6.77,7.14
2039,2025-08-20,7.51,7.51,7.23,7.42
2038,2025-08-19,7.7,7.7,7.51,7.6
2037,2025-08-18,7.7,7.7,7.42,7.6
2036,2025-08-15,7.7,7.7,7.51,7.7
2035,2025-08-14,7.7,7.88,7.6,7.7
2034,2025-08-13,7.7,7.7,7.42,7.7
2033,2025-08-12,7.88,7.98,7.7,7.79
2032,2025-08-11,7.98,8.35,7.7,7.79
2031,2025-08-08,8.44,9.0,7.7,8.25
2030,2025-08-07,8.72,9.64,8.35,8.44
2029,2025-08-06,10.02,10.02,8.44,8.44
2028,2025-08-05,11.59,11.59,9.27,10.02
2027,2025-08-04,10.48,10.48,9.37,10.11
2026,2025-08-01,10.67,10.94,9.37,10.94
2025,2025-07-31,12.15,12.15,10.39,11.78
2024,2025-07-30,12.15,12.15,12.15,12.15
2023,2025-07-29,12.15,12.15,12.15,12.15
2022,2025-07-28,12.24,12.24,12.06,12.06
2021,2025-07-25,12.98,12.98,12.06,12.06
2020,2025-07-24,12.98,12.98,12.98,12.98
2019,2025-07-23,12.06,12.06,12.06,12.06
2018,2025-07-22,13.91,13.91,12.8,12.89
2017,2025-07-21,12.98,12.98,12.06,12.15
2016,2025-07-18,11.13,12.24,11.13,12.24
2015,2025-07-17,12.98,12.98,11.5,11.5
2014,2025-07-16,11.13,12.71,11.13,12.71
2013,2025-07-15,12.98,12.98,12.52,12.52
2012,2025-07-14,12.89,12.89,11.78,12.61
2011,2025-07-11,12.89,12.89,12.89,12.89
2010,2025-07-10,12.98,12.98,12.98,12.98
2009,2025-07-09,12.89,12.89,12.89,12.89
2008,2025-07-08,12.06,13.45,12.06,13.45
2007,2025-07-07,12.8,12.98,12.52,12.98
2006,2025-07-04,12.8,12.8,12.8,12.8
2005,2025-07-03,12.98,12.98,12.89,12.89
2004,2025-07-02,11.13,11.69,11.13,11.69
2003,2025-07-01,13.08,13.08,13.08,13.08
2002,2025-06-30,13.26,13.26,12.98,12.98
2001,2025-06-27,13.91,13.91,12.98,12.98
2000,2025-06-26,13.73,13.73,13.73,13.73
1999,2025-06-25,12.98,12.98,12.98,12.98
1998,2025-06-24,12.98,12.98,12.52,12.98
1997,2025-06-23,11.87,12.89,11.41,12.89
1996,2025-06-20,13.91,13.91,12.98,12.98
1995,2025-06-19,12.15,12.15,12.15,12.15
1994,2025-06-18,12.06,12.15,12.06,12.15
1993,2025-06-17,12.89,12.89,12.89,12.89
1992,2025-06-16,13.17,13.17,13.17,13.17
1991,2025-06-13,13.17,13.17,12.06,12.98
1990,2025-06-12,12.98,13.45,12.8,13.45
1989,2025-06-11,13.17,13.17,13.17,13.17
1988,2025-06-10,14.84,14.84,12.71,13.08
1987,2025-06-09,14.37,14.37,12.33,13.45
1986,2025-06-06,15.67,15.67,13.26,13.26
1985,2025-06-05,17.16,17.16,13.45,13.45
1984,2025-06-04,16.23,16.23,14.28,14.28
1983,2025-06-03,16.69,16.69,13.08,13.26
1982,2025-06-02,15.67,15.67,14.75,14.75
1981,2025-05-30,15.67,15.67,13.54,13.63
1980,2025-05-29,13.63,13.63,13.63,13.63
1979,2025-05-28,13.63,13.63,13.63,13.63
1978,2025-05-27,12.98,12.98,12.98,12.98
1977,2025-05-26,12.98,12.98,12.98,12.98
1976,2025-05-23,12.98,12.98,12.98,12.98
1975,2025-05-22,12.98,12.98,12.98,12.98
1974,2025-05-21,12.98,12.98,12.98,12.98
1973,2025-05-20,13.08,13.08,13.08,13.08
1972,2025-05-19,13.08,13.08,12.98,12.98
1971,2025-05-16,13.08,13.08,13.08,13.08
1970,2025-05-15,13.08,13.08,13.08,13.08
1969,2025-05-14,13.08,13.63,13.08,13.54
1968,2025-05-13,13.08,13.08,13.08,13.08
1967,2025-05-12,13.08,13.08,13.08,13.08
1966,2025-05-09,13.08,13.08,13.08,13.08
1965,2025-05-08,13.08,13.08,13.08,13.08
1964,2025-05-07,13.08,13.08,13.08,13.08
1963,2025-05-06,13.26,13.26,13.26,13.26
1962,2025-05-05,13.26,13.26,13.26,13.26
1961,2025-04-29,13.26,13.26,13.26,13.26
1960,2025-04-28,13.26,13.26,13.26,13.26
1959,2025-04-25,13.26,13.26,13.26,13.26
1958,2025-04-24,12.98,13.26,12.98,13.26
1957,2025-04-23,13.91,13.91,13.91,13.91
1956,2025-04-22,13.45,14.75,13.17,13.17
1955,2025-04-21,13.35,13.35,12.98,12.98
1954,2025-04-18,13.73,13.73,12.98,12.98
1953,2025-04-17,13.45,13.73,13.35,13.73
1952,2025-04-16,15.02,15.02,13.17,13.26
1951,2025-04-15,16.41,16.41,14.93,15.02
1950,2025-04-14,15.77,17.53,15.77,16.69
1949,2025-04-11,16.6,16.6,15.02,15.77
1948,2025-04-10,16.69,18.46,15.77,16.6
1947,2025-04-09,16.69,16.69,16.14,16.14
1946,2025-04-08,16.14,17.06,14.0,16.69
1945,2025-04-04,14.56,16.51,14.56,16.51
1944,2025-04-03,13.63,15.58,12.24,15.58
1943,2025-04-02,13.63,14.75,13.54,14.75
1942,2025-04-01,14.84,15.67,14.84,15.67
1941,2025-03-31,14.37,14.37,14.37,14.37
1940,2025-03-28,14.37,14.37,14.37,14.37
1939,2025-03-27,14.56,14.56,14.56,14.56
