,Date,Open,High,Low,Close
2030,2025-10-17,10.5,12.3,10.1,12.3
2029,2025-10-10,11.2,11.2,11.2,11.2
2028,2025-10-07,12.1,12.4,11.6,12.4
2027,2025-10-06,12.6,12.8,12.5,12.6
2026,2025-10-03,12.6,13.2,11.8,12.6
2025,2025-10-02,13.8,13.8,13.1,13.1
2024,2025-10-01,12.2,13.8,12.2,13.6
2023,2025-09-30,13.3,13.3,12.5,12.6
2022,2025-09-29,12.2,13.4,11.4,13.3
2021,2025-09-26,14.9,14.9,12.3,12.3
2020,2025-09-25,13.5,13.6,12.4,13.6
2019,2025-09-24,12.2,12.4,12.2,12.4
2018,2025-09-23,10.3,11.3,10.3,11.3
2017,2025-09-22,10.3,10.3,10.0,10.3
2016,2025-09-19,9.1,9.4,8.6,9.4
2015,2025-09-18,8.9,8.9,8.5,8.6
2014,2025-09-17,8.1,8.1,8.0,8.1
2013,2025-09-16,7.4,7.4,7.4,7.4
2012,2025-09-15,6.8,6.8,6.8,6.8
2011,2025-09-12,6.2,6.2,6.0,6.2
2010,2025-09-11,5.7,5.7,5.7,5.7
2009,2025-09-10,5.1,5.3,5.1,5.2
2008,2025-09-09,5.0,5.1,5.0,5.1
2007,2025-09-08,4.9,5.0,4.9,5.0
2006,2025-09-04,4.8,4.9,4.7,4.9
2005,2025-09-03,4.8,4.8,4.8,4.8
2004,2025-08-29,4.8,4.9,4.8,4.8
2003,2025-08-28,4.5,4.9,4.5,4.9
2002,2025-08-27,4.5,4.6,4.4,4.5
2001,2025-08-26,4.5,4.6,4.5,4.5
2000,2025-08-25,4.6,4.6,4.6,4.6
1999,2025-08-22,5.0,5.0,4.7,4.8
1998,2025-08-21,4.8,5.0,4.8,4.8
1997,2025-08-19,5.0,5.1,5.0,5.1
1996,2025-08-18,5.1,5.2,4.7,5.0
1995,2025-08-15,4.9,5.2,4.9,4.9
1994,2025-08-14,5.1,5.3,5.1,5.3
1993,2025-08-13,4.8,5.1,4.8,5.1
1992,2025-08-12,4.9,4.9,4.6,4.7
1991,2025-08-11,5.0,5.0,4.7,4.7
1990,2025-08-08,5.2,5.2,5.0,5.2
1989,2025-08-07,5.0,5.2,5.0,5.2
1988,2025-08-06,5.0,5.3,5.0,5.0
1987,2025-08-05,4.8,5.5,4.6,5.5
1986,2025-08-04,4.6,5.0,4.5,5.0
1985,2025-08-01,4.5,4.6,4.5,4.6
1984,2025-07-31,4.5,4.5,4.5,4.5
1983,2025-07-30,4.5,4.5,4.5,4.5
1982,2025-07-29,4.4,4.6,4.4,4.5
1981,2025-07-28,4.4,4.6,4.4,4.5
1980,2025-07-25,4.4,4.6,4.4,4.5
1979,2025-07-24,4.4,4.5,4.4,4.4
1978,2025-07-23,4.5,4.6,4.5,4.6
1977,2025-07-22,4.4,4.6,4.4,4.6
1976,2025-07-18,4.5,4.5,4.5,4.5
1975,2025-07-17,4.4,4.5,4.4,4.4
1974,2025-07-16,4.4,4.4,4.4,4.4
1973,2025-07-15,4.5,4.5,4.4,4.4
1972,2025-07-14,4.5,4.5,4.3,4.4
1971,2025-07-11,4.4,4.6,4.4,4.4
1970,2025-07-10,4.4,4.6,4.4,4.6
1969,2025-07-09,4.4,4.5,4.4,4.5
1968,2025-07-08,4.5,4.5,4.5,4.5
1967,2025-07-02,4.5,4.5,4.5,4.5
1966,2025-07-01,4.5,4.5,4.3,4.3
1965,2025-06-30,4.4,4.5,4.4,4.5
1964,2025-06-27,4.3,4.4,4.3,4.4
1963,2025-06-26,4.4,4.4,4.4,4.4
1962,2025-06-25,4.4,4.5,4.3,4.3
1961,2025-06-24,4.4,4.4,4.4,4.4
1960,2025-06-23,4.3,4.5,4.3,4.3
1959,2025-06-20,4.4,4.4,4.4,4.4
1958,2025-06-19,4.5,4.5,4.4,4.4
1957,2025-06-18,4.5,4.6,4.5,4.6
1956,2025-06-17,4.5,4.6,4.5,4.6
1955,2025-06-16,4.5,4.5,4.5,4.5
1954,2025-06-13,4.5,4.7,4.5,4.5
1953,2025-06-12,4.6,4.7,4.5,4.5
1952,2025-06-11,4.6,4.7,4.5,4.5
1951,2025-06-10,4.7,4.7,4.6,4.7
1950,2025-06-09,4.6,4.6,4.5,4.5
1949,2025-06-06,4.5,4.6,4.5,4.6
1948,2025-06-05,4.5,4.6,4.5,4.6
1947,2025-06-04,4.5,4.7,4.4,4.5
1946,2025-06-03,4.6,4.6,4.5,4.5
1945,2025-06-02,4.6,4.7,4.6,4.6
1944,2025-05-30,4.7,4.7,4.6,4.6
1943,2025-05-29,5.0,5.0,4.5,4.5
1942,2025-05-28,4.6,4.8,4.5,4.8
1941,2025-05-27,4.6,4.6,4.4,4.4
1940,2025-05-26,4.4,4.7,4.3,4.4
1939,2025-05-23,4.3,4.4,4.3,4.3
1938,2025-05-22,4.4,4.4,4.3,4.3
