,Date,Open,High,Low,Close
1445,2025-10-17,25.0,25.0,25.0,25.0
1444,2025-10-16,24.0,24.0,24.0,24.0
1443,2025-10-15,24.1,24.1,24.1,24.1
1442,2025-10-13,21.0,21.1,21.0,21.0
1441,2025-10-06,24.3,24.3,24.3,24.3
1440,2025-10-02,28.5,28.5,28.5,28.5
1439,2025-10-01,29.3,29.3,29.0,29.0
1438,2025-09-29,29.3,29.3,29.3,29.3
1437,2025-09-19,25.5,25.5,25.5,25.5
1436,2025-09-18,25.5,25.5,25.5,25.5
1435,2025-09-17,25.0,25.0,25.0,25.0
1434,2025-09-16,24.7,24.8,24.7,24.8
1433,2025-09-12,23.5,23.5,23.4,23.4
1432,2025-09-11,20.5,20.5,20.5,20.5
1431,2025-09-05,21.0,21.0,21.0,21.0
1430,2025-09-03,20.7,23.7,20.7,23.7
1429,2025-08-26,20.5,23.5,20.5,23.5
1428,2025-08-18,23.2,23.5,23.2,23.5
1427,2025-08-15,23.5,23.5,22.6,23.5
1426,2025-08-14,22.8,22.8,22.8,22.8
1425,2025-08-13,22.7,24.0,22.7,24.0
1424,2025-08-12,22.8,22.8,22.8,22.8
1423,2025-08-11,23.0,23.0,22.6,22.7
1422,2025-08-08,23.0,23.0,23.0,23.0
1421,2025-08-07,26.3,26.3,25.5,25.5
1420,2025-08-06,23.0,23.9,23.0,23.9
1419,2025-08-05,23.0,23.4,22.9,23.0
1418,2025-08-04,23.0,23.0,22.0,22.0
1417,2025-08-01,23.0,23.0,23.0,23.0
1416,2025-07-31,23.5,23.5,23.1,23.1
1415,2025-07-30,24.0,24.0,23.5,23.5
1414,2025-07-29,24.0,24.0,24.0,24.0
1413,2025-07-28,24.3,24.3,24.3,24.3
1412,2025-07-25,24.5,24.5,24.5,24.5
1411,2025-07-24,24.5,24.5,24.5,24.5
1410,2025-07-23,24.0,24.0,24.0,24.0
1409,2025-07-21,24.0,24.0,24.0,24.0
1408,2025-07-18,23.9,24.0,23.9,24.0
1407,2025-07-17,23.8,24.0,23.8,24.0
1406,2025-07-16,24.1,24.1,24.0,24.0
1405,2025-07-15,21.3,24.5,21.3,24.3
1404,2025-07-14,24.5,24.5,24.5,24.5
1403,2025-07-11,25.0,25.0,24.0,24.0
1402,2025-07-10,24.0,24.0,24.0,24.0
1401,2025-07-08,25.0,25.0,25.0,25.0
1400,2025-07-07,25.0,25.0,25.0,25.0
1399,2025-07-04,23.0,23.0,23.0,23.0
1398,2025-07-03,26.0,26.0,26.0,26.0
1397,2025-06-27,26.0,26.0,26.0,26.0
1396,2025-06-24,26.0,26.0,26.0,26.0
1395,2025-06-20,26.0,26.0,26.0,26.0
1394,2025-06-19,24.0,26.0,24.0,26.0
1393,2025-06-17,28.0,28.0,28.0,28.0
1392,2025-06-10,27.0,27.0,27.0,27.0
1391,2025-05-26,25.0,29.5,24.8,29.5
1390,2025-05-12,29.0,29.0,29.0,29.0
1389,2025-05-06,28.8,28.8,28.8,28.8
1388,2025-05-05,28.7,28.7,28.0,28.0
1387,2025-04-25,25.0,25.0,25.0,25.0
1386,2025-04-17,25.5,25.5,25.5,25.5
1385,2025-04-10,27.0,27.0,27.0,27.0
1384,2025-04-09,23.5,23.5,23.5,23.5
1383,2025-04-08,25.0,25.0,25.0,25.0
1382,2025-04-04,25.0,25.0,25.0,25.0
1381,2025-04-03,27.0,27.0,26.1,26.1
1380,2025-04-02,29.0,29.4,29.0,29.4
1379,2025-03-31,29.3,29.3,29.3,29.3
1378,2025-03-28,29.4,29.4,29.4,29.4
1377,2025-03-21,27.5,27.5,27.5,27.5
1376,2025-03-20,27.0,27.0,27.0,27.0
1375,2025-03-19,25.0,25.0,25.0,25.0
1374,2025-03-18,27.9,27.9,27.9,27.9
1373,2025-03-17,26.1,27.0,26.1,27.0
1372,2025-03-14,27.5,27.5,27.5,27.5
1371,2025-03-13,28.9,29.0,28.9,29.0
1370,2025-03-12,27.0,27.0,27.0,27.0
1369,2025-03-11,27.3,27.3,27.3,27.3
