,Date,Open,High,Low,Close
3850,2025-10-17,31.9,32.0,31.9,32.0
3849,2025-10-16,31.9,32.05,31.9,31.95
3848,2025-10-15,32.05,32.05,31.9,32.0
3847,2025-10-14,32.1,32.1,32.0,32.05
3846,2025-10-13,32.05,32.05,32.05,32.05
3845,2025-10-10,32.0,32.05,32.0,32.05
3844,2025-10-09,32.05,32.05,32.0,32.0
3843,2025-10-08,32.0,32.05,31.95,32.05
3842,2025-10-07,32.0,32.1,32.0,32.0
3841,2025-10-06,32.1,32.2,32.0,32.0
3840,2025-10-03,32.1,32.15,32.0,32.1
3839,2025-10-02,32.2,32.2,32.05,32.1
3838,2025-10-01,32.2,32.2,32.0,32.2
3837,2025-09-30,32.2,32.3,32.15,32.2
3836,2025-09-29,32.2,32.3,32.15,32.3
3835,2025-09-26,32.3,32.6,32.15,32.15
3834,2025-09-25,32.25,32.5,32.25,32.5
3833,2025-09-24,32.5,32.5,32.2,32.2
3832,2025-09-23,32.5,32.5,32.5,32.5
3831,2025-09-22,32.5,32.5,32.3,32.5
3830,2025-09-19,32.5,32.6,32.45,32.5
3829,2025-09-18,32.55,32.6,32.55,32.6
3828,2025-09-17,32.55,32.55,32.5,32.55
3827,2025-09-16,32.4,32.6,32.4,32.55
3826,2025-09-15,32.5,32.6,32.5,32.55
3825,2025-09-12,32.55,32.55,32.45,32.5
3824,2025-09-11,32.6,32.6,32.45,32.55
3823,2025-09-10,32.6,32.6,32.4,32.6
3822,2025-09-09,32.5,32.6,32.5,32.6
3821,2025-09-08,33.75,33.75,32.35,32.6
3820,2025-09-05,32.4,32.65,32.4,32.45
3819,2025-09-04,32.5,32.7,32.2,32.6
3818,2025-09-03,32.5,32.55,32.2,32.5
3817,2025-08-29,32.7,32.7,32.2,32.5
3816,2025-08-28,32.9,32.9,32.7,32.7
3815,2025-08-27,33.2,33.2,32.8,32.9
3814,2025-08-26,33.05,33.7,32.9,33.0
3813,2025-08-25,32.85,32.85,32.66,32.8
3812,2025-08-22,32.85,32.9,32.7,32.8
3811,2025-08-21,32.8,32.9,32.61,32.8
3810,2025-08-20,32.85,32.94,32.66,32.66
3809,2025-08-19,33.04,33.04,32.75,32.85
3808,2025-08-18,32.9,32.9,32.8,32.9
3807,2025-08-15,32.9,32.99,32.61,32.9
3806,2025-08-14,32.94,32.94,32.8,32.9
3805,2025-08-13,32.8,32.99,32.8,32.8
3804,2025-08-12,32.8,32.9,32.7,32.8
3803,2025-08-11,32.8,33.09,32.66,32.9
3802,2025-08-08,32.8,32.8,32.56,32.75
3801,2025-08-07,32.61,32.94,32.56,32.61
3800,2025-08-06,32.7,32.8,32.61,32.8
3799,2025-08-05,32.9,33.09,32.56,32.7
3798,2025-08-04,33.09,33.19,32.61,33.09
3797,2025-08-01,33.67,33.67,33.09,33.09
3796,2025-07-31,33.23,33.33,33.14,33.23
3795,2025-07-30,33.09,33.28,33.09,33.23
3794,2025-07-29,33.38,33.67,33.09,33.09
3793,2025-07-28,33.48,33.57,33.28,33.43
3792,2025-07-25,33.81,33.86,33.57,33.57
3791,2025-07-24,33.91,33.91,33.76,33.76
3790,2025-07-23,34.01,34.01,33.67,33.76
3789,2025-07-22,33.86,34.05,33.81,34.01
3788,2025-07-21,34.3,34.39,33.86,33.86
3787,2025-07-18,33.96,33.96,33.86,33.91
3786,2025-07-17,33.86,33.96,33.76,33.86
3785,2025-07-16,33.96,33.96,33.76,33.86
3784,2025-07-15,34.3,34.3,33.96,33.96
3783,2025-07-14,33.96,34.01,33.91,33.96
3782,2025-07-11,34.05,34.15,33.91,33.96
3781,2025-07-10,33.96,34.1,33.91,33.96
3780,2025-07-09,33.96,33.96,33.91,33.96
3779,2025-07-08,33.96,34.05,33.76,33.96
3778,2025-07-07,33.76,33.96,33.76,33.86
3777,2025-07-04,33.48,33.67,33.48,33.67
3776,2025-07-03,33.14,33.76,33.14,33.48
3775,2025-07-02,33.19,33.48,33.09,33.28
3774,2025-07-01,33.33,33.33,33.09,33.09
3773,2025-06-30,33.28,33.28,33.14,33.28
3772,2025-06-27,33.14,33.48,33.14,33.14
3771,2025-06-26,33.57,33.57,33.14,33.14
3770,2025-06-25,33.19,33.38,33.09,33.09
3769,2025-06-24,33.09,33.19,33.09,33.09
3768,2025-06-23,33.09,33.19,32.8,33.19
3767,2025-06-20,32.99,33.19,32.9,33.14
3766,2025-06-19,32.85,33.09,32.85,32.94
3765,2025-06-18,32.99,33.14,32.9,33.09
