,Date,Open,High,Low,Close,Volume
4939,2025-10-23,13.2,13.2,13.2,13.2,1700
4938,2025-10-22,13.0,13.0,13.0,13.0,500
4937,2025-10-20,13.0,13.0,13.0,13.0,700
4936,2025-10-17,13.0,13.2,13.0,13.2,1100
4935,2025-10-16,12.0,12.7,12.0,12.7,400
4934,2025-10-13,13.5,13.5,13.0,13.0,2000
4933,2025-10-10,13.8,13.8,13.5,13.5,1000
4932,2025-10-09,12.8,12.8,12.8,12.8,1500
4931,2025-10-08,13.2,13.2,13.2,13.2,3100
4930,2025-10-07,14.3,14.3,13.1,13.1,1100
4929,2025-10-06,14.3,14.3,14.3,14.3,300
4928,2025-10-01,15.4,15.4,14.0,14.0,1700
4927,2025-09-30,15.0,15.0,12.2,13.1,4800
4926,2025-09-29,13.2,15.3,13.2,15.3,400
4925,2025-09-26,15.2,17.1,13.1,17.1,6700
4924,2025-09-25,17.6,18.5,15.0,18.5,7400
4923,2025-09-24,18.5,20.0,15.8,16.2,7300
4922,2025-09-23,19.8,20.1,17.3,20.1,7600
4921,2025-09-22,18.4,20.9,17.5,19.8,6500
4920,2025-09-19,16.0,18.4,16.0,18.4,21200
4919,2025-09-05,16.0,16.0,16.0,16.0,100
4918,2025-08-29,16.5,16.5,16.4,16.4,10200
4917,2025-08-25,14.4,14.4,14.4,14.4,300
4916,2025-08-22,14.0,14.5,14.0,14.5,800
4915,2025-08-19,15.2,15.2,13.8,15.2,700
4914,2025-08-15,15.0,15.6,15.0,15.6,700
4913,2025-08-14,15.0,15.0,15.0,15.0,900
4912,2025-08-13,14.1,15.3,14.1,15.3,200
4911,2025-08-12,15.8,15.8,15.6,15.6,500
4910,2025-08-11,14.1,14.2,14.0,14.2,2600
4909,2025-08-08,15.7,15.7,14.0,14.0,800
4908,2025-08-06,14.6,14.6,14.6,14.6,2800
4907,2025-08-05,13.8,15.0,13.8,15.0,600
4906,2025-07-30,15.4,15.7,15.4,15.4,4500
4905,2025-07-29,16.0,16.0,15.4,15.4,4500
4904,2025-07-28,15.4,15.4,15.4,15.4,700
4903,2025-07-25,15.4,15.4,15.4,15.4,700
4902,2025-07-24,15.8,15.8,15.5,15.5,2100
4901,2025-07-23,15.9,15.9,15.9,15.9,2200
4900,2025-07-22,15.8,15.9,15.8,15.8,1800
4899,2025-07-21,16.0,16.0,16.0,16.0,300
4898,2025-07-16,16.0,16.0,16.0,16.0,200
4897,2025-07-15,16.1,16.1,16.1,16.1,1200
4896,2025-07-11,16.0,16.1,16.0,16.1,1500
4895,2025-07-10,15.8,16.0,15.8,16.0,1000
4894,2025-07-09,15.5,15.8,15.5,15.6,6300
4893,2025-07-08,15.8,15.8,15.4,15.5,3300
4892,2025-07-07,15.8,15.8,15.8,15.8,1709
4891,2025-07-04,15.9,16.0,15.8,15.9,4300
4890,2025-07-03,16.0,16.0,16.0,16.0,2700
4889,2025-07-02,16.0,16.2,16.0,16.2,1900
4888,2025-07-01,16.8,16.8,16.5,16.6,800
4887,2025-06-30,15.8,15.8,15.8,15.8,2800
4886,2025-06-27,15.7,16.0,15.7,16.0,2052
4885,2025-06-26,16.8,16.8,16.7,16.7,858
4884,2025-06-25,16.9,17.0,14.7,15.6,916
4883,2025-06-24,17.17,17.17,16.81,16.9,3658
4882,2025-06-23,16.99,17.36,16.99,17.36,7742
4881,2025-06-20,17.27,17.45,16.81,17.08,4200
4880,2025-06-19,16.35,16.99,16.16,16.9,14200
4879,2025-06-18,15.7,16.26,15.7,16.26,700
4878,2025-06-17,15.98,15.98,15.61,15.61,6700
4877,2025-06-16,14.33,16.44,14.33,16.44,1100
4876,2025-06-13,16.44,16.44,16.44,16.44,1000
4875,2025-06-12,16.44,16.44,16.44,16.44,4300
4874,2025-06-11,16.53,16.53,16.44,16.44,700
4873,2025-06-10,16.81,16.81,16.44,16.44,500
4872,2025-06-09,16.9,17.08,16.62,16.62,5500
4871,2025-06-06,16.07,16.62,16.07,16.53,8100
4870,2025-06-05,15.89,16.16,15.89,15.89,6600
4869,2025-06-04,15.25,15.89,14.69,15.89,14301
4868,2025-06-03,15.61,16.26,14.88,15.43,24800
