,Date,Open,High,Low,Close
1748,2025-10-17,46.0,46.1,45.2,45.8
1747,2025-10-16,46.0,46.5,46.0,46.4
1746,2025-10-15,46.0,46.6,45.5,46.0
1745,2025-10-14,46.3,46.8,46.3,46.6
1744,2025-10-13,46.5,46.8,46.3,46.4
1743,2025-10-10,46.9,48.0,46.6,46.6
1742,2025-10-09,46.8,46.8,46.1,46.8
1741,2025-10-08,46.5,46.8,46.2,46.6
1740,2025-10-07,47.1,47.1,46.4,46.8
1739,2025-10-06,45.8,47.6,45.8,46.6
1738,2025-10-03,47.5,47.5,45.0,47.0
1737,2025-10-02,47.5,47.5,46.5,46.9
1736,2025-10-01,45.5,47.6,45.5,47.1
1735,2025-09-30,48.5,48.5,47.0,47.8
1734,2025-09-29,49.0,49.2,48.3,48.3
1733,2025-09-26,49.0,50.2,49.0,49.6
1732,2025-09-25,50.0,50.3,49.1,50.0
1731,2025-09-24,49.2,50.0,48.9,50.0
1730,2025-09-23,50.1,50.2,49.7,49.8
1729,2025-09-22,50.5,50.5,49.8,50.0
1728,2025-09-19,51.0,51.0,49.0,50.0
1727,2025-09-18,54.0,54.0,49.7,50.7
1726,2025-09-17,58.2,58.2,49.5,55.0
1725,2025-09-16,62.0,62.0,57.7,58.1
1724,2025-09-15,67.6,67.6,59.49,62.77
1723,2025-09-12,58.11,59.32,58.11,59.23
1722,2025-09-11,58.28,58.63,57.68,58.11
1721,2025-09-10,58.63,58.97,57.77,58.03
1720,2025-09-09,59.06,59.06,58.28,58.54
1719,2025-09-08,59.06,59.92,58.2,58.89
1718,2025-09-05,58.37,59.92,58.37,58.89
1717,2025-09-04,58.11,58.37,57.77,58.37
1716,2025-09-03,59.06,59.06,57.77,57.94
1715,2025-08-29,59.06,59.06,58.46,58.8
1714,2025-08-28,59.75,60.35,58.2,59.06
1713,2025-08-27,60.35,61.22,58.8,59.15
1712,2025-08-26,60.96,61.04,58.63,59.92
1711,2025-08-25,63.8,63.8,61.22,61.22
1710,2025-08-22,62.94,64.67,62.6,63.29
1709,2025-08-21,61.22,62.68,60.35,62.42
1708,2025-08-20,59.58,59.84,58.37,59.32
1707,2025-08-19,58.8,59.92,58.8,59.92
1706,2025-08-18,58.11,59.06,58.11,58.54
1705,2025-08-15,56.47,59.06,56.47,59.06
1704,2025-08-14,56.22,56.47,56.13,56.39
1703,2025-08-13,56.04,56.47,55.78,56.47
1702,2025-08-12,56.13,56.22,55.61,56.13
1701,2025-08-11,56.47,56.82,55.96,55.96
1700,2025-08-08,55.96,56.39,55.01,55.96
1699,2025-08-07,53.89,56.39,53.89,56.22
1698,2025-08-06,55.53,55.7,55.27,55.7
1697,2025-08-05,54.66,55.87,54.66,55.53
1696,2025-08-04,54.4,55.01,54.4,55.01
1695,2025-08-01,53.8,54.32,53.63,54.32
1694,2025-07-31,54.06,54.23,53.72,53.89
1693,2025-07-30,54.23,54.32,53.97,54.32
1692,2025-07-29,54.32,54.4,53.89,53.89
1691,2025-07-28,54.58,54.66,54.06,54.58
1690,2025-07-25,53.97,54.4,53.8,54.23
1689,2025-07-24,54.49,54.75,53.54,54.23
1688,2025-07-23,55.18,55.18,54.49,54.92
1687,2025-07-22,54.32,55.09,54.32,54.92
1686,2025-07-21,53.46,54.32,53.28,54.32
1685,2025-07-18,53.11,53.63,53.11,53.63
1684,2025-07-17,53.2,53.37,53.03,53.28
1683,2025-07-16,53.28,53.54,52.94,53.54
1682,2025-07-15,53.46,53.46,53.28,53.37
1681,2025-07-14,53.72,53.72,53.37,53.37
1680,2025-07-11,53.63,53.72,53.2,53.72
1679,2025-07-10,53.46,53.89,53.46,53.89
1678,2025-07-09,53.54,53.63,53.46,53.63
1677,2025-07-08,53.8,53.8,53.63,53.72
1676,2025-07-07,53.46,53.8,53.46,53.72
1675,2025-07-04,53.46,53.8,53.46,53.72
1674,2025-07-03,53.54,53.8,53.54,53.8
1673,2025-07-02,53.97,53.97,53.46,53.46
1672,2025-07-01,53.46,53.63,53.37,53.63
1671,2025-06-30,53.37,53.46,53.37,53.46
1670,2025-06-27,53.46,53.46,53.28,53.28
1669,2025-06-26,53.46,53.46,53.28,53.37
1668,2025-06-25,53.46,53.54,53.46,53.54
1667,2025-06-24,53.54,53.54,53.11,53.11
1666,2025-06-23,53.46,53.89,53.37,53.89
1665,2025-06-20,53.8,54.15,53.28,54.15
1664,2025-06-19,53.54,54.32,53.46,54.15
1663,2025-06-18,53.54,53.89,53.28,53.89
1662,2025-06-17,54.06,54.15,53.46,54.15
1661,2025-06-16,53.11,53.97,53.11,53.97
1660,2025-06-13,53.37,53.63,53.03,53.46
1659,2025-06-12,54.32,54.4,53.03,54.15
1658,2025-06-11,54.32,54.32,54.06,54.32
1657,2025-06-10,54.92,54.92,53.89,54.75
1656,2025-06-09,54.06,55.87,54.06,54.66
1655,2025-06-06,53.03,54.66,53.03,53.89
1654,2025-06-05,52.59,53.28,52.51,52.59
