,Date,Open,High,Low,Close
690,2025-10-17,22.0,22.0,19.0,21.0
689,2025-10-16,21.0,21.0,20.0,20.0
688,2025-10-15,17.4,20.0,17.4,18.5
687,2025-10-14,17.4,17.4,17.4,17.4
686,2025-10-13,17.4,17.4,17.4,17.4
685,2025-10-10,17.4,17.4,17.4,17.4
684,2025-10-09,14.0,17.8,14.0,17.8
683,2025-10-06,15.7,15.7,15.7,15.7
682,2025-10-03,14.0,15.7,14.0,15.7
681,2025-09-29,15.9,16.0,15.9,16.0
680,2025-09-10,16.4,16.4,16.1,16.1
679,2025-09-09,15.1,16.5,15.1,16.5
678,2025-09-08,15.0,16.6,15.0,16.6
677,2025-09-03,17.0,17.0,17.0,17.0
676,2025-08-29,17.0,17.0,17.0,17.0
675,2025-08-28,16.7,16.7,16.7,16.7
674,2025-08-27,16.8,16.8,16.8,16.8
673,2025-08-26,16.9,16.9,14.6,16.9
672,2025-08-22,17.0,17.0,17.0,17.0
671,2025-08-21,14.7,16.9,14.7,15.5
670,2025-08-19,17.0,17.0,17.0,17.0
669,2025-08-18,17.5,17.5,15.1,17.3
668,2025-08-15,17.2,18.0,17.2,17.9
667,2025-08-13,16.9,16.9,15.8,16.8
666,2025-08-12,17.3,17.3,14.6,17.0
665,2025-08-11,18.5,18.5,16.0,17.4
664,2025-08-08,17.4,17.4,14.8,17.0
663,2025-08-07,15.1,17.9,14.8,17.9
662,2025-08-05,19.8,19.8,16.7,19.5
661,2025-08-01,19.5,19.5,19.5,19.5
660,2025-07-31,19.0,19.0,19.0,19.0
659,2025-07-30,18.0,18.0,18.0,18.0
658,2025-07-29,18.0,19.0,17.1,19.0
657,2025-07-28,19.0,19.0,19.0,19.0
656,2025-07-24,20.2,20.2,20.2,20.2
655,2025-07-23,20.3,20.3,20.3,20.3
654,2025-07-22,19.7,20.8,19.7,20.8
653,2025-07-17,20.5,21.0,17.4,20.1
652,2025-07-16,21.0,22.0,17.1,17.1
651,2025-07-15,19.5,19.9,17.0,19.9
650,2025-07-11,19.6,19.6,19.6,19.6
649,2025-07-10,19.8,19.8,19.8,19.8
648,2025-07-09,21.6,22.0,18.0,18.0
647,2025-07-08,20.1,23.0,17.6,20.0
646,2025-07-07,20.2,20.8,20.2,20.8
645,2025-07-04,19.5,19.5,19.5,19.5
644,2025-07-03,17.3,20.1,17.3,20.1
643,2025-07-01,20.3,20.3,20.3,20.3
642,2025-06-27,20.5,21.0,20.5,20.5
641,2025-06-26,19.7,19.7,19.7,19.7
640,2025-06-25,20.0,20.0,17.1,20.0
639,2025-06-24,20.1,20.1,20.1,20.1
