,Date,Open,High,Low,Close,Volume
4050,2025-10-24,39.35,39.35,38.05,38.5,2109400
4049,2025-10-23,41.0,41.05,39.5,39.55,1772300
4048,2025-10-22,41.6,41.65,39.0,40.9,3002100
4047,2025-10-21,41.8,42.0,40.0,41.35,3767000
4046,2025-10-20,44.5,46.7,41.8,41.8,5517400
4045,2025-10-17,45.35,46.5,44.5,44.9,3805100
4044,2025-10-16,44.7,45.6,44.05,44.5,2776200
4043,2025-10-15,43.85,44.4,43.4,44.0,2645300
4042,2025-10-14,46.0,46.0,43.45,43.7,4813000
4041,2025-10-13,42.0,44.8,41.65,44.8,4709000
4040,2025-10-10,42.3,43.3,42.25,42.55,2830800
4039,2025-10-09,42.2,42.2,41.6,42.2,1490600
4038,2025-10-08,43.5,43.55,41.5,41.8,3249600
4037,2025-10-07,41.5,42.5,41.5,42.1,3531400
4036,2025-10-06,39.9,41.5,38.9,41.5,2841000
4035,2025-10-03,39.0,39.55,38.6,38.8,2211900
4034,2025-10-02,41.5,41.5,39.1,39.5,1685300
4033,2025-10-01,41.6,42.3,41.0,41.0,1537200
4032,2025-09-30,41.75,41.85,40.3,41.5,2527500
4031,2025-09-29,40.5,42.0,40.1,41.7,2917200
4030,2025-09-26,41.35,41.35,40.1,40.35,1761100
4029,2025-09-25,39.85,41.5,39.8,41.2,3448400
4028,2025-09-24,38.1,39.7,38.1,39.7,926200
4027,2025-09-23,38.45,38.95,38.2,38.6,747500
4026,2025-09-22,39.3,39.4,37.75,38.2,1468300
4025,2025-09-19,39.4,39.75,39.15,39.35,534700
4024,2025-09-18,39.05,39.6,38.6,39.2,1019900
4023,2025-09-17,39.6,39.8,38.7,38.7,1201600
4022,2025-09-16,41.15,41.15,39.5,39.6,1757300
4021,2025-09-15,40.0,40.75,40.0,40.2,1650100
4020,2025-09-12,40.0,40.15,39.65,39.85,1378400
4019,2025-09-11,39.3,40.0,37.6,39.9,2481000
4018,2025-09-10,39.55,39.75,38.75,39.4,1217500
4017,2025-09-09,38.8,39.45,38.2,39.45,2242000
4016,2025-09-08,40.95,41.15,38.65,38.65,5456400
4015,2025-09-05,45.5,45.5,41.2,41.2,5159400
4014,2025-09-04,42.35,44.1,42.3,44.05,4030600
4013,2025-09-03,43.0,43.2,41.75,42.2,2335100
4012,2025-08-29,42.5,43.5,42.05,42.6,5346000
4011,2025-08-28,40.6,41.5,40.4,41.4,2515600
4010,2025-08-27,40.8,41.7,40.5,40.6,2789300
4009,2025-08-26,37.55,40.35,37.35,40.35,3626300
4008,2025-08-25,39.9,40.4,37.75,37.75,3593800
4007,2025-08-22,40.85,41.5,38.75,39.15,4714800
4006,2025-08-21,41.5,43.2,41.5,41.6,3530700
4005,2025-08-20,42.85,42.9,39.75,41.5,3982700
4004,2025-08-19,42.0,43.55,41.7,42.7,4649900
4003,2025-08-18,43.2,43.2,41.75,41.9,4762700
4002,2025-08-15,45.35,45.5,41.8,43.15,5894300
4001,2025-08-14,45.5,46.85,44.0,44.75,3769400
4000,2025-08-13,42.9,44.85,41.5,44.85,8307900
3999,2025-08-12,40.9,41.95,40.3,41.95,5739600
3998,2025-08-11,39.9,41.0,39.6,40.5,4043900
3997,2025-08-08,41.15,42.05,39.65,39.9,4609300
3996,2025-08-07,41.7,41.7,40.15,40.95,2767700
3995,2025-08-06,40.9,41.3,40.05,41.0,2911000
3994,2025-08-05,40.95,42.0,38.0,40.5,7400100
3993,2025-08-04,38.5,40.7,38.0,40.65,3273600
3992,2025-08-01,40.7,42.1,39.0,39.3,4666700
3991,2025-07-31,40.6,41.2,39.15,40.8,3348400
3990,2025-07-30,39.55,41.0,37.05,40.5,6517000
3989,2025-07-29,43.35,43.35,39.55,39.55,8721800
3988,2025-07-28,41.9,43.5,41.5,42.5,4267500
3987,2025-07-25,37.5,40.8,37.5,40.7,7808500
3986,2025-07-24,38.35,38.35,37.0,38.15,3635400
3985,2025-07-23,35.95,36.8,35.8,36.8,6614900
3984,2025-07-22,32.0,34.4,31.7,34.4,3832900
3983,2025-07-21,33.0,33.0,31.65,32.15,4912900
3982,2025-07-18,31.0,31.7,30.4,30.85,2779200
3981,2025-07-17,30.7,30.95,30.0,30.85,3107300
3980,2025-07-16,29.7,30.5,29.4,30.5,2559400
3979,2025-07-15,29.8,30.95,29.7,29.7,4105000
3978,2025-07-14,29.6,30.95,29.15,29.95,2750500
3977,2025-07-11,29.55,30.5,29.1,29.6,3706700
3976,2025-07-10,29.85,29.9,29.2,29.5,1646300
3975,2025-07-09,28.9,30.3,28.7,29.7,4741000
3974,2025-07-08,28.1,28.7,28.0,28.35,2715100
3973,2025-07-07,28.3,28.4,27.65,27.9,2563300
3972,2025-07-04,28.4,28.45,27.7,27.95,1848200
3971,2025-07-03,28.2,28.85,27.0,28.0,3308700
3970,2025-07-02,26.4,28.2,26.4,28.2,5258700
3969,2025-07-01,27.0,27.05,26.35,26.4,1591000
3968,2025-06-30,27.0,27.5,26.8,26.8,1741600
3967,2025-06-27,26.9,27.05,26.55,26.65,1507500
3966,2025-06-26,26.65,26.7,26.25,26.7,809600
3965,2025-06-25,26.8,27.1,26.55,26.6,2253300
3964,2025-06-24,26.45,27.2,26.15,26.75,3195500
3963,2025-06-23,26.0,26.0,25.65,25.9,845200
3962,2025-06-20,26.55,26.75,26.2,26.2,1281400
3961,2025-06-19,26.5,26.6,26.0,26.3,963000
3960,2025-06-18,26.6,27.0,26.3,26.45,1777000
3959,2025-06-17,26.85,26.9,26.1,26.6,1428049
3958,2025-06-16,25.4,26.5,25.4,26.5,1552186
3957,2025-06-13,25.6,25.75,25.1,25.4,2301056
3956,2025-06-12,25.7,26.1,25.7,25.95,1008193
3955,2025-06-11,25.75,26.15,25.6,25.7,832671
3954,2025-06-10,26.0,26.2,25.7,25.75,792277
3953,2025-06-09,25.75,26.15,25.5,25.8,1007261
3952,2025-06-06,26.7,26.7,25.6,25.75,2198260
3951,2025-06-05,27.2,27.2,26.5,26.55,2900391
3950,2025-06-04,26.71,26.71,26.12,26.22,3118100
3949,2025-06-03,27.06,27.27,26.54,26.61,4514480
3948,2025-06-02,25.87,26.78,25.66,26.71,2916937
