,Date,Open,High,Low,Close
2246,2025-10-17,27.8,27.8,27.8,27.8
2245,2025-10-14,27.0,27.0,27.0,27.0
2244,2025-10-13,27.0,27.0,27.0,27.0
2243,2025-10-09,27.7,27.7,27.7,27.7
2242,2025-10-08,27.6,27.6,27.6,27.6
2241,2025-10-03,27.6,27.6,27.6,27.6
2240,2025-09-30,27.6,27.6,27.6,27.6
2239,2025-09-29,27.6,27.6,27.6,27.6
2238,2025-09-26,27.6,27.6,27.6,27.6
2237,2025-09-24,27.8,27.8,27.3,27.3
2236,2025-09-23,27.8,27.8,27.8,27.8
2235,2025-09-22,27.8,27.8,27.8,27.8
2234,2025-09-19,27.8,27.9,27.8,27.9
2233,2025-09-18,28.0,28.0,28.0,28.0
2232,2025-09-17,27.8,28.0,27.8,27.8
2231,2025-09-16,28.0,28.0,28.0,28.0
2230,2025-09-15,27.8,27.8,27.3,27.3
2229,2025-09-11,28.0,28.0,28.0,28.0
2228,2025-09-10,28.0,28.0,28.0,28.0
2227,2025-09-09,28.0,28.0,28.0,28.0
2226,2025-09-05,28.0,28.0,28.0,28.0
2225,2025-09-04,28.0,28.0,28.0,28.0
2224,2025-09-03,28.0,28.0,28.0,28.0
2223,2025-08-29,28.0,28.0,28.0,28.0
2222,2025-08-26,28.0,28.0,28.0,28.0
2221,2025-08-25,27.5,28.3,27.5,28.0
2220,2025-08-22,27.3,27.5,27.3,27.5
2219,2025-08-20,27.4,28.0,27.3,28.0
2218,2025-08-19,27.9,27.9,27.8,27.8
2217,2025-08-18,28.0,28.0,28.0,28.0
2216,2025-08-15,27.8,28.0,27.7,27.9
2215,2025-08-14,27.8,27.8,27.8,27.8
2214,2025-08-13,28.3,28.3,28.3,28.3
2213,2025-08-12,28.5,28.5,28.5,28.5
2212,2025-08-11,28.4,28.4,28.4,28.4
2211,2025-08-08,28.5,28.5,28.4,28.4
2210,2025-08-07,29.0,29.0,28.4,28.4
2209,2025-08-06,28.5,28.5,28.4,28.4
2208,2025-08-05,28.6,31.2,28.6,28.6
2207,2025-08-04,28.6,28.6,28.6,28.6
2206,2025-08-01,28.7,28.7,28.6,28.6
2205,2025-07-31,30.0,30.0,28.6,28.6
2204,2025-07-28,30.9,30.9,30.9,30.9
2203,2025-07-25,30.9,30.9,30.9,30.9
2202,2025-07-24,31.1,31.1,31.1,31.1
2201,2025-07-23,31.1,31.1,31.1,31.1
2200,2025-07-22,30.0,31.2,30.0,31.2
2199,2025-07-21,28.8,28.8,28.8,28.8
2198,2025-07-18,28.7,29.9,28.7,29.9
2197,2025-07-17,29.8,29.8,29.8,29.8
2196,2025-07-16,29.8,29.8,29.8,29.8
2195,2025-07-15,29.7,29.7,29.7,29.7
2194,2025-07-14,28.84,29.8,28.84,29.8
2193,2025-07-11,29.22,29.22,28.65,28.65
2192,2025-07-10,29.6,29.6,29.6,29.6
2191,2025-07-09,28.75,28.75,28.75,28.75
2190,2025-07-08,28.75,28.75,28.75,28.75
2189,2025-07-07,28.75,28.75,28.75,28.75
2188,2025-07-04,28.84,28.84,28.75,28.75
2187,2025-07-03,28.84,28.84,28.84,28.84
2186,2025-07-02,29.22,29.22,29.13,29.13
2185,2025-07-01,30.08,30.08,30.08,30.08
2184,2025-06-30,29.6,29.6,29.6,29.6
2183,2025-06-27,28.65,28.65,28.65,28.65
2182,2025-06-26,28.65,28.65,28.65,28.65
2181,2025-06-25,28.75,28.75,28.65,28.65
2180,2025-06-24,29.8,29.8,29.8,29.8
2179,2025-06-23,29.8,29.8,29.8,29.8
2178,2025-06-20,29.8,29.8,29.8,29.8
2177,2025-06-19,29.8,29.8,29.8,29.8
