,Date,Open,High,Low,Close
3159,2025-10-17,18.0,18.1,17.7,17.9
3158,2025-10-16,17.9,17.9,17.5,17.8
3157,2025-10-15,17.8,17.9,17.7,17.9
3156,2025-10-14,18.2,18.4,17.7,17.9
3155,2025-10-13,17.8,18.2,17.3,18.0
3154,2025-10-10,17.9,18.3,17.6,18.0
3153,2025-10-09,18.2,18.2,17.7,17.9
3152,2025-10-08,18.4,18.4,17.8,18.1
3151,2025-10-07,18.4,18.4,18.0,18.2
3150,2025-10-06,17.9,18.3,17.8,18.3
3149,2025-10-03,18.0,18.0,17.5,17.5
3148,2025-10-02,18.6,18.7,17.8,17.9
3147,2025-10-01,18.7,18.9,18.4,18.6
3146,2025-09-30,18.1,19.1,18.1,18.7
3145,2025-09-29,18.2,18.2,17.9,18.1
3144,2025-09-26,18.4,18.6,18.0,18.0
3143,2025-09-25,18.9,18.9,18.4,18.6
3142,2025-09-24,18.4,18.7,18.0,18.6
3141,2025-09-23,18.8,18.8,18.0,18.2
3140,2025-09-22,18.6,18.6,17.8,18.1
3139,2025-09-19,18.2,18.8,17.9,18.5
3138,2025-09-18,18.7,18.7,18.1,18.2
3137,2025-09-17,18.7,18.9,18.2,18.4
3136,2025-09-16,18.8,19.7,18.4,18.5
3135,2025-09-15,18.4,20.0,18.4,19.5
3134,2025-09-12,17.7,18.6,17.5,18.4
3133,2025-09-11,17.6,18.0,17.2,17.8
3132,2025-09-10,18.0,18.0,17.7,17.8
3131,2025-09-09,18.5,18.5,17.7,18.0
3130,2025-09-08,18.8,18.9,18.0,18.0
3129,2025-09-05,19.9,20.2,18.8,19.4
3128,2025-09-04,20.0,20.6,19.7,19.8
3127,2025-09-03,20.9,20.9,19.9,20.2
3126,2025-08-29,19.9,21.0,19.3,20.1
3125,2025-08-28,20.4,20.4,19.2,19.7
3124,2025-08-27,22.0,22.0,20.4,20.8
3123,2025-08-26,22.2,22.2,20.9,21.8
3122,2025-08-25,21.5,23.1,19.9,21.1
3121,2025-08-22,22.6,22.6,20.1,20.8
3120,2025-08-21,24.0,25.0,22.2,22.6
3119,2025-08-20,26.5,26.5,21.5,24.0
3118,2025-08-19,22.3,23.1,22.3,23.1
3117,2025-08-18,19.3,21.3,18.7,21.3
3116,2025-08-15,17.5,20.0,16.9,18.9
3115,2025-08-14,18.0,18.2,16.9,17.4
3114,2025-08-13,17.6,17.7,17.2,17.7
