,Date,Open,High,Low,Close
3513,2025-10-17,1.2,1.2,1.1,1.2
3512,2025-10-10,1.3,1.3,1.2,1.2
3511,2025-10-03,1.3,1.3,1.2,1.3
3510,2025-09-26,1.3,1.4,1.2,1.3
3509,2025-09-19,1.3,1.4,1.2,1.4
3508,2025-09-12,1.3,1.3,1.2,1.3
3507,2025-09-05,1.2,1.2,1.1,1.2
3506,2025-08-29,1.2,1.2,1.1,1.1
3505,2025-08-22,1.3,1.3,1.2,1.3
3504,2025-08-15,1.3,1.4,1.3,1.3
3503,2025-08-08,1.4,1.4,1.3,1.4
3502,2025-08-01,1.5,1.5,1.3,1.4
3501,2025-07-25,1.5,1.6,1.4,1.5
3500,2025-07-18,1.5,1.6,1.4,1.5
3499,2025-07-11,1.4,1.6,1.4,1.6
3498,2025-07-04,1.2,1.5,1.2,1.3
3497,2025-06-27,1.5,1.6,1.4,1.4
3496,2025-06-20,1.8,1.8,1.6,1.6
3495,2025-06-13,2.5,2.5,1.6,1.7
3494,2024-09-13,1.9,1.9,1.8,1.9
3493,2024-09-06,2.0,2.0,1.8,1.9
3492,2024-08-30,1.9,2.0,1.9,2.0
3491,2024-08-23,1.9,2.0,1.8,1.9
3490,2024-08-16,2.0,2.1,1.9,1.9
3489,2024-08-09,1.9,2.0,1.9,2.0
3488,2024-08-02,2.0,2.0,1.9,1.9
3487,2024-07-26,2.2,2.2,2.1,2.1
3486,2024-07-25,2.2,2.2,2.2,2.2
3485,2024-07-24,2.2,2.2,2.2,2.2
3484,2024-07-23,2.2,2.2,2.2,2.2
3483,2024-07-22,2.2,2.2,2.2,2.2
3482,2024-07-19,2.1,2.2,2.0,2.2
3481,2024-07-18,2.1,2.1,2.1,2.1
3480,2024-07-17,2.1,2.1,2.1,2.1
3479,2024-07-16,2.1,2.1,2.1,2.1
3478,2024-07-15,2.1,2.1,2.1,2.1
3477,2024-07-12,2.3,2.3,2.1,2.1
3476,2024-07-11,2.3,2.3,2.3,2.3
3475,2024-07-10,2.3,2.3,2.3,2.3
3474,2024-07-09,2.3,2.3,2.3,2.3
3473,2024-07-08,2.3,2.3,2.3,2.3
3472,2024-07-05,2.4,2.4,2.3,2.3
3471,2024-07-04,2.4,2.4,2.4,2.4
3470,2024-07-03,2.4,2.4,2.4,2.4
3469,2024-07-02,2.4,2.4,2.4,2.4
3468,2024-07-01,2.4,2.4,2.4,2.4
3467,2024-06-28,2.4,2.5,2.3,2.4
3466,2024-06-27,2.5,2.5,2.5,2.5
3465,2024-06-26,2.5,2.5,2.5,2.5
3464,2024-06-25,2.5,2.5,2.5,2.5
3463,2024-06-24,2.5,2.5,2.5,2.5
3462,2024-06-21,2.4,2.5,2.4,2.5
3461,2024-06-20,2.4,2.4,2.4,2.4
3460,2024-06-19,2.4,2.4,2.4,2.4
3459,2024-06-18,2.4,2.4,2.4,2.4
3458,2024-06-17,2.4,2.4,2.4,2.4
3457,2024-06-14,2.4,2.5,2.3,2.4
3456,2024-06-13,2.4,2.4,2.4,2.4
3455,2024-06-12,2.4,2.4,2.4,2.4
3454,2024-06-11,2.4,2.4,2.4,2.4
3453,2024-06-10,2.4,2.4,2.4,2.4
3452,2024-06-07,2.4,2.6,2.4,2.4
3451,2024-06-06,2.5,2.5,2.5,2.5
3450,2024-06-05,2.5,2.5,2.5,2.5
3449,2024-06-04,2.5,2.5,2.5,2.5
3448,2024-06-03,2.5,2.5,2.5,2.5
3447,2024-05-31,2.5,2.7,2.5,2.5
3446,2024-05-30,2.6,2.6,2.6,2.6
3445,2024-05-29,2.6,2.6,2.6,2.6
3444,2024-05-28,2.6,2.6,2.6,2.6
3443,2024-05-27,2.6,2.6,2.6,2.6
3442,2024-05-24,2.6,2.7,2.6,2.6
3441,2024-05-23,2.8,2.8,2.8,2.8
3440,2024-05-22,2.8,2.8,2.8,2.8
3439,2024-05-21,3.0,3.0,2.8,2.8
3438,2024-05-20,3.0,3.1,3.0,3.0
3437,2024-05-17,3.0,3.0,2.9,2.9
3436,2024-05-16,3.0,3.0,3.0,3.0
3435,2024-05-15,3.1,3.1,3.0,3.0
3434,2024-05-14,3.1,3.1,2.9,3.1
3433,2024-05-13,3.0,3.1,2.9,3.1
3432,2024-05-10,3.0,3.1,2.9,3.0
3431,2024-05-09,2.9,3.0,2.8,3.0
3430,2024-05-08,2.8,2.9,2.8,2.9
3429,2024-05-07,2.9,2.9,2.8,2.8
3428,2024-05-06,2.8,2.9,2.8,2.8
3427,2024-05-03,2.9,2.9,2.7,2.8
3426,2024-05-02,2.9,2.9,2.7,2.9
3425,2024-04-26,2.8,2.9,2.8,2.8
3424,2024-04-25,2.9,2.9,2.7,2.8
3423,2024-04-24,2.8,2.9,2.7,2.9
3422,2024-04-23,3.0,3.0,2.7,2.9
3421,2024-04-22,2.9,3.0,2.9,3.0
3420,2024-04-19,2.8,2.9,2.7,2.9
3419,2024-04-17,2.9,2.9,2.8,2.8
3418,2024-04-16,2.9,2.9,2.8,2.9
3417,2024-04-15,3.0,3.0,2.8,2.9
3416,2024-04-12,3.0,3.0,2.9,3.0
3415,2024-04-11,3.0,3.1,2.9,3.0
3414,2024-04-10,3.1,3.1,3.0,3.0
3413,2024-04-09,3.0,3.1,2.9,3.1
3412,2024-04-08,3.1,3.2,3.0,3.0
3411,2024-04-05,3.2,3.2,3.1,3.1
