,Date,Open,High,Low,Close
3654,2025-10-17,10.3,10.3,10.3,10.3
3653,2025-10-16,11.0,11.0,10.8,10.8
3652,2025-10-15,10.7,10.7,10.7,10.7
3651,2025-10-14,10.8,10.8,10.8,10.8
3650,2025-10-13,10.7,10.7,10.7,10.7
3649,2025-10-10,10.8,10.8,10.8,10.8
3648,2025-10-09,10.8,10.8,10.8,10.8
3647,2025-10-07,10.4,10.4,10.4,10.4
3646,2025-10-06,11.2,11.2,10.4,10.6
3645,2025-10-03,10.5,10.6,10.5,10.6
3644,2025-10-02,10.5,10.8,10.5,10.5
3643,2025-10-01,10.3,10.3,10.0,10.0
3642,2025-09-29,10.3,10.3,10.3,10.3
3641,2025-09-26,10.5,10.5,10.5,10.5
3640,2025-09-25,10.5,10.6,10.5,10.5
3639,2025-09-24,10.5,10.5,10.4,10.5
3638,2025-09-23,10.5,10.6,10.4,10.5
3637,2025-09-19,11.5,11.5,10.5,10.5
3636,2025-09-18,10.4,10.5,10.4,10.5
3635,2025-09-17,10.8,10.8,10.5,10.5
3634,2025-09-16,10.6,10.6,10.3,10.6
3633,2025-09-15,10.4,10.4,10.4,10.4
3632,2025-09-12,9.8,10.5,9.6,10.3
3631,2025-09-11,10.5,10.5,10.5,10.5
3630,2025-09-10,10.6,10.6,10.6,10.6
3629,2025-09-09,10.1,10.6,9.7,10.6
3628,2025-09-08,11.2,11.2,10.7,10.7
3627,2025-09-05,12.1,12.1,11.2,11.2
3626,2025-09-04,11.52,11.7,11.16,11.16
3625,2025-09-03,10.09,10.98,10.09,10.98
3624,2025-08-29,10.18,10.18,9.82,10.0
3623,2025-08-28,9.91,10.18,9.82,10.18
3622,2025-08-27,9.64,9.91,9.64,9.82
3621,2025-08-26,9.64,9.64,9.55,9.64
3620,2025-08-25,9.82,9.82,9.55,9.55
3619,2025-08-22,9.46,9.91,9.38,9.91
3618,2025-08-21,9.91,9.91,9.73,9.82
3617,2025-08-20,9.91,10.0,9.29,9.91
3616,2025-08-19,9.82,9.91,9.29,9.91
3615,2025-08-18,9.02,9.73,9.02,9.64
3614,2025-08-15,9.64,9.91,9.55,9.55
