,Date,Open,High,Low,Close
4016,2025-10-17,17.4,17.4,17.4,17.4
4015,2025-10-16,17.4,17.4,17.4,17.4
4014,2025-10-15,17.4,17.4,17.4,17.4
4013,2025-10-14,17.4,17.4,17.4,17.4
4012,2025-10-13,17.4,17.5,17.4,17.5
4011,2025-10-10,17.6,17.6,17.6,17.6
4010,2025-10-09,17.5,17.5,17.5,17.5
4009,2025-10-07,17.7,17.7,17.5,17.5
4008,2025-10-06,18.0,18.0,18.0,18.0
4007,2025-10-03,17.5,17.5,17.5,17.5
4006,2025-10-02,17.7,17.7,17.5,17.5
4005,2025-10-01,17.8,17.8,17.7,17.7
4004,2025-09-30,18.0,18.0,17.8,17.8
4003,2025-09-29,17.6,17.7,17.5,17.7
4002,2025-09-26,17.6,17.6,17.6,17.6
4001,2025-09-25,17.7,17.7,17.7,17.7
4000,2025-09-23,17.9,17.9,17.8,17.8
3999,2025-09-22,18.0,18.0,17.9,17.9
3998,2025-09-18,18.0,18.0,18.0,18.0
3997,2025-09-17,17.8,18.0,17.8,18.0
3996,2025-09-16,18.0,18.0,18.0,18.0
3995,2025-09-15,18.0,18.0,17.9,18.0
3994,2025-09-09,18.0,18.0,18.0,18.0
3993,2025-09-04,18.0,18.0,18.0,18.0
3992,2025-09-03,18.3,18.3,17.8,18.2
3991,2025-08-29,17.5,18.1,17.5,18.1
3990,2025-08-27,17.5,18.0,17.5,18.0
3989,2025-08-26,18.0,18.0,18.0,18.0
3988,2025-08-25,17.6,18.3,17.6,18.2
3987,2025-08-21,18.0,18.0,18.0,18.0
3986,2025-08-20,17.5,17.5,17.3,17.3
3985,2025-08-18,18.9,18.9,18.9,18.9
3984,2025-08-15,18.5,18.5,18.0,18.0
3983,2025-08-14,18.5,18.9,18.0,18.9
3982,2025-08-13,18.8,18.8,18.8,18.8
3981,2025-08-08,19.0,19.0,19.0,19.0
3980,2025-08-07,19.0,19.0,19.0,19.0
3979,2025-08-05,19.5,19.5,19.5,19.5
3978,2025-08-04,18.7,19.5,18.7,19.5
3977,2025-08-01,18.4,18.4,18.4,18.4
3976,2025-07-31,18.4,18.4,18.4,18.4
3975,2025-07-29,17.7,18.3,17.6,18.3
