,Date,Open,High,Low,Close
4563,2025-10-17,13.5,14.9,13.5,14.9
4562,2025-10-07,14.9,14.9,14.9,14.9
4561,2025-09-08,14.9,14.9,14.9,14.9
4560,2025-09-05,14.5,14.5,14.5,14.5
4559,2025-08-19,14.5,14.5,14.5,14.5
4558,2025-08-07,14.5,14.5,14.5,14.5
4557,2025-08-06,14.5,14.5,14.5,14.5
4556,2025-07-29,14.5,14.5,14.5,14.5
4555,2025-07-25,13.5,13.7,13.5,13.7
4554,2025-07-21,14.9,14.9,14.9,14.9
4553,2025-07-11,14.9,14.9,14.9,14.9
4552,2025-07-02,14.9,14.9,14.9,14.9
4551,2025-06-11,14.5,14.5,14.5,14.5
4550,2025-05-12,14.5,14.5,14.5,14.5
4549,2025-04-25,15.4,15.4,15.4,15.4
4548,2025-04-10,14.0,14.0,14.0,14.0
4547,2025-04-09,14.0,14.0,14.0,14.0
4546,2025-04-08,14.0,14.0,14.0,14.0
4545,2025-04-03,14.4,15.5,14.4,15.5
4544,2025-04-02,16.0,16.0,16.0,16.0
4543,2025-03-31,16.0,16.0,16.0,16.0
4542,2025-03-28,16.2,16.2,16.0,16.0
4541,2025-03-27,16.3,16.3,16.3,16.3
4540,2025-03-24,14.2,14.9,14.2,14.9
4539,2025-03-14,14.1,14.1,14.1,14.1
4538,2025-03-13,14.0,14.0,14.0,14.0
4537,2025-03-12,14.0,14.0,14.0,14.0
4536,2025-03-11,15.3,15.3,15.3,15.3
4535,2025-03-10,15.3,15.3,15.3,15.3
4534,2025-03-07,15.3,15.3,15.3,15.3
4533,2025-03-06,15.3,15.3,15.3,15.3
4532,2025-03-05,15.5,15.5,15.3,15.3
4531,2025-03-04,15.3,15.3,15.3,15.3
4530,2025-03-03,15.3,15.3,15.3,15.3
4529,2025-02-28,15.3,15.3,15.3,15.3
4528,2025-02-27,15.76,15.76,15.3,15.3
4527,2025-02-26,15.86,15.86,15.86,15.86
4526,2025-02-25,15.95,15.95,15.95,15.95
4525,2025-02-24,15.49,16.04,15.49,15.95
4524,2025-02-21,15.49,15.49,15.49,15.49
4523,2025-02-20,15.39,15.67,15.3,15.67
4522,2025-02-19,15.11,15.39,15.11,15.39
4521,2025-02-18,15.3,15.3,14.93,15.02
4520,2025-02-17,15.3,15.3,15.11,15.11
4519,2025-02-14,14.65,15.58,14.65,15.58
4518,2025-02-13,14.65,14.65,14.37,14.37
4517,2025-02-12,14.65,14.65,14.65,14.65
4516,2025-02-11,14.65,14.65,14.65,14.65
4515,2025-02-10,14.65,14.65,14.65,14.65
4514,2025-02-07,14.65,14.65,14.65,14.65
4513,2025-02-06,14.65,14.65,14.65,14.65
4512,2025-02-05,14.65,14.65,14.65,14.65
4511,2025-02-04,14.65,14.65,14.65,14.65
4510,2025-02-03,14.65,14.65,14.65,14.65
4509,2025-01-24,14.65,14.65,14.65,14.65
4508,2025-01-23,14.65,14.65,14.65,14.65
4507,2025-01-22,14.37,14.37,14.37,14.37
4506,2025-01-21,14.37,14.37,14.37,14.37
4505,2025-01-20,14.37,14.37,14.37,14.37
4504,2025-01-17,14.37,14.37,14.37,14.37
4503,2025-01-16,14.37,14.37,14.37,14.37
4502,2025-01-15,14.37,14.37,14.37,14.37
4501,2025-01-14,14.37,14.37,14.37,14.37
4500,2025-01-13,14.37,14.37,14.37,14.37
4499,2025-01-10,14.37,14.37,14.37,14.37
4498,2025-01-09,14.37,14.37,14.37,14.37
4497,2025-01-08,14.37,14.37,14.37,14.37
4496,2025-01-07,14.37,14.37,14.37,14.37
4495,2025-01-06,14.37,14.37,14.37,14.37
4494,2025-01-03,14.37,14.37,14.37,14.37
4493,2025-01-02,14.37,14.37,14.37,14.37
