,Date,Open,High,Low,Close,Volume
3887,2025-10-24,25.1,25.1,22.7,22.7,200
3886,2025-10-23,22.3,22.3,22.3,22.3,200
3885,2025-10-13,25.9,25.9,25.9,25.9,100
3884,2025-10-10,22.9,24.3,22.9,24.3,300
3883,2025-10-09,22.7,22.7,22.7,22.7,4000
3882,2025-10-08,22.7,22.7,22.6,22.6,1400
3881,2025-10-07,22.4,22.4,22.4,22.4,100
3880,2025-10-02,25.7,25.7,25.7,25.7,100
3879,2025-10-01,24.5,24.5,24.5,24.5,1400
3878,2025-09-30,24.7,24.8,24.7,24.8,300
3877,2025-09-29,24.0,24.0,23.0,23.0,200
3876,2025-09-26,22.2,24.9,22.2,24.9,300
3875,2025-09-25,24.0,24.0,24.0,24.0,1100
3874,2025-09-23,27.7,27.7,25.0,25.0,1000
3873,2025-09-22,27.9,27.9,27.9,27.9,200
3872,2025-09-05,28.7,28.7,28.6,28.6,200
3871,2025-09-04,25.2,25.2,25.0,25.0,1100
3870,2025-09-03,25.9,25.9,25.8,25.8,500
3869,2025-08-29,23.1,26.6,23.1,26.6,1300
3868,2025-08-28,27.0,27.0,27.0,27.0,0
3867,2025-08-27,27.0,27.0,27.0,27.0,0
3866,2025-08-26,27.0,27.0,27.0,27.0,0
3865,2025-08-25,27.0,27.0,27.0,27.0,0
3864,2025-08-22,27.0,27.0,27.0,27.0,0
3863,2025-08-21,27.0,27.0,27.0,27.0,302
3862,2025-08-20,23.5,23.5,23.5,23.5,100
3861,2025-08-19,26.7,26.7,26.7,26.7,5
3860,2025-08-18,26.65,26.84,26.65,26.65,1800
3859,2025-08-15,26.94,26.94,26.84,26.84,811
3858,2025-08-14,27.13,27.13,27.03,27.03,5206
3857,2025-08-13,27.22,27.22,26.84,27.22,3850
3856,2025-08-12,25.69,27.22,23.2,23.2,4620
3855,2025-08-11,26.84,26.84,23.01,23.01,300
3854,2025-08-08,27.22,27.22,26.94,26.94,1100
3853,2025-08-07,26.84,26.84,26.84,26.84,2110
3852,2025-08-06,26.84,26.84,26.84,26.84,0
3851,2025-08-05,23.29,27.13,23.29,26.84,1900
3850,2025-08-04,27.22,27.22,27.22,27.22,0
3849,2025-08-01,27.22,27.22,27.22,27.22,100
3848,2025-07-31,24.44,27.61,24.44,27.42,1110
3847,2025-07-30,24.54,24.54,24.54,24.54,200
3846,2025-07-29,28.57,28.57,28.57,28.57,0
3845,2025-07-28,28.57,28.57,28.57,28.57,0
3844,2025-07-25,28.57,28.57,28.57,28.57,300
3843,2025-07-24,29.72,29.72,29.72,29.72,35
3842,2025-07-23,29.72,29.72,29.72,29.72,0
3841,2025-07-22,29.72,29.72,29.72,29.72,0
3840,2025-07-21,30.58,30.58,28.76,28.76,400
3839,2025-07-18,24.16,27.51,24.16,27.32,1300
3838,2025-07-17,27.61,27.61,27.61,27.61,0
3837,2025-07-16,27.61,27.61,27.61,27.61,10
3836,2025-07-15,27.61,27.61,27.61,27.61,335
3835,2025-07-14,27.8,27.8,27.8,27.8,100
3834,2025-07-11,27.61,27.61,27.61,27.61,300
3833,2025-07-10,27.8,27.8,27.8,27.8,0
3832,2025-07-09,27.8,27.8,27.8,27.8,0
3831,2025-07-08,27.8,27.8,27.8,27.8,0
3830,2025-07-07,27.22,28.66,27.22,27.8,500
3829,2025-07-04,23.58,27.51,23.58,27.32,2506
3828,2025-07-03,27.51,27.51,27.51,27.51,0
3827,2025-07-02,27.51,27.51,27.51,27.51,100
3826,2025-07-01,28.09,28.09,28.09,28.09,1
3825,2025-06-30,28.09,28.09,28.09,28.09,0
3824,2025-06-27,27.03,28.66,27.03,28.47,300
3823,2025-06-26,26.74,26.74,26.74,26.74,100
3822,2025-06-25,26.74,26.74,26.65,26.65,804
3821,2025-06-24,27.03,27.03,27.03,27.03,1
3820,2025-06-23,27.03,27.03,27.03,27.03,100
3819,2025-06-20,27.22,27.22,27.22,27.22,406
3818,2025-06-19,27.42,27.42,27.42,27.42,0
3817,2025-06-18,28.57,28.66,23.96,27.7,1100
3816,2025-06-17,30.2,30.2,26.84,28.95,1006
3815,2025-06-16,27.03,27.03,27.03,27.03,0
3814,2025-06-13,27.03,27.03,27.03,27.03,0
3813,2025-06-12,23.96,28.28,23.96,27.32,708
3812,2025-06-11,25.5,27.9,23.87,27.61,700
3811,2025-06-10,29.14,29.14,25.12,25.12,309
3810,2025-06-09,29.33,29.33,22.43,22.43,2900
3809,2025-06-06,33.46,33.46,25.12,25.12,1795
3808,2025-06-05,38.15,38.15,29.14,29.14,2450
3807,2025-06-04,34.22,34.22,34.22,34.22,0
3806,2025-06-03,34.22,34.22,34.22,34.22,0
3805,2025-06-02,34.22,34.22,34.22,34.22,0
3804,2025-05-30,34.22,34.22,34.22,34.22,0
3803,2025-05-29,34.22,34.22,34.22,34.22,0
3802,2025-05-28,34.22,34.22,34.22,34.22,0
3801,2025-05-27,34.22,34.22,34.22,34.22,0
3800,2025-05-26,34.22,34.22,34.22,34.22,0
3799,2025-05-23,34.22,34.22,34.22,34.22,0
3798,2025-05-22,34.22,34.22,34.22,34.22,0
3797,2025-05-21,34.22,34.22,34.22,34.22,0
3796,2025-05-20,34.22,34.22,34.22,34.22,1
3795,2025-05-19,30.58,34.7,30.58,34.61,900
3794,2025-05-16,30.58,30.58,30.39,30.39,401
3793,2025-05-15,28.66,28.66,28.18,28.18,323
3792,2025-05-14,25.98,28.76,25.98,28.76,400
3791,2025-05-13,26.27,26.27,22.81,26.07,1200
3790,2025-05-12,26.36,26.36,26.27,26.27,800
3789,2025-05-09,26.46,26.46,26.46,26.46,1
3788,2025-05-08,26.46,26.46,26.46,26.46,23
3787,2025-05-07,26.46,26.46,26.46,26.46,0
3786,2025-05-06,26.46,26.46,26.46,26.46,50
3785,2025-05-05,26.46,26.46,26.46,26.46,0
3784,2025-04-29,26.46,26.46,26.46,26.46,210
3783,2025-04-28,25.88,26.55,24.92,26.36,851
3782,2025-04-25,26.65,26.65,26.65,26.65,0
3781,2025-04-24,26.65,26.65,26.65,26.65,0
3780,2025-04-23,26.65,26.65,26.65,26.65,1
3779,2025-04-22,26.65,26.65,26.65,26.65,101
3778,2025-04-21,26.74,27.32,26.74,27.32,800
3777,2025-04-18,28.66,28.66,28.66,28.66,0
3776,2025-04-17,28.66,28.66,28.66,28.66,0
3775,2025-04-16,28.66,28.66,28.66,28.66,35
3774,2025-04-15,28.66,28.66,28.66,28.66,600
3773,2025-04-14,28.09,28.09,24.73,24.73,1500
3772,2025-04-11,28.37,28.37,24.25,24.35,3001
3771,2025-04-10,28.37,33.93,28.37,28.37,4145
3770,2025-04-09,33.36,33.36,33.36,33.36,0
3769,2025-04-08,33.36,33.36,33.36,33.36,0
3768,2025-04-04,33.36,33.36,33.36,33.36,1
3767,2025-04-03,33.36,33.36,33.36,33.36,105
3766,2025-04-02,30.29,30.29,30.29,30.29,10
3765,2025-04-01,30.29,30.29,30.29,30.29,0
3764,2025-03-31,30.29,30.29,30.29,30.29,10
3763,2025-03-28,29.24,33.55,29.24,33.55,400
3762,2025-03-27,29.62,29.62,29.62,29.62,0
3761,2025-03-26,29.62,29.62,29.62,29.62,0
3760,2025-03-25,29.62,29.62,29.62,29.62,0
3759,2025-03-24,29.62,29.62,29.62,29.62,0
3758,2025-03-21,29.62,29.62,29.62,29.62,20
3757,2025-03-20,29.62,29.62,29.62,29.62,100
3756,2025-03-19,23.29,26.84,23.29,26.84,2400
3755,2025-03-18,26.36,26.36,26.36,26.36,300
3754,2025-03-17,27.03,27.03,27.03,27.03,0
3753,2025-03-14,27.03,27.03,27.03,27.03,0
3752,2025-03-13,27.03,27.03,27.03,27.03,0
3751,2025-03-12,27.03,27.03,27.03,27.03,0
3750,2025-03-11,27.03,27.13,26.84,27.03,4305
3749,2025-03-10,28.57,32.59,28.57,32.59,300
3748,2025-03-07,28.85,33.46,28.57,28.57,2960
3747,2025-03-06,33.55,33.55,33.55,33.55,100
3746,2025-03-05,29.52,29.72,29.52,29.52,500
3745,2025-03-04,34.7,34.7,34.7,34.7,100
3744,2025-03-03,30.0,36.43,29.91,30.68,2123
3743,2025-02-28,35.18,35.18,35.18,35.18,0
3742,2025-02-27,35.18,35.18,35.18,35.18,0
3741,2025-02-26,35.18,35.18,35.18,35.18,0
3740,2025-02-25,35.18,35.18,35.18,35.18,22
3739,2025-02-24,35.18,35.18,35.18,35.18,100
3738,2025-02-21,33.46,33.46,33.46,33.46,7
3737,2025-02-20,33.46,33.46,33.46,33.46,0
3736,2025-02-19,30.96,35.95,30.96,35.95,200
3735,2025-02-18,36.33,36.33,36.33,36.33,0
3734,2025-02-17,36.33,36.33,36.33,36.33,0
3733,2025-02-14,36.33,36.33,36.24,36.24,212
3732,2025-02-13,32.02,32.02,32.02,32.02,101
3731,2025-02-12,32.69,32.69,27.8,32.69,2800
3730,2025-02-11,31.54,35.28,31.54,34.99,701
3729,2025-02-10,34.99,34.99,27.99,27.99,210
3728,2025-02-07,27.99,35.37,27.99,27.99,1259
3727,2025-02-06,35.37,35.37,27.8,35.37,300
3726,2025-02-05,33.26,35.37,27.8,35.37,400
3725,2025-02-04,32.11,33.17,32.11,33.17,203
3724,2025-02-03,27.42,32.11,27.42,32.11,300
3723,2025-01-24,32.21,32.21,32.21,32.21,0
3722,2025-01-23,30.68,33.46,30.68,32.59,300
3721,2025-01-22,28.76,32.98,28.76,32.98,800
3720,2025-01-21,28.76,28.76,28.76,28.76,0
3719,2025-01-20,28.76,28.76,28.76,28.76,0
3718,2025-01-17,28.76,28.76,28.76,28.76,0
3717,2025-01-16,28.76,28.76,28.76,28.76,0
3716,2025-01-15,28.76,28.76,28.76,28.76,100
3715,2025-01-14,25.88,25.88,25.88,25.88,900
3714,2025-01-13,23.2,26.36,23.2,25.88,900
3713,2025-01-10,26.84,26.84,26.84,26.84,0
3712,2025-01-09,26.84,26.84,26.84,26.84,200
3711,2025-01-08,27.32,27.32,26.84,26.84,400
3710,2025-01-07,27.32,27.32,27.32,27.32,35
3709,2025-01-06,27.32,27.32,27.32,27.32,600
3708,2025-01-03,27.32,27.32,27.32,27.32,0
3707,2025-01-02,27.32,27.32,27.32,27.32,0
3706,2024-12-31,27.32,27.32,27.32,27.32,0
3705,2024-12-30,27.32,27.32,27.32,27.32,0
3704,2024-12-27,27.32,27.32,27.32,27.32,0
3703,2024-12-26,27.32,27.32,27.32,27.32,100
3702,2024-12-25,25.59,25.59,25.59,25.59,0
3701,2024-12-24,25.5,25.59,25.5,25.59,408
3700,2024-12-23,25.59,25.88,25.4,25.4,1635
3699,2024-12-20,25.59,25.59,25.59,25.59,0
3698,2024-12-19,25.59,25.59,25.59,25.59,0
3697,2024-12-18,25.59,25.59,25.59,25.59,0
3696,2024-12-17,25.59,25.59,25.59,25.59,100
3695,2024-12-16,24.25,24.25,24.25,24.25,0
3694,2024-12-13,24.25,24.25,24.25,24.25,0
3693,2024-12-12,24.25,24.25,24.25,24.25,0
3692,2024-12-11,24.25,24.25,24.25,24.25,0
3691,2024-12-10,24.25,24.25,24.25,24.25,0
3690,2024-12-09,24.92,24.92,23.96,23.96,2000
3689,2024-12-06,24.44,24.44,24.44,24.44,0
3688,2024-12-05,24.44,24.44,24.44,24.44,0
3687,2024-12-04,24.44,24.44,24.44,24.44,200
3686,2024-12-03,24.44,24.44,24.44,24.44,0
3685,2024-12-02,24.44,24.44,24.44,24.44,0
3684,2024-11-29,24.44,24.44,24.44,24.44,0
3683,2024-11-28,24.44,24.44,24.44,24.44,0
3682,2024-11-27,24.44,24.44,24.44,24.44,0
3681,2024-11-26,24.44,24.44,24.44,24.44,11
3680,2024-11-25,24.44,24.44,24.44,24.44,0
3679,2024-11-22,24.44,24.44,24.44,24.44,0
3678,2024-11-21,24.44,24.44,24.44,24.44,0
3677,2024-11-20,24.44,24.44,24.44,24.44,0
3676,2024-11-19,24.44,24.44,24.44,24.44,0
3675,2024-11-18,24.44,24.44,24.44,24.44,0
3674,2024-11-15,24.44,24.44,24.44,24.44,0
3673,2024-11-14,24.44,24.44,24.44,24.44,0
3672,2024-11-13,24.44,24.44,24.44,24.44,0
3671,2024-11-12,24.44,24.44,24.44,24.44,0
3670,2024-11-11,24.44,24.44,24.44,24.44,7
3669,2024-11-08,24.44,24.44,24.44,24.44,0
3668,2024-11-07,24.44,24.44,24.44,24.44,1
3667,2024-11-06,24.44,24.44,24.44,24.44,7
3666,2024-11-05,24.44,24.44,24.44,24.44,200
3665,2024-11-04,22.34,22.34,22.34,22.34,0
3664,2024-11-01,22.34,22.34,22.34,22.34,0
3663,2024-10-31,22.34,22.34,22.34,22.34,7
3662,2024-10-30,22.34,22.34,22.34,22.34,1500
3661,2024-10-29,23.96,23.96,22.53,23.01,3400
3660,2024-10-28,22.53,22.53,22.43,22.43,3000
3659,2024-10-25,26.27,26.27,26.27,26.27,0
3658,2024-10-24,26.27,26.27,26.27,26.27,0
3657,2024-10-23,26.27,26.27,26.27,26.27,1
3656,2024-10-22,26.27,26.27,26.27,26.27,100
3655,2024-10-21,23.49,23.49,23.49,23.49,6
3654,2024-10-18,23.49,23.49,23.49,23.49,0
3653,2024-10-17,23.49,23.49,23.49,23.49,1
3652,2024-10-16,23.49,23.49,23.49,23.49,400
