,Date,Open,High,Low,Close
4227,2025-10-17,11.75,11.8,11.5,11.5
4226,2025-10-16,11.2,11.75,11.15,11.7
4225,2025-10-15,11.45,11.55,11.2,11.2
4224,2025-10-14,11.7,11.7,11.4,11.45
4223,2025-10-13,11.55,11.65,11.4,11.6
4222,2025-10-10,11.75,11.8,11.6,11.6
4221,2025-10-09,11.7,11.85,11.6,11.65
4220,2025-10-08,11.95,11.95,11.55,11.65
4219,2025-10-07,12.0,12.0,11.8,11.8
4218,2025-10-06,11.75,12.05,11.75,12.0
4217,2025-10-03,11.9,11.95,11.7,11.7
4216,2025-10-02,12.1,12.15,11.9,11.95
4215,2025-10-01,12.05,12.2,12.0,12.05
4214,2025-09-30,12.15,12.3,11.85,12.15
4213,2025-09-29,12.4,12.45,12.1,12.15
4212,2025-09-26,12.3,12.55,12.3,12.45
4211,2025-09-25,12.15,12.35,12.05,12.25
4210,2025-09-24,11.9,12.15,11.8,12.1
4209,2025-09-23,12.0,12.05,11.85,11.85
4208,2025-09-22,12.25,12.3,11.95,12.0
4207,2025-09-19,12.3,12.35,12.1,12.2
4206,2025-09-18,12.05,12.3,12.05,12.1
4205,2025-09-17,12.15,12.3,12.0,12.1
4204,2025-09-16,12.3,12.35,12.15,12.2
4203,2025-09-15,12.2,12.4,12.15,12.25
4202,2025-09-12,12.0,12.3,12.0,12.15
4201,2025-09-11,11.9,11.95,11.6,11.9
4200,2025-09-10,12.2,12.2,11.8,11.9
4199,2025-09-09,12.1,12.2,11.6,12.0
4198,2025-09-08,12.6,12.7,12.05,12.1
4197,2025-09-05,12.85,13.25,12.65,12.65
4196,2025-09-04,12.85,12.9,12.65,12.7
4195,2025-09-03,12.5,12.8,12.35,12.8
4194,2025-08-29,12.4,12.5,12.3,12.4
4193,2025-08-28,12.35,12.45,12.25,12.4
4192,2025-08-27,12.4,12.5,12.15,12.3
4191,2025-08-26,11.85,12.2,11.85,12.2
4190,2025-08-25,12.05,12.2,11.8,11.85
4189,2025-08-22,12.5,12.65,11.85,12.0
4188,2025-08-21,12.8,12.85,12.6,12.65
4187,2025-08-20,13.15,13.3,12.6,12.8
4186,2025-08-19,13.0,13.6,12.85,13.1
4185,2025-08-18,13.15,13.15,12.8,13.0
4184,2025-08-15,13.65,13.75,12.8,13.0
4183,2025-08-14,14.15,14.15,13.5,13.7
4182,2025-08-13,13.0,13.9,12.95,13.85
4181,2025-08-12,13.35,13.35,12.8,13.0
4180,2025-08-11,13.25,13.6,13.2,13.35
4179,2025-08-08,12.95,13.45,12.85,13.2
4178,2025-08-07,12.85,13.0,12.7,12.95
4177,2025-08-06,12.55,12.95,12.55,12.85
4176,2025-08-05,13.05,13.4,12.2,12.45
4175,2025-08-04,12.6,12.9,12.6,12.85
4174,2025-08-01,12.6,12.85,12.55,12.85
4173,2025-07-31,13.05,13.15,12.45,12.55
4172,2025-07-30,13.55,13.8,12.9,12.9
