,Date,Open,High,Low,Close,Volume
4001,2025-10-24,6.1,6.1,5.3,5.7,6900
4000,2025-10-23,6.2,6.2,6.2,6.2,1000
3999,2025-10-22,6.0,6.5,6.0,6.2,15800
3998,2025-10-21,6.0,6.0,5.3,5.9,2100
3997,2025-10-20,6.0,6.0,5.9,5.9,1000
3996,2025-10-17,5.8,5.9,5.3,5.9,2900
3995,2025-10-16,6.0,6.2,5.1,6.1,9500
3994,2025-10-15,6.0,6.3,5.4,6.1,4300
3993,2025-10-14,6.1,6.4,6.1,6.4,1100
3992,2025-10-13,6.2,6.5,5.5,6.5,6200
3991,2025-10-10,6.4,6.5,6.3,6.3,4300
3990,2025-10-09,6.3,6.3,6.3,6.3,1800
3989,2025-10-08,6.3,6.3,6.3,6.3,4300
3988,2025-10-07,6.5,6.5,6.3,6.4,4500
3987,2025-10-06,6.4,6.4,6.4,6.4,200
3986,2025-10-03,6.5,6.5,6.3,6.3,200
3985,2025-10-02,6.4,6.4,6.4,6.4,4100
3984,2025-09-30,6.5,6.5,6.5,6.5,1300
3983,2025-09-29,6.4,6.5,6.4,6.5,5900
3982,2025-09-26,6.4,6.6,6.2,6.4,9600
3981,2025-09-25,6.5,6.5,6.4,6.4,3100
3980,2025-09-24,6.6,6.6,6.3,6.3,5100
3979,2025-09-22,6.6,6.6,6.6,6.6,500
3978,2025-09-19,6.6,6.6,6.5,6.5,2500
3977,2025-09-18,6.6,6.6,6.5,6.5,2400
3976,2025-09-17,6.5,6.6,6.5,6.6,6000
3975,2025-09-16,6.4,6.4,6.4,6.4,700
3974,2025-09-15,6.5,6.5,6.4,6.4,6900
3973,2025-09-12,6.4,6.6,6.4,6.6,400
3972,2025-09-11,6.5,6.5,6.5,6.5,2300
3971,2025-09-10,6.5,6.5,6.5,6.5,35100
3970,2025-09-09,6.5,6.5,6.5,6.5,2000
3969,2025-09-08,6.5,6.6,6.5,6.5,9000
3968,2025-09-05,6.6,6.6,6.4,6.5,37700
3967,2025-09-04,6.4,6.5,6.4,6.4,17900
3966,2025-09-03,6.4,6.5,6.4,6.4,37300
3965,2025-08-29,6.7,6.7,6.6,6.6,9000
3964,2025-08-28,6.6,6.6,6.6,6.6,1200
3963,2025-08-27,6.6,6.6,6.5,6.6,2900
3962,2025-08-26,6.5,6.6,6.5,6.6,1900
3961,2025-08-25,6.4,6.4,6.4,6.4,1800
3960,2025-08-22,6.5,6.5,6.5,6.5,400
3959,2025-08-21,6.5,6.5,6.5,6.5,3200
3958,2025-08-20,6.5,6.5,6.3,6.5,10300
3957,2025-08-19,6.6,6.6,6.5,6.5,37100
3956,2025-08-18,6.6,6.6,6.6,6.6,5200
3955,2025-08-15,6.7,6.7,6.5,6.6,15000
3954,2025-08-14,6.7,6.8,6.7,6.7,17200
3953,2025-08-13,6.9,6.9,6.6,6.6,42800
3952,2025-08-12,6.8,6.8,6.8,6.8,8300
3951,2025-08-11,6.8,6.8,6.8,6.8,1600
3950,2025-08-08,6.8,6.9,6.8,6.9,4200
3949,2025-08-07,7.0,7.0,7.0,7.0,9400
3948,2025-08-06,7.0,7.0,7.0,7.0,100
3947,2025-08-04,7.0,7.0,6.8,7.0,4300
3946,2025-08-01,7.0,7.0,6.9,6.9,7400
3945,2025-07-31,7.1,7.1,6.8,7.0,5700
3944,2025-07-30,7.0,7.0,6.9,6.9,2200
3943,2025-07-29,7.0,7.0,7.0,7.0,500
3942,2025-07-28,7.0,7.0,7.0,7.0,4500
3941,2025-07-25,7.1,7.1,7.0,7.0,2200
3940,2025-07-24,7.0,7.0,7.0,7.0,5300
3939,2025-07-23,7.0,7.0,7.0,7.0,4500
3938,2025-07-22,7.1,7.1,7.0,7.0,500
3937,2025-07-21,7.0,7.2,7.0,7.0,2400
3936,2025-07-17,6.8,6.9,6.7,6.9,2300
3935,2025-07-15,6.9,6.9,6.9,6.9,900
3934,2025-07-14,7.0,7.0,6.9,7.0,2300
3933,2025-07-11,7.0,7.0,7.0,7.0,100
3932,2025-07-10,7.0,7.1,6.9,6.9,13500
3931,2025-07-08,6.9,6.9,6.9,6.9,3200
3930,2025-07-07,6.8,7.0,6.8,7.0,400
3929,2025-07-04,6.8,6.8,6.8,6.8,300
3928,2025-07-03,6.8,6.9,6.8,6.8,8000
3927,2025-07-02,7.1,7.1,7.0,7.0,400
3926,2025-07-01,6.9,7.1,6.9,7.1,7100
3925,2025-06-30,6.9,6.9,6.9,6.9,2500
3924,2025-06-26,6.9,6.9,6.9,6.9,7800
3923,2025-06-25,7.1,7.1,7.1,7.1,1400
3922,2025-06-24,6.9,6.9,6.9,6.9,650
3921,2025-06-23,6.9,6.9,6.9,6.9,1950
3920,2025-06-20,7.0,7.1,7.0,7.1,1370
3919,2025-06-19,7.1,7.2,7.1,7.2,1150
3918,2025-06-18,7.1,7.1,7.1,7.1,2016
3917,2025-06-17,7.0,7.1,7.0,7.0,3000
3916,2025-06-16,7.0,7.0,6.9,7.0,1401
3915,2025-06-13,7.0,7.0,7.0,7.0,2670
3914,2025-06-12,7.2,7.2,7.1,7.1,850
3913,2025-06-11,7.14,7.14,7.14,7.14,300
3912,2025-06-10,7.05,7.05,6.95,7.05,4000
3911,2025-06-09,7.05,7.14,7.05,7.05,4532
3910,2025-06-06,7.05,7.05,6.86,6.86,5273
3909,2025-06-05,6.86,6.86,6.86,6.86,1202
3908,2025-06-04,6.95,6.95,6.76,6.95,7666
3907,2025-06-03,6.95,6.95,6.95,6.95,603
3906,2025-06-02,6.95,6.95,6.95,6.95,202
3905,2025-05-30,6.86,6.86,6.86,6.86,600
3904,2025-05-29,6.95,7.05,6.95,6.95,3000
3903,2025-05-28,6.86,6.95,6.86,6.95,952
3902,2025-05-27,6.86,6.95,6.76,6.95,5600
3901,2025-05-26,7.05,7.05,6.95,7.05,912
3900,2025-05-23,6.95,7.05,6.67,7.05,4300
3899,2025-05-22,6.95,7.05,6.95,7.05,401
3898,2025-05-21,7.14,7.14,7.14,7.14,400
3897,2025-05-20,7.05,7.24,6.76,6.76,13600
3896,2025-05-19,7.05,7.05,7.05,7.05,3955
3895,2025-05-16,7.14,7.14,7.05,7.05,1600
3894,2025-05-15,7.14,7.14,7.14,7.14,633
3893,2025-05-14,7.14,7.33,7.14,7.14,523
3892,2025-05-13,7.14,7.14,7.14,7.14,30
3891,2025-05-12,7.14,7.14,7.14,7.14,34
3890,2025-05-09,7.14,7.14,7.14,7.14,2400
3889,2025-05-08,7.24,7.24,7.14,7.14,1700
3888,2025-05-07,7.24,7.24,7.24,7.24,10
3887,2025-05-06,7.24,7.24,7.24,7.24,100
3886,2025-05-05,7.24,7.24,7.05,7.05,2701
3885,2025-04-29,7.14,7.14,7.14,7.14,200
3884,2025-04-28,7.14,7.24,7.14,7.24,2400
3883,2025-04-25,7.33,7.33,7.05,7.14,601
3882,2025-04-24,7.05,7.05,6.95,7.05,4000
3881,2025-04-23,6.95,7.05,6.95,6.95,3602
3880,2025-04-22,6.95,7.05,6.76,6.86,10535
3879,2025-04-21,7.14,7.14,7.14,7.14,101
3878,2025-04-18,6.95,6.95,6.95,6.95,510
3877,2025-04-17,7.05,7.05,7.05,7.05,170
3876,2025-04-16,7.14,7.14,7.05,7.05,5110
3875,2025-04-15,7.05,7.14,7.05,7.14,502
3874,2025-04-14,7.24,7.24,7.14,7.14,700
3873,2025-04-11,7.33,7.33,7.14,7.14,5410
3872,2025-04-10,7.24,7.33,7.24,7.24,5500
3871,2025-04-09,6.95,7.05,6.95,6.95,3001
3870,2025-04-08,7.05,7.05,6.76,6.76,7702
3869,2025-04-04,6.86,7.05,6.86,7.05,2700
3868,2025-04-03,7.14,7.24,6.76,6.76,11600
3867,2025-04-02,7.33,7.33,7.33,7.33,484
3866,2025-04-01,7.14,7.33,7.14,7.33,4803
3865,2025-03-31,7.24,7.24,7.24,7.24,9702
3864,2025-03-28,7.33,7.33,7.33,7.33,107
3863,2025-03-27,7.33,7.33,7.24,7.24,2105
3862,2025-03-26,7.24,7.33,7.24,7.33,955
3861,2025-03-25,7.43,7.43,7.43,7.43,300
3860,2025-03-24,7.24,7.33,7.14,7.33,1412
3859,2025-03-21,7.33,7.33,7.14,7.24,13445
3858,2025-03-20,7.33,7.33,7.33,7.33,1411
3857,2025-03-19,7.43,7.43,7.43,7.43,531
3856,2025-03-18,7.33,7.43,7.33,7.43,1625
3855,2025-03-17,7.33,7.33,7.33,7.33,1000
3854,2025-03-14,7.24,7.33,7.24,7.33,1200
3853,2025-03-13,7.24,7.43,7.24,7.33,5800
3852,2025-03-12,7.33,7.33,7.33,7.33,20
3851,2025-03-11,7.33,7.33,7.33,7.33,1423
3850,2025-03-10,7.24,7.33,7.24,7.33,829
3849,2025-03-07,7.33,7.33,7.33,7.33,637
3848,2025-03-06,7.33,7.33,7.24,7.24,1211
3847,2025-03-05,7.33,7.33,7.24,7.33,2701
3846,2025-03-04,7.33,7.33,7.24,7.33,2500
