,Date,Open,High,Low,Close,Volume
5373,2025-10-24,52.1,53.8,51.6,53.1,102400
5372,2025-10-23,53.5,54.5,52.0,52.1,106000
5371,2025-10-22,51.7,54.4,51.7,53.4,163200
5370,2025-10-21,50.7,51.9,50.2,51.6,103300
5369,2025-10-20,50.2,53.6,50.0,50.7,386700
5368,2025-10-17,50.9,51.2,50.0,50.2,58300
5367,2025-10-16,50.0,50.7,49.7,50.2,37700
5366,2025-10-15,50.7,50.7,49.65,50.0,35300
5365,2025-10-14,49.75,50.6,49.5,49.95,64000
5364,2025-10-13,48.6,49.65,48.6,49.45,40800
5363,2025-10-10,48.8,49.7,48.8,49.1,65000
5362,2025-10-09,49.0,49.2,48.8,48.8,57000
5361,2025-10-08,49.5,49.6,48.8,48.8,79500
5360,2025-10-07,49.3,49.8,48.7,48.75,56700
5359,2025-10-06,48.1,48.75,48.1,48.7,48800
5358,2025-10-03,49.25,49.35,47.8,48.05,129900
5357,2025-10-02,50.6,50.6,49.0,49.25,20600
5356,2025-10-01,49.1,50.8,48.75,49.9,68900
5355,2025-09-30,49.3,49.6,48.4,49.1,117700
5354,2025-09-29,50.6,51.4,49.2,49.3,82100
5353,2025-09-26,51.1,52.0,50.6,50.8,119000
5352,2025-09-25,51.0,51.9,50.7,51.0,97962
5351,2025-09-24,52.0,52.0,50.8,51.0,75152
5350,2025-09-23,53.0,53.0,51.9,52.0,42711
5349,2025-09-22,51.9,53.8,51.0,52.4,185269
5348,2025-09-19,51.6,52.5,50.8,51.7,68528
5347,2025-09-18,50.3,52.9,50.3,51.6,82708
5346,2025-09-17,52.4,52.4,50.7,50.7,71306
5345,2025-09-16,52.0,54.5,51.7,51.7,179315
5344,2025-09-15,52.5,53.2,51.5,52.0,156531
5343,2025-09-12,50.17,53.37,49.97,52.5,339123
5342,2025-09-11,48.51,50.85,47.78,49.97,190622
5341,2025-09-10,47.64,49.19,47.64,48.56,102354
5340,2025-09-09,47.54,47.64,46.67,47.64,60710
5339,2025-09-08,48.42,48.42,47.54,47.54,60449
5338,2025-09-05,49.58,49.97,48.42,48.42,56281
5337,2025-09-04,47.83,50.07,47.64,49.39,126704
5336,2025-09-03,47.44,47.93,47.15,47.39,39837
5335,2025-08-29,48.51,48.51,47.15,47.35,36231
5334,2025-08-28,47.78,47.83,47.05,47.83,41790
5333,2025-08-27,48.61,48.71,47.78,47.83,36105
5332,2025-08-26,47.64,48.46,47.1,48.46,32200
5331,2025-08-25,46.81,47.69,45.99,47.69,26330
5330,2025-08-22,47.64,47.64,45.74,47.39,152673
5329,2025-08-21,48.56,48.56,47.64,47.83,48621
5328,2025-08-20,49.29,49.29,46.67,48.61,134683
5327,2025-08-19,50.36,50.36,49.1,49.39,105780
5326,2025-08-18,48.71,49.58,48.71,49.19,70322
5325,2025-08-15,50.17,50.17,48.22,48.22,182939
5324,2025-08-14,50.55,50.65,49.48,50.55,148053
5323,2025-08-13,50.55,51.23,49.39,50.55,231796
5322,2025-08-12,47.54,50.17,46.96,50.17,313905
5321,2025-08-11,46.91,47.54,46.57,46.96,95005
5320,2025-08-08,46.91,46.91,45.94,46.18,84075
5319,2025-08-07,46.28,46.57,46.28,46.57,102022
5318,2025-08-06,46.71,46.71,46.08,46.08,95128
5317,2025-08-05,47.69,48.22,45.69,46.18,200063
5316,2025-08-04,46.18,48.22,46.18,47.64,220440
5315,2025-08-01,46.18,46.28,45.79,46.23,83617
5314,2025-07-31,46.37,46.37,45.69,46.18,117804
5313,2025-07-30,45.5,46.57,45.4,46.18,86547
5312,2025-07-29,47.1,47.25,44.72,45.06,334197
5311,2025-07-28,46.71,47.35,46.67,47.1,97968
5310,2025-07-25,47.15,47.44,45.69,47.05,226396
5309,2025-07-24,46.86,47.35,46.67,47.05,129296
5308,2025-07-23,47.3,48.32,46.81,47.3,123941
5307,2025-07-22,47.15,49.0,46.47,47.64,186926
5306,2025-07-21,47.64,48.03,46.52,47.35,333791
5305,2025-07-18,44.82,46.52,44.43,46.52,381458
5304,2025-07-17,41.8,43.65,41.51,43.51,421136
5303,2025-07-16,41.22,41.85,41.22,41.46,82400
5302,2025-07-15,41.61,41.9,41.32,41.32,86459
5301,2025-07-14,41.42,41.8,41.08,41.56,53723
5300,2025-07-11,41.76,42.19,41.27,41.32,94035
5299,2025-07-10,42.19,42.29,41.76,41.76,75102
5298,2025-07-09,42.68,42.68,41.85,42.29,107902
5297,2025-07-08,41.61,42.97,41.61,42.68,196010
5296,2025-07-07,41.8,41.8,41.51,41.8,43386
5295,2025-07-04,41.42,41.8,41.42,41.8,39306
5294,2025-07-03,41.42,42.39,41.42,41.51,41703
5293,2025-07-02,41.71,41.8,41.37,41.76,94870
5292,2025-07-01,42.68,42.83,41.76,41.85,87400
5291,2025-06-30,42.53,42.78,42.49,42.68,65170
5290,2025-06-27,42.53,42.92,42.39,42.58,49630
5289,2025-06-26,42.1,42.87,42.1,42.39,120538
5288,2025-06-25,42.14,42.29,41.9,42.1,23821
5287,2025-06-24,42.19,42.63,41.9,42.0,47771
5286,2025-06-23,41.32,42.1,40.93,42.05,73711
5285,2025-06-20,41.51,41.71,41.42,41.71,33026
5284,2025-06-19,41.61,41.71,41.46,41.71,18440
5283,2025-06-18,41.9,42.39,41.32,41.8,79621
5282,2025-06-17,42.68,42.78,41.9,41.9,80163
5281,2025-06-16,41.32,42.58,41.32,42.29,75917
5280,2025-06-13,42.29,42.29,41.51,41.8,115180
5279,2025-06-12,43.07,43.12,42.39,42.53,95701
5278,2025-06-11,41.8,43.26,41.61,42.34,168887
5277,2025-06-10,42.19,42.78,41.76,41.76,59705
5276,2025-06-09,41.32,42.78,41.32,42.1,227728
5275,2025-06-06,41.8,42.29,41.42,41.51,59950
5274,2025-06-05,42.05,42.68,41.95,42.0,86559
5273,2025-06-04,41.27,42.05,41.27,42.05,187679
5272,2025-06-03,41.8,41.8,41.22,41.42,35271
5271,2025-06-02,42.1,42.1,41.46,41.71,78052
5270,2025-05-30,40.15,42.1,39.86,41.42,175011
5269,2025-05-29,40.25,40.35,39.86,39.96,50735
5268,2025-05-28,39.86,40.69,39.81,40.05,103948
5267,2025-05-27,40.25,40.25,39.57,39.76,162427
5266,2025-05-26,39.86,40.49,39.42,39.96,73044
5265,2025-05-23,37.72,39.86,37.72,39.67,174895
5264,2025-05-22,37.09,37.62,37.09,37.62,83997
5263,2025-05-21,37.33,37.33,37.09,37.09,56912
5262,2025-05-20,36.99,37.14,36.94,37.09,24261
5261,2025-05-19,36.8,37.14,36.8,37.14,24451
5260,2025-05-16,37.14,37.14,36.94,37.04,12687
5259,2025-05-15,36.94,37.24,36.94,37.14,41741
5258,2025-05-14,37.04,37.04,36.89,36.94,53405
5257,2025-05-13,37.14,37.14,36.55,37.04,55738
5256,2025-05-12,36.85,37.09,36.85,37.04,30400
5255,2025-05-09,37.19,37.19,36.8,36.94,20264
5254,2025-05-08,37.28,37.28,36.6,36.94,13041
5253,2025-05-07,37.33,37.43,36.7,36.94,34512
5252,2025-05-06,36.85,37.24,36.75,37.24,12629
5251,2025-05-05,37.09,37.09,36.55,36.85,12145
5250,2025-04-29,36.99,37.38,36.99,37.04,21778
5249,2025-04-28,37.04,37.48,37.04,37.48,6819
5248,2025-04-25,37.53,37.53,37.19,37.48,10600
5247,2025-04-24,37.72,37.72,37.04,37.33,23912
5246,2025-04-23,37.53,37.53,36.99,37.04,20300
5245,2025-04-22,37.77,37.82,35.97,36.85,26822
5244,2025-04-21,37.28,38.4,37.28,37.67,15266
5243,2025-04-18,37.58,38.21,37.48,37.48,50709
5242,2025-04-17,38.35,38.35,37.58,37.58,44211
5241,2025-04-16,37.48,37.96,37.43,37.53,56153
5240,2025-04-15,37.33,37.92,37.33,37.48,45615
5239,2025-04-14,38.64,38.64,37.58,37.72,15686
5238,2025-04-11,36.46,38.69,36.46,38.64,81683
5237,2025-04-10,36.41,36.41,36.41,36.41,6831
5236,2025-04-09,33.15,34.46,32.57,34.03,72641
5235,2025-04-08,32.23,34.22,32.23,33.59,99900
5234,2025-04-04,33.54,35.0,33.01,34.27,117587
5233,2025-04-03,35.39,36.94,35.29,35.49,149321
5232,2025-04-02,38.84,38.84,37.87,37.92,18260
5231,2025-04-01,37.92,37.92,37.62,37.62,36461
5230,2025-03-31,37.92,38.11,37.43,37.92,21275
5229,2025-03-28,38.11,38.45,37.92,37.92,14183
5228,2025-03-27,38.55,38.55,38.01,38.11,13009
5227,2025-03-26,38.55,38.55,37.92,38.11,33115
5226,2025-03-25,38.3,39.28,38.3,38.55,12058
5225,2025-03-24,38.3,38.5,38.21,38.26,24521
5224,2025-03-21,38.21,38.69,38.21,38.21,12417
5223,2025-03-20,38.6,38.6,37.24,38.16,46040
5222,2025-03-19,38.89,38.89,38.55,38.6,18817
5221,2025-03-18,38.79,38.89,38.79,38.84,30280
5220,2025-03-17,38.69,39.03,38.6,38.79,15249
5219,2025-03-14,38.99,39.08,38.55,38.79,21255
5218,2025-03-13,39.28,39.28,38.89,39.08,38852
5217,2025-03-12,38.99,39.62,38.99,39.08,7572
5216,2025-03-11,38.89,39.18,38.89,39.08,49223
5215,2025-03-10,39.76,39.81,39.08,39.13,52825
5214,2025-03-07,39.52,39.81,39.42,39.76,17995
5213,2025-03-06,39.57,39.71,39.42,39.47,22392
5212,2025-03-05,40.15,40.15,39.42,39.42,25414
5211,2025-03-04,39.42,39.76,39.42,39.71,55592
5210,2025-03-03,39.76,39.76,39.47,39.52,31778
5209,2025-02-28,39.76,39.76,39.52,39.76,24900
5208,2025-02-27,39.91,39.91,39.62,39.76,38606
5207,2025-02-26,39.81,40.35,39.81,39.86,33153
5206,2025-02-25,40.15,40.25,39.81,40.15,37404
5205,2025-02-24,40.3,40.3,39.67,40.15,40554
5204,2025-02-21,39.81,40.74,39.81,40.05,30523
5203,2025-02-20,39.86,40.74,39.81,40.49,78886
5202,2025-02-19,39.86,39.86,39.76,39.81,43700
5201,2025-02-18,39.76,40.01,39.76,39.81,17941
5200,2025-02-17,39.76,40.05,39.76,39.76,50450
5199,2025-02-14,39.67,40.01,39.67,39.76,52082
5198,2025-02-13,39.37,39.71,39.37,39.47,37848
5197,2025-02-12,39.28,39.76,39.28,39.57,52279
5196,2025-02-11,39.08,39.47,38.94,39.28,68037
5195,2025-02-10,39.13,39.37,38.89,38.99,30078
5194,2025-02-07,38.69,39.37,38.69,38.94,78582
5193,2025-02-06,38.89,38.89,38.3,38.4,27895
5192,2025-02-05,38.21,38.89,38.21,38.4,36447
5191,2025-02-04,38.16,38.35,37.92,38.21,75903
5190,2025-02-03,39.13,39.13,36.65,38.21,47912
5189,2025-01-24,39.37,39.62,39.37,39.37,17723
5188,2025-01-23,39.91,39.96,39.08,39.37,30844
5187,2025-01-22,40.52,40.52,39.86,39.86,39155
5186,2025-01-21,40.84,40.94,40.05,40.38,87563
5185,2025-01-20,41.22,41.31,40.52,40.94,51414
5184,2025-01-17,41.17,41.36,41.08,41.31,43681
5183,2025-01-16,41.55,41.55,40.89,41.03,44165
5182,2025-01-15,40.19,41.36,40.09,41.31,84653
5181,2025-01-14,40.05,40.14,39.95,40.05,17913
5180,2025-01-13,40.14,40.14,39.44,40.05,17856
5179,2025-01-10,40.0,40.42,39.95,40.14,21602
5178,2025-01-09,40.24,40.33,39.91,40.0,17758
5177,2025-01-08,39.77,40.0,39.67,39.95,16502
5176,2025-01-07,39.39,39.86,39.39,39.67,34319
5175,2025-01-06,40.8,40.8,38.45,39.67,49400
5174,2025-01-03,41.03,41.27,40.19,40.61,36770
5173,2025-01-02,40.38,40.99,40.38,40.99,24907
5172,2024-12-31,40.8,40.89,40.19,40.47,80980
5171,2024-12-30,41.5,41.5,40.99,41.08,33002
5170,2024-12-27,42.39,42.39,41.31,41.64,83834
5169,2024-12-26,42.49,42.49,41.97,42.02,8738
5168,2024-12-25,41.27,42.3,41.22,41.97,211492
5167,2024-12-24,41.45,41.45,41.08,41.13,15911
5166,2024-12-23,41.55,41.92,40.99,41.6,91402
5165,2024-12-20,40.28,40.8,40.24,40.8,32041
5164,2024-12-19,40.52,40.61,40.09,40.14,39721
5163,2024-12-18,40.52,40.94,40.42,40.61,26401
5162,2024-12-17,40.8,40.94,40.52,40.52,37903
5161,2024-12-16,40.66,41.64,40.66,40.99,59282
5160,2024-12-13,40.8,41.45,40.61,41.22,99189
5159,2024-12-12,40.94,41.31,40.61,41.17,105292
5158,2024-12-11,40.94,41.45,40.66,40.94,31854
5157,2024-12-10,39.48,40.99,39.48,40.99,147563
5156,2024-12-09,39.34,39.67,39.3,39.48,40551
5155,2024-12-06,39.3,39.86,39.3,39.34,22905
5154,2024-12-05,39.2,40.33,38.92,39.67,62405
5153,2024-12-04,39.39,39.39,39.02,39.16,13165
5152,2024-12-03,39.77,39.77,39.39,39.39,37616
5151,2024-12-02,39.11,39.77,39.11,39.77,58091
5150,2024-11-29,38.55,39.3,38.55,39.11,48425
5149,2024-11-28,38.08,38.55,38.03,38.55,25134
5148,2024-11-27,38.27,38.27,38.12,38.22,11624
5147,2024-11-26,37.89,38.45,37.89,38.22,27222
5146,2024-11-25,37.84,38.36,37.75,37.89,247301
5145,2024-11-22,38.27,38.27,37.84,37.84,35022
5144,2024-11-21,38.27,38.27,37.89,37.98,29628
5143,2024-11-20,37.61,38.27,37.52,37.94,29216
5142,2024-11-19,37.56,37.8,37.56,37.56,12202
5141,2024-11-18,37.89,37.89,37.52,37.75,25010
5140,2024-11-15,37.75,37.98,37.56,37.89,41312
5139,2024-11-14,37.84,38.08,37.84,37.84,21200
5138,2024-11-13,37.7,37.89,37.52,37.8,29206
5137,2024-11-12,38.17,38.17,37.75,37.89,11800
5136,2024-11-11,37.98,38.31,37.89,37.89,5100
5135,2024-11-08,38.08,38.08,37.7,37.75,20949
5134,2024-11-07,38.45,38.45,38.08,38.08,7201
5133,2024-11-06,37.89,38.36,37.8,38.36,13855
5132,2024-11-05,37.75,38.08,37.66,38.08,7035
5131,2024-11-04,37.61,37.98,37.61,37.75,15700
5130,2024-11-01,38.08,38.08,37.7,37.98,13120
5129,2024-10-31,38.08,38.36,37.56,38.27,12451
5128,2024-10-30,38.55,38.55,38.36,38.45,63506
5127,2024-10-29,38.45,38.45,38.03,38.45,41257
5126,2024-10-28,38.45,38.55,38.03,38.31,34139
5125,2024-10-25,38.36,38.45,38.27,38.45,32704
5124,2024-10-24,38.41,38.45,38.08,38.36,20801
5123,2024-10-23,38.22,38.45,37.98,38.45,102001
5122,2024-10-22,38.31,38.36,37.89,38.31,86900
5121,2024-10-21,38.41,38.41,37.89,38.31,62610
5120,2024-10-18,38.31,38.41,37.66,38.41,96103
5119,2024-10-17,38.08,38.36,37.89,38.36,53810
5118,2024-10-16,37.7,38.64,37.7,38.17,84918
5117,2024-10-15,37.98,37.98,37.52,37.56,37307
5116,2024-10-14,37.66,37.8,37.56,37.8,21254
5115,2024-10-11,37.7,37.8,37.47,37.52,84155
5114,2024-10-10,37.89,37.94,37.66,37.7,58000
5113,2024-10-09,37.84,38.03,37.8,37.89,26433
5112,2024-10-08,37.98,38.31,37.52,37.98,46183
5111,2024-10-07,38.27,38.45,37.98,37.98,24402
5110,2024-10-04,38.45,38.5,38.27,38.36,16200
5109,2024-10-03,38.55,38.64,38.27,38.45,45330
5108,2024-10-02,38.27,38.55,38.27,38.45,44000
5107,2024-10-01,38.27,38.78,38.27,38.45,94013
5106,2024-09-30,39.39,39.39,38.17,38.17,70782
5105,2024-09-27,38.36,38.45,38.08,38.17,81746
5104,2024-09-26,37.98,38.36,37.84,38.27,107213
5103,2024-09-25,37.98,38.03,37.66,37.84,98416
5102,2024-09-24,37.98,38.36,37.94,37.98,16988
5101,2024-09-23,37.94,38.45,37.94,37.98,50335
5100,2024-09-20,37.75,38.08,37.75,37.94,25616
5099,2024-09-19,37.98,37.98,37.7,37.75,27117
5098,2024-09-18,38.08,38.17,37.98,37.98,15168
5097,2024-09-17,37.52,37.98,37.52,37.98,23567
5096,2024-09-16,37.7,37.7,37.52,37.52,37820
5095,2024-09-13,37.98,37.98,37.56,37.75,57600
5094,2024-09-12,38.22,38.27,37.7,37.7,63761
5093,2024-09-11,37.84,37.89,37.66,37.84,21070
5092,2024-09-10,38.31,38.31,37.75,37.75,24201
5091,2024-09-09,38.45,38.45,37.8,37.89,31442
5090,2024-09-06,38.45,38.69,38.22,38.45,31652
5089,2024-09-05,38.17,38.69,38.17,38.59,44302
5088,2024-09-04,38.55,38.59,38.22,38.59,30342
5087,2024-08-30,38.83,39.02,38.73,38.83,22309
