,Date,Open,High,Low,Close
4054,2025-10-17,33.3,34.15,31.5,33.6
4053,2025-10-16,33.1,33.4,32.95,33.2
4052,2025-10-15,33.8,34.15,32.95,32.95
4051,2025-10-14,34.7,34.7,33.6,33.6
4050,2025-10-13,34.0,34.75,33.9,34.5
4049,2025-10-10,34.3,34.9,34.3,34.35
4048,2025-10-09,34.55,34.8,34.2,34.25
4047,2025-10-08,34.75,34.95,34.0,34.55
4046,2025-10-07,35.35,35.35,34.7,34.7
4045,2025-10-06,35.0,35.6,34.95,35.3
4044,2025-10-03,34.5,35.25,34.5,34.7
4043,2025-10-02,35.15,35.3,34.55,34.6
4042,2025-10-01,34.9,35.5,34.55,35.0
4041,2025-09-30,34.05,35.15,33.5,34.9
4040,2025-09-29,34.85,35.0,34.2,34.2
4039,2025-09-26,35.05,35.4,34.7,34.7
4038,2025-09-25,36.5,36.5,34.4,35.85
4037,2025-09-24,35.35,35.95,34.3,35.9
4036,2025-09-23,36.1,36.55,35.75,35.8
4035,2025-09-22,37.85,37.85,35.4,36.55
4034,2025-09-19,36.65,37.95,36.25,37.85
4033,2025-09-18,34.8,36.45,34.7,36.2
4032,2025-09-17,34.7,35.2,34.4,34.7
4031,2025-09-16,34.4,35.0,34.4,34.7
4030,2025-09-15,35.0,35.4,34.35,35.0
4029,2025-09-12,35.5,35.5,34.6,35.0
4028,2025-09-11,33.35,35.5,33.1,35.1
4027,2025-09-10,33.95,33.95,33.05,33.3
4026,2025-09-09,34.5,34.5,33.1,33.95
4025,2025-09-08,34.0,35.0,33.2,34.0
4024,2025-09-05,32.2,34.15,32.2,33.85
4023,2025-09-04,32.0,32.35,31.75,31.95
4022,2025-09-03,31.3,32.0,30.9,32.0
4021,2025-08-29,31.5,31.5,30.85,31.1
4020,2025-08-28,31.0,31.1,30.8,30.95
4019,2025-08-27,31.45,31.65,30.9,30.9
4018,2025-08-26,30.55,31.25,30.55,31.2
4017,2025-08-25,30.8,31.25,30.6,30.6
4016,2025-08-22,31.6,31.95,30.25,30.8
4015,2025-08-21,32.0,32.45,31.65,31.65
4014,2025-08-20,32.5,32.5,31.2,32.05
4013,2025-08-19,32.0,32.75,31.75,32.5
4012,2025-08-18,31.2,32.45,31.2,32.0
4011,2025-08-15,32.0,32.15,31.1,31.2
4010,2025-08-14,32.15,32.25,31.6,32.15
4009,2025-08-13,32.3,32.85,32.15,32.15
4008,2025-08-12,31.5,32.75,31.5,32.25
4007,2025-08-11,31.55,31.8,31.2,31.7
4006,2025-08-08,31.95,31.95,30.95,31.55
4005,2025-08-07,31.5,31.95,31.5,31.7
4004,2025-08-06,31.35,31.45,31.0,31.45
4003,2025-08-05,31.1,31.8,30.7,31.0
4002,2025-08-04,30.95,31.45,30.9,31.0
4001,2025-08-01,30.75,31.8,30.35,30.9
4000,2025-07-31,31.05,31.45,30.15,30.75
3999,2025-07-30,29.55,31.0,29.45,31.0
3998,2025-07-29,30.3,30.3,29.3,29.65
3997,2025-07-28,30.3,30.55,30.05,30.3
3996,2025-07-25,30.1,30.25,29.7,30.2
3995,2025-07-24,30.2,30.45,29.75,29.75
3994,2025-07-23,30.75,30.75,30.0,30.2
3993,2025-07-22,29.15,30.3,29.1,30.2
3992,2025-07-21,29.05,29.1,28.7,28.9
3991,2025-07-18,29.25,29.4,28.95,29.05
3990,2025-07-17,28.8,29.25,28.65,29.1
3989,2025-07-16,28.75,28.9,28.6,28.8
3988,2025-07-15,28.8,29.3,28.65,28.7
3987,2025-07-14,29.1,29.1,28.5,28.95
3986,2025-07-11,29.2,29.4,28.55,29.1
3985,2025-07-10,28.65,29.1,28.5,29.1
3984,2025-07-09,28.85,29.1,28.45,28.9
3983,2025-07-08,28.95,28.95,28.55,28.85
3982,2025-07-07,29.05,29.05,28.35,28.45
3981,2025-07-04,28.6,29.1,28.1,28.7
3980,2025-07-03,29.55,29.55,28.5,28.6
3979,2025-07-02,27.9,29.65,27.9,29.4
3978,2025-07-01,27.4,27.9,27.2,27.75
3977,2025-06-30,26.3,27.5,26.25,27.35
3976,2025-06-27,26.3,26.35,26.1,26.25
3975,2025-06-26,25.85,26.2,25.8,26.1
3974,2025-06-25,25.9,26.0,25.7,25.8
3973,2025-06-24,25.8,26.0,25.7,25.7
3972,2025-06-23,25.7,25.8,25.5,25.8
3971,2025-06-20,24.95,25.95,24.95,25.85
3970,2025-06-19,25.35,25.5,25.15,25.35
3969,2025-06-18,25.25,25.6,25.0,25.35
3968,2025-06-17,25.2,25.25,24.95,25.25
3967,2025-06-16,24.8,25.15,24.8,25.0
3966,2025-06-13,25.25,25.3,24.8,24.9
3965,2025-06-12,24.95,25.4,24.95,25.25
3964,2025-06-11,25.1,25.2,24.8,24.85
3963,2025-06-10,25.0,25.25,25.0,25.1
3962,2025-06-09,25.45,25.45,25.0,25.0
3961,2025-06-06,25.9,25.9,25.45,25.45
3960,2025-06-05,25.75,26.05,25.7,26.0
3959,2025-06-04,25.6,25.75,25.6,25.7
3958,2025-06-03,26.0,26.0,25.6,25.7
3957,2025-06-02,25.6,25.65,25.25,25.65
3956,2025-05-30,25.95,25.95,25.55,25.6
3955,2025-05-29,26.2,26.3,25.75,25.95
3954,2025-05-28,26.6,26.6,26.05,26.2
3953,2025-05-27,26.05,26.5,26.05,26.45
3952,2025-05-26,25.8,26.0,25.4,26.0
3951,2025-05-23,25.9,25.9,25.65,25.7
3950,2025-05-22,26.05,26.05,25.6,25.95
3949,2025-05-21,25.65,26.05,25.6,25.95
3948,2025-05-20,25.2,25.8,25.2,25.6
3947,2025-05-19,25.3,25.8,25.1,25.45
3946,2025-05-16,25.6,25.9,25.45,25.45
3945,2025-05-15,25.67,25.67,25.25,25.25
3944,2025-05-14,25.83,26.0,25.54,25.67
3943,2025-05-13,25.5,25.83,25.42,25.67
3942,2025-05-12,25.08,25.29,24.75,25.29
3941,2025-05-09,24.79,25.08,24.67,24.75
3940,2025-05-08,24.42,24.5,24.21,24.5
3939,2025-05-07,24.25,24.42,24.12,24.29
3938,2025-05-06,24.33,24.42,24.04,24.33
3937,2025-05-05,24.54,24.54,23.83,24.33
3936,2025-04-29,24.08,24.08,23.75,23.75
3935,2025-04-28,24.08,24.08,23.79,23.79
3934,2025-04-25,24.08,24.5,23.96,24.17
3933,2025-04-24,23.17,24.0,23.17,24.0
3932,2025-04-23,23.0,23.17,22.67,23.17
3931,2025-04-22,22.54,22.71,22.08,22.67
3930,2025-04-21,22.96,23.29,22.75,22.83
3929,2025-04-18,22.75,23.17,22.75,22.96
3928,2025-04-17,22.83,22.83,22.54,22.75
3927,2025-04-16,22.75,23.04,22.75,22.83
3926,2025-04-15,22.92,22.92,22.67,22.83
3925,2025-04-14,23.21,23.25,22.67,22.83
3924,2025-04-11,23.67,23.67,22.04,22.67
3923,2025-04-10,22.17,22.17,22.17,22.17
3922,2025-04-09,19.92,21.29,19.87,20.75
3921,2025-04-08,22.83,22.83,21.29,21.29
3920,2025-04-04,22.58,23.12,22.5,22.87
3919,2025-04-03,24.79,25.42,24.17,24.17
3918,2025-04-02,26.58,26.62,25.67,25.96
3917,2025-04-01,26.83,26.92,26.37,26.42
3916,2025-03-31,26.92,26.92,26.42,26.83
3915,2025-03-28,26.87,27.08,26.83,26.87
3914,2025-03-27,26.92,27.08,26.71,26.92
3913,2025-03-26,27.29,27.33,26.83,26.92
3912,2025-03-25,26.96,27.37,26.96,27.29
3911,2025-03-24,26.75,27.08,26.75,26.92
3910,2025-03-21,26.83,27.0,26.75,26.96
3909,2025-03-20,27.0,27.04,26.67,26.83
3908,2025-03-19,27.37,27.54,27.17,27.17
3907,2025-03-18,27.5,27.67,27.25,27.37
3906,2025-03-17,27.37,27.46,27.29,27.42
3905,2025-03-14,27.5,27.58,27.12,27.33
3904,2025-03-13,28.0,28.0,27.54,27.54
3903,2025-03-12,27.92,28.17,27.75,27.87
3902,2025-03-11,28.17,28.17,27.96,28.0
3901,2025-03-10,28.46,28.62,28.25,28.25
3900,2025-03-07,28.46,28.54,28.33,28.42
3899,2025-03-06,28.5,28.58,28.34,28.46
3898,2025-03-05,28.86,28.86,28.42,28.46
3897,2025-03-04,28.98,28.98,28.66,28.78
3896,2025-03-03,28.66,29.11,28.62,28.9
3895,2025-02-28,28.58,28.66,28.38,28.54
3894,2025-02-27,28.62,28.74,28.46,28.54
3893,2025-02-26,28.54,28.78,28.54,28.58
3892,2025-02-25,28.3,28.7,28.3,28.5
3891,2025-02-24,28.42,28.46,28.18,28.3
3890,2025-02-21,28.66,28.7,28.34,28.42
3889,2025-02-20,28.7,28.98,28.5,28.66
3888,2025-02-19,28.5,28.5,28.26,28.34
3887,2025-02-18,28.34,28.5,28.3,28.46
3886,2025-02-17,28.38,28.74,28.3,28.38
3885,2025-02-14,27.73,28.34,27.73,28.26
3884,2025-02-13,27.65,27.85,27.65,27.81
3883,2025-02-12,27.77,27.93,27.77,27.81
3882,2025-02-11,27.93,28.09,27.81,27.81
3881,2025-02-10,28.3,28.3,27.93,27.93
3880,2025-02-07,28.18,28.66,28.13,28.34
3879,2025-02-06,28.42,28.58,28.01,28.09
3878,2025-02-05,27.97,28.26,27.97,28.26
3877,2025-02-04,28.01,28.09,27.69,27.97
3876,2025-02-03,28.82,28.9,28.01,28.01
3875,2025-01-24,29.47,29.55,29.19,29.35
3874,2025-01-23,29.31,29.63,29.23,29.47
3873,2025-01-22,29.31,29.51,29.19,29.31
3872,2025-01-21,29.59,29.84,29.31,29.31
3871,2025-01-20,29.96,30.24,29.59,29.59
3870,2025-01-17,29.63,30.28,29.51,29.96
3869,2025-01-16,29.75,29.75,29.39,29.63
3868,2025-01-15,28.82,29.71,28.82,29.71
3867,2025-01-14,29.39,29.39,28.82,28.82
3866,2025-01-13,28.74,29.27,28.5,29.23
3865,2025-01-10,29.88,30.0,29.19,29.27
3864,2025-01-09,30.12,30.12,29.63,29.88
3863,2025-01-08,29.88,29.96,29.07,29.96
3862,2025-01-07,30.56,31.01,29.71,29.92
3861,2025-01-06,31.13,31.98,30.56,30.77
3860,2025-01-03,30.52,31.41,30.36,31.21
3859,2025-01-02,30.52,30.73,30.32,30.56
3858,2024-12-31,30.12,30.64,30.12,30.52
3857,2024-12-30,31.01,31.05,30.32,30.32
3856,2024-12-27,30.85,31.33,30.69,31.01
3855,2024-12-26,31.74,31.74,31.01,31.25
3854,2024-12-25,30.97,32.22,30.97,31.41
3853,2024-12-24,31.17,31.21,30.36,30.97
3852,2024-12-23,29.15,31.01,29.15,30.93
3851,2024-12-20,28.34,29.07,28.34,28.98
3850,2024-12-19,28.18,28.66,28.18,28.54
3849,2024-12-18,28.22,28.58,27.97,28.54
3848,2024-12-17,28.38,28.38,28.13,28.18
3847,2024-12-16,28.42,28.46,28.22,28.42
3846,2024-12-13,28.7,28.78,28.46,28.58
3845,2024-12-12,29.23,29.31,28.66,28.78
3844,2024-12-11,29.51,29.51,29.15,29.27
3843,2024-12-10,29.15,29.47,29.07,29.39
3842,2024-12-09,29.15,29.19,28.9,29.15
3841,2024-12-06,29.31,29.51,29.03,29.11
3840,2024-12-05,28.98,29.67,28.9,29.31
3839,2024-12-04,29.15,29.23,28.9,28.98
3838,2024-12-03,29.07,29.31,28.9,29.15
3837,2024-12-02,28.01,28.94,28.01,28.9
3836,2024-11-29,27.73,27.97,27.73,27.93
3835,2024-11-28,27.93,28.18,27.85,27.85
3834,2024-11-27,27.97,28.09,27.85,27.93
