,Date,Open,High,Low,Close,Volume
4216,2025-10-24,81.5,86.8,79.9,80.4,21600
4215,2025-10-23,77.27,80.0,76.82,79.91,29110
4214,2025-10-22,76.82,76.82,76.36,76.82,1300
4213,2025-10-21,77.09,78.0,76.36,76.82,63700
4212,2025-10-20,77.18,77.27,75.91,77.09,9564
4211,2025-10-17,76.36,77.46,76.36,77.18,22305
4210,2025-10-16,75.91,77.82,75.91,77.46,32214
4209,2025-10-15,77.18,80.0,76.36,76.36,2433
4208,2025-10-14,77.27,77.27,76.36,77.18,4519
4207,2025-10-13,78.0,78.0,76.36,77.73,7900
4206,2025-10-10,76.36,78.09,76.36,78.0,19354
4205,2025-10-09,77.64,77.64,76.36,76.36,22976
4204,2025-10-08,76.18,76.46,76.18,76.36,6117
4203,2025-10-07,77.27,77.36,76.36,76.36,6000
4202,2025-10-06,76.36,77.46,76.0,77.27,19421
4201,2025-10-03,76.36,77.09,75.82,76.36,8300
4200,2025-10-02,76.82,77.18,76.36,76.36,5580
4199,2025-10-01,76.36,77.09,75.36,76.82,4745
4198,2025-09-30,78.0,78.0,76.46,77.09,1702
4197,2025-09-29,77.91,77.91,76.0,77.82,6400
4196,2025-09-26,78.0,78.0,75.73,76.36,3200
4195,2025-09-25,76.55,78.09,76.36,76.36,859
4194,2025-09-24,76.36,78.0,75.46,77.18,4800
4193,2025-09-23,77.27,77.27,76.55,77.09,1550
4192,2025-09-22,78.64,78.64,76.82,77.27,4405
4191,2025-09-19,77.27,78.18,76.82,77.27,2723
4190,2025-09-18,78.64,78.64,77.27,78.36,3150
4189,2025-09-17,81.82,81.82,77.27,77.73,2307
4188,2025-09-16,77.73,78.64,77.73,77.73,800
4187,2025-09-15,78.18,79.91,78.18,79.0,7210
4186,2025-09-12,76.73,80.0,76.36,78.18,14370
4185,2025-09-11,76.64,77.27,76.36,76.73,5001
4184,2025-09-10,76.91,78.0,76.64,76.64,2000
4183,2025-09-09,76.36,77.27,76.36,76.64,3372
4182,2025-09-08,77.73,77.73,76.36,76.36,7719
4181,2025-09-05,78.73,78.73,77.27,78.73,13050
4180,2025-09-04,78.91,78.91,77.27,78.73,1700
4179,2025-09-03,79.55,79.55,77.27,78.64,710
4178,2025-08-29,77.73,79.46,76.82,78.36,10255
4177,2025-08-28,79.55,81.82,77.46,78.18,7500
4176,2025-08-27,79.55,79.55,77.27,78.18,5400
4175,2025-08-26,78.18,80.0,76.82,78.18,8300
4174,2025-08-25,79.36,81.82,78.0,78.18,23503
4173,2025-08-22,78.91,78.91,77.27,78.18,13452
4172,2025-08-21,79.18,79.18,77.55,78.73,3526
4171,2025-08-20,78.36,79.36,77.64,78.64,7702
4170,2025-08-19,77.73,79.91,77.27,78.36,12366
4169,2025-08-18,78.73,79.0,77.73,78.36,11304
4168,2025-08-15,77.27,78.91,77.27,78.73,19500
4167,2025-08-14,77.27,78.64,77.09,78.36,12000
4166,2025-08-13,77.82,79.73,77.27,77.27,14102
4165,2025-08-12,77.73,79.09,77.55,79.09,9101
4164,2025-08-11,79.82,80.0,77.27,79.09,7302
4163,2025-08-08,78.73,79.91,76.91,79.91,43722
4162,2025-08-07,78.91,79.0,77.27,78.82,14316
4161,2025-08-06,79.09,79.82,77.73,79.0,17611
4160,2025-08-05,79.82,79.91,77.27,79.18,31760
4159,2025-08-04,80.0,80.0,78.18,79.09,6522
