,Date,Open,High,Low,Close
855,2025-10-17,8.8,8.8,8.8,8.8
854,2025-10-16,8.8,8.8,8.8,8.8
853,2025-10-14,8.8,8.8,8.8,8.8
852,2025-10-10,8.8,8.8,8.8,8.8
851,2025-09-30,8.8,8.8,8.8,8.8
850,2025-09-29,7.8,7.8,7.8,7.8
849,2025-09-25,7.8,7.8,7.8,7.8
848,2025-09-24,7.8,7.8,7.8,7.8
847,2025-09-18,7.6,8.0,7.6,8.0
846,2025-09-17,7.6,7.6,7.5,7.5
845,2025-09-16,7.5,7.5,7.5,7.5
844,2025-09-15,7.5,7.5,7.5,7.5
843,2025-09-12,7.5,7.5,7.5,7.5
842,2025-09-11,7.5,7.5,7.5,7.5
841,2025-09-03,7.4,7.4,7.4,7.4
840,2025-08-28,7.2,7.6,7.2,7.6
839,2025-08-27,7.4,7.4,7.2,7.2
838,2025-08-26,7.2,7.2,7.2,7.2
837,2025-08-25,7.2,7.2,7.2,7.2
836,2025-08-22,7.2,7.2,7.2,7.2
835,2025-08-20,7.2,7.2,7.2,7.2
834,2025-08-15,7.2,7.2,7.2,7.2
833,2025-08-14,7.0,7.0,7.0,7.0
832,2025-08-13,7.0,7.4,7.0,7.4
831,2025-08-12,7.0,7.0,7.0,7.0
830,2025-08-11,7.7,7.7,7.7,7.7
829,2025-08-08,7.4,7.4,7.4,7.4
828,2025-08-06,6.8,6.8,6.8,6.8
827,2025-08-05,6.8,6.8,6.8,6.8
826,2025-08-04,6.3,6.5,6.3,6.5
825,2025-08-01,6.1,6.1,6.1,6.1
824,2025-07-31,6.1,6.2,6.1,6.2
823,2025-07-30,6.0,6.0,6.0,6.0
822,2025-07-29,6.0,6.0,6.0,6.0
821,2025-07-28,6.0,6.0,6.0,6.0
820,2025-07-25,6.1,6.1,6.1,6.1
819,2025-07-24,5.8,6.1,5.8,6.1
818,2025-07-23,6.1,6.1,6.1,6.1
817,2025-07-21,6.2,6.4,6.0,6.4
816,2025-07-18,5.9,6.0,5.8,6.0
815,2025-07-17,5.6,5.6,5.5,5.6
814,2025-07-16,5.9,5.9,5.8,5.8
813,2025-07-15,5.6,5.8,5.6,5.8
812,2025-07-14,6.4,6.4,6.4,6.4
811,2025-07-11,6.0,6.0,5.9,5.9
810,2025-07-10,6.8,6.8,6.0,6.1
809,2025-07-09,6.0,6.5,6.0,6.5
808,2025-07-08,5.6,5.8,5.6,5.8
807,2025-07-07,5.6,5.6,5.6,5.6
806,2025-07-04,5.7,5.8,5.7,5.7
805,2025-07-03,5.1,5.1,5.1,5.1
804,2025-06-30,5.5,5.5,5.5,5.5
803,2025-06-26,5.0,5.5,5.0,5.5
802,2025-06-25,5.6,5.6,5.6,5.6
801,2025-06-24,5.5,5.5,4.9,4.9
800,2025-06-20,5.4,5.4,5.4,5.4
799,2025-06-19,5.4,5.4,5.4,5.4
798,2025-06-18,5.4,5.4,5.4,5.4
797,2025-06-16,5.4,5.4,5.4,5.4
796,2025-06-12,5.4,5.4,5.4,5.4
795,2025-06-10,5.4,5.4,5.4,5.4
794,2025-06-09,5.4,5.4,5.4,5.4
793,2025-06-06,5.4,5.4,5.4,5.4
792,2025-06-04,5.5,5.5,5.4,5.4
791,2025-06-03,5.6,5.6,5.6,5.6
790,2025-05-28,5.7,5.7,5.6,5.6
789,2025-05-27,5.8,5.8,5.6,5.6
788,2025-05-23,5.4,5.4,5.4,5.4
787,2025-05-22,5.5,5.5,5.5,5.5
786,2025-05-21,5.6,5.6,5.6,5.6
785,2025-05-20,5.7,5.7,5.6,5.6
784,2025-05-19,6.2,6.2,5.7,5.7
783,2025-05-16,6.6,6.6,6.6,6.6
782,2025-05-13,6.0,6.0,6.0,6.0
781,2025-05-09,6.2,6.2,6.2,6.2
780,2025-05-08,6.5,6.5,6.5,6.5
779,2025-05-07,6.0,6.6,6.0,6.6
778,2025-05-06,5.8,5.9,5.8,5.9
777,2025-05-05,5.8,5.8,5.8,5.8
776,2025-04-29,5.3,5.3,5.3,5.3
775,2025-04-28,5.3,5.3,5.3,5.3
774,2025-04-24,5.4,5.4,5.4,5.4
773,2025-04-18,6.4,6.4,6.2,6.2
772,2025-04-17,6.0,6.0,6.0,6.0
771,2025-04-16,5.3,5.3,5.3,5.3
770,2025-04-15,5.4,5.4,5.4,5.4
769,2025-04-14,5.4,6.5,5.3,5.3
768,2025-04-11,6.0,6.0,5.9,5.9
767,2025-04-10,4.8,5.7,4.8,5.7
766,2025-04-09,5.0,5.1,5.0,5.1
765,2025-04-08,5.2,5.2,5.2,5.2
764,2025-04-04,5.2,5.2,5.2,5.2
763,2025-04-03,4.6,4.6,4.6,4.6
762,2025-04-02,5.5,5.5,5.3,5.3
761,2025-04-01,5.5,6.3,5.4,6.3
760,2025-03-31,6.3,6.3,6.3,6.3
759,2025-03-28,5.6,5.6,5.6,5.6
758,2025-03-27,5.6,5.8,5.5,5.8
757,2025-03-26,5.5,6.3,5.5,6.3
756,2025-03-25,5.5,6.3,5.4,6.3
755,2025-03-24,6.3,6.3,6.3,6.3
754,2025-03-21,7.2,8.1,7.1,8.0
753,2025-03-20,6.4,7.1,6.4,7.1
752,2025-03-19,6.2,6.2,6.2,6.2
751,2025-03-18,5.1,5.7,5.1,5.7
750,2025-03-17,5.6,5.6,5.6,5.6
749,2025-03-14,5.4,5.6,5.4,5.5
748,2025-03-13,5.4,5.4,5.4,5.4
747,2025-03-12,5.4,5.4,5.4,5.4
746,2025-03-11,5.4,5.4,5.4,5.4
745,2025-03-10,5.4,5.4,5.4,5.4
744,2025-03-07,5.3,5.3,5.3,5.3
743,2025-03-06,5.2,5.2,5.2,5.2
742,2025-03-05,5.1,5.2,5.1,5.2
741,2025-03-04,5.2,5.2,5.2,5.2
740,2025-03-03,5.2,5.2,5.1,5.1
739,2025-02-28,5.1,5.2,5.1,5.1
738,2025-02-27,5.2,5.2,5.2,5.2
737,2025-02-25,5.1,5.1,5.1,5.1
736,2025-02-21,5.2,5.4,5.1,5.1
735,2025-02-20,5.6,5.6,5.1,5.2
734,2025-02-19,5.0,5.7,5.0,5.7
733,2025-02-18,5.0,5.1,5.0,5.0
732,2025-02-17,5.1,5.6,5.1,5.5
731,2025-02-13,4.6,5.3,4.6,5.3
730,2025-02-12,5.0,5.0,5.0,5.0
729,2025-02-04,5.0,5.0,5.0,5.0
728,2025-01-22,5.0,5.0,5.0,5.0
727,2025-01-20,5.0,5.0,5.0,5.0
726,2025-01-14,5.0,5.0,5.0,5.0
725,2025-01-10,5.0,5.0,5.0,5.0
724,2025-01-08,5.3,5.3,5.3,5.3
723,2025-01-07,5.0,5.0,4.8,4.8
722,2025-01-03,5.0,5.1,5.0,5.1
721,2025-01-02,5.4,5.4,5.4,5.4
720,2024-12-27,5.5,5.6,5.4,5.4
719,2024-12-26,5.6,5.6,5.6,5.6
718,2024-12-25,5.7,5.7,5.3,5.6
717,2024-12-24,5.2,5.6,5.2,5.3
716,2024-12-23,5.1,5.2,5.1,5.2
715,2024-12-20,5.0,5.1,4.9,5.0
714,2024-12-19,4.9,5.0,4.9,5.0
713,2024-12-18,5.0,5.0,5.0,5.0
712,2024-12-17,5.0,5.0,4.9,4.9
711,2024-12-16,4.9,5.0,4.9,5.0
710,2024-12-13,4.9,5.1,4.9,4.9
709,2024-12-12,4.9,4.9,4.9,4.9
708,2024-12-11,4.8,5.0,4.8,5.0
707,2024-12-10,5.9,5.9,4.8,5.0
706,2024-12-09,5.9,5.9,5.3,5.7
705,2024-12-06,5.2,5.3,5.1,5.1
704,2024-12-05,5.4,5.4,5.1,5.1
703,2024-12-04,5.7,5.7,5.4,5.4
702,2024-12-03,6.0,6.0,5.5,5.7
701,2024-12-02,7.3,7.3,5.9,6.0
700,2024-11-29,6.9,6.9,6.4,6.4
699,2024-11-28,9.2,9.2,6.8,6.8
698,2024-11-27,8.0,8.0,7.9,8.0
697,2024-11-26,7.0,7.0,6.9,7.0
696,2024-11-25,5.8,6.1,5.8,6.1
695,2024-11-22,5.4,5.4,5.4,5.4
694,2024-11-19,5.4,5.4,4.9,5.4
693,2024-11-15,4.9,5.4,4.9,5.4
692,2024-11-14,5.2,5.2,5.2,5.2
691,2024-11-13,5.1,5.3,5.1,5.3
690,2024-11-12,5.1,5.1,5.1,5.1
