,Date,Open,High,Low,Close
2004,2025-10-17,9.2,9.2,9.2,9.2
2003,2025-10-14,9.8,9.8,9.8,9.8
2002,2025-10-10,10.0,10.0,10.0,10.0
2001,2025-10-09,9.5,9.5,9.5,9.5
2000,2025-10-08,8.5,8.5,8.5,8.5
1999,2025-10-07,9.2,9.2,9.2,9.2
1998,2025-10-06,9.2,9.2,9.2,9.2
1997,2025-10-01,8.0,8.2,8.0,8.0
1996,2025-09-29,8.7,8.7,8.7,8.7
1995,2025-09-24,10.2,10.2,10.2,10.2
1994,2025-09-23,10.2,10.2,10.2,10.2
1993,2025-09-22,10.5,10.5,10.5,10.5
1992,2025-09-18,11.2,11.2,11.0,11.0
1991,2025-09-05,10.0,10.0,10.0,10.0
1990,2025-08-28,10.0,10.0,10.0,10.0
1989,2025-08-26,10.1,10.1,10.1,10.1
1988,2025-08-18,11.8,11.8,11.8,11.8
1987,2025-08-15,11.0,11.0,11.0,11.0
1986,2025-08-12,11.0,11.0,11.0,11.0
1985,2025-08-11,11.1,11.1,11.0,11.0
1984,2025-07-25,12.8,12.8,12.8,12.8
1983,2025-07-21,12.5,12.5,12.5,12.5
1982,2025-07-09,11.7,11.7,11.7,11.7
1981,2025-07-04,11.0,11.3,11.0,11.3
1980,2025-07-01,11.0,11.0,11.0,11.0
1979,2025-06-27,10.9,10.9,10.9,10.9
1978,2025-06-19,10.9,10.9,10.9,10.9
1977,2025-06-17,11.2,11.2,11.2,11.2
1976,2025-06-12,10.6,10.6,10.6,10.6
1975,2025-06-11,10.0,10.0,10.0,10.0
1974,2025-06-03,8.9,8.9,8.6,8.6
1973,2025-05-13,10.1,10.1,10.1,10.1
1972,2025-05-05,10.1,10.1,10.1,10.1
1971,2025-04-18,11.8,11.8,11.8,11.8
1970,2025-04-15,10.3,10.3,10.3,10.3
1969,2025-04-10,12.2,12.2,12.1,12.1
1968,2025-04-02,14.2,14.2,14.1,14.1
1967,2025-04-01,12.4,12.4,12.4,12.4
1966,2025-03-31,10.8,10.8,10.8,10.8
