,Date,Open,High,Low,Close
3444,2025-10-17,8.8,8.8,8.8,8.8
3443,2025-10-01,10.3,10.3,10.3,10.3
3442,2025-09-30,9.6,9.6,9.4,9.4
3441,2025-09-29,10.4,10.4,8.3,9.2
3440,2025-09-26,8.8,9.8,8.8,9.7
3439,2025-09-25,9.0,10.4,9.0,9.0
3438,2025-09-23,10.4,10.5,10.4,10.5
3437,2025-09-19,7.9,10.3,7.9,10.3
3436,2025-09-10,9.2,9.2,9.2,9.2
3435,2025-09-09,9.0,9.3,9.0,9.3
3434,2025-09-08,9.2,9.2,9.2,9.2
3433,2025-08-29,9.4,9.4,9.4,9.4
3432,2025-08-27,8.0,10.4,8.0,9.3
3431,2025-08-15,9.3,9.3,9.3,9.3
3430,2025-08-14,9.3,9.3,9.3,9.3
3429,2025-08-08,9.3,9.3,9.3,9.3
3428,2025-08-07,9.3,9.3,9.3,9.3
3427,2025-08-04,9.3,9.3,9.2,9.2
3426,2025-08-01,9.2,9.2,9.2,9.2
3425,2025-07-31,9.2,9.2,9.2,9.2
3424,2025-07-30,9.2,9.2,9.2,9.2
3423,2025-07-29,8.6,9.0,8.6,9.0
3422,2025-07-24,8.8,8.9,8.8,8.9
3421,2025-07-23,7.5,8.1,7.5,8.1
3420,2025-07-21,7.7,7.8,7.7,7.8
3419,2025-07-18,7.5,7.9,7.5,7.9
3418,2025-07-16,7.8,7.8,7.8,7.8
3417,2025-07-11,7.8,8.0,6.8,8.0
3416,2025-07-02,7.8,7.8,7.8,7.8
3415,2025-07-01,7.2,7.6,7.2,7.6
3414,2025-06-24,7.4,7.4,7.4,7.4
3413,2025-06-11,7.4,7.4,7.4,7.4
3412,2025-05-28,7.4,7.4,7.4,7.4
3411,2025-05-19,7.0,9.0,7.0,8.7
3410,2025-05-16,8.0,8.0,8.0,8.0
3409,2025-05-15,8.2,8.2,8.2,8.2
3408,2025-04-29,8.2,8.2,8.2,8.2
3407,2025-04-17,8.3,8.3,8.3,8.3
3406,2025-04-10,8.1,8.1,8.1,8.1
3405,2025-04-09,7.0,7.0,7.0,7.0
3404,2025-04-08,7.1,9.2,7.1,9.2
3403,2025-04-04,8.0,8.0,8.0,8.0
3402,2025-04-03,8.1,8.1,7.8,7.8
3401,2025-04-02,7.1,8.1,7.1,8.1
3400,2025-04-01,8.1,8.1,8.1,8.1
3399,2025-03-28,8.8,8.8,8.8,8.8
3398,2025-03-27,7.0,8.4,7.0,8.4
3397,2025-03-26,8.1,9.0,7.0,9.0
3396,2025-03-24,8.7,8.7,8.1,8.1
3395,2025-03-21,9.5,9.5,9.5,9.5
3394,2025-03-20,10.2,10.2,10.2,10.2
3393,2025-03-17,11.1,11.1,11.1,11.1
3392,2025-02-24,13.0,13.0,13.0,13.0
3391,2025-02-19,11.4,12.5,11.4,12.5
3390,2025-02-18,11.4,11.4,11.4,11.4
3389,2025-02-14,10.8,10.8,8.0,8.0
3388,2025-02-13,9.4,9.4,9.4,9.4
3387,2025-02-12,8.0,8.7,8.0,8.7
3386,2025-02-11,7.0,7.7,7.0,7.7
3385,2025-02-06,6.7,6.7,6.7,6.7
3384,2025-02-05,6.7,6.7,6.7,6.7
