,Date,Open,High,Low,Close,Volume
2570,2025-10-24,52.0,52.3,51.3,52.0,6200
2569,2025-10-23,51.9,52.5,51.8,52.3,8700
2568,2025-10-22,53.5,53.5,47.0,51.9,12900
2567,2025-10-21,52.3,52.3,50.8,51.9,29900
2566,2025-10-20,52.6,52.6,51.3,52.2,5000
2565,2025-10-17,52.1,52.7,52.0,52.2,5700
2564,2025-10-16,52.7,52.7,52.0,52.7,11000
2563,2025-10-15,52.7,52.7,52.5,52.7,14200
2562,2025-10-14,52.9,52.9,52.5,52.7,15400
2561,2025-10-13,53.1,53.2,50.0,52.9,15500
2560,2025-10-10,54.0,54.0,53.2,53.2,15000
2559,2025-10-09,51.1,54.0,48.0,53.0,213800
2558,2025-10-08,52.8,53.4,52.0,53.0,22500
2557,2025-10-07,53.2,53.2,52.9,53.0,4400
2556,2025-10-06,52.9,53.3,52.9,53.2,13000
2555,2025-10-03,53.1,53.1,52.8,52.9,4200
2554,2025-10-02,54.0,54.0,53.5,53.5,9200
2553,2025-10-01,53.5,54.0,53.5,54.0,5400
2552,2025-09-30,54.1,54.1,53.5,53.5,9000
2551,2025-09-29,53.8,54.0,53.7,53.7,56000
2550,2025-09-26,54.1,54.1,53.7,53.7,9300
2549,2025-09-25,54.3,54.3,53.7,53.7,11900
2548,2025-09-24,53.7,54.2,53.7,54.0,7400
2547,2025-09-23,53.6,54.0,53.6,53.7,9400
2546,2025-09-22,53.7,53.9,53.6,53.6,20400
2545,2025-09-19,53.8,54.0,53.5,53.6,4400
2544,2025-09-18,53.7,53.8,53.5,53.8,12200
2543,2025-09-17,54.4,54.4,54.0,54.0,2600
2542,2025-09-16,54.5,54.6,53.8,54.2,8700
2541,2025-09-15,54.0,55.0,54.0,54.5,27600
2540,2025-09-12,53.4,53.5,52.9,53.5,27200
2539,2025-09-11,52.9,53.1,52.5,53.0,15900
2538,2025-09-10,52.3,52.4,52.3,52.3,19200
2537,2025-09-09,52.1,52.7,52.0,52.2,5500
2536,2025-09-08,52.0,52.8,51.8,52.7,24800
2535,2025-09-05,52.1,52.1,52.0,52.0,5200
2534,2025-09-04,52.1,52.1,51.9,52.1,7000
2533,2025-09-03,51.1,52.4,50.1,52.1,4700
2532,2025-08-29,52.2,52.4,52.2,52.4,3600
2531,2025-08-28,52.5,52.5,52.0,52.4,11000
2530,2025-08-27,52.3,52.4,52.0,52.3,5800
2529,2025-08-26,52.4,52.4,52.0,52.3,5800
2528,2025-08-25,52.1,53.2,52.1,52.4,20300
2527,2025-08-22,53.6,53.6,52.1,52.1,2300
2526,2025-08-21,51.3,56.6,51.3,53.0,122500
2525,2025-08-20,52.0,52.0,51.5,51.7,9200
2524,2025-08-19,52.3,52.4,51.9,52.0,14700
2523,2025-08-18,52.3,52.7,51.2,52.5,41200
2522,2025-08-15,52.2,52.3,51.9,52.0,18000
2521,2025-08-14,52.2,52.3,52.0,52.2,21700
2520,2025-08-13,52.3,52.3,52.1,52.2,11300
2519,2025-08-12,52.3,52.4,52.2,52.3,24500
2518,2025-08-11,52.4,52.4,52.2,52.3,12400
2517,2025-08-08,52.3,52.4,52.1,52.4,11700
2516,2025-08-07,52.2,53.0,52.2,52.3,15600
2515,2025-08-06,52.3,52.3,52.0,52.2,9600
2514,2025-08-05,52.5,52.5,52.1,52.2,22200
2513,2025-08-04,52.5,52.7,52.5,52.7,5500
2512,2025-08-01,52.5,52.7,52.5,52.5,1500
2511,2025-07-31,52.2,52.7,52.0,52.5,7500
2510,2025-07-30,52.7,52.8,52.0,52.7,10700
2509,2025-07-29,53.0,53.0,52.6,52.6,20500
2508,2025-07-28,53.3,53.3,52.8,53.0,24400
2507,2025-07-25,52.8,53.0,52.8,53.0,10200
2506,2025-07-24,52.9,53.0,52.8,52.9,12900
2505,2025-07-23,52.8,52.9,52.8,52.9,9600
2504,2025-07-22,52.8,53.0,52.8,52.9,7700
2503,2025-07-21,53.0,53.0,52.7,52.9,6300
2502,2025-07-18,53.0,53.0,52.8,53.0,7400
2501,2025-07-17,53.0,53.0,52.8,53.0,10000
2500,2025-07-16,52.9,53.2,52.8,52.8,17900
2499,2025-07-15,52.9,53.0,52.9,52.9,14500
2498,2025-07-14,53.3,53.5,52.9,53.0,16600
2497,2025-07-11,53.5,53.6,53.2,53.3,8500
2496,2025-07-10,52.8,53.4,52.8,53.4,10900
2495,2025-07-09,47.7,53.0,47.7,52.9,17800
2494,2025-07-08,53.2,53.2,52.9,53.0,16700
2493,2025-07-07,53.4,53.4,53.0,53.2,15100
2492,2025-07-04,53.4,53.5,53.4,53.4,1400
2491,2025-07-03,53.6,53.6,53.4,53.4,3600
2490,2025-07-02,53.5,53.5,53.1,53.3,2700
2489,2025-07-01,53.3,53.4,53.3,53.4,8400
2488,2025-06-30,53.9,54.5,53.3,53.3,6300
