,Date,Open,High,Low,Close,Volume
4461,2025-10-24,36.8,37.2,36.3,37.1,402700
4460,2025-10-23,36.5,36.7,36.3,36.55,227900
4459,2025-10-22,35.5,36.1,35.2,36.1,213600
4458,2025-10-21,34.9,35.5,34.2,35.5,534600
4457,2025-10-20,35.85,36.4,33.6,33.6,536700
4456,2025-10-17,36.5,36.55,36.05,36.05,290400
4455,2025-10-16,37.2,37.2,36.35,36.5,347700
4454,2025-10-15,37.05,37.05,36.55,36.7,288200
4453,2025-10-14,37.7,37.7,36.85,36.85,477100
4452,2025-10-13,37.1,37.9,36.65,37.7,378200
4451,2025-10-10,37.55,37.7,37.0,37.3,368700
4450,2025-10-09,37.1,37.75,37.0,37.5,385800
4449,2025-10-08,37.35,37.4,36.9,37.1,197000
4448,2025-10-07,37.55,37.55,37.0,37.0,222000
4447,2025-10-06,36.65,37.25,36.65,37.0,244100
4446,2025-10-03,37.35,37.4,36.65,36.65,414200
4445,2025-10-02,37.65,37.65,37.2,37.2,208600
4444,2025-10-01,37.8,37.95,37.4,37.6,215100
4443,2025-09-30,38.25,38.5,37.1,37.55,463300
4442,2025-09-29,38.5,38.5,37.85,38.2,428400
4441,2025-09-26,38.95,39.05,38.5,38.5,461700
4440,2025-09-25,38.8,39.35,38.8,38.95,302500
4439,2025-09-24,38.9,38.9,38.6,38.65,170900
4438,2025-09-23,38.8,39.2,38.5,38.7,242100
4437,2025-09-22,38.4,38.95,38.3,38.8,756300
4436,2025-09-19,38.6,38.6,38.1,38.4,216900
4435,2025-09-18,38.65,38.65,37.95,38.4,226000
4434,2025-09-17,39.25,39.25,38.45,38.55,420100
4433,2025-09-16,39.4,39.4,38.7,39.15,516400
4432,2025-09-15,39.45,39.5,39.0,39.25,576200
4431,2025-09-12,37.5,39.7,37.5,39.3,1357200
4430,2025-09-11,37.35,37.55,36.8,37.5,316800
4429,2025-09-10,37.4,37.6,37.2,37.35,162000
4428,2025-09-09,37.2,37.35,37.0,37.25,312800
4427,2025-09-08,37.55,37.85,37.1,37.1,602000
4426,2025-09-05,38.2,38.75,37.9,37.9,588900
4425,2025-09-04,37.9,38.25,37.85,38.1,316400
4424,2025-09-03,37.3,37.75,37.25,37.75,235499
4423,2025-08-29,37.45,37.6,37.2,37.3,508519
4422,2025-08-28,37.2,37.5,37.1,37.35,343906
4421,2025-08-27,36.8,37.2,36.65,36.9,456740
4420,2025-08-26,36.1,36.75,36.1,36.65,703563
4419,2025-08-25,37.1,37.2,36.15,36.15,555442
4418,2025-08-22,37.6,38.05,36.65,36.7,842773
4417,2025-08-21,38.85,38.9,37.9,37.9,757362
4416,2025-08-20,39.75,39.8,38.3,38.85,1258874
4415,2025-08-19,40.42,40.42,39.7,39.75,908176
4414,2025-08-18,39.61,40.51,39.56,40.27,791398
4413,2025-08-15,40.18,40.42,39.04,39.04,1323632
4412,2025-08-14,40.46,40.89,39.89,40.13,879860
4411,2025-08-13,40.42,40.94,40.04,40.46,1485381
4410,2025-08-12,40.51,40.61,39.65,39.99,1046266
4409,2025-08-11,39.8,40.61,39.42,40.27,1551697
4408,2025-08-08,39.32,39.56,38.56,39.23,1054867
4407,2025-08-07,38.89,39.42,38.46,38.99,745987
4406,2025-08-06,37.37,38.42,37.37,38.42,706091
4405,2025-08-05,38.27,38.61,36.85,37.13,1350628
4404,2025-08-04,37.51,37.99,37.51,37.99,389062
4403,2025-08-01,38.32,38.32,37.51,37.75,904793
4402,2025-07-31,38.27,38.94,37.89,38.32,817448
4401,2025-07-30,37.56,37.99,37.18,37.7,879235
4400,2025-07-29,39.89,40.18,37.04,37.23,2527531
4399,2025-07-28,40.08,40.37,39.37,39.8,1532671
4398,2025-07-25,40.75,40.85,39.61,39.61,1321015
4397,2025-07-24,40.61,41.32,40.18,40.65,1250905
4396,2025-07-23,40.37,40.46,39.51,40.46,1270713
4395,2025-07-22,40.18,40.65,39.7,40.13,810234
4394,2025-07-21,39.08,40.37,39.08,40.27,2089614
4393,2025-07-18,38.56,39.42,38.51,38.94,1773526
4392,2025-07-17,38.08,38.8,38.08,38.27,811739
4391,2025-07-16,37.94,38.32,37.94,38.04,677584
