,Date,Open,High,Low,Close
3661,2025-10-17,2.2,2.28,2.18,2.22
3660,2025-10-16,2.17,2.24,2.15,2.2
3659,2025-10-15,2.24,2.3,2.17,2.17
3658,2025-10-14,2.29,2.33,2.22,2.24
3657,2025-10-13,2.1,2.32,2.1,2.28
3656,2025-10-10,2.18,2.21,2.14,2.17
3655,2025-10-09,2.28,2.28,2.13,2.18
3654,2025-10-08,2.4,2.45,2.26,2.28
3653,2025-10-07,2.42,2.46,2.36,2.36
3652,2025-10-06,2.48,2.49,2.39,2.41
3651,2025-10-03,2.42,2.42,2.34,2.41
3650,2025-10-02,2.67,2.67,2.42,2.42
3649,2025-10-01,2.61,2.69,2.56,2.6
3648,2025-09-30,2.79,2.8,2.6,2.6
3647,2025-09-29,2.83,2.87,2.78,2.79
3646,2025-09-26,2.89,2.92,2.82,2.82
3645,2025-09-25,2.86,2.99,2.85,2.89
3644,2025-09-24,2.9,2.96,2.84,2.88
3643,2025-09-23,2.99,2.99,2.89,2.89
3642,2025-09-22,2.96,2.97,2.89,2.92
3641,2025-09-19,3.05,3.05,2.95,2.96
3640,2025-09-18,3.05,3.05,2.97,3.0
3639,2025-09-17,2.95,3.05,2.9,2.99
3638,2025-09-16,3.08,3.08,2.93,2.93
3637,2025-09-15,3.14,3.14,3.01,3.03
3636,2025-09-12,2.59,2.95,2.59,2.95
3635,2025-09-11,2.76,2.85,2.76,2.76
3634,2025-09-10,3.18,3.2,2.96,2.96
3633,2025-09-09,3.22,3.22,3.12,3.18
3632,2025-09-08,3.34,3.34,3.18,3.18
3631,2025-09-05,3.36,3.45,3.34,3.34
3630,2025-09-04,3.47,3.47,3.32,3.32
3629,2025-09-03,3.23,3.44,3.22,3.38
3628,2025-08-29,3.21,3.32,3.2,3.23
3627,2025-08-28,3.26,3.26,3.18,3.2
3626,2025-08-27,3.18,3.29,3.18,3.21
3625,2025-08-26,3.15,3.29,3.1,3.29
3624,2025-08-25,3.15,3.3,3.07,3.11
3623,2025-08-22,3.36,3.36,3.13,3.15
3622,2025-08-21,3.45,3.49,3.26,3.36
3621,2025-08-20,3.63,3.64,3.38,3.42
3620,2025-08-19,3.36,3.58,3.31,3.58
3619,2025-08-18,3.38,3.43,3.32,3.35
3618,2025-08-15,3.5,3.5,3.37,3.38
3617,2025-08-14,3.56,3.59,3.48,3.49
3616,2025-08-13,3.53,3.54,3.4,3.5
3615,2025-08-12,3.51,3.53,3.4,3.49
3614,2025-08-11,3.55,3.65,3.47,3.49
3613,2025-08-08,3.44,3.49,3.41,3.47
3612,2025-08-07,3.41,3.5,3.4,3.46
3611,2025-08-06,3.4,3.45,3.34,3.4
3610,2025-08-05,3.51,3.53,3.35,3.37
3609,2025-08-04,3.37,3.44,3.34,3.43
3608,2025-08-01,3.46,3.5,3.38,3.39
3607,2025-07-31,3.23,3.43,3.23,3.43
3606,2025-07-30,3.12,3.3,3.12,3.21
3605,2025-07-29,3.57,3.58,3.26,3.26
3604,2025-07-28,3.57,3.62,3.4,3.5
3603,2025-07-25,3.54,3.62,3.5,3.56
3602,2025-07-24,3.53,3.65,3.47,3.53
3601,2025-07-23,3.5,3.65,3.43,3.53
3600,2025-07-22,3.81,3.93,3.68,3.68
3599,2025-07-21,3.96,3.96,3.8,3.95
3598,2025-07-18,3.56,3.71,3.5,3.71
3597,2025-07-17,3.5,3.57,3.43,3.47
3596,2025-07-16,3.4,3.58,3.3,3.49
3595,2025-07-15,3.67,3.67,3.41,3.41
3594,2025-07-14,3.48,3.76,3.48,3.53
3593,2025-07-11,3.74,3.74,3.6,3.74
3592,2025-07-10,3.5,3.5,3.5,3.5
3591,2025-07-09,3.28,3.28,3.28,3.28
3590,2025-07-08,2.92,3.07,2.92,3.07
3589,2025-07-07,2.97,2.98,2.87,2.87
3588,2025-07-04,2.92,2.93,2.84,2.88
3587,2025-07-03,2.8,2.99,2.78,2.84
3586,2025-07-02,2.7,2.82,2.7,2.8
3585,2025-07-01,2.83,2.84,2.7,2.7
3584,2025-06-30,2.87,2.87,2.79,2.81
3583,2025-06-27,2.81,2.87,2.8,2.82
3582,2025-06-26,2.79,2.8,2.75,2.78
3581,2025-06-25,2.8,2.88,2.76,2.76
3580,2025-06-24,2.76,2.8,2.75,2.79
3579,2025-06-23,2.85,2.99,2.68,2.75
3578,2025-06-20,2.95,2.99,2.86,2.86
3577,2025-06-19,2.83,2.99,2.8,2.95
3576,2025-06-18,2.8,2.87,2.77,2.8
3575,2025-06-17,2.79,2.83,2.74,2.79
3574,2025-06-16,2.78,2.79,2.7,2.75
3573,2025-06-13,2.8,2.83,2.7,2.78
3572,2025-06-12,2.79,2.87,2.76,2.85
3571,2025-06-11,2.75,2.78,2.63,2.75
3570,2025-06-10,2.8,2.9,2.75,2.75
3569,2025-06-09,3.01,3.02,2.83,2.85
3568,2025-06-06,2.85,2.85,2.8,2.85
3567,2025-06-05,2.5,2.67,2.5,2.67
3566,2025-06-04,2.42,2.56,2.4,2.5
3565,2025-06-03,2.37,2.45,2.34,2.4
3564,2025-06-02,2.2,2.35,2.15,2.33
3563,2025-05-30,2.24,2.24,2.16,2.2
3562,2025-05-29,2.2,2.25,2.2,2.23
3561,2025-05-28,2.26,2.28,2.19,2.22
3560,2025-05-27,2.19,2.21,2.15,2.2
3559,2025-05-26,2.15,2.17,2.1,2.17
3558,2025-05-23,2.14,2.18,2.13,2.15
3557,2025-05-22,2.2,2.26,2.12,2.13
3556,2025-05-21,2.16,2.24,2.1,2.2
3555,2025-05-20,2.25,2.25,2.17,2.19
3554,2025-05-19,2.31,2.32,2.21,2.25
3553,2025-05-16,2.31,2.35,2.27,2.3
3552,2025-05-15,2.28,2.35,2.25,2.3
3551,2025-05-14,2.1,2.24,2.1,2.24
3550,2025-05-13,2.1,2.15,2.08,2.1
3549,2025-05-12,2.1,2.11,2.07,2.1
3548,2025-05-09,2.03,2.14,2.03,2.08
3547,2025-05-08,2.08,2.09,2.02,2.04
3546,2025-05-07,2.06,2.08,2.03,2.03
3545,2025-05-06,2.08,2.1,2.06,2.06
3544,2025-05-05,2.0,2.1,1.98,2.05
3543,2025-04-29,2.1,2.15,2.05,2.09
3542,2025-04-28,1.92,2.02,1.92,2.02
3541,2025-04-25,1.77,1.89,1.77,1.89
3540,2025-04-24,1.84,1.88,1.77,1.77
3539,2025-04-23,1.84,1.85,1.79,1.8
3538,2025-04-22,1.9,1.92,1.79,1.79
3537,2025-04-21,1.94,1.98,1.9,1.92
