,Date,Open,High,Low,Close
1935,2025-10-17,17.5,17.5,16.35,16.9
1934,2025-10-16,17.45,17.5,17.15,17.5
1933,2025-10-15,17.3,17.65,17.25,17.5
1932,2025-10-14,17.8,17.9,17.4,17.7
1931,2025-10-13,17.7,17.7,17.1,17.7
1930,2025-10-10,17.7,18.0,17.65,17.8
1929,2025-10-09,17.9,17.9,17.55,17.8
1928,2025-10-08,17.75,17.95,17.35,17.8
1927,2025-10-07,17.75,17.75,17.1,17.5
1926,2025-10-06,15.85,17.75,15.85,17.75
1925,2025-10-03,16.45,17.0,16.25,16.6
1924,2025-10-02,16.83,16.83,16.18,16.18
1923,2025-10-01,17.19,17.19,16.79,16.83
1922,2025-09-30,16.99,17.31,16.71,17.15
1921,2025-09-29,17.03,17.4,16.91,17.07
1920,2025-09-26,17.07,17.4,16.87,17.03
1919,2025-09-25,16.95,17.11,16.67,16.83
1918,2025-09-24,16.91,16.91,16.59,16.87
1917,2025-09-23,17.15,17.15,16.59,16.87
1916,2025-09-22,17.19,17.56,16.83,16.91
1915,2025-09-19,17.15,17.19,16.83,16.99
1914,2025-09-18,16.99,17.11,16.59,16.99
1913,2025-09-17,16.83,16.83,16.38,16.67
1912,2025-09-16,17.07,17.4,16.75,16.95
1911,2025-09-15,17.23,17.23,16.63,17.07
1910,2025-09-12,16.87,17.11,16.63,16.63
1909,2025-09-11,16.67,16.71,15.98,16.63
1908,2025-09-10,16.71,16.83,16.34,16.55
1907,2025-09-09,16.55,16.79,16.18,16.63
1906,2025-09-08,17.15,17.4,16.42,16.55
1905,2025-09-05,18.2,18.2,17.03,17.15
1904,2025-09-04,17.64,17.72,17.27,17.6
1903,2025-09-03,18.04,18.04,17.15,17.68
1902,2025-08-29,18.29,18.29,17.4,17.68
1901,2025-08-28,16.75,17.31,16.55,17.31
1900,2025-08-27,16.75,17.07,16.18,16.18
1899,2025-08-26,16.26,16.83,16.18,16.75
1898,2025-08-25,17.19,17.19,16.06,16.06
1897,2025-08-22,17.76,17.76,16.59,17.11
1896,2025-08-21,19.22,19.22,17.8,17.8
1895,2025-08-20,19.09,19.14,16.83,19.14
1894,2025-08-19,18.08,18.08,17.8,18.08
1893,2025-08-18,16.91,16.91,16.91,16.91
1892,2025-08-15,14.97,15.82,14.89,15.82
1891,2025-08-14,14.69,14.97,14.6,14.81
1890,2025-08-13,14.73,14.89,14.4,14.69
1889,2025-08-12,14.81,14.97,14.48,14.73
1888,2025-08-11,14.93,14.97,14.69,14.85
1887,2025-08-08,14.97,15.13,14.56,14.77
1886,2025-08-07,15.29,15.29,14.56,14.89
1885,2025-08-06,14.56,14.77,14.48,14.77
1884,2025-08-05,14.81,14.85,14.08,14.4
1883,2025-08-04,14.16,14.52,14.12,14.48
1882,2025-08-01,14.69,14.69,14.12,14.16
1881,2025-07-31,14.48,14.93,14.12,14.32
1880,2025-07-30,14.08,14.97,14.04,14.44
1879,2025-07-29,15.74,15.74,14.4,14.4
1878,2025-07-28,14.44,14.97,14.24,14.97
1877,2025-07-25,13.59,14.0,13.59,14.0
1876,2025-07-24,14.08,14.16,13.59,13.75
1875,2025-07-23,14.08,14.56,13.88,13.92
1874,2025-07-22,13.92,13.92,13.43,13.88
1873,2025-07-21,14.04,14.24,13.67,13.84
1872,2025-07-18,13.84,14.08,13.75,14.0
1871,2025-07-17,13.75,13.92,13.51,13.63
1870,2025-07-16,13.35,13.92,13.23,13.47
1869,2025-07-15,13.19,13.67,13.15,13.47
1868,2025-07-14,13.55,13.75,13.03,13.19
1867,2025-07-11,12.91,13.71,12.91,13.43
1866,2025-07-10,12.58,12.86,12.42,12.86
1865,2025-07-09,12.46,12.86,12.3,12.54
1864,2025-07-08,12.26,12.38,12.26,12.26
1863,2025-07-07,12.34,12.34,12.18,12.26
1862,2025-07-04,12.34,12.34,12.02,12.22
1861,2025-07-03,12.3,12.42,12.18,12.18
1860,2025-07-02,12.26,12.3,11.97,12.18
1859,2025-07-01,12.14,12.26,11.97,12.1
1858,2025-06-30,12.14,12.14,11.97,12.06
1857,2025-06-27,11.81,12.02,11.81,12.02
1856,2025-06-26,11.81,11.89,11.73,11.85
1855,2025-06-25,11.97,11.97,11.81,11.85
1854,2025-06-24,11.93,12.06,11.73,11.93
1853,2025-06-23,11.97,11.97,11.73,11.93
1852,2025-06-20,12.02,12.1,11.89,11.97
1851,2025-06-19,12.02,12.06,11.33,12.02
1850,2025-06-18,12.14,12.34,12.02,12.02
1849,2025-06-17,12.46,12.46,12.1,12.14
1848,2025-06-16,12.14,12.38,12.02,12.22
1847,2025-06-13,12.42,12.5,12.06,12.22
1846,2025-06-12,12.58,12.66,12.42,12.42
1845,2025-06-11,12.46,12.62,12.38,12.58
1844,2025-06-10,12.58,12.78,12.34,12.78
1843,2025-06-09,12.58,12.62,12.3,12.58
1842,2025-06-06,12.74,12.78,12.46,12.54
1841,2025-06-05,12.95,12.95,12.7,12.74
1840,2025-06-04,13.07,13.07,12.7,12.95
1839,2025-06-03,12.82,13.03,12.7,12.99
1838,2025-06-02,12.54,12.74,12.38,12.7
1837,2025-05-30,12.66,12.66,12.3,12.54
1836,2025-05-29,12.7,12.7,12.46,12.58
