,Date,Open,High,Low,Close
2142,2025-10-17,15.1,15.1,15.0,15.1
2141,2025-10-16,15.1,15.1,15.1,15.1
2140,2025-10-15,15.5,15.5,15.1,15.1
2139,2025-10-14,15.2,15.4,14.9,15.2
2138,2025-10-13,15.3,15.3,14.8,14.8
2137,2025-10-10,15.1,15.3,15.1,15.3
2136,2025-10-09,15.0,15.1,14.8,15.1
2135,2025-10-08,14.9,15.0,14.9,15.0
2134,2025-10-07,14.9,14.9,14.9,14.9
2133,2025-10-06,15.1,15.1,14.9,14.9
2132,2025-10-03,15.0,15.1,15.0,15.1
2131,2025-10-01,15.0,15.0,15.0,15.0
2130,2025-09-30,14.8,15.0,14.8,15.0
2129,2025-09-29,14.7,14.7,14.7,14.7
2128,2025-09-26,14.7,14.7,14.7,14.7
2127,2025-09-25,14.7,14.7,14.7,14.7
2126,2025-09-24,14.8,14.8,14.7,14.7
2125,2025-09-23,14.9,14.9,14.9,14.9
2124,2025-09-19,14.8,14.8,14.8,14.8
2123,2025-09-18,15.0,15.0,14.8,14.8
2122,2025-09-17,15.0,15.0,14.8,14.8
2121,2025-09-15,15.3,15.3,15.3,15.3
2120,2025-09-12,15.3,15.3,15.3,15.3
2119,2025-09-09,15.5,15.5,15.5,15.5
2118,2025-09-08,15.7,15.7,15.7,15.7
2117,2025-09-03,15.8,15.8,15.8,15.8
2116,2025-08-29,15.8,15.8,15.8,15.8
2115,2025-08-25,14.9,15.1,14.9,15.1
2114,2025-08-22,14.6,14.6,14.6,14.6
2113,2025-08-20,15.1,15.1,14.6,14.6
2112,2025-08-19,14.6,15.1,14.6,15.1
2111,2025-08-18,15.0,15.0,14.5,15.0
2110,2025-08-15,14.6,15.2,14.6,15.0
2109,2025-08-14,14.5,14.5,14.5,14.5
2108,2025-08-13,14.5,14.5,14.4,14.5
2107,2025-08-12,15.3,15.3,15.3,15.3
2106,2025-08-11,14.5,15.3,14.3,15.3
2105,2025-08-08,14.5,14.5,14.5,14.5
2104,2025-08-07,14.6,14.6,14.6,14.6
2103,2025-08-06,14.6,14.6,14.6,14.6
2102,2025-08-05,14.5,14.5,14.5,14.5
2101,2025-08-04,14.8,14.8,14.8,14.8
2100,2025-08-01,14.8,14.8,14.8,14.8
2099,2025-07-31,14.1,14.8,14.1,14.8
2098,2025-07-30,14.9,14.9,14.9,14.9
2097,2025-07-29,15.3,15.3,14.9,14.9
2096,2025-07-28,15.3,15.4,15.2,15.4
2095,2025-07-25,15.5,15.5,15.4,15.4
2094,2025-07-24,14.2,15.7,14.2,15.5
2093,2025-07-23,15.57,16.0,15.39,15.48
2092,2025-07-22,15.48,15.65,14.78,14.78
2091,2025-07-21,15.48,15.48,15.22,15.22
2090,2025-07-18,15.48,15.48,15.48,15.48
2089,2025-07-17,15.48,15.57,15.48,15.48
2088,2025-07-16,15.39,15.48,14.96,15.48
2087,2025-07-15,15.48,15.48,15.3,15.39
2086,2025-07-14,15.3,15.57,15.22,15.22
2085,2025-07-11,14.87,15.3,14.87,15.04
2084,2025-07-10,14.78,14.87,14.78,14.87
2083,2025-07-09,14.78,15.48,14.78,14.78
2082,2025-07-08,14.61,14.61,14.61,14.61
2081,2025-07-07,14.78,14.78,14.78,14.78
2080,2025-07-04,14.61,14.61,14.52,14.52
2079,2025-07-03,14.44,14.52,14.44,14.44
2078,2025-07-02,14.52,14.52,14.44,14.44
2077,2025-07-01,14.35,14.35,14.26,14.26
2076,2025-06-30,14.35,14.35,14.35,14.35
2075,2025-06-27,14.35,14.35,14.35,14.35
2074,2025-06-26,14.35,14.44,14.35,14.35
2073,2025-06-25,14.35,14.35,14.35,14.35
2072,2025-06-24,14.35,14.35,14.26,14.35
2071,2025-06-23,14.17,14.7,14.17,14.7
2070,2025-06-20,14.78,14.78,14.78,14.78
2069,2025-06-19,14.78,14.78,14.78,14.78
2068,2025-06-18,14.78,14.78,14.78,14.78
2067,2025-06-17,14.7,14.87,14.7,14.78
2066,2025-06-16,14.52,14.7,14.52,14.7
2065,2025-06-13,14.52,14.52,14.52,14.52
2064,2025-06-12,14.52,14.52,14.44,14.52
2063,2025-06-11,14.61,14.61,14.61,14.61
2062,2025-06-10,14.52,14.61,14.52,14.61
