,Date,Open,High,Low,Close,Volume
816,2025-10-24,6.7,6.8,6.6,6.8,370200
815,2025-10-23,6.6,6.8,6.6,6.6,291000
814,2025-10-22,6.5,6.7,6.4,6.6,331800
813,2025-10-21,6.6,6.6,6.4,6.5,359000
812,2025-10-20,7.0,7.0,6.5,6.5,512700
811,2025-10-17,6.8,7.1,6.7,7.0,260200
810,2025-10-16,6.8,6.9,6.7,6.8,237700
809,2025-10-15,6.9,7.0,6.8,6.8,164900
808,2025-10-14,7.0,7.1,6.8,6.9,460000
807,2025-10-13,7.0,7.1,7.0,7.0,393100
806,2025-10-10,7.1,7.2,7.0,7.1,288400
805,2025-10-09,7.2,7.2,7.1,7.1,145000
804,2025-10-08,7.2,7.2,7.1,7.1,228000
803,2025-10-07,7.3,7.3,7.1,7.1,303400
802,2025-10-06,7.1,7.3,7.1,7.2,120800
801,2025-10-03,7.3,7.3,7.0,7.2,491200
800,2025-10-02,7.3,7.3,7.2,7.3,94700
799,2025-10-01,7.4,7.4,7.2,7.3,58600
798,2025-09-30,7.4,7.5,7.2,7.3,461400
797,2025-09-29,7.4,7.5,7.3,7.4,182000
796,2025-09-26,7.4,7.5,7.3,7.3,302794
795,2025-09-25,7.4,7.5,7.3,7.4,193608
794,2025-09-24,7.5,7.5,7.3,7.4,415776
793,2025-09-23,7.5,7.6,7.4,7.5,171360
792,2025-09-22,7.3,7.6,7.3,7.5,565562
791,2025-09-19,7.4,7.4,7.2,7.3,125995
790,2025-09-18,7.5,7.5,7.3,7.3,245161
789,2025-09-17,7.6,7.6,7.4,7.4,243792
788,2025-09-16,7.9,8.0,7.5,7.6,664940
787,2025-09-15,7.36,7.36,7.27,7.36,585589
786,2025-09-12,7.27,7.36,7.18,7.27,436179
785,2025-09-11,7.27,7.27,7.09,7.18,413933
784,2025-09-10,7.27,7.36,7.18,7.27,171166
783,2025-09-09,7.27,7.36,7.18,7.27,238535
782,2025-09-08,7.45,7.55,7.18,7.18,672502
781,2025-09-05,7.27,7.64,7.27,7.45,1562483
780,2025-09-04,7.09,7.27,7.09,7.27,591449
