,Date,Open,High,Low,Close
755,2025-10-09,17.5,17.5,17.5,17.5
754,2025-09-25,17.5,17.5,17.5,17.5
753,2025-09-18,15.7,15.7,15.7,15.7
752,2025-09-15,15.7,15.7,15.7,15.7
751,2025-09-12,15.6,15.7,15.0,15.0
750,2025-09-09,15.0,15.0,15.0,15.0
749,2025-09-05,15.6,15.6,15.6,15.6
748,2025-09-04,15.6,15.6,15.6,15.6
747,2025-09-03,15.3,17.7,15.3,17.7
746,2025-08-28,15.5,15.5,15.5,15.5
745,2025-08-27,14.2,15.0,14.2,15.0
744,2025-08-26,14.2,14.2,14.2,14.2
743,2025-08-25,12.9,14.3,12.9,14.3
742,2025-08-22,13.5,13.5,11.5,11.5
741,2025-08-21,12.9,13.2,12.9,13.0
740,2025-08-20,14.9,14.9,14.9,14.9
739,2025-08-19,15.0,15.0,15.0,15.0
738,2025-08-18,15.0,15.1,12.9,12.9
737,2025-08-15,15.0,15.0,15.0,15.0
736,2025-08-14,14.7,14.7,14.7,14.7
735,2025-08-13,14.7,14.7,14.7,14.7
734,2025-08-12,14.7,14.7,14.7,14.7
733,2025-08-11,14.7,14.7,14.7,14.7
732,2025-08-08,14.7,14.7,14.7,14.7
731,2025-08-04,14.7,14.7,14.7,14.7
730,2025-07-24,15.5,15.5,15.4,15.4
729,2025-07-23,14.7,15.2,14.7,15.2
728,2025-07-03,14.7,14.7,14.7,14.7
727,2025-06-27,15.0,15.0,15.0,15.0
726,2025-05-29,14.8,14.8,14.8,14.8
725,2025-05-27,15.0,15.0,15.0,15.0
724,2025-05-21,14.9,14.9,14.9,14.9
723,2025-05-19,14.9,14.9,14.9,14.9
722,2025-05-09,14.9,14.9,14.9,14.9
721,2025-05-08,14.9,14.9,14.9,14.9
720,2025-05-07,14.9,14.9,14.9,14.9
719,2025-04-29,14.5,14.5,14.5,14.5
718,2025-04-25,14.9,14.9,14.9,14.9
717,2025-04-24,14.9,14.9,14.9,14.9
716,2025-04-22,14.0,14.0,14.0,14.0
715,2025-04-18,13.9,14.9,13.9,14.9
714,2025-04-17,13.2,13.2,13.2,13.2
713,2025-04-10,15.0,15.0,15.0,15.0
712,2025-04-04,13.6,13.9,13.6,13.9
711,2025-04-03,14.9,14.9,13.1,13.1
710,2025-04-02,14.9,14.9,14.9,14.9
709,2025-03-31,14.8,14.9,14.8,14.9
708,2025-03-28,14.9,14.9,14.9,14.9
707,2025-03-27,14.9,14.9,14.9,14.9
706,2025-03-26,14.9,14.9,14.9,14.9
705,2025-03-24,14.9,14.9,14.8,14.8
704,2025-03-20,14.5,14.5,14.5,14.5
703,2025-03-19,15.0,15.0,13.7,13.7
702,2025-03-17,13.5,13.5,13.5,13.5
701,2025-03-11,16.0,16.0,15.1,16.0
700,2025-03-10,16.0,16.0,16.0,16.0
699,2025-03-07,15.0,15.2,15.0,15.2
698,2025-03-06,15.1,15.1,15.1,15.1
697,2025-02-17,13.5,13.5,13.5,13.5
696,2025-02-14,13.5,13.5,13.3,13.3
695,2025-01-21,13.3,13.3,13.3,13.3
694,2025-01-17,15.0,15.1,15.0,15.1
693,2025-01-16,13.2,13.2,13.2,13.2
692,2025-01-10,13.7,13.7,13.7,13.7
691,2025-01-06,14.2,14.2,14.2,14.2
690,2025-01-03,16.5,16.5,16.5,16.5
689,2025-01-02,14.5,16.1,14.5,15.2
688,2024-12-30,14.0,14.0,14.0,14.0
687,2024-12-25,12.8,13.0,12.8,13.0
686,2024-12-23,14.0,14.0,14.0,14.0
685,2024-12-20,12.5,12.5,12.5,12.5
684,2024-12-18,13.5,13.5,13.5,13.5
683,2024-12-16,12.8,12.8,12.8,12.8
682,2024-12-11,13.2,13.2,13.2,13.2
681,2024-12-09,14.5,14.5,14.5,14.5
680,2024-12-05,13.6,13.6,13.6,13.6
679,2024-12-04,12.0,12.0,11.9,11.9
678,2024-12-02,13.9,13.9,13.9,13.9
677,2024-11-29,13.3,13.3,13.3,13.3
676,2024-11-28,13.3,13.3,13.3,13.3
675,2024-11-27,13.0,13.4,13.0,13.4
674,2024-11-26,11.7,11.7,11.7,11.7
673,2024-11-13,10.2,10.2,10.2,10.2
672,2024-11-08,11.2,11.2,11.2,11.2
671,2024-11-04,13.0,13.0,13.0,13.0
670,2024-11-01,12.8,12.8,12.8,12.8
669,2024-10-31,11.2,11.2,11.2,11.2
668,2024-10-29,9.8,9.8,9.8,9.8
667,2024-10-22,8.6,8.6,8.6,8.6
666,2024-10-17,9.9,9.9,9.9,9.9
665,2024-10-16,11.6,11.6,11.6,11.6
664,2024-10-14,12.1,12.1,12.1,12.1
