,Date,Open,High,Low,Close
1672,2025-10-09,15.0,15.0,15.0,15.0
1671,2025-10-07,15.0,15.0,15.0,15.0
1670,2025-10-06,15.0,15.0,15.0,15.0
1669,2025-10-03,15.0,15.0,15.0,15.0
1668,2025-10-02,15.0,15.0,15.0,15.0
1667,2025-10-01,15.2,15.2,14.7,14.7
1666,2025-09-30,17.2,17.2,17.2,17.2
1665,2025-09-29,17.2,17.2,17.2,17.2
1664,2025-09-26,17.2,17.2,17.2,17.2
1663,2025-09-25,17.2,17.2,17.2,17.2
1662,2025-09-24,17.15,17.15,17.15,17.15
1661,2025-09-23,15.03,15.03,15.03,15.03
1660,2025-09-22,15.03,15.03,15.03,15.03
1659,2025-09-19,15.03,15.03,15.03,15.03
1658,2025-09-18,15.03,15.03,15.03,15.03
1657,2025-09-17,14.65,14.65,14.65,14.65
1656,2025-09-16,13.59,13.59,13.59,13.59
1655,2025-09-15,13.59,13.59,13.59,13.59
1654,2025-09-12,13.59,13.59,13.59,13.59
1653,2025-09-11,13.59,13.59,13.59,13.59
1652,2025-09-10,13.59,13.59,13.59,13.59
1651,2025-09-09,13.59,13.59,13.59,13.59
1650,2025-09-08,13.59,13.59,13.59,13.59
1649,2025-09-05,13.49,13.49,13.49,13.49
1648,2025-09-04,13.49,13.49,13.49,13.49
1647,2025-09-03,13.49,13.49,13.49,13.49
1646,2025-08-29,13.49,13.49,13.49,13.49
1645,2025-08-28,13.49,13.49,13.49,13.49
1644,2025-08-27,13.49,13.49,13.49,13.49
1643,2025-08-26,13.49,13.49,13.49,13.49
1642,2025-08-25,13.49,13.49,13.49,13.49
1641,2025-08-22,13.49,13.49,13.49,13.49
1640,2025-08-21,13.49,13.49,13.49,13.49
1639,2025-08-20,13.49,13.49,13.49,13.49
1638,2025-08-19,13.49,13.49,13.49,13.49
1637,2025-08-18,13.49,13.49,13.49,13.49
1636,2025-08-15,13.49,13.49,13.49,13.49
1635,2025-08-14,13.49,13.49,13.49,13.49
1634,2025-08-13,13.49,13.49,13.49,13.49
1633,2025-08-12,13.49,13.49,13.49,13.49
1632,2025-08-11,13.49,13.49,13.49,13.49
1631,2025-08-08,13.49,13.49,13.49,13.49
1630,2025-08-07,13.59,13.59,13.49,13.49
1629,2025-08-06,14.55,14.55,14.55,14.55
1628,2025-08-05,14.55,14.55,14.55,14.55
1627,2025-08-04,14.55,14.55,14.55,14.55
1626,2025-08-01,14.55,14.55,14.55,14.55
1625,2025-07-31,14.55,14.55,14.55,14.55
1624,2025-07-30,14.55,14.55,14.55,14.55
1623,2025-07-29,14.55,14.55,14.55,14.55
1622,2025-07-28,14.65,14.65,14.65,14.65
1621,2025-07-25,14.65,14.65,14.65,14.65
1620,2025-07-24,14.65,14.65,14.65,14.65
1619,2025-07-23,14.65,14.65,14.65,14.65
1618,2025-07-22,14.65,14.65,14.65,14.65
1617,2025-07-21,14.65,14.65,14.65,14.65
1616,2025-07-18,14.65,14.65,14.65,14.65
1615,2025-07-17,14.65,14.65,14.65,14.65
1614,2025-07-16,14.65,14.65,14.65,14.65
1613,2025-07-15,14.45,14.45,14.45,14.45
1612,2025-07-14,14.45,14.45,14.45,14.45
1611,2025-07-11,14.45,14.45,14.45,14.45
1610,2025-07-10,14.45,14.45,14.45,14.45
1609,2025-07-09,14.45,14.45,14.45,14.45
1608,2025-07-08,14.45,14.45,14.45,14.45
1607,2025-07-07,14.45,14.45,14.45,14.45
1606,2025-07-04,13.87,13.87,13.87,13.87
1605,2025-07-03,13.87,13.87,13.87,13.87
1604,2025-07-02,13.87,13.87,13.87,13.87
1603,2025-07-01,13.97,13.97,13.87,13.87
1602,2025-06-30,15.51,15.51,15.51,15.51
1601,2025-06-27,15.51,15.51,15.51,15.51
1600,2025-06-26,15.51,15.51,15.51,15.51
1599,2025-06-25,15.51,15.51,15.51,15.51
1598,2025-06-24,15.51,15.51,15.51,15.51
1597,2025-06-23,15.51,15.51,15.51,15.51
1596,2025-06-20,15.51,15.51,15.51,15.51
1595,2025-06-19,15.51,15.51,15.51,15.51
1594,2025-06-18,15.51,15.51,15.51,15.51
1593,2025-06-17,15.51,15.51,15.51,15.51
1592,2025-06-16,15.51,15.51,15.51,15.51
1591,2025-06-13,15.51,15.51,15.51,15.51
1590,2025-06-12,15.51,15.51,15.51,15.51
1589,2025-06-11,15.51,15.51,15.51,15.51
1588,2025-06-10,15.51,15.51,15.51,15.51
1587,2025-06-09,15.51,15.51,15.51,15.51
1586,2025-06-06,15.51,15.51,15.51,15.51
1585,2025-06-05,15.42,15.42,15.42,15.42
1584,2025-06-04,16.09,16.09,16.09,16.09
1583,2025-06-03,16.09,16.09,16.09,16.09
1582,2025-06-02,16.09,16.09,16.09,16.09
1581,2025-05-30,16.38,16.38,16.38,16.38
1580,2025-05-29,14.45,14.45,14.45,14.45
1579,2025-05-28,14.36,14.45,14.36,14.45
1578,2025-05-27,15.8,15.8,15.8,15.8
1577,2025-05-26,15.8,15.8,15.8,15.8
1576,2025-05-23,13.97,13.97,13.97,13.97
1575,2025-05-22,13.97,13.97,13.97,13.97
1574,2025-05-21,13.87,14.07,13.87,14.07
1573,2025-05-20,16.28,16.28,16.28,16.28
1572,2025-05-19,19.08,19.08,19.08,19.08
1571,2025-05-16,19.08,19.08,19.08,19.08
1570,2025-05-15,16.76,16.76,16.76,16.76
1569,2025-05-14,16.76,16.76,16.76,16.76
1568,2025-05-13,16.76,16.76,16.76,16.76
1567,2025-05-12,16.76,16.76,16.76,16.76
1566,2025-05-09,16.76,16.76,16.76,16.76
1565,2025-05-08,19.66,19.66,19.66,19.66
1564,2025-05-07,19.66,19.66,19.66,19.66
1563,2025-05-06,19.66,19.66,19.66,19.66
1562,2025-05-05,17.63,17.63,17.63,17.63
1561,2025-04-29,17.63,17.63,17.63,17.63
1560,2025-04-28,17.63,17.63,17.63,17.63
1559,2025-04-25,17.63,17.63,17.63,17.63
1558,2025-04-24,17.63,17.63,17.63,17.63
1557,2025-04-23,17.63,17.63,17.63,17.63
1556,2025-04-22,17.63,17.63,17.63,17.63
1555,2025-04-21,17.63,17.63,17.63,17.63
1554,2025-04-18,17.63,17.63,17.63,17.63
1553,2025-04-17,17.63,17.63,17.63,17.63
1552,2025-04-16,17.63,17.63,17.63,17.63
1551,2025-04-15,17.63,17.63,17.63,17.63
1550,2025-04-14,17.63,17.63,17.63,17.63
1549,2025-04-11,15.42,15.42,15.42,15.42
1548,2025-04-10,15.42,15.42,15.42,15.42
1547,2025-04-09,15.42,15.42,15.42,15.42
1546,2025-04-08,15.42,15.42,15.42,15.42
1545,2025-04-04,15.42,15.42,15.42,15.42
1544,2025-04-03,15.22,15.22,15.22,15.22
1543,2025-04-02,15.22,15.22,15.22,15.22
1542,2025-04-01,15.22,15.22,15.22,15.22
1541,2025-03-31,15.22,15.22,15.22,15.22
1540,2025-03-28,15.22,15.22,15.22,15.22
1539,2025-03-27,15.22,15.22,15.22,15.22
1538,2025-03-26,15.22,15.22,15.22,15.22
1537,2025-03-25,15.22,15.22,15.22,15.22
1536,2025-03-24,15.22,15.22,15.22,15.22
1535,2025-03-21,15.22,15.22,15.22,15.22
1534,2025-03-20,15.22,15.22,15.22,15.22
1533,2025-03-19,15.22,15.22,15.22,15.22
1532,2025-03-18,15.22,15.22,15.22,15.22
1531,2025-03-17,15.22,15.22,15.22,15.22
1530,2025-03-14,15.22,15.22,15.22,15.22
1529,2025-03-13,15.22,15.22,15.22,15.22
1528,2025-03-12,17.82,17.82,17.82,17.82
1527,2025-03-11,17.82,17.82,17.82,17.82
1526,2025-03-10,17.82,17.82,17.82,17.82
1525,2025-03-07,17.82,17.82,17.82,17.82
1524,2025-03-06,17.82,17.82,17.82,17.82
1523,2025-03-05,17.82,17.82,17.82,17.82
1522,2025-03-04,17.82,17.82,17.82,17.82
1521,2025-03-03,17.82,17.82,17.82,17.82
1520,2025-02-28,17.82,17.82,17.82,17.82
1519,2025-02-27,17.82,17.82,17.82,17.82
1518,2025-02-26,17.82,17.82,17.82,17.82
1517,2025-02-25,19.27,19.27,17.82,17.82
1516,2025-02-24,15.99,18.31,15.99,18.31
1515,2025-02-21,15.9,15.99,15.9,15.99
1514,2025-02-20,13.97,13.97,13.97,13.97
1513,2025-02-19,13.97,13.97,13.97,13.97
1512,2025-02-18,15.51,15.51,15.51,15.51
1511,2025-02-17,15.51,15.51,15.51,15.51
1510,2025-02-14,15.51,15.51,15.51,15.51
1509,2025-02-13,15.42,15.51,15.42,15.51
1508,2025-02-12,15.42,15.42,15.42,15.42
1507,2025-02-11,15.42,15.42,15.42,15.42
1506,2025-02-10,15.42,15.42,15.42,15.42
1505,2025-02-07,15.42,15.42,15.42,15.42
1504,2025-02-06,15.71,15.71,15.71,15.71
1503,2025-02-05,15.71,15.71,15.71,15.71
1502,2025-02-04,15.71,15.71,15.71,15.71
1501,2025-02-03,15.42,16.19,15.42,16.19
1500,2025-01-24,14.74,14.74,14.74,14.74
1499,2025-01-23,14.74,14.74,14.74,14.74
1498,2025-01-22,14.74,14.74,14.74,14.74
1497,2025-01-21,14.45,14.84,14.45,14.84
1496,2025-01-20,13.59,13.59,13.59,13.59
1495,2025-01-17,11.85,11.85,11.85,11.85
