,Date,Open,High,Low,Close
4086,2025-10-17,10.8,10.8,10.5,10.8
4085,2025-10-16,10.8,10.8,10.7,10.8
4084,2025-10-15,10.8,10.9,10.7,10.8
4083,2025-10-14,10.9,11.0,10.7,10.8
4082,2025-10-13,10.9,11.1,10.8,10.8
4081,2025-10-10,11.1,11.1,10.9,10.9
4080,2025-10-09,11.0,11.1,10.9,11.0
4079,2025-10-08,11.2,11.3,10.9,11.1
4078,2025-10-07,11.2,11.3,11.1,11.2
4077,2025-10-06,11.0,11.2,11.0,11.2
4076,2025-10-03,11.1,11.1,10.9,11.0
4075,2025-10-02,11.1,11.1,10.9,11.1
4074,2025-10-01,11.2,11.2,10.9,11.1
4073,2025-09-30,11.3,11.3,11.0,11.0
4072,2025-09-29,11.1,11.4,11.0,11.2
4071,2025-09-26,11.1,11.1,11.0,11.1
4070,2025-09-25,11.0,11.2,10.9,11.2
4069,2025-09-24,10.9,11.0,10.8,11.0
4068,2025-09-23,11.1,11.1,10.9,10.9
4067,2025-09-22,11.2,11.3,10.8,11.1
4066,2025-09-19,11.4,11.5,11.2,11.2
4065,2025-09-18,11.4,11.4,11.2,11.3
4064,2025-09-17,11.7,11.7,11.3,11.3
4063,2025-09-16,11.7,11.8,11.5,11.6
4062,2025-09-15,11.1,11.8,11.1,11.6
4061,2025-09-12,11.1,11.1,11.0,11.1
4060,2025-09-11,11.1,11.1,10.8,11.0
4059,2025-09-10,11.2,11.2,11.0,11.1
4058,2025-09-09,10.9,11.2,10.9,11.1
4057,2025-09-08,11.2,11.2,10.9,10.9
4056,2025-09-05,11.2,11.4,11.2,11.2
4055,2025-09-04,11.1,11.3,11.1,11.2
4054,2025-09-03,11.0,11.1,10.9,11.0
4053,2025-08-29,11.0,11.1,10.9,11.0
4052,2025-08-28,11.1,11.1,10.8,10.9
4051,2025-08-27,11.1,11.2,10.9,11.0
4050,2025-08-26,10.5,11.1,10.5,11.1
4049,2025-08-25,10.8,11.0,10.5,10.5
4048,2025-08-22,11.3,11.3,10.6,10.8
4047,2025-08-21,11.5,11.7,11.3,11.3
4046,2025-08-20,11.8,12.0,11.4,11.6
4045,2025-08-19,11.4,11.8,11.3,11.8
4044,2025-08-18,11.6,11.6,11.3,11.4
4043,2025-08-15,11.7,11.7,11.3,11.4
4042,2025-08-14,11.7,11.8,11.4,11.6
4041,2025-08-13,11.8,12.0,11.5,11.7
4040,2025-08-12,11.5,12.1,11.4,11.8
4039,2025-08-11,11.5,11.7,11.5,11.5
4038,2025-08-08,11.5,11.5,11.3,11.5
4037,2025-08-07,11.6,11.7,11.4,11.4
4036,2025-08-06,11.5,11.6,11.1,11.6
4035,2025-08-05,12.0,12.1,11.2,11.5
4034,2025-08-04,11.8,12.2,11.7,11.9
4033,2025-08-01,11.2,12.2,11.0,11.9
4032,2025-07-31,11.2,11.3,10.9,11.2
4031,2025-07-30,10.9,11.2,10.8,11.1
4030,2025-07-29,11.7,11.7,10.8,11.1
4029,2025-07-28,11.7,12.0,11.5,11.6
4028,2025-07-25,11.6,11.9,11.4,11.7
4027,2025-07-24,10.5,11.5,10.5,11.4
4026,2025-07-23,10.6,10.9,10.4,10.5
4025,2025-07-22,10.6,10.8,10.3,10.5
4024,2025-07-21,9.7,10.5,9.7,10.5
4023,2025-07-18,9.5,9.7,9.5,9.7
4022,2025-07-17,9.5,9.6,9.5,9.6
4021,2025-07-16,9.5,9.6,9.4,9.5
4020,2025-07-15,9.5,9.6,9.5,9.5
4019,2025-07-14,9.6,9.7,9.5,9.6
4018,2025-07-11,9.6,9.7,9.5,9.6
4017,2025-07-10,9.5,9.7,9.4,9.6
4016,2025-07-09,9.5,9.6,9.4,9.5
4015,2025-07-08,9.5,9.5,9.3,9.5
4014,2025-07-07,9.8,9.8,9.4,9.5
4013,2025-07-04,9.49,9.59,9.4,9.4
4012,2025-07-03,9.4,9.49,9.31,9.4
4011,2025-07-02,9.49,9.49,9.31,9.4
4010,2025-07-01,9.49,9.49,9.31,9.4
