,Date,Open,High,Low,Close,Volume
4402,2025-10-24,4.62,4.64,4.04,4.04,164100
4401,2025-10-23,4.12,4.34,4.1,4.34,80900
4400,2025-10-22,4.05,4.06,4.05,4.06,226500
4399,2025-10-21,3.79,3.8,3.79,3.8,1700
4398,2025-10-20,3.8,3.8,3.56,3.56,2000
4397,2025-10-17,3.8,3.8,3.8,3.8,35900
4396,2025-10-16,3.8,3.8,3.8,3.8,7200
4395,2025-10-15,3.8,3.81,3.8,3.8,10900
4394,2025-10-14,3.8,3.8,3.8,3.8,4300
4393,2025-10-13,3.82,3.83,3.8,3.8,29700
4392,2025-10-10,3.8,3.85,3.8,3.82,21800
4391,2025-10-09,3.97,3.97,3.81,3.95,5100
4390,2025-10-08,3.83,4.0,3.83,3.97,3900
4389,2025-10-07,3.88,3.88,3.84,3.84,700
4388,2025-10-06,3.8,3.88,3.8,3.88,800
4387,2025-10-03,3.85,3.85,3.8,3.8,18600
4386,2025-10-02,3.9,3.9,3.8,3.85,2400
4385,2025-10-01,3.81,3.82,3.81,3.82,900
4384,2025-09-30,3.99,3.99,3.8,3.99,78500
4383,2025-09-26,4.03,4.03,4.0,4.0,2000
4382,2025-09-25,3.99,4.0,3.76,4.0,17200
4381,2025-09-24,4.03,4.03,3.99,3.99,400
4380,2025-09-23,3.88,3.9,3.88,3.9,300
4379,2025-09-22,3.95,3.95,3.76,3.8,31100
4378,2025-09-19,3.9,3.95,3.9,3.95,500
4377,2025-09-18,3.85,3.9,3.85,3.9,1800
4376,2025-09-17,4.05,4.05,3.82,4.0,1400
4375,2025-09-16,4.05,4.05,3.9,4.05,2200
4374,2025-09-15,4.05,4.05,3.96,4.05,11600
4373,2025-09-12,3.9,4.0,3.81,4.0,9000
4372,2025-09-11,3.7,4.09,3.68,4.09,21100
4371,2025-09-10,3.95,3.95,3.95,3.95,1000
4370,2025-09-08,4.04,4.04,4.0,4.0,1200
4369,2025-09-05,3.95,4.04,3.93,4.04,1400
4368,2025-09-04,4.05,4.05,4.04,4.04,400
4367,2025-09-03,4.04,4.05,4.04,4.05,3500
4366,2025-08-29,4.04,4.05,4.04,4.04,3300
4365,2025-08-28,3.9,3.9,3.9,3.9,1900
4364,2025-08-26,3.81,4.05,3.81,4.05,1800
4363,2025-08-25,3.95,4.04,3.8,3.9,1800
4362,2025-08-22,3.8,4.04,3.8,4.04,1400
4361,2025-08-21,4.04,4.04,3.9,4.04,1800
4360,2025-08-20,4.07,4.07,4.04,4.04,2500
4359,2025-08-19,4.07,4.07,3.95,4.07,6700
4358,2025-08-18,4.1,4.1,3.9,4.08,4000
4357,2025-08-15,4.08,4.1,4.06,4.08,8000
