,Date,Open,High,Low,Close
2035,2025-10-17,6.9,7.5,6.9,7.5
2034,2025-10-16,6.9,6.9,6.9,6.9
2033,2025-10-15,6.9,6.9,6.9,6.9
2032,2025-10-08,7.8,7.9,7.8,7.9
2031,2025-10-07,7.2,7.2,7.2,7.2
2030,2025-10-06,6.3,6.3,6.3,6.3
2029,2025-09-30,6.6,8.2,6.6,8.2
2028,2025-09-12,7.7,7.7,7.7,7.7
2027,2025-09-11,7.7,7.7,7.7,7.7
2026,2025-09-09,7.7,7.7,7.7,7.7
2025,2025-09-05,7.9,7.9,6.8,6.9
2024,2025-09-03,7.9,7.9,7.9,7.9
2023,2025-08-29,8.8,9.2,8.8,9.2
2022,2025-08-28,9.2,9.2,9.2,9.2
2021,2025-08-27,9.9,10.0,8.0,9.0
2020,2025-08-26,9.4,9.4,9.3,9.3
2019,2025-08-25,8.2,9.4,7.1,9.4
2018,2025-08-22,7.6,9.0,7.6,9.0
2017,2025-08-20,8.1,8.1,8.1,8.1
2016,2025-08-19,6.8,8.0,6.8,8.0
2015,2025-08-18,7.0,7.0,7.0,7.0
2014,2025-08-15,7.9,7.9,7.9,7.9
2013,2025-08-12,8.2,8.2,8.2,8.2
2012,2025-08-08,7.4,7.4,7.4,7.4
2011,2025-08-07,7.4,7.4,7.4,7.4
2010,2025-08-06,7.4,7.5,7.4,7.5
2009,2025-08-05,7.3,7.5,7.3,7.5
2008,2025-08-01,6.6,6.6,6.6,6.6
2007,2025-07-31,7.5,7.5,7.4,7.4
2006,2025-07-25,7.8,7.8,7.5,7.5
2005,2025-07-24,7.4,7.4,7.4,7.4
2004,2025-07-23,6.9,6.9,6.9,6.9
2003,2025-07-14,7.0,7.0,6.8,6.8
2002,2025-07-11,7.0,7.0,7.0,7.0
2001,2025-07-10,7.2,7.2,7.2,7.2
2000,2025-07-09,7.7,7.7,6.9,7.0
1999,2025-07-08,7.7,7.7,7.7,7.7
1998,2025-07-07,6.8,6.8,6.5,6.5
